"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jacek PROTASIEWICZ - nr na liście 1";"Maciej Adam ZEGAN - nr na liście 2";"Joanna Barbara BRONOWICKA - nr na liście 3";"Grzegorz Tomasz DUDA - nr na liście 4";"Jan SOCHA - nr na liście 5";"Tomasz Stanisław MALEC - nr na liście 6";"Ryszard LECH - nr na liście 7";"Witold SZYDEŁKO - nr na liście 8";"Ewa Grażyna LITWIN - nr na liście 9";"Hieronim Stanisław KURYŚ - nr na liście 10";"Marek WARCHOLIŃSKI - nr na liście 11";"Janina KWIATKOWSKA-KORCZAK - nr na liście 12";"Aleksandra Anna KUCHARSKA - nr na liście 13";"Łukasz Maciej KUŹMICZ - nr na liście 14";"Bartosz Krystian GROCHOLSKI - nr na liście 15";"Łukasz Michał MACAŁA - nr na liście 16";"Joanna Alicja SZULC - nr na liście 17";"Jolanta Stanisława FURDYNA - nr na liście 18";"Karol Henryk ZALEWSKI - nr na liście 19";"Barbara Maria BUBNICKA - nr na liście 20";"Arkadiusz Rafał KOWALSKI - nr na liście 21";"Elżbieta Marta MAJOCHA - nr na liście 22";"Jacek Jan SOŁTYS - nr na liście 23";"Bożena Maria ADAMCZYK-POGORZELEC - nr na liście 24";"Urszula Agnieszka BARTOSZEWICZ - nr na liście 25";"Emilia Maria PAWNUK - nr na liście 26";"Joanna Róża MRÓZ-MOŻDŻONEK - nr na liście 27";"Mirosław Mieczysław ŁOPATKA - nr na liście 28";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Mirosława Agnieszka STACHOWIAK-RÓŻECKA - nr na liście 1";"Paweł Marek HRENIAK - nr na liście 2";"Jacek ŚWIAT - nr na liście 3";"Przemysław Maksymilian CZARNECKI - nr na liście 4";"Małgorzata Maria CALIŃSKA-MAYER - nr na liście 5";"Andrzej Stanisław JAROCH - nr na liście 6";"Mariusz Orion JĘDRYSEK - nr na liście 7";"Agnieszka Anna SOIN - nr na liście 8";"Piotr Jan DYTKO - nr na liście 9";"Artur ADAMSKI - nr na liście 10";"Zdzisław Ireneusz BREZDEŃ - nr na liście 11";"Wojciech Stanisław BARTNIK - nr na liście 12";"Krzysztof Marek DOMAGAŁA - nr na liście 13";"Roman KOWALCZYK - nr na liście 14";"Robert PIEŃKOWSKI - nr na liście 15";"Urszula Maria STOPA - nr na liście 16";"Wiesław Antoni ZAJĄC - nr na liście 17";"Agnieszka Maria BRZĄKAŁA - nr na liście 18";"Adrian Sławomir WAWRZYNIAK - nr na liście 19";"Karolina WOJEWÓDKA - nr na liście 20";"Michał PIECHEL - nr na liście 21";"Marzanna Teresa STRUMECKA - nr na liście 22";"Zofia Maria LESZCZYŃSKA-NER - nr na liście 23";"Marek HARASNY - nr na liście 24";"Magdalena Maria MAKSYMIAK - nr na liście 25";"Karolina Marta MROZOWSKA - nr na liście 26";"Cezary Piotr KEMPA - nr na liście 27";"Tytus Henryk CZARTORYSKI - nr na liście 28";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Krzysztof Jan ŚMISZEK - nr na liście 1";"Marta Magdalena STOŻEK - nr na liście 2";"Arkadiusz SIKORA - nr na liście 3";"Katarzyna Elżbieta LUBINIECKA-RÓŻYŁO - nr na liście 4";"Iwo Piotr AUGUSTYŃSKI - nr na liście 5";"Marlena Ewa JOKS - nr na liście 6";"Piotr Sebastian KOZDROWICKI - nr na liście 7";"Anna Katarzyna ŁAGOWSKA - nr na liście 8";"Wincenty Aleksander ELSNER - nr na liście 9";"Maciej PILNY - nr na liście 10";"Anna GAJDZIŃSKA - nr na liście 11";"Stanisław WICHA - nr na liście 12";"Robert MAŚLAK - nr na liście 13";"Katarzyna DĄBROWSKA - nr na liście 14";"Danuta Maria ŚMIAŁEK - nr na liście 15";"Irena Róża TERPIŁOWSKA - nr na liście 16";"Tadeusz Albert MINCER - nr na liście 17";"Agnieszka Katarzyna KORDEK-CHMIELEWSKA - nr na liście 18";"Waldemar Antoni OLIK - nr na liście 19";"Agnieszka Barbara CHŁÓDEK - nr na liście 20";"Krzysztof MARKOWSKI - nr na liście 21";"Andrzej Jerzy HODOWANY - nr na liście 22";"Jan Mateusz NIEMIEC - nr na liście 23";"Maria Teresa BANACH - nr na liście 24";"Małgorzata Danuta WARZYCHA - nr na liście 25";"Mateusz Dariusz PELWECKI - nr na liście 26";"Grzegorz Paweł BOBIŃSKI - nr na liście 27";"Agnieszka Ewa DZIEMIANOWICZ-BĄK - nr na liście 28";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Krzysztof TUDUJ - nr na liście 1";"Robert Jarosław IWASZKIEWICZ - nr na liście 2";"Łukasz Patryk POŹNIAK - nr na liście 3";"Miłosz Michał TAMULEWICZ - nr na liście 4";"Krzysztof Józef SZOKALSKI - nr na liście 5";"Michał FABISIAK - nr na liście 6";"Katarzyna Natalia WALCZYK - nr na liście 7";"Marta Anna CZECH - nr na liście 8";"Halszka Beata BIELECKA - nr na liście 9";"Stanisław Józef ZAPOTOCZNY - nr na liście 10";"Wojciech Aleksander RĄCZYŃSKI - nr na liście 11";"Bogdan LUDKOWSKI - nr na liście 12";"Paweł Jacek JAGIEŁŁO - nr na liście 13";"Ewa SZLOSER - nr na liście 14";"Piotr CHMURA - nr na liście 15";"Ryszard Marian MARSZAŁEK - nr na liście 16";"Wojciech JABŁOŃSKI - nr na liście 17";"Ewa WRÓBLEWSKA - nr na liście 18";"Jadwiga Janina ZIÓŁKOWSKA - nr na liście 19";"Adam Krzysztof NOWAK - nr na liście 20";"Agnieszka Joanna MALARA - nr na liście 21";"Tomasz Antoni ZIELIŃSKI - nr na liście 22";"Patrycja ZARZYCKA - nr na liście 23";"Krzysztof Mieczysław CHROBOT - nr na liście 24";"Olga Anna BRZEZIŃSKA - nr na liście 25";"Paweł CHMIELEWSKI - nr na liście 26";"Maria LUDKOWSKA - nr na liście 27";"Piotr Grzegorz ŻUREK - nr na liście 28";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Grzegorz Juliusz SCHETYNA - nr na liście 1";"Małgorzata Elżbieta TRACZ - nr na liście 2";"Michał JAROS - nr na liście 3";"Sławomir Jan PIECHOTA - nr na liście 4";"Aldona Janina MŁYŃCZAK - nr na liście 5";"Joanna Wiktoria AUGUSTYNOWSKA - nr na liście 6";"Krzysztof MIESZKOWSKI - nr na liście 7";"Anna Maria HORODYSKA - nr na liście 8";"Krystyna WÓJCIK - nr na liście 9";"Michał Jakub GÓRSKI - nr na liście 10";"Zdzisław Michał ŻMIEJEWSKI - nr na liście 11";"Wojciech ADAMCZAK - nr na liście 12";"Anna Maria LESZCZYŃSKA - nr na liście 13";"Jarosław POLAŃSKI - nr na liście 14";"Sebastian Robert BURDZY - nr na liście 15";"Kacper Jan MĘDYGRAŁ - nr na liście 16";"Marek Rafał SIERPIŃSKI - nr na liście 17";"Marek Krzysztof ZALEWSKI - nr na liście 18";"Waldemar Zbigniew STASZEWSKI - nr na liście 19";"Radosław Tomasz MOŁOŃ - nr na liście 20";"Anna Helena SOBOLAK - nr na liście 21";"Jacek Edward MAKÓWKA - nr na liście 22";"Katarzyna Anna PIWKO - nr na liście 23";"Katarzyna STANIÓW - nr na liście 24";"Ryszard Julian ZELINKA - nr na liście 25";"Łukasz KROPSKI - nr na liście 26";"Daria GILAR - nr na liście 27";"Marek ŁAPIŃSKI - nr na liście 28";"Lista nr 8 - KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Ewa Anna ZDROJEWSKA - nr na liście 1";"Karol PRZYWARA - nr na liście 2";"Janusz MARSZAŁEK - nr na liście 3";"Barbara KOSTERSKA - nr na liście 4";"Grzegorz Piotr ĆWIERTNIEWICZ - nr na liście 5";"Krystyna Jadwiga HAŁADAJ - nr na liście 6";"Elżbieta Zofia KACZMARZYK-JANCZAK - nr na liście 7";"Zbigniew POTYRAŁA - nr na liście 8";"Agnieszka DOLAT - nr na liście 9";"Iwona Elżbieta DYSZKIEWICZ - nr na liście 10";"Paweł WYBIERAŁA - nr na liście 11";"Piotr Paweł ISKRA - nr na liście 12";"Dorota SAŁO - nr na liście 13";"Małgorzata Kamila HAŁAS-KORALEWSKA - nr na liście 14";"Edward CZAPIEWSKI - nr na liście 15";"Barbara Elżbieta TOMKIEWICZ - nr na liście 16";"Antoni KOPEĆ - nr na liście 17";"Jan Feliks PIONTEK - nr na liście 18";"Andrzej Jacek TRACZYK - nr na liście 19";"Agnieszka PAWŁOWSKA - nr na liście 20";"Małgorzata Agnieszka HOŁÓWKA - nr na liście 21";"Agnieszka NAPLOCHA - nr na liście 22";"Hubert Kazimierz KURDZIEL - nr na liście 23";"Paweł Tomasz SZYLER - nr na liście 24";"Maria Helena STACHORZECKA - nr na liście 25";"Paulina KAZIKOWSKA - nr na liście 26";"Jarosław Jan KEMPA - nr na liście 27"
"8b20-c036-9642-dc6c-5f84-9abe-fe01-407b";"020401";"3";"1";"miasto i wieś";"stały";"SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, os. Kazimierza Wielkiego 25, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"2000";"2199";"930";"1069";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1068";"0";"0";"1068";"7";"5";"2";"0";"1061";"74";"35";"0";"12";"5";"1";"1";"1";"1";"4";"0";"0";"2";"3";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"2";"492";"148";"31";"48";"74";"5";"3";"45";"60";"12";"2";"1";"7";"5";"0";"1";"5";"2";"0";"3";"5";"1";"0";"1";"0";"1";"9";"5";"18";"128";"50";"14";"15";"2";"0";"6";"0";"4";"3";"3";"3";"0";"3";"2";"4";"0";"0";"14";"0";"0";"0";"1";"0";"2";"0";"0";"0";"2";"57";"9";"10";"4";"2";"2";"6";"0";"5";"2";"0";"0";"2";"5";"0";"2";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0";"2";"276";"75";"44";"9";"4";"3";"3";"4";"0";"2";"2";"112";"3";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"7";"1";"1";"0";"0";"1";"34";"14";"0";"0";"1";"0";"1";"0";"0";"1";"1";"3";"10";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"2830-f672-3556-5d3a-0278-bb9c-cbd0-3932";"020401";"3";"2";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1704";"1832";"675";"1029";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1029";"0";"0";"1029";"8";"7";"1";"0";"1021";"80";"29";"1";"19";"4";"1";"0";"2";"2";"2";"2";"1";"2";"1";"3";"1";"0";"2";"0";"1";"1";"1";"0";"3";"0";"0";"0";"0";"2";"370";"89";"24";"51";"64";"7";"7";"15";"47";"13";"3";"2";"2";"7";"1";"2";"5";"5";"0";"1";"2";"0";"1";"0";"2";"2";"2";"3";"13";"163";"56";"17";"34";"8";"2";"5";"0";"4";"3";"2";"0";"0";"3";"0";"0";"2";"0";"14";"0";"0";"1";"0";"0";"2";"2";"0";"0";"8";"54";"21";"4";"2";"1";"2";"5";"1";"1";"0";"0";"0";"0";"1";"1";"6";"1";"1";"2";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"318";"93";"31";"13";"3";"5";"1";"8";"1";"4";"2";"136";"2";"2";"0";"0";"0";"1";"1";"0";"0";"0";"1";"12";"0";"0";"0";"1";"1";"36";"11";"1";"2";"0";"1";"0";"0";"0";"2";"0";"0";"12";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"1";"1"
"1c97-b98f-d614-f72c-5b4f-5584-7980-7b2d";"020401";"3";"3";"miasto i wieś";"stały";"Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1700";"1840";"840";"860";"2";"3";"0";"0";"0";"0";"0";"0";"0";"860";"0";"0";"860";"12";"11";"1";"0";"848";"50";"24";"4";"8";"3";"1";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"403";"107";"27";"52";"80";"9";"1";"14";"42";"7";"9";"1";"1";"7";"6";"1";"3";"3";"0";"3";"3";"2";"0";"1";"2";"0";"3";"6";"13";"86";"33";"6";"13";"9";"2";"0";"0";"1";"2";"1";"0";"1";"0";"2";"0";"0";"0";"13";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"68";"21";"11";"2";"2";"0";"2";"1";"7";"0";"2";"0";"0";"6";"1";"2";"2";"0";"0";"1";"0";"0";"3";"2";"0";"0";"3";"0";"0";"197";"61";"10";"7";"5";"1";"5";"2";"1";"1";"5";"94";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"44";"12";"1";"1";"0";"0";"0";"2";"2";"4";"0";"0";"13";"1";"1";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"1";"1"
"cc6a-74fb-e5d7-aadf-069d-0010-a280-cb7d";"020401";"3";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1000";"1072";"377";"623";"0";"4";"1";"1";"0";"0";"0";"0";"1";"624";"1";"0";"624";"9";"7";"2";"0";"615";"36";"19";"1";"6";"2";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"226";"55";"22";"19";"27";"4";"4";"17";"33";"9";"2";"3";"0";"5";"1";"1";"2";"1";"0";"1";"1";"0";"0";"2";"0";"0";"4";"1";"12";"86";"40";"5";"13";"3";"1";"1";"0";"0";"2";"3";"1";"0";"0";"0";"1";"0";"0";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"7";"38";"12";"10";"1";"2";"1";"3";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"199";"58";"25";"10";"5";"1";"8";"3";"1";"0";"2";"77";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"30";"10";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"13";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1"
"4762-8188-3901-9433-a36c-95c4-0dd0-ea98";"020401";"3";"5";"miasto";"stały";"Przedszkole Publiczne Nr 1, ul. Stefana Żeromskiego 15, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1001";"1088";"479";"522";"0";"1";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"12";"9";"3";"0";"510";"47";"13";"0";"6";"4";"3";"0";"0";"0";"4";"0";"1";"2";"1";"0";"0";"0";"2";"1";"2";"0";"2";"1";"2";"1";"0";"0";"1";"1";"196";"55";"10";"16";"34";"6";"4";"21";"11";"12";"4";"0";"0";"2";"2";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"3";"8";"60";"27";"3";"6";"1";"0";"2";"0";"3";"1";"1";"1";"0";"0";"2";"0";"0";"0";"7";"0";"0";"2";"0";"1";"0";"1";"0";"0";"2";"26";"8";"3";"2";"0";"1";"1";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"2";"0";"0";"154";"43";"12";"12";"2";"1";"3";"2";"1";"2";"3";"68";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"27";"5";"1";"2";"0";"0";"0";"1";"0";"0";"0";"2";"12";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"51cf-60f2-db2f-26e3-9b53-fa53-7612-004a";"020401";"3";"6";"miasto";"stały";"Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"899";"1017";"348";"551";"0";"1";"0";"0";"0";"0";"0";"0";"0";"551";"0";"1";"550";"3";"0";"3";"0";"547";"34";"17";"0";"1";"2";"2";"0";"1";"2";"2";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"234";"50";"15";"31";"43";"5";"2";"22";"33";"10";"2";"0";"1";"1";"2";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"10";"74";"29";"2";"19";"0";"0";"3";"0";"0";"1";"3";"1";"0";"3";"1";"1";"0";"0";"6";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"33";"7";"9";"1";"1";"0";"1";"1";"2";"2";"0";"1";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"145";"42";"15";"4";"1";"1";"1";"5";"2";"1";"2";"58";"3";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"4";"27";"5";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"14";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"c161-9871-25ce-d0b3-1afa-dadb-7b13-a116";"020401";"3";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1799";"1946";"582";"1217";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1217";"0";"0";"1217";"16";"9";"7";"0";"1201";"76";"29";"0";"18";"6";"2";"1";"3";"0";"3";"0";"0";"1";"5";"0";"1";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"454";"138";"32";"33";"46";"8";"5";"44";"72";"16";"3";"2";"3";"3";"4";"1";"2";"3";"0";"0";"2";"1";"0";"1";"0";"1";"4";"3";"27";"150";"71";"11";"15";"7";"1";"1";"1";"3";"1";"2";"0";"1";"6";"1";"6";"1";"0";"11";"1";"0";"1";"0";"2";"0";"0";"0";"0";"7";"70";"26";"9";"2";"0";"0";"3";"6";"0";"1";"2";"1";"2";"5";"0";"3";"1";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"401";"115";"33";"19";"13";"1";"4";"7";"2";"6";"4";"185";"3";"3";"1";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"50";"11";"2";"1";"0";"2";"0";"0";"1";"1";"0";"4";"22";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2"
"35d5-0350-743e-f9d5-f3a3-0bcb-7ebe-8234";"020401";"3";"8";"wieś";"stały";"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1000";"1080";"549";"451";"1";"4";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"8";"3";"5";"0";"443";"42";"12";"2";"18";"1";"0";"2";"2";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"248";"53";"14";"32";"34";"4";"7";"9";"51";"4";"9";"1";"1";"4";"1";"0";"0";"1";"0";"5";"2";"1";"0";"0";"0";"1";"2";"4";"8";"35";"11";"7";"5";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"15";"5";"3";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"80";"39";"6";"4";"2";"0";"0";"2";"0";"3";"2";"15";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"23";"6";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"12";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"9c18-c36c-fa8d-439f-cae1-0032-920c-5118";"020401";"3";"9";"wieś";"stały";"Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"900";"1012";"423";"477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"4";"3";"1";"0";"473";"42";"13";"4";"8";"2";"3";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"2";"0";"1";"0";"0";"1";"268";"64";"42";"32";"36";"5";"2";"7";"35";"13";"4";"1";"0";"5";"1";"0";"0";"1";"0";"1";"3";"0";"1";"3";"0";"0";"3";"2";"7";"46";"18";"6";"5";"1";"1";"2";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"1";"0";"3";"29";"9";"2";"4";"0";"0";"1";"1";"0";"2";"0";"1";"1";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"80";"30";"2";"1";"1";"0";"1";"0";"0";"0";"2";"39";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"8";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1"
"06d6-d603-88f4-e7f8-2191-52fd-1cdc-f409";"020401";"3";"10";"wieś";"stały";"Świetlica Wiejska, Stara Góra 33A, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1102";"1164";"455";"647";"0";"2";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"6";"6";"0";"0";"641";"37";"17";"0";"10";"4";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"325";"77";"35";"44";"32";"7";"0";"14";"47";"31";"3";"1";"0";"2";"2";"0";"1";"3";"1";"3";"1";"2";"0";"1";"0";"0";"4";"3";"11";"49";"18";"5";"3";"1";"1";"0";"1";"6";"0";"2";"2";"0";"1";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"45";"22";"4";"0";"1";"0";"1";"3";"2";"0";"0";"0";"1";"0";"1";"3";"0";"1";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"165";"47";"14";"3";"1";"0";"0";"2";"0";"2";"1";"92";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"20";"10";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
