"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Piotr BIELECKI";"Stanisław Andrzej GORCZYCA";"Bogusława ORZECHOWSKA";"Łukasz TULWIŃSKI";"Liczba obwodów"
"280300";"działdowski";"warmińsko-mazurskie";47080;51109;20801;26280;20;120;0;0;0;0;0;0;0;26276;0;0;26276;525;101;424;0;25751;5253;7313;11242;1943;55
"280700";"iławski";"warmińsko-mazurskie";66480;72018;27980;38504;31;259;5;5;0;0;0;0;5;38507;5;0;38507;616;136;480;0;37891;4672;13329;16398;3492;65
"281200";"nowomiejski";"warmińsko-mazurskie";31105;33754;12925;18180;21;106;0;0;0;0;0;0;0;18178;0;0;18178;384;82;302;0;17794;2432;5305;8710;1347;33
"281500";"ostródzki";"warmińsko-mazurskie";74647;81005;32936;41712;37;413;3;3;0;1;0;0;2;41709;2;1;41708;745;178;567;0;40963;4555;18000;15028;3380;81
