Nr komisji;Siedziba;TERYT Gminy;Gmina;Powiat;Województwo;Nr okręgu;Liczba komisji;Liczba uwzględnionych komisji;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie);Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;W tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;KOMITET WYBORCZY NOWA LEWICA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;KOMITET WYBORCZY POLSKA JEST JEDNA;KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU;KOMITET WYBORCZY NORMALNY KRAJ;KOMITET WYBORCZY ANTYPARTIA;KOMITET WYBORCZY RUCH NAPRAWY POLSKI;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
1;Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1491;1605;312;1179;0;1179;0;14;0;0;0;0;0;0;1179;0;0;1179;13;8;5;0;1166;58;132;99;346;84;428;19;;;;;
2;Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1218;1282;224;994;1;995;2;9;1;0;0;0;0;1;995;1;0;995;7;5;2;0;988;31;110;93;302;60;375;17;;;;;
3;Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1292;1387;250;1042;5;1047;4;12;5;0;0;0;0;5;1047;5;0;1047;16;11;5;0;1031;43;127;86;307;79;363;26;;;;;
4;Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1277;1373;229;1048;1;1049;0;6;1;0;0;0;0;1;1049;1;0;1049;14;7;7;0;1035;43;116;86;282;73;416;19;;;;;
5;Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1200;1234;267;933;0;933;0;0;0;0;0;0;0;0;933;0;0;933;25;12;13;0;908;37;111;80;265;49;361;5;;;;;
6;Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1108;1189;387;721;0;721;1;20;0;0;0;0;0;0;721;0;5;716;18;15;3;0;698;39;74;61;230;37;245;12;;;;;
7;Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1262;1344;238;1024;0;1024;1;19;0;0;0;0;0;0;1024;0;0;1024;19;6;13;0;1005;24;106;110;297;58;393;17;;;;;
8;Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1143;1223;197;946;0;946;3;14;0;0;0;0;0;0;946;0;0;946;15;3;12;0;931;44;101;89;301;46;339;11;;;;;
9;Miejskie Przedszkole Publiczne Nr 6, ul. Piotra i Pawła 2, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1240;1327;292;948;1;949;1;16;1;0;0;0;0;1;949;1;1;948;13;5;8;0;935;39;105;97;268;48;357;21;;;;;
10;Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1113;1190;274;839;1;840;2;12;0;0;0;0;0;0;839;0;0;839;18;11;7;0;821;34;86;90;276;50;276;9;;;;;
11;Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1169;1271;272;897;1;898;4;6;0;0;0;0;0;0;896;0;0;896;24;10;14;0;872;36;97;112;257;41;319;10;;;;;
12;Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1090;1194;233;857;0;857;1;15;0;0;0;0;0;0;856;0;0;856;8;4;4;0;848;31;83;100;264;43;318;9;;;;;
13;Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1131;1210;298;833;0;833;3;14;0;0;0;0;0;0;833;0;0;833;14;3;11;0;819;34;82;90;243;38;324;8;;;;;
14;Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1338;1434;231;1107;0;1107;0;19;0;0;0;0;0;0;1107;0;6;1101;4;2;2;0;1097;44;144;114;278;73;437;7;;;;;
15;Miejskie Przedszkole Publiczne Nr 5, ul. Zygmunta Augusta 16b, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1168;1279;216;952;1;953;1;14;0;0;0;0;0;0;952;0;0;952;10;6;4;0;942;30;89;108;277;42;386;10;;;;;
16;Przedsiębiorstwo Wodociągów i Kanalizacji, al. Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1287;1394;178;1109;0;1109;1;15;0;0;0;0;0;0;1110;0;0;1110;30;22;8;0;1080;38;135;124;284;92;387;20;;;;;
17;Pałac Ślubów Ratusz, rynek Rynek 41, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1079;1201;268;811;0;811;6;40;0;0;0;0;0;0;811;0;1;810;20;12;8;0;790;45;91;86;229;56;272;11;;;;;
18;Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1089;1172;276;813;0;813;1;14;0;0;0;0;0;0;813;0;0;813;22;10;12;0;791;40;95;73;210;47;306;20;;;;;
19;Miejskie Przedszkole Publiczne Nr 2, ul. Mikołaja Brody 17, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1402;1407;286;1113;0;1113;5;5;0;0;0;0;0;0;1116;0;3;1113;12;7;5;0;1101;49;145;112;244;65;473;13;;;;;
20;Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1629;1782;305;1324;0;1324;1;10;0;0;0;0;0;0;1321;0;0;1321;17;6;11;0;1304;71;178;131;302;122;484;16;;;;;
21;Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec;20101;m. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1340;1463;354;986;0;986;8;23;0;0;0;0;0;0;986;0;0;986;12;8;4;0;974;44;118;80;272;48;395;17;;;;;
1;Dom Ludowy, Żeliszów 102A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;347;374;68;279;0;279;0;0;0;0;0;0;0;0;279;0;0;279;6;4;2;0;273;10;41;19;101;29;69;4;;;;;
2;Dom Ludowy, Bożejowice 1A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;802;861;132;670;0;670;1;2;0;0;0;0;0;0;670;0;0;670;11;5;6;0;659;28;91;52;188;42;248;10;;;;;
3;Dom Ludowy, Otok 44C, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;357;372;73;284;0;284;0;1;0;0;0;0;0;0;283;0;0;283;6;5;1;0;277;18;43;20;87;20;81;8;;;;;
4;Dom Ludowy, Brzeźnik 37, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;637;724;119;518;0;518;0;14;0;0;0;0;0;0;518;0;0;518;10;4;6;0;508;17;48;24;221;57;124;17;;;;;
5;Dom Ludowy, Dobra 94, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;734;777;133;601;0;601;0;0;0;0;0;0;0;0;601;0;0;601;6;5;1;0;595;26;73;71;145;50;215;15;;;;;
6;Dom Ludowy, Dąbrowa Bolesławiecka 7B, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;386;419;120;266;0;266;1;5;0;0;0;0;0;0;266;0;0;266;12;10;2;0;254;12;43;27;99;15;56;2;;;;;
7;Dom Ludowy, Trzebień ul. Lipowa 5, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1042;1098;314;728;0;728;1;11;0;0;0;0;0;0;728;0;0;728;13;6;7;0;715;33;89;64;261;56;204;8;;;;;
8;Dom Ludowy, Kraśnik Dolny 24C, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;661;711;174;485;1;486;2;4;1;0;0;0;0;1;486;1;0;486;2;2;0;0;484;28;69;36;153;66;130;2;;;;;
9;Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;1344;1442;226;1118;3;1121;3;13;3;1;0;0;0;2;1120;2;0;1120;13;6;7;0;1107;37;160;79;290;70;452;19;;;;;
10;Dom Ludowy, Łaziska 30A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;723;773;131;591;0;591;1;5;0;0;0;0;0;0;592;0;0;592;5;3;2;0;587;24;94;47;173;53;189;7;;;;;
11;Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;734;770;215;519;0;519;0;3;0;0;0;0;0;0;519;0;0;519;7;4;3;0;512;22;42;43;268;41;85;11;;;;;
12;Dom Ludowy, Nowe Jaroszowice 32A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;178;187;47;131;0;131;0;0;0;0;0;0;0;0;131;0;0;131;3;2;1;0;128;1;18;11;41;18;34;5;;;;;
13;Dom Ludowy, Suszki 46A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;185;193;44;141;0;141;0;0;0;0;0;0;0;0;141;0;0;141;1;0;1;0;140;8;15;16;55;11;34;1;;;;;
14;Dom Ludowy, Kraszowice 23Z, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;351;383;74;277;0;277;0;1;0;0;0;0;0;0;277;0;0;277;16;4;12;0;261;13;25;20;93;24;82;4;;;;;
15;Dom Ludowy, Mierzwin 14B, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;185;205;38;147;0;147;0;0;0;0;0;0;0;0;147;0;0;147;11;4;7;0;136;5;9;14;42;9;47;10;;;;;
16;Dom Ludowy, Krępnica 29A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;175;199;52;123;0;123;0;0;0;0;0;0;0;0;123;0;0;123;3;1;2;0;120;10;21;10;41;15;23;0;;;;;
17;Dom Ludowy, Bolesławice 258E, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;542;562;87;456;0;456;0;0;0;0;0;0;0;0;456;0;0;456;4;3;1;0;452;26;75;35;136;27;146;7;;;;;
18;Dom Ludowy, Łąka 11Z, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;223;253;36;187;0;187;0;5;0;0;0;0;0;0;187;0;0;187;8;3;5;0;179;8;20;15;66;13;53;4;;;;;
19;Dom Ludowy, Nowa Wieś 3A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;283;315;61;222;0;222;0;3;0;0;0;0;0;0;222;0;0;222;10;6;4;0;212;9;19;18;89;22;51;4;;;;;
20;Dom Ludowy, Kraśnik Górny 22Z, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;370;408;81;289;0;289;1;1;0;0;0;0;0;0;289;0;0;289;5;2;3;0;284;15;58;17;97;15;82;0;;;;;
21;Dom Ludowy, Stare Jaroszowice 30A, 59-700 Bolesławiec;20102;gm. Bolesławiec;bolesławiecki;dolnośląskie;1;1;1;205;212;62;143;0;143;0;0;0;0;0;0;0;0;143;0;0;143;2;1;1;0;141;4;38;12;41;9;31;6;;;;;
1;Szkoła Podstawowa w Gromadce, ul. gen. Wł. Sikorskiego 19, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;1569;1663;437;1132;2;1134;6;9;2;0;0;0;0;2;1134;2;0;1134;32;16;16;0;1102;33;83;81;444;69;304;88;;;;;
2;Gminny Ośrodek Pomocy Społecznej w Gromadce z siedzibą w Wierzbowej, Wierzbowa 19, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;718;775;232;486;0;486;1;3;0;0;0;0;0;0;486;0;0;486;16;6;10;0;470;13;37;35;260;33;79;13;;;;;
3;Świetlica wiejska w Różyńcu, Różyniec 41B, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;279;304;61;218;0;218;0;1;0;0;0;0;0;0;218;0;0;218;11;5;6;0;207;6;23;12;84;22;56;4;;;;;
4;Szkoła Podstawowa w Modle, Modła 76, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;417;451;139;278;0;278;0;3;0;0;0;0;0;0;278;0;0;278;17;9;8;0;261;4;19;28;131;22;47;10;;;;;
5;Świetlica wiejska w Osłej, Osła 46A, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;377;415;123;254;0;254;1;2;0;0;0;0;0;0;253;0;0;253;7;7;0;0;246;10;22;25;86;25;72;6;;;;;
6;Świetlica wiejska w Krzyżowej, Krzyżowa 49, 59-706 Gromadka;20103;gm. Gromadka;bolesławiecki;dolnośląskie;1;1;1;406;440;78;328;0;328;1;2;0;0;0;0;0;0;328;0;0;328;3;2;1;0;325;11;26;27;156;23;65;17;;;;;
1;Szkoła Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;740;792;242;498;0;498;2;6;0;0;0;0;0;0;499;0;0;499;22;14;8;0;477;27;56;46;201;38;104;5;;;;;
2;Szkoła Podstawowa im. Jana Pawła II w Gierałtowie, Gierałtów 47, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;752;794;263;489;0;489;1;3;0;0;0;0;0;0;489;0;1;488;13;5;8;0;475;6;70;41;226;39;88;5;;;;;
3;Budynek byłej Szkoły Podstawowej w Godzieszowie, Godzieszów 97, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;426;468;126;300;0;300;2;14;0;0;0;0;0;0;300;0;0;300;2;1;1;0;298;11;24;29;120;17;94;3;;;;;
4;Szkoła Podstawowa im. Jana Pawła II w Gościszowie, Gościszów 152, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;1012;1084;322;690;0;690;2;6;0;0;0;0;0;0;690;0;0;690;25;25;0;0;665;27;69;51;349;78;78;13;;;;;
5;Świetlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;953;1017;265;688;0;688;0;0;0;0;0;0;0;0;688;0;0;688;25;9;16;0;663;20;85;55;288;65;135;15;;;;;
6;Szkoła Podstawowa im. Józefa Piłsudskiego w Nowej Wsi, Nowa Wieś 26a, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;439;472;132;307;0;307;0;0;0;0;0;0;0;0;307;0;0;307;11;8;3;0;296;7;33;17;126;27;75;11;;;;;
7;Szkoła Podstawowa im. Bolesława Chrobrego w Nowogrodźcu, ul. Henryka Sienkiewicza 8, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;1461;1554;364;1097;0;1097;3;8;0;0;0;0;0;0;1096;0;0;1096;30;20;10;0;1066;36;147;82;479;88;205;29;;;;;
8;Gminne Centrum Kultury i Sportu w Nowogrodźcu, ul. Lubańska 42a, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;1405;1504;390;1015;2;1017;2;9;2;0;0;0;0;2;1017;2;0;1017;26;21;5;0;991;28;140;96;387;97;232;11;;;;;
9;Budynek nr 63 w Parzycach (były Ośrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;669;712;202;467;0;467;0;1;0;0;0;0;0;0;467;0;0;467;11;6;5;0;456;19;71;34;161;58;108;5;;;;;
10;Świetlica Wiejska w Wykrotach, Wykroty ul. Główna 27, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;1328;1429;407;921;1;922;8;7;1;0;0;0;0;1;922;1;0;922;21;16;5;0;901;40;96;62;414;86;183;20;;;;;
11;Świetlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;961;1025;271;690;0;690;1;4;0;0;0;0;0;0;690;0;0;690;17;8;9;0;673;41;89;66;250;45;176;6;;;;;
12;Sala spotkań, Kierżno 37, 59-730 Nowogrodziec;20104;gm. Nowogrodziec;bolesławiecki;dolnośląskie;1;1;1;185;199;46;139;0;139;0;1;0;0;0;0;0;0;139;0;0;139;8;4;4;0;131;6;21;5;47;14;36;2;;;;;
1;Centrum Aktywności Społecznej w Tomisławiu, Tomisław 62A, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;747;792;217;530;0;530;3;0;0;0;0;0;0;0;530;0;0;530;16;13;3;0;514;18;58;39;206;60;115;18;;;;;
2;Gminny Ośrodek Sportu i Rekreacji w Osiecznicy, ul. Lubańska 29B, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;1152;1256;308;844;1;845;0;17;1;0;0;0;0;1;845;1;0;845;24;18;6;0;821;30;89;66;263;66;296;11;;;;;
3;Świetlica Wiejska w Przejęsławiu, Przejęsław 10a, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;402;416;144;258;0;258;0;0;0;0;0;0;0;0;258;0;0;258;12;6;6;0;246;9;24;20;97;29;63;4;;;;;
4;Świetlica Wiejska w Ławszowej, Ławszowa 81, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;488;523;171;317;0;317;0;1;0;0;0;0;0;0;317;0;0;317;14;11;3;0;303;11;29;20;144;21;71;7;;;;;
5;Świetlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;758;815;280;478;0;478;0;0;0;0;0;0;0;0;478;0;0;478;14;7;7;0;464;16;61;42;160;38;139;8;;;;;
6;Centrum Aktywności Społecznej w Ołoboku, Ołobok 62A, 59-724 Osiecznica;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;287;316;135;152;0;152;0;0;0;0;0;0;0;0;152;0;0;152;10;7;3;0;142;2;14;17;57;9;40;3;;;;;
7;Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów;20105;gm. Osiecznica;bolesławiecki;dolnośląskie;1;1;1;943;1044;189;754;1;755;0;14;1;0;0;0;0;1;755;1;0;755;5;2;3;0;750;26;100;96;206;78;222;22;;;;;
1;Wiejski Dom Kultury, Warta Bolesławiecka 29B, 59-720 Warta Bolesławiecka;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;710;801;129;583;0;583;0;2;0;0;0;0;0;0;583;0;0;583;16;6;10;0;567;36;65;54;192;55;155;10;;;;;
2;Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;815;887;192;623;0;623;0;3;0;0;0;0;0;0;623;0;0;623;23;15;8;0;600;35;71;63;170;45;195;21;;;;;
3;Świetlica Wiejska, Raciborowice Górne 196, 59-720 Raciborowice Górne;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;905;977;285;620;0;620;2;2;0;0;0;0;0;0;620;0;0;620;25;17;8;0;595;29;58;49;274;32;145;8;;;;;
4;Zespół Szkolno-Przedszkolny, Iwiny-Osiedle 60, 59-720 Iwiny;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;826;886;195;631;0;631;1;1;0;0;0;0;0;0;631;0;0;631;17;8;9;0;614;35;68;56;244;37;164;10;;;;;
5;Świetlica Wiejska, Szczytnica 34A, 59-720 Szczytnica;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;906;976;311;594;0;594;0;6;0;0;0;0;0;0;595;0;5;590;8;6;2;0;582;22;44;56;207;73;162;18;;;;;
6;Kino „Kujawy”, Raciborowice Dolne 61, 59-720 Raciborowice Dolne;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;469;510;158;311;0;311;0;1;0;0;0;0;0;0;311;0;0;311;13;9;4;0;298;14;32;23;125;25;75;4;;;;;
7;Świetlica Wiejska, Wartowice 37, 59-720 Wartowice;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;244;244;44;200;0;200;0;1;0;0;0;0;0;0;200;0;0;200;6;1;5;0;194;9;20;10;89;28;33;5;;;;;
8;Świetlica Wiejska, Lubków 8B, 59-720 Lubków;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;248;276;59;189;0;189;0;0;0;0;0;0;0;0;189;0;0;189;4;2;2;0;185;10;12;10;84;22;44;3;;;;;
9;Świetlica Wiejska, Jurków 48A, 59-720 Jurków;20106;gm. Warta Bolesławiecka;bolesławiecki;dolnośląskie;1;1;1;181;203;24;157;0;157;0;0;0;0;0;0;0;0;157;0;0;157;11;5;6;0;146;8;13;9;94;5;15;2;;;;;
1;Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;930;1054;238;692;0;692;1;7;0;0;0;0;0;0;692;0;0;692;14;8;6;0;678;14;96;56;223;66;212;11;;;;;
2;Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1180;1278;359;821;0;821;0;9;0;0;0;0;0;0;821;0;2;819;16;10;6;0;803;12;132;65;261;71;253;9;;;;;
3;Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1070;1164;335;735;1;736;4;6;1;0;0;0;0;1;735;1;0;735;7;4;3;0;728;11;97;70;244;47;235;24;;;;;
4;"Klub ""Włókniarz"" Spółdzielni Mieszkaniowej, os. Osiedle Włókniarzy 1, 58-260 Bielawa";20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1120;1174;303;817;0;817;3;3;0;0;0;0;0;0;817;0;0;817;6;4;2;0;811;14;101;63;296;48;280;9;;;;;
5;Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, os. Osiedle Włókniarzy 10, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;850;901;247;602;0;602;4;4;0;0;0;0;0;0;602;0;0;602;14;8;6;0;588;8;71;53;211;31;202;12;;;;;
6;Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;940;1001;244;696;0;696;0;10;0;0;0;0;0;0;696;0;0;696;8;4;4;0;688;12;96;89;200;56;225;10;;;;;
7;Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1100;1178;315;785;0;785;8;3;0;0;0;0;0;0;785;0;0;785;20;13;7;0;765;12;92;69;270;35;270;17;;;;;
8;Żłobek Publiczny, ul. gen. Grota Roweckiego 7, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1000;1072;213;787;0;787;3;9;0;0;0;0;0;0;787;0;0;787;15;13;2;0;772;13;111;87;262;45;240;14;;;;;
9;Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa;20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;980;1032;255;725;3;728;0;3;2;0;0;0;0;2;727;2;0;727;3;3;0;0;724;11;74;76;251;53;249;10;;;;;
10;"Klub ""Sowa"" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa";20201;m. Bielawa;dzierżoniowski;dolnośląskie;2;1;1;1050;1131;165;885;0;885;2;6;0;0;0;0;0;0;885;0;2;883;7;7;0;0;876;18;132;71;245;66;325;19;;;;;
