"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
3;"Miejsko-Gminny Ośrodek Kultury w Glinojecku, ul. Polna 2C, 06-450 Glinojeck";140203;"gm. Glinojeck";"ciechanowski";"mazowieckie";1;1;442;316;112
4;"Dom Kultury, Ościsłowo 37, 06-452 Ościsłowo";140203;"gm. Glinojeck";"ciechanowski";"mazowieckie";1;1;177;135;33
5;"Szkoła Podstawowa w Woli Młockiej, Wola Młocka 32, 06-450 Glinojeck";140203;"gm. Glinojeck";"ciechanowski";"mazowieckie";1;1;403;277;69
1;"Szkoła Podstawowa im. P. J. Gołaszewskiego w Gołyminie-Ośrodku, ul. ks. Michalaka 10C, 06-420 Gołymin-Ośrodek";140204;"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";1;1;331;251;82
2;"Gminna Biblioteka Publiczna w Gołyminie-Ośrodku, ul. ks. Michalaka 10B, 06-420 Gołymin-Ośrodek";140204;"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";1;1;247;152;77
3;"Szkoła Podstawowa im. P. J. Gołaszewskiego w Gołyminie-Ośrodku Szkoła Filialna w Gostkowie, Gostkowo 2, 06-420 Gołymin-Ośrodek";140204;"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";1;1;399;185;109
1;"Zespół Placówek Oświatowych Szkoła Podstawowa, ul. Szkolna 2, 06-460 Grudusk";140205;"gm. Grudusk";"ciechanowski";"mazowieckie";1;1;272;234;75
2;"Gminny Ośrodek Kultury i Sportu, pl. Grunwaldu 4, 06-460 Grudusk";140205;"gm. Grudusk";"ciechanowski";"mazowieckie";1;1;380;115;91
3;"Dom Strażaka, Łysakowo 13, 06-460 Grudusk";140205;"gm. Grudusk";"ciechanowski";"mazowieckie";1;1;313;196;105
1;"Szkoła Podstawowa w Ojrzeniu, ul. Przedszkolna 7, 06-456 Ojrzeń";140206;"gm. Ojrzeń";"ciechanowski";"mazowieckie";1;1;423;299;83
2;"Szkoła Podstawowa w Kraszewie, Kraszewo 57A, 06-456 Ojrzeń";140206;"gm. Ojrzeń";"ciechanowski";"mazowieckie";1;1;294;218;45
3;"Szkoła Podstawowa w Młocku, Młock 72, 06-456 Ojrzeń";140206;"gm. Ojrzeń";"ciechanowski";"mazowieckie";1;1;378;243;82
1;"Urząd Gminy w Opinogórze Górnej, ul. Zygmunta Krasińskiego 4, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;370;308;83
2;"Świetlica Wiejska, Dzbonie 22, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;236;161;71
3;"Szkoła Podstawowa w Woli Wierzbowskiej, Wola Wierzbowska 27, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;193;118;64
4;"Szkoła Podstawowa w Kołaczkowie, Kołaczków ul. Szkolna 2, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;275;199;46
5;"Świetlica Wiejska, Władysławowo ul. Edwarda Krasińskiego 39, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;248;311;95
6;"Świetlica Wiejska, Rembówko 27, 06-406 Opinogóra Górna";140207;"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";1;1;147;102;65
1;"Szkoła Podstawowa w Regiminie, ul. Heleny Dobrzynieckiej 1, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;313;318;94
2;"Szkoła Podstawowa w Zeńboku, Zeńbok 50, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;210;166;44
3;"Budynek Świetlicy Wiejskiej w Pniewie-Czeruchach, Pniewo-Czeruchy 23, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;66;84;8
4;"Szkoła Podstawowa w Szulmierzu, Szulmierz 78, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;297;182;60
5;"Budynek świetlicy wiejskiej w Grzybowie, Grzybowo 10d, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;119;122;27
6;"Budynek świetlicy wiejskiej w Targoniach, Targonie 37a, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;68;54;23
7;"Budynek świetlicy wiejskiej w Pawłowie, Pawłowo 38, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;104;72;11
8;"Budynek świetlicy wiejskiej w Klicach, Klice 13c, 06-461 Regimin";140208;"gm. Regimin";"ciechanowski";"mazowieckie";1;1;59;40;8
1;"Szkoła Podstawowa im. Szczepana Dobosza, ul. Szkolna 4, 06-430 Sońsk";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;531;416;109
2;"Świetlica Wiejska w Ciemniewie, Ciemniewo 47, 06-430 Sońsk";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;249;125;30
3;"Świetlica Ochotniczej Straży Pożarnej w Bądkowie, Bądkowo 39, 06-440 Gąsocin";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;123;78;27
4;"Szkoła Podstawowa w Gąsocinie, ul. Błotna 12, 06-440 Gąsocin";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;616;523;102
5;"Świetlica Wiejska w Koźniewie Wielkim, Koźniewo Wielkie 60, 06-440 Gąsocin";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;117;67;38
6;"Świetlica Ochotniczej Straży Pożarnej w Sarnowej Górze, Sarnowa Góra 32, 06-440 Sońsk";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;69;40;15
7;"Gminny Ośrodek Kultury w Gołotczyźnie, ul. Ciechanowska 4, 06-430 Gołotczyzna";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;174;188;33
8;"Świetlica Wiejska w Łopacinie, Łopacin 29, 06-440 Gąsocin";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;97;45;13
9;"Świetlica Wiejska w Gutkowie, Gutków 45a, 06-440 Gąsocin";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;82;28;15
10;"Niepubliczny Zespół Zakładów Opieki Zdrowotnej ""Palium"" w Sońsku, ul. Zacisze 1, 06-430 Sońsk";140209;"gm. Sońsk";"ciechanowski";"mazowieckie";1;1;28;8;7
1;"Zespół Placówek Oświatowych Nr 1, ul. Warszawska 52, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;429;652;140
2;"Miejski Ośrodek Pomocy Społecznej, ul. Gabriela Narutowicza 6, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;350;452;121
3;"Miejski Dom Kultury, ul. Stary Rynek 13, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;249;449;80
4;"Szkoła Podstawowa Nr 6, ul. Żołnierzy 80 Pułku Piechoty 5, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;536;759;148
5;"Miejski Ośrodek Sportu i Rekreacji, ul. Mikołaja Kopernika 38, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;528;728;142
6;"Zespół Placówek Oświatowych Nr 3 Miejskie Przedszkole Samorządowe, ul. Hoża 6, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;437;662;121
7;"Szkoła Podstawowa Nr 2, ul. Sportowa 1, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;395;494;91
8;"I Liceum Ogólnokształcące, ul. Stanisława Wyspiańskiego 1, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;361;683;105
9;"Zespół Placówek Oświatowych Nr 3, ul. Ordona 14, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;424;590;117
10;"Zespół Szkół Nr 1, ul. Zuzanny Morawskiej 29, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;362;630;126
11;"Szkoła Podstawowa Nr 3, ul. Henryka Pogorzelskiego 4, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;412;434;104
12;"Zespół Szkół Nr 3, ul. Aleja Józefa Piłsudskiego 33, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;446;637;120
13;"Zespół Placówek Oświatowych Nr 2 Miejskie Przedszkole Samorządowe Nr 2, ul. Przyrynek 5, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;413;512;104
14;"Zespół Placówek Oświatowych Nr 2, ul. Graniczna 39, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;426;562;117
15;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Mławie, ul. Anny Dobrskiej 1, 06-500 Mława";141301;"m. Mława";"mławski";"mazowieckie";1;1;18;14;5
1;"Świetlica Wiejska w Nowym Brzozowie, Nowe Brzozowo 26, 06-520 Dzierzgowo";141302;"gm. Dzierzgowo";"mławski";"mazowieckie";1;1;171;56;37
2;"Remiza OSP w Dobrogostach, Dobrogosty 4, 06-520 Dzierzgowo";141302;"gm. Dzierzgowo";"mławski";"mazowieckie";1;1;106;67;19
3;"Szkoła Podstawowa w Dzierzgowie, ul. Jagiellońska 21a, 06-520 Dzierzgowo";141302;"gm. Dzierzgowo";"mławski";"mazowieckie";1;1;187;112;52
4;"Świetlica Wiejska w Szumsku, Szumsk 14, 06-520 Dzierzgowo";141302;"gm. Dzierzgowo";"mławski";"mazowieckie";1;1;202;82;47
5;"Szkoła Podstawowa w Rzęgnowie, Rzęgnowo 94, 06-520 Dzierzgowo";141302;"gm. Dzierzgowo";"mławski";"mazowieckie";1;1;173;44;45
1;"Szkoła Podstawowa w Lipowcu Kościelnym, Lipowiec Kościelny 212, 06-545 Lipowiec Kościelny";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;239;220;49
2;"Szkoła Podstawowa w Turzy Małej, Turza Mała 15, 06-545 Lipowiec Kościelny";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;195;147;40
3;"Szkoła Podstawowa w Zawadach, Zawady 60, 06-545 Lipowiec Kościelny";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;273;132;48
4;"Szkoła Podstawowa w Łomi, Łomia 109, 06-500 Mława";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;218;226;65
5;"Świetlica Wiejska w Kęczewie, Kęczewo 68, 06-545 Lipowiec Kościelny";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;132;77;23
6;"Świetlica Wiejska w Krępie, Krępa 65B, 06-645 Lipowiec Kościelny";141303;"gm. Lipowiec Kościelny";"mławski";"mazowieckie";1;1;122;68;11
1;"Remiza Ochotniczej Straży Pożarnej w Gradzanowie Włościańskim, Gradzanowo Włościańskie 13, 06-540 Radzanów";141304;"gm. Radzanów";"mławski";"mazowieckie";1;1;130;59;17
2;"Remiza Ochotniczej Straży Pożarnej w Józefowie, Józefowo 25, 06-540 Radzanów";141304;"gm. Radzanów";"mławski";"mazowieckie";1;1;64;46;18
3;"Gminny Ośrodek Kultury w Radzanowie, ul. Mławska 4, 06-540 Radzanów";141304;"gm. Radzanów";"mławski";"mazowieckie";1;1;448;384;91
4;"Szkoła Podstawowa we Wróblewie, Wróblewo 27, 06-540 Radzanów";141304;"gm. Radzanów";"mławski";"mazowieckie";1;1;224;112;52
1;"Centrum Kulturowo-Historyczne ""Kantor Młyński"", ul. Ciechanowska 18A, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;210;279;46
2;"Zespół Szkół Strzegowo, ul. Wyzwolenia 13, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;399;320;105
3;"Świetlica wiejska, Breginie 17A, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;172;93;27
4;"Strażnica OSP, Unierzyż 27, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;214;111;45
5;"Szkoła Podstawowa, Niedzbórz 19, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;506;279;80
6;"Szkoła Podstawowa, Dąbrowa 85, 06-445 Strzegowo";141305;"gm. Strzegowo";"mławski";"mazowieckie";1;1;413;232;106
1;"Świetlica Wiejska w Stupsku, ul. Adama Mickiewicza 46, 06-561 Stupsk";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;348;272;78
2;"Budynek Gminy, Konopki, ul. Kredytowa 4, 06-560 Konopki";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;412;355;112
3;"Dom Strażaka w Dąbku, Dąbek 124, 06-561 Stupsk";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;160;115;33
