"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
16;"Towarzystwo Budownictwa Społecznego w Płońsku Sp. z o. o., ul. Łąkowa 2, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;281;528;91
17;"Miejska Biblioteka Publiczna im. Henryka Sienkiewicza, ul. Północna 15B, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;241;378;69
18;"Przedszkole nr 5 im. Jasia i Małgosi, ul. Szkolna 36a, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;214;396;91
19;"Zakład Karny w Płocku, Oddział Zewnętrzny w Płońsku, ul. Warszawska 49, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;32;37;33
20;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej im. Marszałka Józefa Piłsudskiego w Płońsku, ul. Henryka Sienkiewicza 7, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;27;14;4
21;"Zakład Opiekuńczo-Leczniczy w Płońsku, ul. ks. Romualda Jaworskiego 3, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;3;5;1
1;"Miejskie Centrum Kultury Sportu i Rekreacji im. Ryszarda Kaczorowskiego w Raciążu, ul. Parkowa 14, 09-140 Raciąż";142002;"m. Raciąż";"płoński";"mazowieckie";1;1;356;336;80
2;"Ochotnicza Straż Pożarna w Raciążu, ul. Kilińskiego 23, 09-140 Raciąż";142002;"m. Raciąż";"płoński";"mazowieckie";1;1;369;267;65
3;"Hala Sportowa w Raciążu, ul. Sportowa 1, 09-140 Raciąż";142002;"m. Raciąż";"płoński";"mazowieckie";1;1;320;293;52
1;"Szkoła Podstawowa im. Józefa Wybickiego w Baboszewie, ul. Jana i Antoniego Brodeckich 6, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;431;296;119
2;"Urząd Gminy w Baboszewie, ul. Warszawska 9A, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;440;518;123
3;"Świetlica Wiejska w Rzewinie, Rzewin 34, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;202;116;46
4;"Szkoła Podstawowa im. Jana Brodeckiego w Polesiu, Polesie 9, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;258;137;55
5;"Szkoła Podstawowa im. Ks. M. K. Sarbiewskiego w Sarbiewie, Sarbiewo 17, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;345;167;67
6;"Szkoła Podstawowa w Mystkowie, Mystkowo 53, 09-130 Baboszewo";142003;"gm. Baboszewo";"płoński";"mazowieckie";1;1;233;95;52
1;"Szkoła Podstawowa w Czerwińsku nad Wisłą, ul. Warszawska 1, 09-150 Czerwińsk nad Wisłą";142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";1;1;663;430;136
2;"Strażnica OSP w Starym Radzikowie, Stare Radzikowo 8, 09-151 Czerwińsk nad Wisłą";142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";1;1;243;144;54
3;"Szkoła Podstawowa w Goławinie, Goławin 49C, 09-151 Czerwińsk nad Wisłą";142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";1;1;398;232;98
4;"Szkoła Podstawowa w Chociszewie, Chociszewo 47, 09-150 Czerwińsk nad Wisłą";142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";1;1;345;219;99
5;"Świetlica OSP w Raszewie Włościańskim, Raszewo Włościańskie 20A, 09-150 Czerwińsk nad Wisłą";142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";1;1;200;123;63
1;"Szkoła Podstawowa w Dzierzążni, Dzierzążnia 57, 09-164 Dzierzążnia";142005;"gm. Dzierzążnia";"płoński";"mazowieckie";1;1;359;233;102
2;"Szkoła Podstawowa w Dzierzążni, Dzierzążnia 57, 09-164 Dzierzążnia";142005;"gm. Dzierzążnia";"płoński";"mazowieckie";1;1;239;135;78
3;"Szkoła Podstawowa w Nowych Kucicach, Nowe Kucice 46, 09-164 Dzierzążnia";142005;"gm. Dzierzążnia";"płoński";"mazowieckie";1;1;414;182;87
1;"Szkoła Podstawowa w Jońcu, Joniec 69, 09-131 Joniec";142006;"gm. Joniec";"płoński";"mazowieckie";1;1;301;422;71
2;"Szkoła Podstawowa w Królewie, Królewo 58, 09-131 Joniec";142006;"gm. Joniec";"płoński";"mazowieckie";1;1;230;262;37
3;"Budynek Remizy Ochotniczej Straży Pożarnej w Starej Wronie, Stara Wrona 14, 09-131 Joniec";142006;"gm. Joniec";"płoński";"mazowieckie";1;1;253;210;78
4;"Palium Sp. z o. o. w Nowym Mieście Zakład Opiekuńczo-Leczniczy w Starej Wronie, Stara Wrona 19, 09-131 Joniec";142006;"gm. Joniec";"płoński";"mazowieckie";1;1;22;6;5
1;"Szkoła Podstawowa w Naruszewie im. Marii Konopnickiej, Naruszewo 17, 09-152 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;280;234;102
2;"Szkoła Podstawowa im. gen. Zygmunta Padlewskiego w Radzyminku, Radzyminek 17, 09-152 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;119;93;28
3;"Szkoła Podstawowa w Zaborowie, Zaborowo 77, 09-162 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;177;79;37
4;"Szkoła Podstawowa w Nacpolsku, Nacpolsk ul. Szkolna 18, 09-162 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;481;244;86
5;"Świetlica wiejska, Strzembowo 20c, 09-152 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;322;178;47
6;"Świetlica wiejska, Postróże 11, 09-152 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;85;68;19
7;"Świetlica wiejska, Radzymin 57A, 09-152 Naruszewo";142007;"gm. Naruszewo";"płoński";"mazowieckie";1;1;118;55;28
1;"Budynek po Szkole w Gościminie Wielkim, Gościmin Wielki 47, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;177;107;27
2;"Remiza Ochotniczej Straży Pożarnej w Latonicach, Latonice 3, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;420;234;61
3;"Zespół Szkół w Nowym Mieście, ul. Ciechanowska 15, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;269;186;46
4;"Hala Sportowa, ul. Ciechanowska 15, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;410;470;88
5;"Remiza Ochotniczej Straży Pożarnej w Karolinowie, Karolinowo 48, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;64;52;17
6;"Dom Pomocy Społecznej w Karolinowie, Karolinowo 38, 09-120 Nowe Miasto";142008;"gm. Nowe Miasto";"płoński";"mazowieckie";1;1;12;3;1
1;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Siedlinie, Siedlin ul. Jana Pawła II 12, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;264;344;69
2;"Świetlica w Słoszewie, Słoszewo-Kolonia 14 a, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;152;89;33
3;"Świetlica w Strachowie, Strachowo 6a, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;181;137;43
4;"Szkoła Podstawowa w Lisewie, Lisewo 48, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;153;119;50
5;"Świetlica w Arcelinie, Arcelin ul. Bitwy Arcelińskiej 4, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;106;114;34
6;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Siedlinie, Siedlin ul. Jana Pawła II 12, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;392;443;106
7;"Świetlica w Skarżynie, Skarżyn ul. Aleja Lipowa 16, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;250;216;66
8;"Świetlica w Szerominku, Szerominek ul. Płońska 53, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;150;154;39
9;"Świetlica w Szerominie, Szeromin 17a, 09-100 Płońsk";142009;"gm. Płońsk";"płoński";"mazowieckie";1;1;163;177;50
1;"Ośrodek Zdrowia w Nowym Gralewie, Nowe Gralewo 13A, 09-166 Nowe Gralewo";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;552;266;86
2;"Szkoła Podstawowa w Uniecku, Unieck 80, 09-140 Raciąż";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;468;160;99
3;"Szkoła Podstawowa w Koziebrodach, Koziebrody 5, 09-140 Raciąż";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;267;136;48
4;"Zespół Szkół w Raciążu, ul. Kilińskiego 64, 09-140 Raciąż";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;605;309;98
5;"Szkoła Podstawowa w Krajkowie, Krajkowo 8, 09-140 Raciąż";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;310;141;49
6;"Centrum Medyczne Grupa Zdrowie, Kraszewo-Czubaki 23a, 09-140 Raciąż";142010;"gm. Raciąż";"płoński";"mazowieckie";1;1;100;42;22
1;"Publiczny Zespół Szkół i Przedszkoli Samorządowych w Sochocinie, ul. Szkolna 17, 09-110 Sochocin";142011;"gm. Sochocin";"płoński";"mazowieckie";1;1;447;504;127
2;"Miejsko-Gminny Ośrodek Kultury w Sochocinie, ul. Guzikarzy 8A, 09-110 Sochocin";142011;"gm. Sochocin";"płoński";"mazowieckie";1;1;270;218;68
3;"Szkoła Podstawowa im. Powstańców Styczniowych 1863 r. w Smardzewie, Smardzewo 85, 09-110 Sochocin";142011;"gm. Sochocin";"płoński";"mazowieckie";1;1;226;175;64
4;"Szkoła Podstawowa im. św. Jana Pawła w Kołozębiu, Kołoząb 31, 09-110 Sochocin";142011;"gm. Sochocin";"płoński";"mazowieckie";1;1;375;275;78
5;"Świetlica wiejska w Kondrajcu, Kondrajec 55, 09-110 Sochocin";142011;"gm. Sochocin";"płoński";"mazowieckie";1;1;142;68;16
1;"Urząd Gminy w Załuskach, ul. Gminna 17, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;194;210;46
2;"Szkoła Podstawowa im. Władysława St. Reymonta w Stróżewie, Stróżewo 50, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;253;178;48
3;"Szkoła Podstawowa im. Św. Stanisława Kostki w Szczytnie, Szczytno 3, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;242;224;74
4;"Szkoła Podstawowa im. Jana Pawła II w Kroczewie, Kroczewo ul. Warszawska 57, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;278;304;77
5;"Szkoła Podstawowa im. Ks. Jana Twardowskiego w Kamienicy, Kamienica 44A, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;299;196;81
6;"Remiza OSP, Nowe Wrońska 36, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;112;68;22
7;"Dom Seniora ""Anna"", Smulska 32, 09-142 Załuski";142012;"gm. Załuski";"płoński";"mazowieckie";1;1;11;4;1
1;"Zespół Szkół Powiatowych, ul. Mazowiecka 25, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;363;291;69
2;"Zespół Szkół Powiatowych, ul. Mazowiecka 25, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;349;331;79
3;"Szkoła Podstawowa nr 2, ul. Jana Kilińskiego 1, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;218;159;47
4;"Ośrodek Sportu i Rekreacji, ul. Makowska 23, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;314;381;63
5;"Miejskie Przedszkole nr 2, ul. Świerczewo 8, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;452;392;81
6;"Szkoła Podstawowa nr 1, ul. Żwirki i Wigury 4, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;322;294;64
7;"Szkoła Podstawowa nr 1, ul. Żwirki i Wigury 4, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;304;276;77
8;"Szkoła Podstawowa nr 1, ul. Żwirki i Wigury 4, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;392;454;115
9;"Szkoła Podstawowa nr 1, ul. Szkolna 2, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;261;214;46
10;"Szkoła Podstawowa nr 3, ul. Orlika 48, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;232;188;38
11;"Miejskie Przedszkole nr 1, ul. Lipowa 8, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;392;348;84
12;"Szkoła Podstawowa nr 3, ul. Orlika 48, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;469;430;76
13;"Dom Pomocy Społecznej, ul. Ruda 1, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;33;6;3
14;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Sadowa 9, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;42;11;6
15;"Dom Pomocy Społecznej Zgromadzenia Sióstr Miłosierdzia św. Wincentego a Paulo, ul. Świerczewo 9, 06-300 Przasnysz";142201;"m. Przasnysz";"przasnyski";"mazowieckie";1;1;38;5;3
1;"Hala Sportowa przy Zespole Szkół Powiatowych, ul. Szkolna 4b, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;354;332;83
2;"Hala Sportowa przy Zespole Szkół Powiatowych, ul. Szkolna 4b, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;317;278;113
3;"Świetlica Wiejska, Nowa Wieś 14, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;174;57;21
4;"Publiczna Szkoła Podstawowa, Duczymin 15, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;147;67;26
5;"Publiczna Szkoła Podstawowa, Krzynowłoga Wielka 18, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;161;66;39
6;"Świetlica Wiejska, Bagienice 37, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;141;73;21
7;"Świetlica Ochotniczej Straży Pożarnej, Rycice 50, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;134;76;25
8;"Publiczna Szkoła Podstawowa nr 2, ul. Szkolna 4B, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;172;69;35
9;"Punkt Przedszkolny, Łaz 77, 06-333 Zaręby";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;220;112;40
10;"Publiczna Szkoła Podstawowa, Zaręby 41, 06-333 Zaręby";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;252;104;49
11;"Publiczna Szkoła Podstawowa, Poścień-Wieś 47, 06-330 Chorzele";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;188;76;31
12;"Publiczna Szkoła Podstawowa, Krukowo 87, 06-333 Zaręby";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;149;55;26
13;"Świetlica Wiejska, Rzodkiewnica 6a, 06-333 Zaręby";142202;"gm. Chorzele";"przasnyski";"mazowieckie";1;1;185;39;19
1;"Budynek OSP, ul. Stanisława Chełchowskiego 12, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;311;156;91
2;"Strażnica OSP, Pawłowo Kościelne 21, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;232;42;23
3;"Strażnica OSP, Rostkowo 38, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;266;129;51
4;"Budynek OSP, Węgra 23, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;233;117;68
5;"Świetlica wiejska, Chojnowo 5, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;101;40;10
6;"Świetlica wiejska, Obrębiec 5C, 06-415 Czernice Borowe";142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";1;1;71;57;14
1;"Zespół Placówek Oświatowych w Jednorożcu, ul. Odrodzenia 13, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;473;307;100
2;"Strażnica Ochotniczej Straży Pożarnej w Jednorożcu, ul. Warszawska 5, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;402;176;59
3;"Świetlica Wiejska w Małowidzu, Małowidz 72a, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;128;32;15
4;"Świetlica Wiejska w Kobylakach-Koryszach, Kobylaki-Korysze 5A, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;96;17;15
5;"Publiczna Szkoła Podstawowa w Lipie, Lipa 64, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;176;64;34
6;"Publiczna Szkoła Podstawowa Żelazna Rządowa-Parciaki z siedzibą w Parciakach, Parciaki 22, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;239;78;48
7;"Publiczna Szkoła Podstawowa Żelazna Rządowa-Parciaki z siedzibą w Parciakach, Żelazna Rządowa 27A, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;148;39;18
8;"Szkoła Podstawowa w Olszewce, Olszewka 80, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;177;42;24
9;"Strażnica Ochotniczej Straży Pożarnej w Połoni, Połoń 73, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;104;44;22
10;"Strażnica Ochotniczej Straży Pożarnej w Budach Rządowych, Budy Rządowe 29, 06-323 Jednorożec";142204;"gm. Jednorożec";"przasnyski";"mazowieckie";1;1;47;28;12
1;"Szkoła Podstawowa im. Marii Konopnickiej w Krasnem, ul. Spółdzielcza 1, 06-408 Krasne";142205;"gm. Krasne";"przasnyski";"mazowieckie";1;1;629;241;103
2;"Budynek po byłej Szkole Podstawowej w Milewie-Szwejkach, Milewo-Szwejki 19, 06-408 Krasne";142205;"gm. Krasne";"przasnyski";"mazowieckie";1;1;178;60;54
3;"Publiczna Szkoła Podstawowa im. Ks. Jerzego Popiełuszki w Zielonej, Zielona 37, 06-408 Krasne";142205;"gm. Krasne";"przasnyski";"mazowieckie";1;1;297;117;86
1;"Urząd Gminy Krzynowłoga Mała, ul. Kościelna 3, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;605;138;110
2;"Świetlica wiejska w Świniarach, Świniary 28A, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;77;26;11
3;"Szkoła Podstawowa w Ulatowie-Adamach, Ulatowo-Adamy 9, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;174;37;23
4;"Budynek byłej Szkoły Podstawowej w Grabowie-Rżańcach, Grabowo-Rżańce 6, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;69;21;6
5;"Budynek byłej Szkoły Podstawowej w Rudnie Jeziorowym, Rudno Jeziorowe 6A, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;95;7;31
6;"Szkoła Podstawowa w Romanach-Seborach, Romany-Sebory 7, 06-300 Przasnysz";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;166;53;21
7;"Świetlica wiejska w budynku OSP w Kakach-Mroczkach, Kaki-Mroczki 30, 06-316 Krzynowłoga Mała";142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";1;1;88;28;19
1;"Świetlica Wiejska w Obrębie, Obrąb 78, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;132;63;47
2;"Szkoła Podstawowa im. Świętego Stanisława Kostki w Lesznie, Leszno 189, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;322;137;61
3;"Gminna Biblioteka Publiczna im. Józefa Narzymskiego w Bogatem, Bogate 57a, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;439;168;82
4;"Świetlica Wiejska w Dobrzankowie, Dobrzankowo 68, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;121;87;24
5;"Świetlica Wiejska w Karwaczu, Karwacz 8, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;219;143;44
6;"Świetlica Wiejska w Bartnikach, Bartniki 53, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;176;67;30
7;"Szkoła Podstawowa im. mjr Henryka Sucharskiego w Nowej Krępie, Nowa Krępa 34a, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;257;86;47
8;"Świetlica Wiejska w Szli, Szla 37a, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;175;53;14
9;"Świetlica Wiejska w Mchowie, Mchowo 40, 06-300 Przasnysz";142207;"gm. Przasnysz";"przasnyski";"mazowieckie";1;1;337;117;46
1;"Liceum Ogólnokształcące, ul. Warszawska 4, 09-320 Bieżuń";143701;"gm. Bieżuń";"żuromiński";"mazowieckie";1;1;395;384;98
2;"Zespół Placówek Oświatowych, ul. Stefana Gołębiowskiego 1, 09-320 Bieżuń";143701;"gm. Bieżuń";"żuromiński";"mazowieckie";1;1;568;349;78
3;"Samorządowa Szkoła Podstawowa, Sławęcin 63, 09-320 Bieżuń";143701;"gm. Bieżuń";"żuromiński";"mazowieckie";1;1;362;158;65
1;"Zespół Placówek Oświatowych w Kuczborku-Osadzie, ul. Adama Mickiewicza 6, 09-310 Kuczbork-Osada";143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";1;1;235;306;72
2;"Zespół Placówek Oświatowych im. Jana Pawła II w Zielonej, Zielona ul. Szkolna 2, 09-310 Kuczbork-Osada";143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";1;1;338;369;84
3;"Szkoła Podstawowa w Sarnowie z siedzibą w Nowej Wsi, Nowa Wieś 55, 09-310 Kuczbork-Osada";143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";1;1;267;200;45
4;"Szkoła Podstawowa w Gościszce, Gościszka 82, 09-310 Kuczbork-Osada";143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";1;1;176;109;31
1;"Zespół Szkół w Lubowidzu, ul. Jana Pawła II 46A, 09-304 Lubowidz";143703;"gm. Lubowidz";"żuromiński";"mazowieckie";1;1;421;424;93
2;"Zespół Szkół w Lubowidzu, ul. Jana Pawła II 46A, 09-304 Lubowidz";143703;"gm. Lubowidz";"żuromiński";"mazowieckie";1;1;246;150;59
3;"Zespół Szkół w Zieluniu, ul. Szkolna 7, 09-304 Zieluń-Osada";143703;"gm. Lubowidz";"żuromiński";"mazowieckie";1;1;360;350;83
4;"Zespół Szkół w Syberii, Syberia 49, 09-303 Syberia";143703;"gm. Lubowidz";"żuromiński";"mazowieckie";1;1;576;393;91
5;"Dom Pomocy Społecznej w Bądzynie, Bądzyn 75, 09-304 Lubowidz";143703;"gm. Lubowidz";"żuromiński";"mazowieckie";1;1;5;3;1
1;"Samorządowa Szkoła Podstawowa w Lutocinie, ul. Szkolna 14, 09-317 Lutocin";143704;"gm. Lutocin";"żuromiński";"mazowieckie";1;1;379;249;81
2;"Samorządowa Szkoła Podstawowa w Przeradzu Małym z/s Przeradz Nowy, Przeradz Nowy 9, 09-317 Lutocin";143704;"gm. Lutocin";"żuromiński";"mazowieckie";1;1;247;130;62
3;"Świetlica Wiejska w Chraponi, Chrapoń 1, 09-317 Lutocin";143704;"gm. Lutocin";"żuromiński";"mazowieckie";1;1;247;148;53
4;"Świetlica Wiejska w Jonnem, Jonne 35, 09-317 Lutocin";143704;"gm. Lutocin";"żuromiński";"mazowieckie";1;1;163;68;19
5;"Samorządowa Szkoła Podstawowa im. Stanisława Kostki w Swojęcinie, Swojęcin 22, 09-317 Lutocin";143704;"gm. Lutocin";"żuromiński";"mazowieckie";1;1;62;46;10
1;"Szkoła Podstawowa w Łaszewie, Łaszewo 36, 09-135 Siemiątkowo";143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";1;1;298;107;44
2;"Zespół Szkół w Siemiątkowie, ul. Warszawska 3B, 09-135 Siemiątkowo";143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";1;1;313;156;37
3;"Świetlica Wiejska w Nowej Wsi, Nowa Wieś 16, 09-135 Siemiątkowo";143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";1;1;238;112;27
4;"OSP w Gradzanowie Kościelnym, Gradzanowo Kościelne 36, 09-135 Siemiątkowo";143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";1;1;88;46;13
5;"Świetlica Wiejska w Krzeczanowie, Krzeczanowo 23, 09-135 Siemiątkowo";143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";1;1;89;27;8
1;"Liceum Ogólnokształcące w Żurominie, ul. Wyzwolenia 61, 09-300 Żuromin";143706;"gm. Żuromin";"żuromiński";"mazowieckie";1;1;538;963;138
2;"Zespół Szkół Techniczno-Zawodowych im. Jana Pawła II, ul. Lidzbarska 27, 09-300 Żuromin";143706;"gm. Żuromin";"żuromiński";"mazowieckie";1;1;330;391;61
3;"Szkoła Podstawowa Nr 1 w Żurominie, ul. Wyzwolenia 12, 09-300 Żuromin";143706;"gm. Żuromin";"żuromiński";"mazowieckie";1;1;373;506;79
4;"Szkoła Podstawowa Nr 2 w Żurominie, ul. Wiatraczna 16, 09-300 Żuromin";143706;"gm. Żuromin";"żuromiński";"mazowieckie";1;1;374;696;85
5;"Świetlica Wiejska w Olszewie, Olszewo ul. Żuromińska 58, 09-300 Żuromin";143706;"gm. Żuromin";"żuromiński";"mazowieckie";1;1;324;204;64
