"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
7;"Świetlica wiejska w Chłopkowie, Chłopków 2C, 08-210 Platerów";141004;"gm. Platerów";"łosicki";"mazowieckie";1;1;52;18;23;7
8;"Świetlica wiejska w Kisielewie, Kisielew 78, 08-210 Platerów";141004;"gm. Platerów";"łosicki";"mazowieckie";1;1;114;32;66;16
9;"Świetlica wiejska w Ostromęczynie, Ostromęczyn 1B, 08-210 Platerów";141004;"gm. Platerów";"łosicki";"mazowieckie";1;1;87;24;52;14
1;"Szkoła Podstawowa w Sarnakach, ul. 3 Maja 27, 08-220 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;417;95;218;70
2;"Dzienny Dom ""Senior+"", Nowe Hołowczyce 79, 08-220 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;207;48;64;19
3;"Zespół Szkolno-Przedszkolny w Serpelicach, Serpelice 83, 08-220 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;313;67;94;40
4;"Urząd Gminy Sarnaki, ul. Berka Joselewicza 3, 08-220 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;290;71;183;54
5;"Świetlica wiejska w Borsukach, Borsuki 44, 08-221 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;95;16;27;6
6;"Środowiskowy Dom Samopomocy w Nowych Litewnikach, Nowe Litewniki 40, 08-221 Sarnaki";141005;"gm. Sarnaki";"łosicki";"mazowieckie";1;1;125;23;46;13
1;"Urząd Gminy w Starej Kornicy, Stara Kornica 191, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;374;92;142;47
2;"Strażnica OSP w Nowej Kornicy, Nowa Kornica 66B, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;155;37;30;17
3;"Szkoła Podstawowa im. Bł. Karoliny Kózkówny w Starych Szpakach, Stare Szpaki 36, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;155;23;26;15
4;"Szkoła Podstawowa im. Marii Konopnickiej w Kobylanach, Kobylany 114, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;195;47;46;22
5;"Budynek szkoły w Koszelówce, Koszelówka 55, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;134;40;41;16
6;"Wiejski Dom Kultury w Nowych Szpakach, Nowe Szpaki 52A, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;117;29;25;12
7;"Strażnica OSP w Rudce, Rudka 12, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;201;46;35;27
8;"Budynek szkoły w Wólce Nosowskiej (świetlica wiejska), Wólka Nosowska 121, 08-205 Stara Kornica";141006;"gm. Stara Kornica";"łosicki";"mazowieckie";1;1;125;42;25;7
1;"Wiejski Dom Kultury w Domanicach, Domanice 52, 08-113 Domanice";142601;"gm. Domanice";"siedlecki";"mazowieckie";1;1;251;51;104;16
2;"Szkoła Podstawowa w Domanicach-Kolonii, Domanice-Kolonia 18, 08-113 Domanice";142601;"gm. Domanice";"siedlecki";"mazowieckie";1;1;127;33;72;6
3;"Szkoła Podstawowa w Olszycu Szlacheckim, Olszyc Szlachecki 25, 08-113 Domanice";142601;"gm. Domanice";"siedlecki";"mazowieckie";1;1;344;64;81;26
4;"Wiejski Dom Kultury w Przyworach Dużych, Przywory Duże 76A, 08-113 Domanice";142601;"gm. Domanice";"siedlecki";"mazowieckie";1;1;171;16;46;17
1;"Budynek po byłej Szkole Podstawowej w Nowym Bartkowie, Nowy Bartków 19, 08-108 Korczew";142602;"gm. Korczew";"siedlecki";"mazowieckie";1;1;172;37;73;22
2;"Świetlica w Czaplach Górnych, Czaple Górne 26b, 08-108 Korczew";142602;"gm. Korczew";"siedlecki";"mazowieckie";1;1;154;20;42;11
3;"Zespół Placówek Oświatowych w Korczewie, ul. Szkolna 4, 08-108 Korczew";142602;"gm. Korczew";"siedlecki";"mazowieckie";1;1;236;50;177;44
4;"Świetlica wiejska w Drażniewie, Drażniew 32A, 08-108 Korczew";142602;"gm. Korczew";"siedlecki";"mazowieckie";1;1;198;28;78;11
1;"Urząd Gminy w Kotuniu, ul. Siedlecka 56C, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;581;153;472;107
2;"Świetlica Wiejska Żeliszew Podkościelny, Żeliszew Podkościelny 11, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;503;83;140;35
3;"Zespół Szkół Bojmie, Bojmie ul. Południowa 6, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;309;59;209;48
4;"Przedszkole Niepubliczne „Leśne Skrzaty” Koszewnica, Koszewnica 36, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;345;67;134;47
5;"Świetlica Wiejska Polaki, Polaki 63B, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;218;55;113;29
6;"Świetlica Wiejska w Gręzowie, Gręzów ul. Warszawska 112, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;264;61;194;57
7;"Niepubliczne Przedszkole „Leśna Kraina” Cisie-Zagrudzie, Cisie-Zagrudzie 42, 08-130 Kotuń";142603;"gm. Kotuń";"siedlecki";"mazowieckie";1;1;176;34;58;14
1;"Urząd Gminy, ul. Plac Chreptowicza 25, 08-124 Mokobody";142604;"gm. Mokobody";"siedlecki";"mazowieckie";1;1;531;118;205;48
2;"Zespół Szkolno-Przedszkolny Publiczna Szkoła Podstawowa, Niwiski ul. Rynek 21, 08-124 Mokobody";142604;"gm. Mokobody";"siedlecki";"mazowieckie";1;1;339;82;168;41
