"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
5;"Sokołowski Ośrodek Kultury, ul. Wolności 27, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;748;222;644;128
6;"Liceum Ogólnokształcące, ul. Sadowa 11, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;577;152;411;77
7;"Zespół Szkół Salezjańskich, ul. Księdza Bosco 1, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;357;102;241;53
8;"Publiczna Szkoła Podstawowa Nr 2, ul. Węgrowska 22, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;610;181;500;90
9;"Szpital Powiatowy SP ZOZ w Sokołowie Podlaskim, ul. Księdza Bosco 5, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;35;1;7;4
1;"Sala konferencyjna Urzędu Gminy Bielany, ul. Słoneczna 5, 08-311 Bielany-Żyłaki";142902;"gm. Bielany";"sokołowski";"mazowieckie";1;1;595;71;94;21
2;"Świetlica wiejska w Kożuchówku, Kożuchówek 18, 08-311 Bielany-Żyłaki";142902;"gm. Bielany";"sokołowski";"mazowieckie";1;1;333;58;88;16
3;"Zespół Oświatowy im. Sybiraków w Rozbitym Kamieniu, Rozbity Kamień ul. Wiktora Szajkowskiego 7, 08-311 Bielany-Żyłaki";142902;"gm. Bielany";"sokołowski";"mazowieckie";1;1;524;79;119;32
4;"Świetlica wiejska w Kowiesach, Kowiesy ul. Źródlana 1, 08-311 Bielany";142902;"gm. Bielany";"sokołowski";"mazowieckie";1;1;157;32;29;9
1;"Zespół Szkół w Ceranowie, Ceranów 206, 08-322 Ceranów";142903;"gm. Ceranów";"sokołowski";"mazowieckie";1;1;337;63;99;29
2;"Remiza OSP w Rytelach-Olechny, Rytele-Olechny 32, 08-322 Ceranów";142903;"gm. Ceranów";"sokołowski";"mazowieckie";1;1;244;30;32;5
3;"Remiza OSP w Długich Grzymkach, Długie Grzymki 36, 08-322 Ceranów";142903;"gm. Ceranów";"sokołowski";"mazowieckie";1;1;187;24;48;11
1;"Szkoła Podstawowa w Bujałach-Mikoszach, Bujały-Mikosze 9, 08-304 Jabłonna Lacka";142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";1;1;242;21;41;7
2;"Niepubliczna Szkoła Podstawowa w Czekanowie, Czekanów 20, 08-304 Jabłonna Lacka";142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";1;1;192;19;49;11
3;"Budynek po byłym Zespole Szkół w Dzierzbach Włościańskich, Dzierzby Włościańskie 39, 08-304 Jabłonna Lacka";142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";1;1;281;27;64;25
4;"Remiza OSP Mołożew-Wieś, Mołożew-Wieś 19, 08-304 Jabłonna Lacka";142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";1;1;276;47;73;15
5;"Samorządowe Przedszkole w Jabłonnie Lackiej, ul. Kubusia Puchatka 1, 08-304 Jabłonna Lacka";142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";1;1;594;118;227;53
1;"Miejsko-Gminny Ośrodek Kultury Kosów Lacki, ul. Słoneczna 4, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;477;100;206;32
2;"Gminne Przedszkole Kosów Lacki, ul. Polna 1, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;392;91;187;37
3;"Szkoła Podstawowa im. Stefana Kardynała Wyszyńskiego Kosów Lacki, ul. Armii Krajowej 6, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;347;37;57;16
4;"Remiza OSP Telaki, Telaki 113, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;200;24;27;17
5;"Świetlica Wiejska Dybów, Dybów 36, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;349;38;46;15
6;"Świetlica Wiejska Trzciniec Duży, Trzciniec Duży 31B, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;248;36;48;14
7;"Świetlica Wiejska Rytele Święckie, Rytele Święckie 26, 08-330 Kosów Lacki";142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";1;1;154;24;20;6
1;"Urząd Gminy Repki w Repkach, ul. Parkowa 7, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;520;73;148;39
2;"Remiza OSP Rogów, Rogów 21, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;178;43;66;22
3;"Zespół Szkół w Skrzeszewie, Skrzeszew 98, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;444;91;137;46
4;"Świetlica wiejska w Wyrozębach-Podawcach, Wyrozęby-Podawce 15, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;381;51;68;15
5;"Remiza OSP Sawice-Wieś, Sawice-Wieś 6, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;275;37;71;12
6;"Remiza OSP Szkopy, Szkopy 78, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;99;11;53;11
7;"SAWIMED Sp. z o. o., Sawice-Wieś 19, 08-307 Repki";142906;"gm. Repki";"sokołowski";"mazowieckie";1;1;17;0;9;0
1;"Wiejski Dom Kultury w Kupientynie, Kupientyn 98, 08-331 Sabnie";142907;"gm. Sabnie";"sokołowski";"mazowieckie";1;1;166;26;62;9
2;"Szkoła Podstawowa w Sabniach, ul. Słoneczna 1, 08-331 Sabnie";142907;"gm. Sabnie";"sokołowski";"mazowieckie";1;1;262;81;128;22
3;"Gminne Przedszkole w Sabniach z Filią w Zembrowie, Zembrów 29, 08-331 Sabnie";142907;"gm. Sabnie";"sokołowski";"mazowieckie";1;1;363;107;153;28
4;"Niepubliczna Szkoła Podstawowa w Niecieczy Włościańskiej, Nieciecz Włościańska 30, 08-331 Sabnie";142907;"gm. Sabnie";"sokołowski";"mazowieckie";1;1;202;25;58;5
5;"Remiza Ochotniczej Straży Pożarnej w Hołowienkach, Hołowienki 29, 08-331 Sabnie";142907;"gm. Sabnie";"sokołowski";"mazowieckie";1;1;116;39;37;4
1;"Budynek Urzędu Gminy w Sokołowie Podlaskim, ul. Wolności 44, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;229;74;119;36
2;"Świetlica wiejska w Ząbkowie-Kolonii, Ząbków-Kolonia 6, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;139;29;48;15
3;"Zespół Oświatowy w Nowej Wsi, Nowa Wieś ul. Szkolna 2, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;280;54;139;33
4;"Zespół Oświatowy w Skibniewie, Skibniew-Podawce ul. Szkolna 8, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;179;28;42;14
5;"Zespół Oświatowy w Grochowie, Grochów Szlachecki ul. Władysława Rawicza 1, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;313;54;176;30
6;"Niepubliczna Szkoła Podstawowa w Przywózkach, Przywózki ul. Szkolna 3, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;221;40;87;26
7;"Budynek po byłej Szkole Podstawowej w Czerwonce, Czerwonka 39, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;289;53;83;30
8;"Świetlica wiejska w Karlusinie, Karlusin 22, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;179;45;93;13
9;"Świetlica wiejska w Kostkach, Kostki ul. Klonowa 4, 08-300 Sokołów Podlaski";142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;183;29;19;10
1;"Zespół Szkół w Sterdyni, ul. Wojska Polskiego 17, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;271;74;174;41
2;"Zespół Szkół w Sterdyni, ul. Wojska Polskiego 17, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;196;31;72;27
3;"Szkoła Podstawowa w Łazowie, Łazów 7, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;236;43;30;16
4;"Remiza OSP w Kiełpińcu, Kiełpiniec 47, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;201;44;84;20
5;"Remizo-Świetlica w Starych Mursach, Stare Mursy 20, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;277;52;73;15
6;"Remizo-świetlica w Seroczynie, Seroczyn 82, 08-320 Sterdyń";142909;"gm. Sterdyń";"sokołowski";"mazowieckie";1;1;84;24;33;8
1;"Miejskie Przedszkole Nr 3, ul. Stefana Batorego 4, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;473;90;423;104
2;"Miejskie Przedszkole Integracyjne nr 20, ul. Osiedlowa 3, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;409;111;425;82
3;"Osiedlowy Klub Kultury ""Lech"", ul. Bolesława Chrobrego 4, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;464;122;466;87
4;"Zespół Szkół Ponadpodstawowych nr 3, ul. Księdza Jerzego Popiełuszki 8, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;480;178;572;138
5;"Miejskie Przedszkole Nr 14, ul. Mieszka I 12, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;315;84;257;69
6;"Szkoła Podstawowa Nr 10, ul. Mazurska 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;418;145;440;76
7;"Szkoła Podstawowa nr 9, ul. Graniczna 1, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;563;127;440;100
8;"Społeczna Szkoła Podstawowa, ul. Józefa Mireckiego 28, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;534;152;493;107
9;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Św. Królowej Jadwigi, ul. Bolesława Prusa 12, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;564;167;584;108
10;"Szkoła Podstawowa Nr 7, ul. Starowiejska 23, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;541;150;401;99
11;"Miejskie Przedszkole Nr 1, ul. Wiązowa 7, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;527;128;371;76
12;"I Katolickie Liceum Ogólnokształcące im. Świętej Rodziny, ul. Biskupa Ignacego Świrskiego 54, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;482;85;508;90
13;"Zespół Szkół Ponadpodstawowych Nr 6, ul. Fryderyka Chopina 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;439;113;498;81
14;"Powiatowy Urząd Pracy, ul. Kazimierza Pułaskiego 19/21, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;320;79;280;71
15;"Siedlecka Spółdzielnia Mieszkaniowa, ul. 3 Maja 28, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;446;111;422;142
16;"Szkoła Podstawowa Nr 6, ul. Henryka Sienkiewicza 49, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;478;134;436;109
17;"Szkoła Podstawowa Nr 2, ul. Szkolna 2, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;438;123;359;87
18;"I Liceum Ogólnokształcące im. Bolesława Prusa, ul. Floriańska 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;429;145;366;77
19;"Szkoła Podstawowa Nr 3, ul. Sekulska 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;425;107;328;89
20;"Miejskie Przedszkole Nr 17, ul. Prymasa Stefana Wyszyńskiego 6, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;425;97;357;105
21;"Miejskie Przedszkole Nr 17, ul. Prymasa Stefana Wyszyńskiego 6, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;452;103;364;75
22;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Młynarska 17, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;407;80;353;76
23;"Przedsiębiorstwo Energetyczne Sp. z o. o., ul. Stefana Starzyńskiego 7, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;393;118;337;65
24;"Urząd Stanu Cywilnego, ul. Biskupa Ignacego Świrskiego 6, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;383;107;487;88
25;"Miejskie Przedszkole Nr 21 z Oddziałami Integracyjnymi, ul. Żwirowa 20, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;564;127;415;110
26;"Szkoła Podstawowa nr 5, ul. Generała Gustawa Orlicz-Dreszera 3, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;494;170;505;144
27;"Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o. o., ul. Leśna 8, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;544;168;495;116
28;"Szkoła Podstawowa Nr 12, ul. Unitów Podlaskich 16, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;461;146;447;92
29;"Szkoła Podstawowa Nr 12, ul. Unitów Podlaskich 16, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;558;162;461;151
30;"Miejskie Przedszkole Nr 27, ul. Karpacka 2, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;480;126;330;68
31;"Szkoła Podstawowa Nr 8, ul. Pescantina 2, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;507;148;402;118
32;"Centrum Kształcenia Plejada Szkoła Policealna ""NOVUM"", ul. Czesława Dylewicza 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;457;189;489;102
33;"Szkoła Podstawowa Nr 10, ul. Mazurska 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;418;149;451;109
34;"Katolickie Przedszkole Ogródek Św. Franciszka, ul. Feliksa Hłasko 53, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;416;125;522;104
35;"Miejskie Przedszkole Nr 22, ul. Podlaska 8, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;494;121;496;92
36;"Miejskie Przedszkole Nr 26, ul. Mazurska 6, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;486;128;357;88
37;"Centrum Kształcenia Plejada Szkoła Policealna ""NOVUM"", ul. Czesława Dylewicza 10, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;453;139;470;131
38;"Szkoła Podstawowa nr 5, ul. Generała Gustawa Orlicz-Dreszera 3, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;554;190;574;147
39;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w Siedlcach Sp. z o. o., ul. Księcia Józefa Poniatowskiego 26, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;69;11;35;3
40;"Szpital Samodzielnego Publicznego Zakładu Opieki Zdrowotnej, ul. Starowiejska 15, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;50;12;27;8
41;"Szpital Samodzielnego Publicznego Zakładu Opieki Zdrowotnej, ul. Generała Józefa Bema 22, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;7;1;5;1
42;"""Dom nad Stawami"" Dom Pomocy Społecznej w Siedlcach, ul. Księcia Józefa Poniatowskiego 32, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;27;3;13;6
43;"Zakład Karny w Siedlcach, ul. Józefa Piłsudskiego 47, 08-110 Siedlce";146401;"m. Siedlce";"Siedlce";"mazowieckie";1;1;66;140;205;116
