"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZĄSZCZ Jan Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZAPIGA Cezary Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GORGOŃ-KOMOR Agnieszka Aleksandra - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SOCHA-CZYŻ Monika Ewa - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
21;"Szkoła Podstawowa Nr 6 Integracyjna im. Kazimierza Brodzińskiego, ul. Bratków 6, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;451;132;807;46
22;"Klub Samopomocy ""Przystań"", ul. Piastowska 86, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;402;126;665;30
23;"Szkoła Podstawowa Nr 3 im. Macierzy Szkolnej, ul. Adama Asnyka 30, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;234;74;568;32
24;"Dom Kultury w Starym Bielsku, ul. Jana Sobieskiego 307A, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;393;197;882;43
25;"Szkoła Podstawowa Nr 31 im. Jana Kochanowskiego, ul. Zapłocie Duże 1, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;396;131;848;47
26;"Zespół Szkół Samochodowych i Ogólnokształcących, ul. Filarowa 52, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;393;151;860;41
27;"NZOZ Przychodnia-Trójka Sp. partnerska lekarzy, ul. Stanisława Staszica 1, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;449;189;769;49
28;"Szkoła Podstawowa Nr 4, ul. Emilii Plater 3, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;373;96;823;29
29;"Zespół Szkół Gastronomicznych, ul. Stanisława Wyspiańskiego 5, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;313;92;762;30
30;"Zespół Szkół Gastronomicznych, ul. Jana Sobieskiego 15, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;366;119;571;39
31;"Zespół Szkół Elektronicznych, Elektrycznych i Mechanicznych im. Jędrzeja Śniadeckiego, ul. Juliusza Słowackiego 24, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;319;120;651;42
32;"Miejski Dom Kultury, ul. 1 Maja 12, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;269;83;768;26
33;"Urząd Miejski w Bielsku-Białej, pl. Ratuszowy 6, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;466;122;865;43
34;"Zespół Szkół Centrum Kształcenia Rolniczego im. Stanisława Szumca, ul. Akademii Umiejętności 1, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;307;147;759;39
35;"Środowiskowy Dom Samopomocy ""Podkowa"", ul. Milusińskich 6, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;368;124;621;45
36;"Szkoła Podstawowa Nr 27 im. Janusza Kusocińskiego, ul. Zofii Kossak-Szczuckiej 19, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;397;103;722;30
37;"Szkoła Podstawowa Nr 27 im. Janusza Kusocińskiego, ul. Zofii Kossak-Szczuckiej 19, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;315;102;669;48
38;"Zespół Szkół Technicznych i Handlowych im. Franciszka Kępki, ul. Józefa Lompy 11, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;299;71;602;33
39;"IV Liceum Ogólnokształcące im. KEN, ul. prof. dr. Mieczysława Michałowicza 55, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;387;131;757;45
40;"Powiatowy Urząd Pracy, ul. Partyzantów 55, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;349;128;702;56
41;"Branżowa Szkoła I Stopnia Nr 4 im. Stanisława Staszica, ul. Maksyma Gorkiego 7, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;374;122;632;25
42;"Szkoła Podstawowa Nr 20 im. Jerzego Kukuczki, ul. Teofila Aleksandra Lenartowicza 17, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;341;88;528;41
43;"Przedszkole Integracyjne Nr 2, ul. Łagodna 16, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;387;82;534;38
44;"Szkoła Podstawowa Nr 33 im. Kornela Makuszyńskiego, ul. Łagodna 26, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;394;111;658;29
45;"Przedszkole Nr 50, ul. Łagodna 27a, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;427;104;589;36
46;"II Liceum Ogólnokształcące im. Adama Asnyka, ul. Jutrzenki 13, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;350;86;532;45
47;"II Liceum Ogólnokształcące im. Adama Asnyka, ul. Jutrzenki 13, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;519;189;1196;55
48;"Dom Kultury w Lipniku, ul. Podgórna 29, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;611;205;1135;65
49;"Szkoła Podstawowa Nr 13 im. Władysława Jagiełły, ul. Lipnicka 226, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;574;275;1030;65
50;"Przedszkole Nr 24, ul. Stefanii Sempołowskiej 52, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;299;94;570;21
51;"Szkoła Podstawowa Nr 33 im. Kornela Makuszyńskiego, ul. Straconki 25, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;383;126;668;44
52;"Przedszkole Nr 6, ul. Góralska 4, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;387;113;744;34
53;"Dom Kultury im. Jacka Lecha, ul. Żywiecka 302, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;504;148;1041;55
54;"Szkoła Podstawowa Nr 26 im. Zygmunta Lubertowicza, ul. Złoty Potok 7, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;709;201;1239;71
55;"Rada Osiedla ""Aleksandrowice"", ul. Wrzosowa 20, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;305;91;660;40
56;"Zespół Szkół Ogólnokształcących im. Armii Krajowej, ul. Sternicza 4, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;454;143;858;52
57;"Przedszkole Nr 55, ul. Sternicza 4, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;453;119;714;27
58;"Dom Dziennego Pobytu dla Osób Starszych i Niepełnosprawnych, ul. Sternicza 8a, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;462;141;739;39
59;"Szkoła Podstawowa Nr 37 im. gen. Mariusza Zaruskiego, ul. Doliny Miętusiej 5, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;584;131;941;47
60;"Szkoła Podstawowa Nr 37 im. gen. Mariusza Zaruskiego, ul. Doliny Miętusiej 5, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;572;137;966;49
61;"Szkoła Podstawowa Nr 37 im. gen. Mariusza Zaruskiego, ul. Doliny Miętusiej 5, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;647;157;1146;67
62;"Rada Osiedla ""Kamienica"", ul. Karpacka 119, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;315;144;1001;47
63;"ZIAD Bielsko-Biała S. A., al. Aleja Armii Krajowej 220, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;331;149;1073;49
64;"Hala Sportowa przy Szkole Podstawowej Nr 23, ul. Karpacka 127, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;290;140;998;41
65;"Dom Kultury w Olszówce, ul. Olszówka 20, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;396;116;1014;49
66;"Szkoła Podstawowa Nr 25 im. Księdza Jana Twardowskiego, ul. Pocztowa 28a, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;404;143;1015;34
67;"Uniwersytet Bielsko-Bialski, ul. Willowa 2-Budynek B - 27, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;412;122;827;39
68;"Dom Pomocy Społecznej dla Osób Starszych, ul. Żywiecka 15, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;13;6;3;1
69;"Oddział Zewnętrzy w Bielsku-Białej Zakładu Karnego w Cieszynie, ul. Juliusza Słowackiego 15a, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;33;41;100;4
70;"Beskidzkie Centrum Onkologii im. Jana Pawła II Szpital Miejski, ul. Stanisława Wyspiańskiego 21, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;19;1;25;4
71;"Beskidzkie Centrum Onkologii im. Jana Pawła II Szpital Miejski, ul. Wyzwolenia 18, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;32;2;24;3
72;"Beskidzkie Centrum Onkologii im. Jana Pawła II Szpital Miejski, ul. Emilii Plater 17, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;6;1;5;2
73;"Szpital Wojewódzki, al. Aleja Armii Krajowej 101, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;86;16;88;13
74;"Dom Pomocy Społecznej ""Dom Nauczyciela"", ul. Pocztowa 14a, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;34;3;7;2
75;"Dom Pomocy Społecznej dla Przewlekle Chorych, ul. Olimpijska 11, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;11;0;2;1
76;"Polsko-Amerykańskie Kliniki Serca Centrum Kardiologii i Kardiochirurgii w Bielsku-Białej, al. Aleja Armii Krajowej 101, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;12;2;5;0
77;"Bielskie Centrum Psychiatrii-Olszówka, ul. Olszówka 102, 43-300 Bielsko-Biała";246101;"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";1;1;12;9;14;1
