"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MYRDA Tymoteusz Dominik - KW BEZPARTYJNI SAMORZĄDOWCY";"SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena - KW NOWA LEWICA";"CZUDOWSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"JASIŃSKI Krzysztof Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
6;"Centrum Turystyki i Kultury w Ścinawie, ul. Tadeusza Kościuszki 1, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;52;82;103;33
7;"Świetlica Wiejska, Parszowice 74B, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;54;53;125;16
8;"Świetlica Wiejska, Zaborów 50, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;117;66;232;39
9;"Świetlica Wiejska, Dziesław 27, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;36;16;107;7
10;"Świetlica Wiejska, Lasowice 29, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;27;34;56;14
11;"Świetlica Wiejska, Wielowieś 31, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;26;28;166;10
12;"Świetlica Ośrodka Badawczo-Naukowo-Dydaktycznego Chorób Otępiennych Uniwersytetu Medycznego we Wrocławiu-Ośrodek Alzhaimerowski Sp. z o. o., ul. Jana Pawła II 12, 59-330 Ścinawa";21104;"gm. Ścinawa";"lubiński";"dolnośląskie";1;1;2;6;13;1
1;"Szkoła Podstawowa, ul. Wesoła 16, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;191;324;387;87
2;"Hala sportowo-widowiskowa, ul. Kasztanowa 5, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;76;133;193;53
3;"Regionalne Centrum Kultury, ul. Tadeusza Kościuszki 5, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;121;208;316;89
4;"Zespól Szkół, ul. Kolonialna 13, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;135;210;351;79
5;"Przedszkole z Oddziałami Integracyjnymi, ul. Środkowa 3A, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;176;256;346;108
6;"Świetlica Wiejska, Brunów 74, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;74;77;113;23
7;"Świetlica Wiejska, Żabice 21A, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;62;65;176;40
8;"Wiejski Ośrodek Kultury, Chocianowiec 101A, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;109;65;323;65
9;"Szkoła Podstawowa, Parchów 29, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;103;137;295;68
10;"Szkoła Podstawowa im J. Pawła II, Szklary Dolne 48, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;83;105;229;63
11;"Szkoła Podstawowa im. Wł. St. Reymonta, Trzebnice 113A, 59-140 Chocianów";21601;"gm. Chocianów";"polkowicki";"dolnośląskie";1;1;88;112;264;49
1;"Pałac w Gaworzycach, ul. Dworcowa 95, 59-180 Gaworzyce";21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";1;1;191;286;454;121
2;"Punkt Biblioteczny, Kłobuczyn 42, 59-180 Gaworzyce";21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";1;1;42;83;142;35
3;"Punkt Biblioteczny, Dalków 1c, 59-180 Gaworzyce";21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";1;1;56;96;143;26
4;"Świetlica, Wierzchowice 41, 59-180 Gaworzyce";21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";1;1;19;62;99;34
5;"Świetlica Wiejska, Koźlice 78, 59-180 Gaworzyce";21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";1;1;31;37;85;27
1;"Centrum Aktywności Społecznej, ul. Kościelna 22, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;134;287;362;116
2;"Wiejski Ośrodek Kultury, Rzeczyca 45 B, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;90;149;260;72
3;"Wiejski Ośrodek Kultury, Krzydłowice 41, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;72;135;252;77
4;"Wiejski Ośrodek Kultury, Kwielice 69, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;55;135;170;51
5;"Świetlica Wiejska, Trzęsów 36 B, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;24;36;72;6
6;"Świetlica Wiejska, Stara Rzeka 37, 59-150 Grębocice";21603;"gm. Grębocice";"polkowicki";"dolnośląskie";1;1;27;28;141;25
1;"Szkoła Podstawowa Nr 4 (sala gimnastyczna), ul. Mjr Hubala 3, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;82;219;247;80
2;"Szkoła Podstawowa Nr 4 (hol), ul. Mjr Hubala 3, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;99;314;266;64
3;"Szkoła Podstawowa Nr 2 (świetlica), ul. Dąbrowskiego 1A, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;144;436;540;147
4;"Ośrodek Pomocy Społecznej, ul. Lipowa 2, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;117;303;393;80
5;"Polkowickie Przedsiębiorstwo Komunalne, ul. 3-go Maja 51, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;124;305;354;79
6;"Szkoła Podstawowa Nr 1 (świetlica), ul. Kmicica 23, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;134;340;450;87
7;"""Klub Relax"", ul. Chocianowska 78, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;283;767;502;277
8;"Szkoła Podstawowa Nr 3, ul. Ociosowa 3, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;98;272;364;72
9;"Szkoła Podstawowa Nr 3, ul. Kardynała Bolesława Kominka 1, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;128;359;344;74
10;"Szkoła Podstawowa Nr 1 (sala gimnastyczna), ul. Kmicica 23, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;204;532;533;134
11;"Szkoła Podstawowa Nr 2 (sala gimnastyczna), ul. Dąbrowskiego 1A, 59-100 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;106;386;262;84
12;"Świetlica Wiejska, Sucha Górna ul. Sportowa 7, 59-101 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;99;273;254;81
13;"Świetlica Wiejska, Guzice 15b, 59-101 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;64;130;237;64
14;"Świetlica Wiejska, Tarnówek 9, 59-101 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;31;63;145;38
15;"Szkoła Podstawowa Integracyjna, Jędrzychów 24A, 59-101 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;93;101;295;35
16;"Świetlica Wiejska, Sobin ul. Polkowicka 69 C, 59-101 Polkowice";21604;"gm. Polkowice";"polkowicki";"dolnośląskie";1;1;112;275;307;111
1;"Sala gimnastyczna Szkoły Podstawowej Nr 2, ul. Rybna 3a, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;76;188;228;58
2;"Świetlica Szkoły Podstawowej Nr 2, ul. Rybna 3a, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;70;232;376;68
3;"Świetlica wsi Ostaszów, Ostaszów 11a, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;22;69;77;26
4;"Świetlica wsi Piotrowice, Piotrowice 89, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;40;102;125;26
5;"Sala gimnastyczna Szkoły Podstawowej, Wysoka 16a, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;50;72;131;33
6;"Biblioteka, ul. Plac Targowy 1, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;91;191;278;89
7;"Przemkowski Ośrodek Kultury w Przemkowie, ul. Głogowska 17, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;103;299;370;99
8;"Świetlica Wiejska, Krępa 63 A, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;16;38;61;9
9;"Świetlica Wiejska, Jakubowo Lubińskie 37 A, 59-170 Przemków";21605;"gm. Przemków";"polkowicki";"dolnośląskie";1;1;24;18;98;20
1;"Dom Kultury w Radwanicach, ul. Szkolna 5 A, 59-160 Radwanice";21606;"gm. Radwanice";"polkowicki";"dolnośląskie";1;1;187;467;557;141
2;"Sala Gimnastyczna, Buczyna 20, 59-160 Radwanice";21606;"gm. Radwanice";"polkowicki";"dolnośląskie";1;1;60;117;161;56
3;"Świetlica Wiejska, Jakubów ul. Jeździecka 1, 59-160 Radwanice";21606;"gm. Radwanice";"polkowicki";"dolnośląskie";1;1;26;69;109;21
4;"Świetlica Wiejska, Łagoszów Wielki 21 B, 59-160 Radwanice";21606;"gm. Radwanice";"polkowicki";"dolnośląskie";1;1;44;133;197;36
5;"Świetlica Wiejska, Sieroszowice ul. Miedziana 7, 59-160 Radwanice";21606;"gm. Radwanice";"polkowicki";"dolnośląskie";1;1;39;90;151;39
1;"d. Zespół Szkół Rolniczych, ul. Jaworzyńska 219, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;190;792;583;152
2;"Zespół Szkół Budowlanych, ul. Władysława Grabskiego 14/22, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;146;522;263;120
3;"Szkoła Podstawowa nr 10 (wejście od ul. Orzeszkowej), ul. Jaworzyńska 47, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;141;548;336;125
4;"Zespół Szkół Elektryczno-Mechanicznych, ul. Fryderyka Skarbka 4, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;131;497;317;100
5;"Zespół Szkół Ekonomicznych (sala gimnastyczna, wejście od ul. Szkolnej), pl. Słowiański 5, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;110;384;295;110
6;"Młodzieżowe Centrum Kultury, ul. Adama Mickiewicza 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;112;400;235;98
7;"Szkoła Podstawowa Nr 19, al. Rzeczypospolitej 129, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;346;1240;562;240
8;"Szkoła Podstawowa Nr 6 (sala gimnastyczna, wejście od podwórka), al. Marszałka Józefa Piłsudskiego 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;120;555;351;138
9;"Klub Seniora, ul. Stanisława Moniuszki 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;116;388;361;94
10;"Szkoła Podstawowa Nr 1 (wejście główne), ul. Kamienna 20a, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;81;247;217;77
11;"Szkoła Podstawowa Nr 1 (sala gimnastyczna), ul. Kamienna 20a, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;70;232;255;92
12;"Szkoła Podstawowa Nr 1 (wejście boczne, siedziba przeniesiona z ul. Brackiej 16), ul. Kamienna 20 a, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;114;331;371;127
13;"Wojewódzki Szpital Specjalistyczny (wejście główne od przychodni), ul. Jarosława Iwaszkiewicza 5, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;185;513;492;123
14;"Przedszkole Niepubliczne ""Tęczowy Zakątek"", ul. Stanisława Ignacego Witkiewicza 4, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;138;552;413;90
15;"Zespół Szkół Integracyjnych (wejście główne), ul. Kazimierza Wierzyńskiego 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;142;449;344;94
16;"Zespół Szkół Integracyjnych (wejście od ul. Gałczyńskiego), ul. Kazimierza Wierzyńskiego 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;140;516;392;76
17;"Zespół Szkół Integracyjnych (wejście od al. Marszałka Józefa Piłsudskiego), ul. Kazimierza Wierzyńskiego 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;153;605;445;99
18;"Miejskie Przedszkole Nr 18, ul. Leopolda Staffa 6, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;233;949;503;131
19;"Szkoła Podstawowa Nr 16 (wejście główne), ul. Tatrzańska 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;115;444;364;94
20;"Szkoła Podstawowa nr 16 (wejście boczne), ul. Tatrzańska 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;121;480;398;84
21;"Zespół Placówek Specjalnych (wejście od ul. Tatrzańskiej), ul. Mazowiecka 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;108;416;405;67
22;"Zespół Placówek Specjalnych (wejście od ul. Kujawskiej, k/basenu), ul. Mazowiecka 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;117;464;375;70
23;"Szkoła Podstawowa Nr 7 (sala gimnastyczna), ul. Polarna 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;97;421;274;61
24;"Spółdzielczy Dom Kultury ""KOPERNIK"", ul. Koziorożca 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;133;589;408;102
25;"Legnicka Spółdzielnia Mieszkaniowa (sala konferencyjna), ul. Gwiezdna 8, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;90;351;277;52
26;"Miejskie Przedszkole Specjalne Nr 6 dla Dzieci Słabowidzących, ul. Andromedy 14, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;90;486;384;94
27;"Miejskie Przedszkole Nr 13 (wejście od ul. Jowisza), ul. Wielkiej Niedźwiedzicy 14a, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;76;424;274;55
28;"VII Liceum Ogólnokształcące (wejście główne), ul. Radosna 17, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;158;673;468;92
29;"Szkoła Podstawowa Nr 6 (wejście główne), al. Marszałka Józefa Piłsudskiego 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;104;476;284;64
30;"I Liceum Ogólnokształcące, pl. Klasztorny 7, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;75;237;212;62
31;"II Liceum Ogólnokształcące, ul. Zielona 17, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;98;317;255;87
32;"Dolnośląskie Centrum Kształcenia Ustawicznego i Językowego Kadr w Legnicy, pl. Zamkowy 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;71;202;170;68
33;"Urząd Stanu Cywilnego (poczekalnia Sali Ślubów), ul. Chojnowska 2, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;74;330;234;59
34;"b. Zespół Placówek Specjalnych (sala gimnastyczna), ul. Rycerska 13, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;49;232;183;36
35;"Szkoła Podstawowa Nr 4 im. Włodzimierza Puchalskiego, ul. Piastowska 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;83;269;212;88
36;"Szkoła Podstawowa Nr 2 (wejście od ul. Garncarskiej, sala gimnastyczna), ul. Głogowska 50, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;134;418;377;119
37;"Zespół Szkół Samochodowych, ul. Słubicka 7, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;216;728;498;122
38;"V Liceum Ogólnokształcące im. Jana Heweliusza (wejście od ul. Żwirki i Wigury, sala gimnastyczna), ul. Senatorska 32, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;101;338;302;106
39;"Szkoła Podstawowa Nr 4 (sala gimnastyczna), ul. Piastowska 3, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;110;314;279;70
40;"Miejskie Przedszkole Nr 16, ul. Żwirki i Wigury 32, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;118;326;309;88
41;"Politechnika Wrocławska Filia w Legnicy, ul. Stefana Batorego 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;135;463;368;114
42;"Miejskie Przedszkole Nr 11 (d. Filia Szkoły Podstawowej nr 9), ul. Krzemieniecka 1, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;130;443;319;114
43;"Hala Sportowa OSiR, ul. Sejmowa 3a, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;153;432;341;100
44;"MOPS Zespół Interwencji Kryzysowej, ul. Stefana Okrzei 9, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;158;508;319;103
45;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Lotnicza 26, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;135;499;288;108
46;"Szkoła Podstawowa Nr 9, ul. Marynarska 31, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;202;731;401;138
47;"Zespół Szkół Technicznych i Ogólnokształcących, ul. Złotoryjska 144, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;235;740;433;152
48;"Wojewódzki Szpital Specjalistyczny, ul. Jarosława Iwaszkiewicza 5, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;14;55;69;11
49;"Dom Pomocy Społecznej, ul. Władysława Grabskiego 11, 59-220 Legnica";26201;"m. Legnica";"Legnica";"dolnośląskie";1;1;2;7;20;0
