"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GÓRSKA Anna - KW NOWA LEWICA";"DRELICH Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BUTZA Sławomir Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MĘCZYKOWSKI Dariusz Franciszek - KWW DARIUSZA MĘCZYKOWSKIEGO"
2;"Niepubliczna Szkoła Podstawowa PIANO, ul. Szkolna 3, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;447;201;80;66
3;"Urząd Miejski, ul. Aleja Wojska Polskiego 1, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;392;183;86;55
4;"Dworzec Kolejowy, ul. Ignacego Kraszewskiego 4, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;205;144;64;50
5;"Zespół Szkół Społecznych STO, ul. Sobieskiego 7A, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;529;275;119;83
6;"Szkoła Podstawowa nr 1, ul. Średnia 4a, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;526;238;104;81
7;"Miejski Dom Kultury, ul. Traugutta 2, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;502;295;102;84
8;"Uczelnia Korczaka Akademia Nauk Stosowanych Międzywydziałowy Instytut Naukowo-Dydaktyczny, os. osiedle Wincentego Witosa 20, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;632;280;130;118
9;"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szczecińska 31, 77-300 Człuchów";220301;"m. Człuchów";"człuchowski";"pomorskie";1;1;19;11;4;2
1;"Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka"", ul. Parkowa 4, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;477;212;116;68
2;"Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka""-łącznik hali sportowej i szkoły, ul. Parkowa 4, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;415;264;93;71
3;"Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka""-sala gimnastyczna wejście od ulicy Moniuszki, ul. Parkowa 4, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;447;222;124;74
4;"Świetlica Wiejska, Nadziejewo 21, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;33;68;26;6
5;"Filia Biblioteki, Wyczechy 54, 77-326 Wyczechy";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;139;122;43;29
6;"Międzypokoleniowe Wiejskie Centrum Aktywności, Bińcze 12, 77-324 Bińcze";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;102;102;45;28
7;"Świetlica Wiejska, Domisław 30a, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;81;80;33;29
8;"Klub Animacji Społecznej, Krzemieniewo 34, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;102;88;45;28
9;"Zakład Karny, ul. Pomorska 1, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;422;93;275;110
10;"Dom Pomocy Społecznej, ul. Zamkowa 19, 77-330 Czarne";220302;"gm. Czarne";"człuchowski";"pomorskie";1;1;9;12;4;4
1;"Szkoła Podstawowa, Polnica 72, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;275;215;138;79
2;"Szkoła Podstawowa, Rychnowy 5, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;253;178;87;41
3;"Szkoła Podstawowa, Wierzchowo-Dworzec ul. Szkolna 16, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;104;91;44;33
4;"Świetlica Wiejska, Mosiny 26, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;64;53;28;17
5;"Świetlica Wiejska, Kołdowo 42, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;328;225;108;62
6;"Szkoła Podstawowa, Stołczno 1, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;35;24;19;4
7;"Świetlica Wiejska, Barkowo 31a, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;57;48;21;26
8;"Świetlica Wiejska, Kiełpin 26, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;66;53;37;14
9;"Świetlica Wiejska, Brzeźno 31a, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;44;62;15;12
10;"Świetlica Wiejska, Nieżywięć 38, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;138;77;43;31
11;"Świetlica Wiejska, Ględowo 50, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;182;120;69;32
12;"Świetlica Wiejska, Jęczniki Małe 20, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;48;52;16;12
13;"Świetlica Wiejska, Jęczniki Wielkie 12, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;54;49;22;13
14;"Świetlica Wiejska, Wierzchowo 4, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;39;31;19;8
15;"Świetlica Wiejska, Dębnica 72, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;56;72;35;24
16;"Świetlica Wiejska, Płonica 17A, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;35;40;16;9
17;"Świetlica Wiejska, Sieroczyn 22B, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;91;49;35;14
18;"Szkoła Podstawowa, Biskupnica 45, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;57;75;23;17
19;"Świetlica Wiejska, Chrząstowo 42, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;43;50;29;10
20;"Świetlica Wiejska, Jaromierz 7, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;47;28;17;4
21;"Szkoła Podstawowa, Bukowo 23, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;55;52;33;13
22;"Świetlica wiejska, Krępsk 26, 77-300 Człuchów";220303;"gm. Człuchów";"człuchowski";"pomorskie";1;1;37;67;24;5
1;"Ośrodek Pomocy Społecznej, ul. Ogrodowa 27, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;220;136;63;57
2;"Centrum Kultury, Sportu i Turystyki, ul. Wojska Polskiego 2, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;242;162;91;55
3;"Centrum Kultury, Sportu i Turystyki, ul. Wojska Polskiego 2, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;314;164;96;75
4;"Ochotnicza Straż Pożarna, ul. Miła 8, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;265;134;81;60
5;"Świetlica Wiejska, Stanisławka 10B, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;69;37;30;16
6;"Świetlica Wiejska, Strzeczona 4A, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;86;100;59;26
7;"Świetlica Wiejska, Słupia 38A, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;61;69;26;8
8;"Świetlica Wiejska, Uniechów 18C, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;83;94;36;22
9;"Świetlica Wiejska, Cierznie 20, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;70;78;20;21
10;"Świetlica Wiejska, Nowe Gronowo 27, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;62;61;41;12
11;"Pałac, Stare Gronowo 48, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;107;84;49;20
12;"Świetlica Wiejska, Myśligoszcz 46, 77-310 Debrzno";220304;"gm. Debrzno";"człuchowski";"pomorskie";1;1;39;22;16;12
1;"Sala wiejska, Bielsko 10, 77-220 Koczała";220305;"gm. Koczała";"człuchowski";"pomorskie";1;1;93;95;45;22
2;"Gminny Ośrodek Kultury, ul. Klonowa 9, 77-220 Koczała";220305;"gm. Koczała";"człuchowski";"pomorskie";1;1;206;127;53;37
3;"Zespół Kształcenia i Wychowania, ul. Szkolna 16, 77-220 Koczała";220305;"gm. Koczała";"człuchowski";"pomorskie";1;1;254;130;102;70
4;"Sala wiejska, Wilkowo 10, 77-220 Koczała";220305;"gm. Koczała";"człuchowski";"pomorskie";1;1;116;75;44;35
5;"""TEEN CHALLENGE"" Chrześcijański Ośrodek dla Osób Uzależnionych, Łękinia 17, 77-220 Koczała";220305;"gm. Koczała";"człuchowski";"pomorskie";1;1;2;5;13;0
1;"Świetlica wiejska, Szczytno 11, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;62;49;19;12
2;"Świetlica Wiejska, Nowa Wieś 55a, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;125;139;53;30
3;"Świetlica wiejska, Sąpolno 21 a, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;121;136;44;38
4;"Dom Kultury, ul. Młyńska 11, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;248;119;80;38
5;"Gminny Żłobek Smykolandia, os. Osiedle im. Bronisława Juźkowa 1A, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;281;136;94;39
6;"Szkoła Podstawowa, ul. Szkolna 4e, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;302;163;74;37
7;"Świetlica wiejska, Lisewo 3a, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;69;72;26;11
8;"Świetlica wiejska, Płaszczyca 12b, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;38;35;26;11
9;"Świetlica wiejska, Dąbrowa Człuchowska 12, 77-320 Przechlewo";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;42;67;21;15
10;"Ośrodek Readaptacji Stowarzyszenia Solidarni ""PLUS"" EKO ""Szkoła Życia"" w Wandzinie, Wandzin 1, 77-300 Człuchów";220306;"gm. Przechlewo";"człuchowski";"pomorskie";1;1;33;28;21;8
1;"Gminne Centrum Kultury Sportu Turystyki i Rekreacji, ul. Lipowa 1, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;160;125;58;27
2;"Zespół Szkół, ul. Przechlewska 6, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;225;160;50;39
3;"Świetlica wiejska, Brzezie ul. Koszalińska 33, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;57;82;28;24
4;"Świetlica wiejska, Międzybórz 22, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;98;72;38;24
5;"Świetlica wiejska w Gwieździnie, Gwieździn 18a, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;94;83;44;17
6;"Szkoła Filialna, Pieniężnica 55, 77-304 Rzeczenica";220307;"gm. Rzeczenica";"człuchowski";"pomorskie";1;1;45;68;24;18
1;"Gminny Ośrodek Kultury Sportu i Rekreacji, ul. Gryfa Pomorskiego 20, 83-333 Chmielno";220501;"gm. Chmielno";"kartuski";"pomorskie";1;1;583;538;217;248
2;"Szkoła Podstawowa, ul. Szkolna 1, 83-334 Miechucino";220501;"gm. Chmielno";"kartuski";"pomorskie";1;1;317;569;189;187
3;"Szkoła Podstawowa, Borzestowo 182, 83-335 Borzestowo";220501;"gm. Chmielno";"kartuski";"pomorskie";1;1;127;242;90;51
4;"Centrum Integracji Społecznej, ul. Kartuska 25, 83-333 Garcz";220501;"gm. Chmielno";"kartuski";"pomorskie";1;1;203;232;95;84
5;"Szkoła Podstawowa, Kożyczkowo 80, 83-333 Chmielno";220501;"gm. Chmielno";"kartuski";"pomorskie";1;1;61;106;48;35
1;"Szkoła Podstawowa Nr 2, ul. Wzgórze Wolności 1, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;827;489;235;225
2;"Szkoła Podstawowa Nr 1, ul. 3 Maja 14, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;766;358;178;194
3;"Urząd Miejski w Kartuzach, ul. Gen. Józefa Hallera 1, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;504;299;102;105
4;"Szkoła Podstawowa Nr 1, ul. Marszałka Józefa Piłsudskiego 10, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;496;366;110;134
5;"Zespół Szkół Ogólnokształcących Nr 2, os. gen. Józefa Wybickiego 33, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;378;239;96;86
6;"Zespół Szkół Ogólnokształcących Nr 2, os. gen. Józefa Wybickiego 33, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;305;281;71;88
7;"Przedszkole z Oddziałami Integracyjnymi Akademia Przedszkolaka, os. gen. Józefa Wybickiego 33, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;340;208;77;110
8;"Szkoła Podstawowa, ul. Szkolna 2, 83-329 Mirachowo";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;149;375;97;72
9;"Szkoła Podstawowa, Staniszewo ul. Kartuska 3, 83-328 Sianowo";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;130;294;111;59
10;"Ośrodek Geriatryczny, Sianowo 4, 83-328 Sianowo";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;52;104;29;30
11;"Szkoła Podstawowa, Prokowo ul. Szkolna 1, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;257;298;139;81
12;"Szkoła Podstawowa, Grzybno ul. Szkolna 12, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;313;312;120;114
13;"Zespół Kształcenia i Wychowania, ul. Edukacji Narodowej 4a, 83-332 Dzierżążno";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;569;475;203;188
14;"Zespół Kształcenia i Wychowania, ul. Edukacji Narodowej 4a, 83-332 Dzierżążno";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;323;200;79;112
15;"Szkoła Podstawowa, ul. Szkolna 29, 83-307 Kiełpino";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;541;344;183;184
16;"Szkoła Podstawowa, ul. Szkolna 29, 83-307 Kiełpino";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;372;412;165;135
17;"Szkoła Podstawowa, Łapalice ul. Szkolna 2, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;281;239;112;104
18;"Zespół Kształcenia i Wychowania, ul. Chmieleńska 1, 83-324 Brodnica Górna";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;343;499;197;124
19;"Ochotnicza Straż Pożarna, Stara Huta 20, 83-328 Sianowo";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;23;95;11;14
20;"Szkoła Podstawowa, Kolonia 101, 83-328 Sianowo";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;101;293;89;58
21;"Publiczna Szkoła Podstawowa, Pomieczyńska Huta 18, 83-305 Pomieczyno";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;27;78;33;12
22;"Świetlica wiejska, Kaliska 17A, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;61;45;36;31
23;"Powiatowe Centrum Zdrowia Sp. z o. o., ul. Floriana Ceynowy 7, 83-300 Kartuzy";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;3;4;1;1
24;"Szpital Specjalistyczny w Kościerzynie Sp. z o. o. Placówka w Dzierżążnie, ul. Szpitalna 36, 83-332 Dzierżążno";220502;"gm. Kartuzy";"kartuski";"pomorskie";1;1;24;26;8;2
1;"Szkoła Podstawowa w Przodkowie (łącznik przy hali sportowej), ul. Sportowa 12, 83-304 Przodkowo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;88;136;35;27
2;"Szkoła Podstawowa w Przodkowie (sala nr 6 w hali sportowej), ul. Sportowa 12, 83-304 Przodkowo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;244;176;131;122
3;"Szkoła Podstawowa im. Jana Pawła II w Czeczewie (sala sportowa), Czeczewo ul. Gdańska 8, 84-208 Kielno";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;173;224;115;61
4;"Szkoła Podstawowa w Pomieczynie (sala sportowa), ul. Kartuska 14, 83-305 Pomieczyno";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;233;364;149;108
5;"Szkoła Podstawowa w Przodkowie (sala nr 7 w hali sportowej), ul. Sportowa 12, 83-304 Przodkowo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;304;352;170;148
6;"Środowiskowy Dom Samopomocy, ul. Polna 8, 83-304 Kobysewo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;270;233;94;83
7;"Była Szkoła Podstawowa, ul. Długa 77, 83-304 Kosowo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;90;155;40;43
8;"Ochotnicza Straż Pożarna, ul. Przodkowska 60, 83-304 Tokary";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;437;147;140;118
9;"Szkoła Podstawowa, ul. Górna 2, 83-305 Wilanowo";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;108;204;65;44
10;"Była Szkoła Podstawowa, ul. Aleja Lipowa 28, 83-304 Załęże";220503;"gm. Przodkowo";"kartuski";"pomorskie";1;1;68;112;53;44
1;"Powiatowy Zespół Szkół w Sierakowicach, ul. Dworcowa 3, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;78;207;84;39
2;"Urząd Gminy Sierakowice, ul. Lęborska 30, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;465;709;279;189
3;"Gminny Ośrodek Kultury w Sierakowicach, ul. Kartuska 27, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;327;691;221;152
4;"Szkoła Podstawowa nr 1 im. Floriana Ceynowy w Sierakowicach, ul. Kubusia Puchatka 7, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;250;326;123;113
5;"Szkoła Podstawowa im. ks. Bernarda Sychty w Puzdrowie, Puzdrowo 32, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;131;315;122;63
6;"Szkoła Podstawowa im. Jana Pawła II w Gowidlinie, ul. Prymasa Wyszyńskiego 5, 83-341 Gowidlino";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;270;690;195;100
7;"Szkoła Podstawowa w Kamienicy Królewskiej, ul. Szkolna 19, 83-342 Kamienica Królewska";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;157;309;100;56
8;"Szkoła Podstawowa w Mojuszu, Mojusz 23, 83-334 Miechucino";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;166;328;104;95
9;"Szkoła Podstawowa im. ks. Anastazego Sadowskiego w Lisich Jamach, Lisie Jamy 60 A, 83-335 Borzestowo";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;129;365;113;69
10;"Szkoła Podstawowa w Tuchlinie, Tuchlino 16 B, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;81;348;106;84
11;"Szkoła Podstawowa nr 2 im. Józefa Piłsudskiego w Sierakowicach, ul. Spacerowa 14, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;212;371;131;125
12;"Szkoła Podstawowa im. Rodzimych Bohaterów II Wojny Światowej w Załakowie, Załakowo 5, 83-340 Załakowo";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;197;344;109;69
13;"Szkoła Podstawowa w Łyśniewie Sierakowickim, Łyśniewo Sierakowickie 17, 83-340 Sierakowice";220504;"gm. Sierakowice";"kartuski";"pomorskie";1;1;71;214;60;20
1;"Remiza Ochotniczej Straży Pożarnej, ul. Lipowa 1, 83-312 Egiertowo";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;130;120;61;78
2;"Szkoła Podstawowa, ul. Szkolna 7, 83-311 Goręczyno";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;250;387;129;156
3;"Gminny Ośrodek Kultury, ul. Ceynowy 1a, 83-314 Somonino";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;624;610;272;281
4;"Remiza Ochotniczej Straży Pożarnej, ul. Św. Floriana 9, 83-312 Hopowo";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;84;72;47;43
5;"Remiza Ochotniczej Straży Pożarnej, ul. Ceynowy 1a, 83-314 Somonino";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;88;139;35;44
6;"Świetlica Wiejska, Starkowa Huta 13, 83-315 Starkowa-Huta";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;28;48;21;36
7;"Środowiskowy Dom Samopomocy, ul. Szkolna 1, 83-315 Rybaki";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;35;49;29;35
8;"Oddziały przedszkolne, Połęczyno ul. Szkolna 4, 83-312 Hopowo";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;37;71;23;53
9;"Remiza Ochotniczej Straży Pożarnej, Kaplica 12B, 83-315 Kaplica";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;34;79;28;57
10;"Centrum Integracji Społecznej, Ostrzyce ul. Droga Kaszubska 9, 83-311 Goręczyno";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;149;129;46;72
11;"Świetlica Wiejska, Rąty ul. Długa 1A, 83-314 Somonino";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;104;123;39;66
12;"Remiza Ochotniczej Straży Pożarnej, Kamela ul. Spacerowa 1, 83-312 Hopowo";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;63;61;22;35
13;"Świetlica Wiejska, Wyczechowo 40, 83-314 Somonino";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;57;93;35;32
14;"Szkoła Podstawowa, Borcz ul. Kościerska 34A, 83-312 Hopowo";220505;"gm. Somonino";"kartuski";"pomorskie";1;1;103;139;60;54
1;"Zespół Kształcenia i Wychowania, ul. Abrahama 2, 83-322 Stężyca";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;273;292;108;173
2;"Zespół Kształcenia i Wychowania, ul. Abrahama 2, 83-322 Stężyca";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;246;330;124;129
3;"Zespół Kształcenia i Wychowania, ul. Długa 13, 83-323 Kamienica Szlachecka";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;149;260;111;91
4;"Zespół Kształcenia i Wychowania, Klukowa Huta ul. Józefa Wybickiego 6, 83-322 Stężyca";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;123;346;75;114
5;"Zespół Kształcenia i Wychowania, ul. Sambora II 17, 83-316 Gołubie";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;162;196;52;77
6;"Zespół Kształcenia i Wychowania, ul. Sambora II 17, 83-316 Gołubie";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;142;212;53;83
7;"Zespół Kształcenia i Wychowania, ul. Szkolna 1, 83-315 Szymbark";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;295;289;129;161
8;"Strażnica Ochotniczej Straży Pożarnej, Zgorzałe ul. Lecha Wałęsy 32, 83-322 Stężyca";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;69;88;27;54
9;"Świetlica Wiejska, Żuromino 116, 83-323 Kamienica Szlachecka";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;46;112;38;50
10;"Świetlica Wiejska, Borucino 127 C, 83-323 Kamienica Szlachecka";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;76;170;47;69
11;"Świetlica Wiejska, Nowa Wieś 47, 83-323 Kamienica Szlachecka";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;28;88;18;22
12;"Świetlica Wiejska, Sikorzyno ul. Szlachecka 1, 83-316 Gołubie";220506;"gm. Stężyca";"kartuski";"pomorskie";1;1;109;106;48;60
1;"Szkoła Podstawowa w Sulęczynie, ul. Stefana Żeromskiego 16, 83-320 Sulęczyno";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;395;385;115;142
2;"Zespół Szkół w Mściszewicach, ul. Szkolna 5, 83-321 Mściszewice";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;133;358;94;88
3;"Szkoła Podstawowa w Węsiorach, Węsiory ul. Kartuska 1, 83-320 Sulęczyno";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;95;234;66;90
4;"Szkoła Podstawowa w Sulęczynie, ul. Stefana Żeromskiego 16, 83-320 Sulęczyno";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;67;117;37;27
5;"Szkoła Podstawowa w Podjazach, Podjazy 16, 83-320 Sulęczyno";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;109;145;47;43
6;"Ochotnicza Straż Pożarna w Kistowie, Kistowo 24B, 83-320 Sulęczyno";220507;"gm. Sulęczyno";"kartuski";"pomorskie";1;1;104;153;62;34
1;"Szkoła Podstawowa im. Adama Mickiewicza, ul. Mickiewicza 16, 80-209 Chwaszczyno";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;619;300;172;153
2;"Szkoła Podstawowa im. Adama Mickiewicza, ul. Mickiewicza 16, 80-209 Chwaszczyno";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;751;315;182;172
3;"Szkoła Podstawowa, Tuchom ul. Gdyńska 106, 80-209 Chwaszczyno";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;513;143;149;134
4;"Szkoła Podstawowa im. Jana Trepczyka, Miszewo ul. Strażacka 9, 80-297 Banino";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;503;235;171;140
5;"Centrum Kulturalno-Sportowe, Małkowo ul. Pałacowa 92, 83-330 Żukowo";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;230;122;72;64
6;"Szkoła Podstawowa im. ppor. Klemensa Wickiego, Pępowo ul. Gdańska 117, 83-330 Żukowo";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;1035;422;336;322
7;"Szkoła Podstawowa im. ks. prałata Józefa Bigusa, ul. Tuchomska 15, 80-297 Banino";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;1361;408;354;301
8;"Szkoła Podstawowa im. ks. prałata Józefa Bigusa, ul. Tuchomska 15, 80-297 Banino";220508;"gm. Żukowo";"kartuski";"pomorskie";1;1;1342;376;366;378
