"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻYWNO Maciej Zenon - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GROMKO Mariusz Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASPERCZUK Zbigniew Cezary - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
123;"Szkoła Podstawowa Nr 21, ul. Polowa 7/1, 15-612 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;286;306;98
124;"Szkoła Podstawowa Nr 21, ul. Polowa 7/1, 15-612 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;547;396;117
125;"Szkoła Podstawowa Nr 21, ul. Polowa 7/1, 15-612 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;409;260;113
126;"Świetlica Dziennego Pobytu dla Dzieci przy Dziennym Domu Pomocy Społecznej, ul. Barszczańska 18, 15-639 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;223;167;59
127;"Świetlica Dziennego Pobytu dla Dzieci przy Dziennym Domu Pomocy Społecznej, ul. Barszczańska 18, 15-639 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;252;268;62
128;"Zespół Szkół Mechanicznych, ul. Władysława Broniewskiego 14, 15-748 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;451;311;131
129;"Zespół Szkół Mechanicznych, ul. Władysława Broniewskiego 14, 15-748 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;357;290;111
130;"Szkoła Podstawowa Nr 15, ul. Władysława Broniewskiego 1, 15-748 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;382;254;110
131;"Szkoła Podstawowa Nr 15, ul. Władysława Broniewskiego 1, 15-748 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;445;287;95
132;"VII Liceum Ogólnokształcące, ul. Wierzbowa 7, 15-743 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;458;296;112
133;"VII Liceum Ogólnokształcące, ul. Wierzbowa 7, 15-743 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;351;238;95
134;"Szkoła Podstawowa Nr 7, ul. Wiatrakowa 18, 15-827 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;435;328;105
135;"Szkoła Podstawowa Nr 7, ul. Wiatrakowa 18, 15-827 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;409;262;111
136;"Zespół Szkół Ogólnokształcących Nr 2, ul. Narewska 11, 15-840 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;379;257;79
137;"Zespół Szkół Ogólnokształcących Nr 2, ul. Narewska 11, 15-840 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;628;330;152
138;"Zespół Szkół Ogólnokształcących i Technicznych, ul. Antoniuk Fabryczny 1, 15-762 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;595;385;118
139;"Szkoła Podstawowa nr 17, ul. Rzemieślnicza 12/3, 15-773 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;445;343;137
140;"Szkoła Podstawowa nr 17, ul. Rzemieślnicza 12/3, 15-773 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;461;345;100
141;"Szkoła Podstawowa nr 17, ul. Rzemieślnicza 12/3, 15-773 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;492;250;123
142;"Szkoła Podstawowa Nr 37, ul. Jaworowa 8, 15-808 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;404;279;73
143;"Przedszkole Samorządowe Nr 71, ul. Dziesięciny 50, 15-806 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;461;299;114
144;"Przedszkole Samorządowe Nr 71, ul. Dziesięciny 50, 15-806 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;575;294;106
145;"Przedszkole Samorządowe Nr 56, ul. Generała Józefa Hallera 38, 15-814 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;421;371;100
146;"Szkoła Podstawowa Nr 37, ul. Jaworowa 8, 15-808 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;460;346;125
147;"Szkoła Podstawowa Nr 47, ul. Palmowa 28, 15-795 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;579;279;110
148;"Szkoła Podstawowa Nr 47, ul. Palmowa 28, 15-795 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;704;408;138
149;"Szkoła Podstawowa Nr 47, ul. Palmowa 28, 15-795 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;324;295;62
150;"Szkoła Podstawowa Nr 47, ul. Palmowa 28, 15-795 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;414;336;89
151;"Przedszkole Samorządowe Nr 73, ul. Gajowa 66, 15-794 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;265;257;92
152;"Zespół Szkolno-Przedszkolny Nr 4, ul. Porzeczkowa 11, 15-815 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;403;282;99
153;"Zespół Szkolno-Przedszkolny Nr 4, ul. Porzeczkowa 11, 15-815 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;429;319;74
154;"Zespół Szkolno-Przedszkolny Nr 4, ul. Porzeczkowa 11, 15-815 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;490;314;102
155;"Zespół Szkół Zawodowych Nr 5, ul. Antoniuk Fabryczny 40, 15-741 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;508;339;92
156;"Zespół Szkół Zawodowych Nr 5, ul. Antoniuk Fabryczny 40, 15-741 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;406;329;113
157;"Szkoła Podstawowa Nr 45, ul. Łagodna 10, 15-757 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;509;351;76
158;"Szkoła Podstawowa Nr 45, ul. Łagodna 10, 15-757 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;540;338;127
159;"Szkoła Podstawowa Nr 45, ul. Łagodna 10, 15-757 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;525;323;95
160;"Szkoła Podstawowa Nr 45, ul. Łagodna 10, 15-757 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;514;275;102
161;"Przedszkole Samorządowe Nr 65, ul. Łagodna 12, 15-757 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;478;280;89
162;"Zespół Szkolno-Przedszkolny Nr 1, ul. Strażacka 25, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;773;507;201
163;"Zespół Szkolno-Przedszkolny Nr 1, ul. Strażacka 25, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;374;312;68
164;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;665;381;199
165;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;582;346;178
166;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;673;324;157
167;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;476;312;122
168;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;475;223;105
169;"Szkoła Podstawowa Nr 12, ul. Komisji Edukacji Narodowej 1A, 15-687 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;585;312;150
170;"Szkoła Podstawowa Nr 51, ul. Jana Krzysztofa Kluka 11A, 15-197 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;907;315;301
171;"Samodzielny Publiczny ZOZ Wojewódzki Szpital Zespolony im. J. Śniadeckiego (Interna), ul. M. Curie-Skłodowskiej 25, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;24;35;4
172;"Samodzielny Publiczny ZOZ Wojewódzki Szpital Zespolony im. J. Śniadeckiego (Rehabilitacja), ul. M. Curie-Skłodowskiej 26, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;10;13;1
173;"Samodzielny Publiczny ZOZ Wojewódzki Szpital Zespolony im. J. Śniadeckiego (Ginekologia), ul. M. Curie-Skłodowskiej 26, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;18;9;4
174;"Samodzielny Publiczny ZOZ Wojewódzki Szpital Zespolony im. J. Śniadeckiego (Neurologia), ul. M. Curie-Skłodowskiej 26, 15-309 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;6;14;3
175;"Uniwersytecki Szpital Kliniczny, ul. M. Curie-Skłodowskiej 24A, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;30;50;8
176;"Uniwersytecki Szpital Kliniczny, ul. M. Curie-Skłodowskiej 24A, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;50;38;8
177;"Uniwersytecki Szpital Kliniczny, ul. M. Curie-Skłodowskiej 24A, 15-278 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;28;30;4
178;"Uniwersytecki Szpital Kliniczny, ul. Żurawia 14, 15-504 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;41;32;6
179;"Samodzielny Publiczny Zakład Opieki Zdrowotnej MSWiA, ul. Fabryczna 27, 15-482 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;13;15;5
180;"Samodzielny Szpital Miejski im. PCK, ul. Sienkiewicza 79, 15-003 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;11;21;3
181;"Białostockie Centrum Onkologii im. Marii Skłodowskiej-Curie, ul. Ogrodowa 12, 15-027 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;46;46;8
182;"Dom Pomocy Społecznej, ul. Świerkowa 9, 15-328 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;20;77;9
183;"Dom Opieki Społecznej Zgromadzenia Sióstr Franciszkanek od Cierpiących, ul. Proletariacka 8, ul. Proletariacka 8, 15-449 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;0;14;0
184;"Oddział Zewnętrzny Aresztu Śledczego w Białymstoku, ul. Hetmańska 89, 15-727 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;105;35;65
185;"Areszt Śledczy, ul. Mikołaja Kopernika 21, 15-377 Białystok";206101;"m. Białystok";"Białystok";"podlaskie";1;1;213;76;123
