"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
15;"Ośrodek Rozwojowo-Wdrożeniowy Lasów Państwowych w Nowym Bedoniu, ul. Henryka Sienkiewicza 19, 95-020 Nowy Bedoń";100602;"gm. Andrespol";"łódzki wschodni";"łódzkie";1;1;94;48;155
16;"Liceum Ogólnokształcące im. Jana Karskiego w Wiśniowej Górze, Wiśniowa Góra ul. Tuszyńska 32, 95-020 Andrespol";100602;"gm. Andrespol";"łódzki wschodni";"łódzkie";1;1;127;40;199
17;"Dom Pomocy Społecznej w Wiśniowej Górze, Wiśniowa Góra ul. Tuszyńska 56, 95-020 Andrespol";100602;"gm. Andrespol";"łódzki wschodni";"łódzkie";1;1;18;4;2
1;"Filia Szkoły Podstawowej w Kurowicach z/s w Woli Rakowej, Wola Rakowa ul. Szkolna 3, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;392;129;327
2;"Filia Szkoły Podstawowej w Kurowicach z/s w Woli Rakowej, Wola Rakowa ul. Szkolna 3, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;94;21;60
3;"Szkoła Podstawowa im. Orła Białego w Kurowicach, Kurowice ul. Szkolna 1, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;537;166;356
4;"Zespół Szkolno-Przedszkolny w Bukowcu, Bukowiec ul. Szkolna 3, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;200;89;346
5;"Zespół Szkolno-Przedszkolny w Bukowcu, Bukowiec ul. Szkolna 3, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;292;126;673
6;"Gminny Ośrodek Kultury w Brójcach, Brójce 39b, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;250;80;191
7;"Ośrodek Rehabilitacyjno Leczniczy ""Sosnowa Aleja"" Sp. z o. o. w Wardzynie, Wardzyn 97, 95-006 Brójce";100603;"gm. Brójce";"łódzki wschodni";"łódzkie";1;1;6;3;11
1;"Klub Senior+, ul. Budowlanych 4, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;520;114;577
2;"Szkoła Podstawowa Nr 2 im. Marii Konopnickiej w Koluszkach, ul. Kościuszki 16, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;425;98;586
3;"Miejska Biblioteka Publiczna im. W. Strzemińskiego w Koluszkach, ul. 11 Listopada 33, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;255;71;316
4;"Ochotnicza Straż Pożarna w Koluszkach, ul. 11 Listopada 39, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;272;79;362
5;"Przedszkole Nr 2 w Koluszkach, ul. Reja 5, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;270;103;326
6;"Budynek przy ul. Mickiewicza 8 w Koluszkach, ul. Mickiewicza 8, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;341;81;393
7;"Żłobek Miejski w Koluszkach, ul. Staszica 36, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;290;89;462
8;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Koluszkach, ul. Zagajnikowa 12, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;245;66;305
9;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Koluszkach, ul. Zagajnikowa 12, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;261;91;355
10;"Budynek przy ul. Mickiewicza 8 w Koluszkach, ul. Mickiewicza 8, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;74;28;160
11;"Szkoła Podstawowa im. Juliana Tuwima w Różycy, Różyca ul. Piotrkowska 11, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;196;90;357
12;"Szkoła Podstawowa im. Juliana Tuwima w Różycy, Różyca ul. Piotrkowska 11, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;187;64;292
13;"Świetlica w Przanowicach, Przanowice 29A, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;104;45;97
14;"Szkoła Podstawowa w Gałkowie Dużym, ul. Dzieci Polskich 14, 95-041 Gałków Duży";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;207;84;380
15;"Szkoła Podstawowa w Gałkowie Dużym, ul. Dzieci Polskich 14, 95-041 Gałków Duży";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;365;162;686
16;"Ochotnicza Straż Pożarna w Borowej, Borowa ul. Długa 166, 95-041 Gałków Duzy";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;176;59;280
17;"Szkoła Podstawowa im. Jana Brzechwy w Będzelinie, Będzelin ul. Szkolna 10, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;97;27;101
18;"Szkoła Podstawowa im. Juliana Tuwima w Różycy, Różyca ul. Piotrkowska 11, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;128;49;182
19;"Świetlica w Nowym Redzeniu, Nowy Redzeń 83A, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;111;23;83
20;"Świetlica w Nowym Redzeniu, Nowy Redzeń 83A, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;177;33;132
21;"Świetlica w Regnach, Regny ul. Główna 22, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;124;36;93
22;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Długiem, Długie 4, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;160;37;96
23;"Ochotnicza Straż Pożarna w Wierzchach, Wierzchy 53, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;84;24;52
24;"Świetlica w Felicjanowie, Felicjanów 1A, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;153;35;135
25;"Świetlica w Katarzynowie, Katarzynów 7, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;136;26;111
26;"Dom Pomocy Społecznej w Lisowicach, Lisowice 13, 95-040 Koluszki";100607;"gm. Koluszki";"łódzki wschodni";"łódzkie";1;1;10;1;8
1;"świetlica wiejska, Kalonka 47, 92-701 Kalonka";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;166;63;542
2;"świetlica środowiskowa, Kalonka 47, 92-701 Kalonka";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;147;64;537
3;"Gminno-Parkowe Centrum Kultury i Ekologii, Plichtów 21, 92-701 Plichtów";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;222;101;589
4;"Szkoła Podstawowa, Lipiny 14, 92-701 Lipiny";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;167;59;241
5;"Szkoła Podstawowa, Stare Skoszewy 19, 92-701 Stare Skoszewy";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;114;36;280
