"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
87;"Szkoła Podstawowa nr 83 im. Stanisława Jachowicza, ul. Podmiejska 21, 93-165 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;418;150;1111
88;"Szkoła Podstawowa nr 83 im. Stanisława Jachowicza, ul. Podmiejska 21, 93-165 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;387;109;836
89;"Szkoła Podstawowa nr 38 im. dr. Henryka Jordana, ul. Krochmalna 21, 93-144 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;487;175;965
90;"Szkoła Podstawowa nr 38 im. dr. Henryka Jordana, ul. Krochmalna 21, 93-144 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;474;166;982
91;"Zespół Szkół Przemysłu Mody im. bł. Matki Teresy z Kalkuty, ul. Adama Naruszewicza 35, 93-161 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;304;123;758
92;"Szkoła Podstawowa nr 190 im. Jarosława Iwaszkiewicza, ul. Jacka Malczewskiego 37/47, 93-154 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;380;199;1213
93;"Szkoła Podstawowa nr 174 im. Jana Machulskiego, ul. Konstantego Ildefonsa Gałczyńskiego 6, 93-259 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;364;156;759
94;"XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa, ul. Konspiracyjnego Wojska Polskiego 5B, 93-236 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;341;150;694
95;"XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa, ul. Konspiracyjnego Wojska Polskiego 5B, 93-236 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;281;128;676
96;"VI Liceum Ogólnokształcące im. Joachima Lelewela, ul. Deotymy 1, 93-267 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;280;87;546
97;"VI Liceum Ogólnokształcące im. Joachima Lelewela, ul. Deotymy 1, 93-267 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;388;140;892
98;"Przedszkole Miejskie nr 119, ul. Lucjana Rydla 17, 93-203 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;363;122;802
99;"Szkoła Podstawowa nr 64 im. Hansa Christiana Andersena, ul. Władysława Anczyca 6, 93-262 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;394;149;814
100;"Szkoła Podstawowa nr 64 im. Hansa Christiana Andersena, ul. Władysława Anczyca 6, 93-262 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;398;157;812
101;"Biblioteka Miejska w Łodzi Filia Nr 72, ul. Wincentego Kadłubka 40, 93-248 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;263;102;614
102;"Biblioteka Miejska w Łodzi Filia Nr 72, ul. Wincentego Kadłubka 40, 93-248 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;357;168;785
103;"Fundacja JiM, ul. Tatrzańska 105, 93-279 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;486;188;1163
104;"Szkoła Podstawowa nr 189, ul. Juliusza Kossaka 19, 93-213 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;467;171;991
105;"XXV Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Podhalańska 2A, 93-224 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;413;127;873
106;"XXV Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Podhalańska 2A, 93-224 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;252;119;631
107;"Dom Ludowy ""Józefów"", ul. Józefów 43, 93-615 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;195;87;451
108;"Klub Osiedlowy Nr 1 Spółdzielni Mieszkaniowej ""Chojny"", ul. Skupiona 3, 93-323 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;403;108;840
109;"Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego, ul. Powszechna 15, 93-321 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;482;216;1390
110;"Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego, ul. Powszechna 15, 93-321 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;685;152;1448
111;"Szkoła Podstawowa nr 110 im. Partyzantów Ziemi Łódzkiej, ul. Zamknięta 3, 93-323 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;712;180;1478
112;"Lokal Rady Osiedla Chojny, ul. Rzgowska 151, 93-303 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;477;177;1100
113;"Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej, ul. Pryncypalna 74, 93-379 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;621;192;1118
114;"Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej, ul. Pryncypalna 74, 93-379 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;477;155;1101
115;"XLIII Liceum Ogólnokształcące im. Juliana Tuwima, ul. Królewska 13/15, 93-319 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;346;110;739
116;"XLIII Liceum Ogólnokształcące im. Juliana Tuwima, ul. Królewska 13/15, 93-319 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;460;119;1239
117;"Klub Osiedlowy Nr 2 Spółdzielni Mieszkaniowej ""Chojny"", ul. Gościnna 8, 93-356 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;299;104;716
118;"Zakład Hoteli i Budynków Mieszkalnych przy Instytucie Centrum Zdrowia Matki Polki w Łodzi, ul. Paradna 46, 93-345 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;393;178;1644
120;"Centrum Zajęć Pozaszkolnych nr 2, ul. Sopocka 3/5, 93-490 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;196;98;520
121;"Szkoła Podstawowa nr 138 im. Leopolda Staffa, ul. Stanisława Dubois 7/9, 93-491 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;451;169;1059
122;"Szkoła Podstawowa nr 138 im. Leopolda Staffa, ul. św. Franciszka z Asyżu 53, 93-479 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;360;123;904
123;"Szkoła Podstawowa nr 138 im. Leopolda Staffa, ul. św. Franciszka z Asyżu 53, 93-479 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;325;124;812
124;"Zespół Szkół Techniczno-Informatycznych im. Jana Nowaka-Jeziorańskiego, ul. Aleje Politechniki 37, 93-502 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;224;107;609
125;"Szkoła Podstawowa nr 42 im. Stanisława Staszica, ul. Przyszkole 42, 93-552 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;437;158;1100
126;"Biblioteka Miejska w Łodzi Filia nr 73, ul. Piękna 35/39, 93-558 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;558;202;1366
127;"Zespół Szkół Techniczno-Informatycznych im. Jana Nowaka-Jeziorańskiego, ul. Aleje Politechniki 37, 93-502 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;140;64;244
128;"Szkoła Podstawowa nr 7 im. Orląt Lwowskich, ul. Wiosenna 1, 93-535 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;340;110;874
129;"Szkoła Podstawowa nr 7 im. Orląt Lwowskich, ul. Wiosenna 1, 93-535 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;334;130;690
130;"Zespół Szkół Ekonomii i Usług, ul. Astronautów 19, 93-533 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;188;84;536
131;"Zespół Szkół Ekonomii i Usług, ul. Astronautów 19, 93-533 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;438;154;857
132;"Szkoła Podstawowa nr 51 im. Stefana Linkego, ul. Konstantego Ciołkowskiego 11A, 93-510 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;295;116;626
133;"IX Liceum Ogólnokształcące im. Jarosława Dąbrowskiego, ul. Ignacego Paderewskiego 24, 93-025 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;242;87;625
134;"Szkoła Podstawowa nr 113 im. Adolfa Dygasińskiego, ul. Unicka 6, 93-009 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;522;163;1083
135;"Szkoła Podstawowa nr 113 im. Adolfa Dygasińskiego, ul. Unicka 6, 93-009 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;344;128;849
136;"Szkoła Podstawowa nr 51 im. Stefana Linkego, ul. Konstantego Ciołkowskiego 11A, 93-510 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;342;86;820
137;"Liceum Ogólnokształcące ZNP, ul. Scaleniowa 6, 93-436 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;467;172;1066
138;"Szkoła Podstawowa nr 125 im. Janusza Korczaka, ul. Dzwonowa 18/20, 93-429 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;354;155;784
139;"Dom Pomocy Społecznej, ul. Rudzka 56, 93-423 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;250;96;568
140;"Szkoła Podstawowa nr 143, ul. Kuźnicka 12, 94-459 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;344;163;977
141;"Szkoła Podstawowa nr 125 im. Janusza Korczaka, ul. Dzwonowa 18/20, 93-429 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;241;113;854
142;"Lokal Rady Osiedla Wiskitno, ul. Kolumny 311, 93-642 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;189;71;382
143;"Szkoła Podstawowa nr 130 im. Marszałka Józefa Piłsudskiego, ul. Gościniec 1, 93-645 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;611;217;922
229;"XLVII Liceum Ogólnokształcące im. Stanisława Staszica, ul. Stanisława Czernika 1/3, 92-538 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;431;156;1124
230;"XLVII Liceum Ogólnokształcące im. Stanisława Staszica, ul. Stanisława Czernika 1/3, 92-538 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;395;123;915
231;"XLVII Liceum Ogólnokształcące im. Stanisława Staszica, ul. Stanisława Czernika 1/3, 92-538 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;466;125;1033
232;"Szkoła Podstawowa nr 199 im. Juliana Tuwima, ul. Józefa Elsnera 8, 92-504 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;510;165;1239
233;"Szkoła Podstawowa nr 199 im. Juliana Tuwima, ul. Józefa Elsnera 8, 92-504 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;484;152;1551
234;"Szkoła Podstawowa nr 34 im. Wisławy Szymborskiej, ul. Mieczysławy Ćwiklińskiej 9, 92-508 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;462;185;1255
235;"Szkoła Podstawowa nr 34 im. Wisławy Szymborskiej, ul. Mieczysławy Ćwiklińskiej 9, 92-508 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;357;150;979
236;"Zespół Szkół Ogólnokształcących 1, ul. Piotra Czajkowskiego 14, 92-511 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;325;91;872
237;"Zespół Szkół Ogólnokształcących 1, ul. Piotra Czajkowskiego 14, 92-511 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;294;110;805
238;"Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego, ul. Michała Lermontowa 7, 92-512 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;476;190;1278
239;"Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego, ul. Michała Lermontowa 7, 92-512 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;490;144;1075
240;"Szkoła Podstawowa nr 12 im. Mariana Batki, ul. Juliusza Jurczyńskiego 1/3, 92-306 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;358;146;840
241;"Szkoła Podstawowa nr 12 im. Mariana Batki, ul. Juliusza Jurczyńskiego 1/3, 92-306 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;470;102;982
242;"Zespół Szkolno-Przedszkolny nr 5, ul. Milionowa 64, 92-334 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;283;133;897
243;"Zespół Szkolno-Przedszkolny nr 5, ul. Milionowa 64, 92-334 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;291;126;899
244;"Szkoła Podstawowa nr 204 im. Stefana Kardynała Wyszyńskiego, ul. Tadeusza Gajcego 7/11, 92-610 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;207;115;603
245;"Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego, ul. Zakładowa 35, 92-402 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;626;191;1379
246;"Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego, ul. Zakładowa 35, 92-402 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;472;197;1299
247;"Szkoła Podstawowa nr 205 im. Św. Jadwigi Królowej Polski, ul. Dąbrówki 1, 92-413 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;404;168;1236
248;"Szkoła Podstawowa nr 205 im. Św. Jadwigi Królowej Polski, ul. Dąbrówki 1, 92-413 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;591;156;1334
249;"Przedszkole Miejskie nr 4, ul. Andrzeja Kmicica 5, 92-433 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;433;143;1081
250;"Przedszkole Miejskie nr 4, ul. Andrzeja Kmicica 5, 92-433 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;428;126;1336
251;"Przedszkole Miejskie nr 4, ul. Andrzeja Kmicica 5, 92-433 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;425;210;1544
252;"Lokal Rady Osiedla Dolina Łódki, ul. Beskidzka 172, 91-610 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;389;157;1109
253;"Publiczna Szkoła Podstawowa ""Mileszki"", ul. Pomorska 437, 92-735 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;416;185;907
254;"Szkoła Podstawowa nr 37 im. Janusza Kusocińskiego, ul. Szpitalna 9/11, 92-207 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;222;110;599
255;"Szkoła Podstawowa nr 37 im. Janusza Kusocińskiego, ul. Szpitalna 9/11, 92-207 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;413;195;1056
256;"Szkoła Podstawowa nr 4 im. Komisji Edukacji Narodowej, al. marsz. Józefa Piłsudskiego 101, 92-329 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;395;171;1228
257;"Zespół Szkolno-Przedszkolny Nr 3, ul. Przędzalniana 70, 90-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;408;178;914
258;"Zespół Szkolno-Przedszkolny Nr 3, ul. Przędzalniana 70, 90-038 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;244;141;782
259;"Szkoła Podstawowa nr 170 im. Anieli Krzywoń, ul. Miedziana 1/3, 90-038 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;172;107;420
260;"Szkoła Podstawowa nr 170 im. Anieli Krzywoń, ul. Miedziana 1/3, 90-038 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;172;96;490
261;"Szkoła Podstawowa nr 170 im. Anieli Krzywoń, ul. Miedziana 1/3, 90-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;297;146;716
262;"II Liceum Ogólnokształcące im. Gabriela Narutowicza, ul. Nowa 11/13, 90-031 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;333;151;875
263;"Zespół Szkolno-Przedszkolny Nr 3, ul. Przędzalniana 70, 90-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;210;119;540
264;"Zespół Szkolno-Przedszkolny nr 2, ul. Jugosłowiańska 2, 92-720 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;404;165;1094
265;"Zespół Szkolno-Przedszkolny nr 2, ul. Jugosłowiańska 2, 92-720 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;341;151;1100
266;"Przedszkole Miejskie nr 230, ul. Przylesie 22, 92-644 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;340;144;611
267;"Szkoła Podstawowa nr 204 im. Stefana Kardynała Wyszyńskiego, ul. Tadeusza Gajcego 7/11, 92-610 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;350;135;730
268;"Szkoła Podstawowa nr 204 im. Stefana Kardynała Wyszyńskiego, ul. Tadeusza Gajcego 7/11, 02-610 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;502;156;856
269;"Przedszkole Miejskie nr 65, ul. Stanisława Przybyszewskiego 92, 93-100 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;236;133;704
270;"XLIV Liceum Ogólnokształcące, ul. Wacława 22/24, 93-118 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;218;107;779
271;"Przedszkole Miejskie nr 221-Integracyjne w Łodzi, al. Marszałka Edwarda Śmigłego-Rydza 38, 93-281 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;278;92;693
272;"Szkoła Podstawowa nr 149 im. Obrońców Westerplatte, ul. Tatrzańska 69A, 93-219 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;575;151;1247
273;"Szkoła Podstawowa nr 149 im. Obrońców Westerplatte, ul. Tatrzańska 69A, 93-291 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;410;117;1076
274;"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;310;115;763
275;"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;243;81;520
276;"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;158;70;767
277;"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Gen. Stefana Grota-Roweckiego 1, 93-217 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;316;103;672
278;"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Gen. Stefana Grota-Roweckiego 1, 93-217 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;291;94;604
279;"Zespół Szkolno-Przedszkolny Nr 6 w Łodzi, ul. Janosika 136, 92-108 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;468;157;1385
280;"Szkoła Podstawowa nr 139 im. Wojska Polskiego, ul. Giewont 28, 92-116 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;430;167;1040
281;"Szkoła Podstawowa nr 139 im. Wojska Polskiego, ul. Giewont 28, 92-116 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;283;125;686
282;"Pogotowie Opiekuńcze Nr 1, ul. Krokusowa 15/17, 92-101 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;368;104;746
283;"Szkoła Podstawowa Specjalna nr 128, ul. Nowogrodzka 6/14, 92-221 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;272;181;905
295;"Instytut Centrum Zdrowia Matki Polki w Łodzi, ul. Rzgowska 281/289, 93-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;44;18;77
296;"Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi, ul. Pabianicka 62, 93-490 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;103;21;125
297;"Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi Ośrodek Wczesnej Rehabilitacji Kardiologicznej, ul. Popioły 40, 93-438 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;16;2;13
298;"Szpital Zakonu Bonifratrów św. Jana Bożego w Łodzi sp. z o. o., ul. Kosynierów Gdyńskich 61, 93-357 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;15;4;23
299;"5 Dom Pomocy Społecznej w Łodzi, ul. Podgórna 2/14, 93-278 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;18;3;8
300;"3 Dom Pomocy Społecznej w Łodzi, ul. Paradna 36, 93-345 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;17;4;13
301;"Dom Pomocy Społecznej w Łodzi, ul. Rudzka 56, 93-423 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;25;4;6
302;"Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP NP im. bł. Edmunda Bojanowskiego w Łodzi, ul. Kosynierów Gdyńskich 20, 93-357 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;39;2;7
303;"Oddział Zewnętrzny Zakładu Karnego Nr 1 w Łodzi, ul. Józefa Ignacego Kraszewskiego 1/5, 93-161 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;30;57;88
313;"Centrum Rehabilitacyjno-Opiekuńcze-Dom Pomocy Społecznej w Łodzi, ul. Stanisława Przybyszewskiego 255/267, 92-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;102;11;67
314;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im. Wojskowej Akademii Medycznej Uniwersytetu Medycznego w Łodzi Centralny Szpital Weteranów, ul. Pieniny 30, 92-115 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;9;0;15
315;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Uniwersytetu Medycznego w Łodzi Kliniki Psychiatryczne, ul. Czechosłowacka 8/10, 92-216 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;29;8;26
316;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Uniwersytetu Medycznego w Łodzi Centrum Kliniczno-Dydaktyczne, ul. Pomorska 251, 92-213 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;62;11;98
317;"Miejskie Centrum Medyczne im. dr Karola Jonschera w Łodzi, ul. Milionowa 14, 93-113 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;33;7;47
318;"Zakład Karny Nr 1 w Łodzi, ul. Beskidzka 54, 91-612 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;66;156;163
