"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAWĘDA Ewa Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"MAKAREWICZ Konrad Karol - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SIEDLACZEK Henryk Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PUSTELNIK Adam Ferdynand - KW ŚLONZOKI RAZEM"
5;"Wiejski Dom Kultury, Syrynia ul. 3 Maja 65, 44-361 Lubomia";241507;"gm. Lubomia";"wodzisławski";"śląskie";1;1;482;58;279;52
6;"Wiejski Dom Kultury w Nieboczowach, Nieboczowy ul. Wiejska 25, 44-360 Lubomia";241507;"gm. Lubomia";"wodzisławski";"śląskie";1;1;167;10;37;7
7;"Świetlica OSP, Buków ul. Główna 24a, 44-360 Lubomia";241507;"gm. Lubomia";"wodzisławski";"śląskie";1;1;78;12;42;4
1;"Szkoła Podstawowa Nr 1, ul. Wyzwolenia 160, 44-321 Marklowice";241508;"gm. Marklowice";"wodzisławski";"śląskie";1;1;242;86;302;85
2;"Szkoła Podstawowa Nr 1, ul. Wyzwolenia 160, 44-321 Marklowice";241508;"gm. Marklowice";"wodzisławski";"śląskie";1;1;250;63;285;90
3;"Budynek Ochotniczej Straży Pożarnej, ul. Krakusa 14, 44-321 Marklowice";241508;"gm. Marklowice";"wodzisławski";"śląskie";1;1;279;50;236;99
4;"Szkoła Podstawowa Nr 2, ul. Wiosny Ludów 78, 44-321 Marklowice";241508;"gm. Marklowice";"wodzisławski";"śląskie";1;1;340;83;438;119
1;"Urząd Gminy, ul. 1 Maja 81, 44-325 Mszana";241509;"gm. Mszana";"wodzisławski";"śląskie";1;1;600;118;295;100
2;"Urząd Gminy, ul. 1 Maja 81, 44-325 Mszana";241509;"gm. Mszana";"wodzisławski";"śląskie";1;1;552;114;247;126
3;"Zespół Szkolno-Przedszkolny, ul. Szkolna 21, 44-323 Połomia";241509;"gm. Mszana";"wodzisławski";"śląskie";1;1;802;169;299;266
4;"Szkoła Podstawowa, Gogołowa ul. Wiejska 89, 44-323 Połomia";241509;"gm. Mszana";"wodzisławski";"śląskie";1;1;287;78;144;101
1;"Szkoła Podstawowa nr 14, ul. Edukacyjna 13, 44-268 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;547;258;342;350
2;"Szkoła Podstawowa nr 18, os. Osiedle 1000-lecia 9, 44-268 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;452;186;364;209
3;"Szkoła Podstawowa nr 18, os. Osiedle 1000-lecia 9, 44-268 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;394;195;296;103
4;"Zespół Szkolno-Przedszkolny nr 1, ul. Pszczyńska 125, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;840;239;668;219
5;"Publiczne Przedszkole nr 16, ul. Ruchu Oporu 25, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;469;155;320;97
6;"Publiczne Przedszkole nr 16, ul. Ruchu Oporu 25, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;416;123;304;104
7;"Dom Strażaka, ul. Rostków 7, 44-336 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;598;196;522;260
8;"Szkoła Podstawowa nr 15, ul. Niepodległości 34, 44-336 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;281;127;228;136
9;"Zespół Szkół Mistrzostwa Sportowego, ul. Piastów 15, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;332;102;267;58
10;"Zespół Szkół Mistrzostwa Sportowego, ul. Piastów 15, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;336;129;266;93
11;"Szkoła Podstawowa nr 4, ul. Tadeusza Kościuszki 19, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;606;195;604;99
12;"Szkoła Podstawowa nr 4, ul. Tadeusza Kościuszki 19, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;594;182;660;125
13;"Zespół Szkół Techniczno-Branżowych, ul. 11 Listopada 45, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;472;142;444;107
14;"Szkoła Podstawowa nr 9, ul. Wielkopolska 22, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;698;261;667;120
15;"Szkoła Podstawowa nr 9, ul. Wielkopolska 22, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;568;246;558;120
16;"Szkoła Podstawowa nr 20, ul. Bronisława Czecha 20A, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;427;181;558;97
17;"Szkoła Podstawowa nr 20, ul. Bronisława Czecha 20A, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;484;148;542;102
18;"Szkoła Podstawowa nr 16, ul. Komuny Paryskiej 18C, 44-338 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;590;135;359;140
19;"Szkoła Podstawowa nr 16, ul. Komuny Paryskiej 18C, 44-338 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;455;172;263;167
20;"Szkoła Podstawowa nr 17, ul. ks. Emanuela Płonki 23, 44-337 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;354;147;394;139
21;"Szkoła Podstawowa nr 17, ul. ks. Emanuela Płonki 23, 44-337 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;484;147;486;138
22;"Szkoła Podstawowa nr 6, ul. Śląska 6, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;364;119;334;69
23;"Szkoła Podstawowa nr 6, ul. Śląska 6, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;346;102;329;81
24;"Budynek szkoły, ul. Kaszubska 2, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;580;159;484;111
25;"Budynek szkoły, ul. Kaszubska 2, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;565;195;489;139
26;"Szkoła Podstawowa nr 10, ul. Zielona 2A, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;509;181;433;99
27;"Szkoła Podstawowa nr 10, ul. Zielona 2A, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;578;231;497;125
28;"I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stanisława Staszica, ul. Graniczna 2, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;618;261;704;123
29;"Szkoła Podstawowa nr 12, ul. Szkolna 7, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;432;175;506;97
30;"Szkoła Podstawowa nr 12, ul. Szkolna 7, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;479;196;531;105
31;"Szkoła Podstawowa nr 13, ul. Katowicka 35, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;372;127;387;67
32;"Szkoła Podstawowa nr 13, ul. Katowicka 35, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;430;125;387;77
33;"Zespół Szkół nr 2, ul. Poznańska 1A, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;471;182;521;83
34;"Zespół Szkół nr 2, ul. Poznańska 1A, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;475;156;565;88
35;"Zakład Karny, ul. Norwida 23, 44-268 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;98;59;254;46
36;"Wojewódzki Szpital Specjalistyczny nr 2, ul. Aleja Jana Pawła II 7, 44-330 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;51;12;37;13
37;"Wojewódzki Szpital Specjalistyczny nr 2, ul. Ignacego Krasickiego 21, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;3;1;6;2
38;"Dom Pomocy Społecznej, ul. Kaszubska 6, 44-335 Jastrzębie-Zdrój";246701;"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";1;1;6;4;7;4
1;"Szkoła Podstawowa nr 3 z Oddziałami Dwujęzycznymi i Sportowymi im. Żorskich Twórców Kultury w Żorach, ul. Klimka 7, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;360;171;632;196
2;"Zespół Szkolno-Przedszkolny nr 1 w Żorach, ul. Słoneczna 2, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;537;231;874;224
3;"Zespół Szkolno-Przedszkolny nr 6 w Żorach, ul. Pszczyńska 81, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;380;210;581;229
4;"Zespół Szkolno-Przedszkolny nr 5 w Żorach, ul. Strażacka 6, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;434;239;548;203
5;"Zespół Szkolno-Przedszkolny nr 7 w Żorach, ul. Szkolna 8, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;262;154;372;125
6;"Szkoła Podstawowa nr 16 z Oddziałami Integracyjnymi im. Marii Konopnickiej w Żorach, ul. Osińska 50, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;355;178;513;133
7;"Szkoła Podstawowa nr 16 z Oddziałami Integracyjnymi im. Marii Konopnickiej w Żorach, ul. Osińska 50, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;311;145;442;109
8;"Szkoła Podstawowa nr 3 z Oddziałami Dwujęzycznymi i Sportowymi im. Żorskich Twórców Kultury w Żorach, os. Osiedle 700-lecia Żor 16, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;478;194;702;136
9;"Szkoła Podstawowa nr 4 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Otylii Jędrzejczak w Żorach, ul. Boryńska 38c, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;471;212;665;130
10;"Szkoła Podstawowa nr 4 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Otylii Jędrzejczak w Żorach, ul. Boryńska 38c, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;536;197;745;165
11;"Szkoła Podstawowa nr 17 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Stanisława Ligonia w Żorach, ul. Dąbrowskiego 15, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;395;181;554;119
12;"Szkoła Podstawowa nr 17 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Stanisława Ligonia w Żorach, ul. Dąbrowskiego 15, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;395;184;603;126
13;"Szkoła Podstawowa nr 13 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Polskich Olimpijczyków w Żorach, os. Osiedle Pawlikowskiego 40, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;575;250;693;164
14;"Szkoła Podstawowa nr 13 z Oddziałami Sportowymi i Mistrzostwa Sportowego im. Polskich Olimpijczyków w Żorach, os. Osiedle Pawlikowskiego 40, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;435;200;587;149
15;"Zespół Szkół nr 3 w Żorach, os. Osiedle Sikorskiego 52, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;440;182;591;141
16;"Zespół Szkół nr 3 w Żorach, os. Osiedle Sikorskiego 52, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;490;196;542;151
17;"Szkoła Podstawowa nr 15 z Oddziałami Sportowymi w Żorach, ul. Bankowa 1, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;446;189;558;126
18;"Technikum nr 1 im. Mikołaja Kopernika w Żorach, ul. Rybnicka 5, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;333;142;647;127
19;"Technikum nr 1 im. Mikołaja Kopernika w Żorach, ul. Rybnicka 5, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;416;218;603;194
20;"Zespół Szkolno-Przedszkolny nr 9 w Żorach, ul. Rybnicka 226, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;513;250;553;331
21;"Zespół Szkolno-Przedszkolny nr 8 w Żorach, ul. Wysoka 13, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;565;310;791;331
22;"Zespół Szkolno-Przedszkolny nr 11 w Żorach, ul. Wodzisławska 201, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;480;162;294;242
23;"Zespół Szkolno-Przedszkolny nr 11 w Żorach, ul. Wodzisławska 201, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;407;188;422;164
24;"Szpital Miejski, ul. Dąbrowskiego 20, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;8;3;10;1
25;"Miejski Dom Pomocy Społecznej, os. Osiedle Powstańców Śląskich 20, 44-240 Żory";247901;"m. Żory";"Żory";"śląskie";1;1;5;1;2;2
