"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
11;"Zespół Placówek Oświatowych Nr 2, Szkoła Podstawowa Nr 2 w Działdowie, ul. Sportowa 1, 13-200 Działdowo";280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;39;455;221;57;10
12;"Zespół Placówek Oświatowych Nr 2, Hala Sportowa przy Szkole Podstawowej Nr 2 w Działdowie, ul. Sportowa 1, 13-200 Działdowo";280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;45;412;291;59;20
13;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Działdowie, ul. Leśna 1, 13-200 Działdowo";280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;7;25;33;3;5
14;"Zakład Karny w Iławie Oddział Zewnętrzny w Działdowie, ul. Władysława Jagiełły 31A, 13-200 Działdowo";280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;7;24;17;10;5
1;"Budynek po Szkole Podstawowej w Klęczkowie, Klęczkowo 13, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;19;95;62;29;3
2;"Świetlica Wiejska w Kurkach, Kurki 59, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;14;76;69;37;9
3;"Szkoła Podstawowa w Petrykozach, Petrykozy 59, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;6;57;99;20;3
4;"Świetlica Wiejska w Księżym Dworze, Księży Dwór 55, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;29;153;190;31;11
5;"Szkoła Podstawowa w Uzdowie, Uzdowo 75, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;19;167;131;17;2
6;"Szkoła Podstawowa w Ruszkowie, Ruszkowo 64, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;13;86;157;18;7
7;"Świetlica Wiejska w Wysokiej, Wysoka 28, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;16;122;80;28;4
8;"Szkoła Podstawowa w Burkacie, Burkat 46, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;19;154;103;37;5
9;"Szkoła Podstawowa w Turzy Wielkiej, Turza Wielka 57A, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;9;128;111;32;5
10;"Świetlica Wiejska w Kisinach, Kisiny 38, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;21;158;142;26;11
11;"Świetlica Wiejska w Grzybinach, Grzybiny 31, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;10;42;105;11;5
12;"Świetlica Wiejska w Krasnołące, Krasnołąka 18, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;8;47;47;11;7
13;"Świetlica Wiejska w Pożarach, Pożary 16, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;10;38;39;6;4
14;"Świetlica Wiejska w Gnojnie, Gnojno 73, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;7;48;76;13;2
15;"Świetlica Wiejska w Zakrzewie, Zakrzewo 14, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;7;32;90;16;2
16;"Świetlica Wiejska w Kramarzewie, Kramarzewo 16, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;9;49;93;20;4
17;"Świetlica Wiejska w Jankowicach, Jankowice 1, 14-120 Dąbrówno";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;6;32;122;15;5
18;"Świetlica wiejska w Sławkowie, Sławkowo 18A, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;18;44;96;16;0
19;"Świetlica Wiejska w Pierławkach, Pierławki 33, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;11;57;28;23;3
20;"Świetlica Wiejska w Filicach, Filice 26, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;19;105;72;17;6
21;"Dom Pomocy Społecznej w Uzdowie, Uzdowo 18/19, 13-200 Działdowo";280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";1;1;1;5;9;5;4
1;"Gminny Ośrodek Kultury i Sportu w Iłowie-Osadzie, ul. Staszica 1, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;31;261;205;46;10
2;"Zespół Szkół Technicznych i Ogólnokształcących w Iłowie-Osadzie, ul. Leśna 10A, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;57;453;385;101;29
3;"Remiza Ochotniczej Straży Pożarnej w Iłowie-Wsi, Iłowo-Wieś ul. Wiejska 4A, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;24;160;141;32;9
4;"Gminny Ośrodek Kultury i Sportu w Iłowie-Osadzie Filia w Białutach, Białuty 1, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;24;79;161;30;9
5;"Zespół Szkół Nr 2 w Narzymiu, Narzym ul. Kościelna 14, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;45;302;363;86;24
6;"Świetlica Środowiskowa w Pruskach, Pruski 1, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;10;41;52;18;7
7;"Świetlica Wiejska w Brodowie, Brodowo 49A, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;6;33;60;11;1
8;"Świetlica Wiejska w Wierzbowie, Wierzbowo 26, 13-240 Iłowo-Osada";280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";1;1;3;45;68;4;0
1;"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi i Sportowymi im. Szarych Szeregów, ul. Nowa 10, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;36;417;358;47;20
2;"Żłobek Miejski, ul. Zieluńska 7, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;60;454;376;79;28
3;"Szkoła Podstawowa nr 1 z Oddziałami Dwujęzycznymi i Sportowymi im. Tadeusza Kościuszki, ul. Działdowska 13, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;52;329;355;45;13
4;"Przedszkole Miejskie, ul. Akacjowa 19, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;18;218;198;40;5
5;"Dzienny Dom ""Senior+"", ul. Działdowska 10A, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;47;351;330;82;19
6;"Szkoła Podstawowa, Słup 41, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;16;98;150;27;8
7;"Świetlica Wiejska, Wąpiersk 10, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;19;94;96;24;6
8;"Szkoła Podstawowa, Bryńsk 71, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;14;111;118;19;7
9;"Świetlica Wiejska, Nowy Dwór 16, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;19;96;124;23;10
10;"Szkoła Podstawowa im. Henryka Sienkiewicza, ul. Długa 61, 13-203 Stare Dłutowo";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;16;246;233;44;12
11;"Świetlica Wiejska, Klonowo 35, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;10;64;60;13;5
12;"Świetlica Wiejska, Jeleń 65, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;7;101;109;22;3
13;"Świetlica Wiejska, Cibórz 11, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;24;93;79;31;2
14;"Szkoła Podstawowa im. Orła Białego, Kiełpiny 1, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;12;85;137;41;2
