"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
5;"Świetlica w Lubnowych Wielkie, Lubnowy Wielkie 11, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;28;86;100;22;14
6;"Świetlica w Bałoszycach, Jawty Wielkie 63, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;17;129;154;43;14
7;"Świetlica w Michałowie, Michałowo 11A, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;28;94;116;38;10
8;"Świetlica w Kamieńcu, Kamieniec 20A, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;23;115;197;46;16
9;"Świetlica w Piotrkowie, Piotrkowo 23A, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;9;94;154;25;5
10;"Szkoła Podstawowa, Babięty Wielkie 31, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;28;144;182;53;22
11;"Świetlica, Ulnowo 1, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;28;168;203;48;11
1;"Urząd Miejski w Zalewie, ul. Częstochowska 8, 14-230 Zalewo";280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";1;1;50;528;361;86;20
2;"Urząd Miejski w Zalewie, ul. Częstochowska 8, 14-230 Zalewo";280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";1;1;33;311;276;50;26
3;"Szkoła Podstawowa w Borecznie, Boreczno 22, 14-230 Zalewo";280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";1;1;33;279;282;67;13
4;"Szkoła Podstawowa w Dobrzykach, Dobrzyki 25, 14-230 Zalewo";280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";1;1;25;180;152;41;16
1;"Szkoła Podstawowa Nr 3 im. Filomatów Nowomiejskich, ul. Działyńskich 14, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;29;300;196;38;14
2;"Miejski Ośrodek Pomocy Społecznej, ul. Janusza Korczaka 4, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;51;512;302;73;19
3;"Szkoła Podstawowa Nr 1 im. Jana Pawła II, ul. Jagiellońska 3, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;76;594;409;108;29
4;"Cech Rzemiosł Różnych i Przedsiębiorczości, ul. Grunwaldzka 7, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;42;571;313;80;15
5;"Szkoła Podstawowa Nr 2 im. Janusza Korczaka, ul. Tysiąclecia 33, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;30;396;205;42;11
6;"Zespół Szkół im. Cypriana Kamila Norwida, ul. 3 Maja 24, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;41;455;250;72;22
7;"Szpital Powiatowy w Nowym Mieście Lubawskim sp. z o. o., ul. Mickiewicza 10, 13-300 Nowe Miasto Lubawskie";281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;0;2;1;1;0
1;"Biblioteka – Ośrodek Kultury w Biskupcu, ul. Rynek 4, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;41;405;343;71;21
2;"Publiczne Przedszkole w Krotoszynach, Krotoszyny 4A, 13-330 Krotoszyny";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;12;215;190;27;8
3;"Zespół Szkolno Przedszkolny w Lipinkach, Lipinki 7, 13-334 Łąkorz";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;27;179;268;45;10
4;"Szkoła Podstawowa im. Jana Pawła II w Łąkorzu, Łąkorz 99, 13-334 Łąkorz";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;30;222;168;32;10
5;"Szkoła Podstawowa w Ostrowitem, Ostrowite 34, 13-334 Łąkorz";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;11;97;185;23;13
6;"Świetlica Wiejska w Podlasku, Podlasek 10A, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;6;69;56;4;6
7;"Zespół Szkolno Przedszkolny w Szwarcenowie, Szwarcenowo 36, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;18;138;129;27;9
8;"Świetlica Wiejska w Piotrowicach, Piotrowice 22, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;14;115;133;19;6
9;"Zespół Szkół w Bielicach, Bielice 120, 13-330 Krotoszyny";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;12;163;146;23;7
10;"Świetlica Wiejska w Słupnicy, Słupnica 38A, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;7;42;83;10;4
11;"Świetlica Wiejska w Wielkiej Tymawie, Wielka Tymawa 11A, 13-340 Biskupiec";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;7;34;65;10;0
12;"Świetlica Wiejska w Osetnie, Osetno 5A, 13-334 Łąkorz";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;3;59;41;12;4
13;"Świetlica Wiejska w Wonnie, Wonna 56, 13-332 Jamielnik";281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";1;1;6;80;50;10;1
1;"Szkoła Podstawowa w Nowym Grodzicznie, Nowe Grodziczno 83, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;41;206;324;46;9
2;"Szkoła Podstawowa w Zajączkowie, Zajączkowo 21A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;9;57;70;10;5
3;"Szkoła Podstawowa w Zwiniarzu, Zwiniarz 4A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;9;32;84;12;5
4;"Budynek po byłej Szkole Podstawowej w Ostaszewie, Ostaszewo 16A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;20;135;221;39;14
5;"Szkoła Podstawowa w Boleszynie, Boleszyn 12B, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;17;52;165;13;12
6;"Szkoła Podstawowa w Mrocznie, Mroczno 22A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;28;198;259;71;15
7;"Świetlica wiejska, Linowiec 40, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;9;55;114;18;1
8;"Świetlica wiejska, Montowo 33A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;7;55;123;20;9
9;"Świetlica wiejska, Kuligi 34A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;6;66;73;15;3
10;"Świetlica wiejska, Świniarc 8A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;14;44;56;15;7
11;"Świetlica wiejska, Trzcin 17A, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;9;38;55;8;6
12;"Świetlica wiejska, Mroczenko 17, 13-324 Grodziczno";281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";1;1;8;45;79;13;0
1;"Szkoła Podstawowa im. Orła Białego w Brzoziu Lubawskim, Brzozie Lubawskie 43a, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;20;163;203;46;9
2;"Urząd Gminy w Kurzętniku, ul. Grunwaldzka 39, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;38;344;358;79;16
3;"Szkoła Podstawowa im. Przyjaciół Ziemi w Marzęcicach, Marzęcice ul. Szkolna 21, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;3;211;257;65;9
4;"Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu w Tereszewie, Tereszewo 9a, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;29;142;176;24;8
5;"Zespół Szkół im. Władysława Jagiełły w Kurzętniku, ul. Grunwaldzka 37, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;48;402;329;78;18
6;"Świetlica wiejska w Krzemieniewie, Krzemieniewo 26, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;9;54;61;14;3
7;"Świetlica Wiejska w Sugajenku, Sugajenko 60, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;8;30;94;14;3
8;"Świetlica wiejska w Nielbarku, Nielbark 60, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;16;63;111;20;5
9;"Świetlica wiejska w Szafarni, Szafarnia 9B, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;8;66;67;15;4
10;"Świetlica wiejska w Wawrowicach, Wawrowice 7, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;16;70;102;8;4
11;"Świetlica wiejska w Mikołajkach, Mikołajki 36A, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;9;79;103;23;3
12;"Centrum Aktywności Lokalnej w Wielkich Bałówkach, Wielkie Bałówki 14, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;15;70;135;20;6
13;"Świetlica wiejska w Lipowcu, Lipowiec ul. Okrężna 1, 13-306 Kurzętnik";281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";1;1;15;74;62;27;7
1;"ŚWIETLICA WIEJSKA, Pacółtowo ul. Gen. Waraksiewicza 44, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;30;148;125;27;13
2;"ZESPÓŁ SZKÓŁ im. RODU DZIAŁYŃSKICH, Bratian ul. Szkolna 2, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;57;308;349;81;26
3;"SZKOŁA PODSTAWOWA, ul. Szkolna 10, 13-332 Jamielnik";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;42;279;237;59;17
4;"SZKOŁA PODSTAWOWA W SKARLINIE, Skarlin 72, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;7;138;114;23;6
5;"SZKOŁA PODSTAWOWA W RADOMNIE, Radomno 17, 13-304 Radomno";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;14;122;153;23;11
6;"ŚWIETLICA WIEJSKA, Mszanowo ul. Podleśna 1A, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;21;183;122;39;8
7;"SZKOŁA PODSTAWOWA IM. KS. KAZIMIERZA WRÓBLEWSKIEGO, Gwiździny 58, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;26;109;170;32;8
8;"ŚWIETLICA WIEJSKA, Tylice 49c, 13-300 Nowe Miasto Lubawskie";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;24;115;105;29;3
9;"ŚWIETLICA WIEJSKA W CHROŚLU, Chrośle 35, 13-304 Chrośle";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;8;70;63;9;3
10;"ŚWIETLICA WIEJSKA W NAWRZE, ul. Jeziorna 30, 13-300 Nawra";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;9;99;76;14;2
11;"ŚWIETLICA WIEJSKA W GRYŹLINACH, Gryźliny 21, 13-332 Gryźliny";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;3;44;44;9;4
12;"ŚWIETLICA WIEJSKA W LEKARTACH, Lekarty 17A, 13-300 Lekarty";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;5;40;61;16;2
13;"ŚWIETLICA WIEJSKA W NOWYM DWORZE BRATIAŃSKIM, Nowy Dwór Bratiański 17, 13-304 Nowy Dwór Bratiański";281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";1;1;5;38;67;7;1
1;"Budynek Oratorium, ul. Parkowa 30, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;38;523;205;51;28
2;"Budynek Stadionu, ul. 3-go Maja 19A, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;27;586;222;56;20
3;"Zespół Szkolno-Przedszkolny, ul. Plebiscytowa 50, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;42;754;285;90;39
4;"Szkoła Podstawowa Nr 2, ul. Olsztyńska 7, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;29;261;146;52;30
5;"Szkoła Podstawowa Nr 2, ul. Olsztyńska 7, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;43;557;223;54;23
6;"Szkoła Podstawowa Nr 3 - sala sportowa, ul. Marszałka Piłsudskiego 4, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;41;543;282;50;25
7;"Szkoła Podstawowa Nr 3, ul. Marszałka Piłsudskiego 4, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;41;683;230;38;33
8;"Przedszkole Niepubliczne ""Radość"", ul. Armii Krajowej 5, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;39;843;320;60;36
9;"Zespół Szkolno-Przedszkolny Nr 4, ul. Tadeusza Kościuszki 14, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;43;685;282;72;18
10;"Zespół Szkolno-Przedszkolny Nr 4, ul. Tadeusza Kościuszki 22, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;46;731;212;51;22
11;"Szkoła Podstawowa Nr 6, ul. Osiedle Młodych 8, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;18;393;185;33;16
12;"Szkoła Podstawowa Nr 6, ul. Osiedle Młodych 8, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;34;467;262;45;8
13;"Szkoła Podstawowa Nr 1, ul. Seweryna Pieniężnego 30 A, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;36;561;214;40;18
14;"Szkoła Podstawowa Nr 1, ul. Seweryna Pieniężnego 30A, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;26;448;203;27;14
15;"Przedszkole Niepubliczne ""Promyczek"", ul. Przedszkolna 1, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;34;679;269;53;28
16;"Przedszkole Nr 1, ul. Bolesława Chrobrego 3, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;34;537;191;33;12
17;"Szkoła Podstawowa Nr 3, ul. Rycerska 5, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;40;701;283;47;15
18;"Szkoła Podstawowa Nr 3, ul. Rycerska 5, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;37;757;217;34;13
19;"Szpital w Ostródzie Spółka Akcyjna, ul. Władysława Jagiełły 1, 14-100 Ostróda";281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;2;18;7;0;0
1;"Gminne Centrum Kulturalno-Biblioteczne, Dąbrówno ul. Kościuszki 11C, 14-120 DĄBRÓWNO";281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";1;1;38;353;353;87;24
2;"Świetlica Wiejska w Osiekowie, Osiekowo 12A, 14-120 DĄBRÓWNO";281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";1;1;6;54;62;11;3
3;"Publiczna Szkoła Podstawowa w Marwałdzie, Marwałd 32, 14-120 DĄBRÓWNO";281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";1;1;25;210;163;24;12
4;"Świetlica Wiejska w Saminie, Samin 13, 14-120 DĄBRÓWNO";281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";1;1;16;139;144;24;10
5;"Publiczna Szkoła Podstawowa im. Ignacego Krasickiego w Elgnowie, Elgnowo 6, 14-120 Dąbrówno";281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";1;1;17;44;47;17;3
1;"Gminny Ośrodek Kultury w Gierzwałdzie, Gierzwałd 7, 14-107 Gierzwałd";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;18;401;287;50;15
2;"Szkoła Podstawowa w Stębarku, Stębark 57, 14-107 Gierzwałd";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;23;283;183;34;12
3;"Szkoła Podstawowa w Szczepankowie, Szczepankowo 31, 14-107 Gierzwałd";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;29;183;202;20;14
4;"Szkoła Podstawowa we Frygnowie, Frygnowo 17, 14-107 Gierzwałd";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;5;124;64;14;4
5;"Zespół Szkolno-Przedszkolny w Mielnie, Mielno 21, 14-107 Mielno";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;14;118;66;17;9
6;"Świetlica Sołecka w Grunwaldzie, Grunwald 23B, 14-107 Grunwald";281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";1;1;2;62;87;7;5
1;"Gminny Ośrodek Kultury w Łukcie, ul. Kościelna 2B, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;55;700;317;86;19
2;"Punkt Filialny Szkoły Podstawowej w Łukcie z siedzibą w Mostkowie, Mostkowo 25, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;14;147;78;18;8
3;"Remiza OSP, Florczaki 36B, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;13;166;60;23;5
4;"Świetlica Wiejska, Pelnik 14, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;4;98;48;9;4
5;"Świetlica Wiejska, Ramoty 10, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;16;67;30;19;5
6;"Świetlica Wiejska, Ględy 21, 14-105 Łukta";281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";1;1;13;70;62;13;6
1;"Przedszkole Samorządowe w Dobrocinie, Dobrocin 49 A, 14-330 Małdyty";281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";1;1;26;266;135;26;9
2;"Szkoła Podstawowa w Małdytach, ul. Kopernika 13 c, 14-330 Małdyty";281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";1;1;54;608;379;91;38
3;"Szkoła Podstawowa w Szymonowie, Szymonowo 15, 14-330 Małdyty";281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";1;1;32;178;176;41;10
4;"Niepubliczna Szkoła Podstawowa w Wielkim Dworze, Wielki Dwór 9/1, 14-330 Małdyty";281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";1;1;24;214;206;41;25
1;"Miłakowski Dom Kultury w Miłakowie, ul. o. Władysława Włodyki 20, 14-310 Miłakowo";281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";1;1;51;604;450;91;21
2;"Zespół Szkolno-Przedszkolny w Miłakowie im. Jana Pawła II, ul. Olsztyńska 9A, 14-310 Miłakowo";281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";1;1;23;209;239;42;13
3;"Filia Zespołu Szkolno-Przedszkolnego im. Jana Pawła II w Miłakowie, Szkoła Podstawowa w Boguchwałach, Boguchwały 47A, 14-310 Miłakowo";281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";1;1;12;107;101;32;12
4;"Dwór w Bieniaszach, Bieniasze 8, 14-310 Miłakowo";281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";1;1;9;56;73;10;3
5;"Świetlica wiejska, Książnik 42, 14-310 Miłakowo";281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";1;1;5;42;48;13;1
1;"Szkoła Podstawowa w Miłomłynie, ul. Pasłęcka 15, 14-140 Miłomłyn";281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";1;1;44;899;325;73;25
2;"Szkoła Podstawowa w Liwie, Liwa ul. Długa 30, 14-140 Miłomłyn";281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";1;1;11;341;111;20;6
3;"Świetlica Wiejska w Liksajnach, Liksajny 15A, 14-140 Miłomłyn";281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";1;1;3;94;59;13;3
4;"Budynek po byłej Szkole Podstawowej w Bynowie, Bynowo 7, 14-140 Miłomłyn";281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";1;1;14;154;91;15;2
5;"Świetlica Wiejska w Majdanach Wielkich, Majdany Wielkie 28B, 14-140 Miłomłyn";281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";1;1;3;97;50;14;2
1;"Szkoła Podstawowa Nr 2 w Morągu, ul. Żeromskiego 26, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;31;366;195;82;16
2;"Miejskie Przedsiębiorstwo Zarządzania Nieruchomościami Sp. z o. o. w Morągu, ul. Wenecka 1, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;25;280;111;36;17
3;"Szkoła Podstawowa Nr 4 w Morągu, ul. Kajki 2, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;35;293;143;33;14
4;"Szkoła Podstawowa Nr 4 w Morągu, ul. Kajki 2, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;24;326;204;45;21
5;"Szkoła Podstawowa Nr 1 w Morągu, ul. Mickiewicza 25, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;23;218;110;23;10
6;"Zespół Szkół Licealnych w Morągu, ul. 11 Listopada 7A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;22;264;137;20;14
7;"Ratusz w Morągu, pl. Pl. Jana Pawła II 1, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;17;220;159;35;15
8;"Szkoła Podstawowa Nr 4 w Morągu, ul. Krzywa 2, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;30;348;175;41;15
9;"Przedszkole Nr 2 w Morągu, ul. Armii Krajowej 15, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;8;245;145;24;13
10;"Świetlica Spółdzielni Mieszkaniowej ""Narie"" w Morągu, ul. Leśna 22, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;29;310;165;45;7
11;"Przedszkole Nr 6 w Morągu, ul. Pomorska 23, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;42;409;212;38;20
12;"Szkoła Podstawowa Nr 3 w Morągu, ul. Zygmunta Wróblewskiego 17, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;59;713;288;112;23
13;"Szkoła Podstawowa w Żabim Rogu, Żabi Róg 115A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;37;224;173;42;16
14;"Świetlica w Zawrotach, Zawroty 17A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;19;143;134;35;8
15;"Świetlica w Bramce, Bramka 66, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;9;174;140;28;6
16;"Świetlica w Słoneczniku, Słonecznik 30, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;19;227;166;38;20
17;"Miejska Biblioteka Publiczna w Morągu, ul. Ogrodowa 16, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;16;135;68;28;7
18;"Świetlica w Królewie, Królewo 42, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;5;61;56;12;8
19;"Szkoła Podstawowa w Łącznie, Łączno 48B, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;7;116;99;19;8
20;"Świetlica w Jurkach, Jurki 55A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;13;151;170;35;9
21;"Świetlica w Bogaczewie, Bogaczewo 39A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;13;183;80;30;5
22;"Świetlica Wiejska w Wilnowie, Wilnowo 22A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;8;84;45;14;3
23;"Świetlica Wiejska w Bożęcinie, Bożęcin 13, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;3;37;52;7;4
