"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
11;"Remiza OSP, Bugaj 1, 38-323 Rożnowice";120502;"gm. Biecz";"gorlicki";"małopolskie";1;1;19;29;148;18
12;"Zespół Szkolno – Przedszkolny, Strzeszyn 391, 38-340 Biecz";120502;"gm. Biecz";"gorlicki";"małopolskie";1;1;134;204;560;97
1;"Centrum Kultury i Promocji Gminy Bobowa, ul. Rynek 2, 38-350 Bobowa";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;136;409;928;188
2;"Szkoła Podstawowa, Brzana 10, 38-350 Bobowa";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;43;110;397;81
3;"Dom Kultury, Jankowa 252, 38-350 Bobowa";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;21;85;394;60
4;"Dom Kultury, Siedliska 298, 38-324 Siedliska";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;63;140;488;96
5;"Dom Kultury, Sędziszowa 136, 38-324 Siedliska";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;17;42;159;38
6;"Szkoła Podstawowa, Stróżna 188, 38-350 Bobowa";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;21;60;307;49
7;"Dom Kultury, Wilczyska 30, 38-350 Bobowa";120503;"gm. Bobowa";"gorlicki";"małopolskie";1;1;32;110;381;67
1;"Wiejski Dom Kultury, Bielanka 73, 38-311 Szymbark";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;9;37;36;7
2;"Szkoła Podstawowa, Bystra 154, 38-300 Gorlice";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;100;111;469;89
3;"Wiejski Dom Kultury, Dominikowice 44, 38-303 Kobylanka";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;203;312;573;99
4;"Zespół Szkolno – Przedszkolny, Klęczany 2, 38-333 Zagórzany";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;92;169;182;46
5;"Wiejski Dom Kultury, Kobylanka 207, 38-303 Kobylanka";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;195;386;606;114
6;"Zespół Szkolno-Przedszkolny, Kwiatonowice 21, 38-333 Zagórzany";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;27;92;165;33
7;"Szkoła Podstawowa, Ropica Polska 70, 38-300 Gorlice";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;154;357;517;111
8;"Zespół Szkolno – Przedszkolny, Stróżówka 159, 38-300 Gorlice";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;133;206;501;110
9;"Zespół Szkolno – Przedszkolny, Szymbark 464, 38-311 Szymbark";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;99;196;392;83
10;"Zespół Szkolno – Przedszkolny, Szymbark 464, 38-311 Szymbark";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;107;165;463;91
11;"Dom Ludowy, Zagórzany 208, 38-333 Zagórzany";120504;"gm. Gorlice";"gorlicki";"małopolskie";1;1;180;357;575;108
1;"Budynek Wiejski, Pagorzyna 238, 38-305 Lipinki";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;58;49;268;25
2;"Szkoła Podstawowa, Lipinki 48, 38-305 Lipinki";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;113;261;667;124
3;"Budynek Wiejski, Rozdziele 50A, 38-304 Kryg";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;8;25;76;4
4;"Szkoła Podstawowa, Kryg 397, 38-304 Kryg";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;132;230;462;97
5;"Szkoła Podstawowa, Wójtowa 52, 38-305 Lipinki";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;74;167;445;91
6;"Dom Strażaka, Bednarka 103, 38-304 Kryg";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;10;12;68;13
7;"Budynek Wiejski, Bednarka 75, 38-305 Lipinki";120505;"gm. Lipinki";"gorlicki";"małopolskie";1;1;9;1;71;11
1;"Wiejski Dom Kultury, Biesna 130A, 38-324 Biesna";120506;"gm. Łużna";"gorlicki";"małopolskie";1;1;39;71;241;34
2;"Gminny Ośrodek Kultury, Łużna 597, 38-322 Łużna";120506;"gm. Łużna";"gorlicki";"małopolskie";1;1;66;116;292;55
3;"Gminny Ośrodek Kultury, Łużna 597, 38-322 Łużna";120506;"gm. Łużna";"gorlicki";"małopolskie";1;1;78;150;230;78
