"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARTOSZEK Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SAGATOWSKA Janina Zofia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BURAK Artur Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
30;"Przedszkole Nr 7, ul. ks. Jerzego Popiełuszki 29a, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;401;465;218
31;"Bursa Międzyszkolna, ul. Orzeszkowej 2, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;264;310;114
32;"Wydział Nauk Inżynieryjno-Technicznych KUL w Stalowej Woli-Sekretariat Wydziału, ul. Ofiar Katynia 6a, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;170;245;73
33;"Publiczna Szkoła Podstawowa Nr 4, ul. Niezłomnych 1, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;445;564;188
34;"SP ZZOZ Powiatowy Szpital Specjalistyczny, ul. Staszica 4, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;24;76;15
35;"Dom Pomocy Społecznej, ul. Romana Dmowskiego 2a, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;5;15;3
36;"Zakład Pielęgnacyjno-Opiekuńczy SPZOZ i Wojewódzki Ośrodek Terapii Uzależnienia od Alkoholu i Współuzależnienia, ul. Dąbrowskiego 5, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;8;31;12
37;"SP ZOZ Całodobowy Oddział Rehabilitacji, ul. Eugeniusza Kwiatkowskiego 2, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;5;22;0
38;"Szpital Specjalistyczny SANUS, ul. Wojska Polskiego 5, 37-450 Stalowa Wola";181801;"m. Stalowa Wola";"stalowowolski";"podkarpackie";1;1;8;29;6
1;"Dom Kultury w Bojanowie, ul. Strażacka 1, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;72;243;61
2;"Świetlica Wiejska w Bojanowie, ul. Kolbuszowska 11, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;60;181;40
3;"Remiza OSP Laski, Laski 38, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;33;129;24
4;"Świetlica Wiejska w Korabinie, Korabina 40a, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;18;134;24
5;"Świetlica Wiejska w Cisowym Lesie, Cisów-Las 31, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;16;75;7
6;"Dom Kultury w Gwoźdźcu, Gwoździec 147, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;42;225;25
7;"Remiza OSP Stany, Stany ul. Strażacka 1, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;162;511;90
8;"Dom Kultury w Maziarni, Maziarnia 126, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;52;198;38
9;"Dom Kultury w Przyszowie Zapuściu, Przyszów ul. Jana Pawła II 47, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;113;445;107
10;"Świetlica Wiejska, Ruda ul. Spacerowa 27, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;128;156;55
11;"Remiza OSP Przyszów Burdze, Burdze ul. Wspólna 80, 37-433 Bojanów";181802;"gm. Bojanów";"stalowowolski";"podkarpackie";1;1;24;124;17
1;"Dom Kultury w Pysznicy, ul. Wolności 322, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;548;651;226
2;"Filia Domu Kultury w Jastkowicach, Jastkowice ul. Armii Krajowej 18, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;354;412;114
3;"Przedszkole w Pysznicy Oddział w Brandwicy, Brandwica ul. Jana Kochanowskiego 50, 37-464 Stalowa Wola";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;158;225;59
4;"Remizo-świetlica, Kłyżów ul. Mickiewicza 46, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;80;399;94
5;"Publiczna Szkoła Podstawowa im. Orła Białego w Krzakach, Krzaki ul. Nowa 15, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;52;174;42
6;"Budynek byłej szkoły w Studzieńcu, Studzieniec 6, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;13;116;12
7;"Świetlica Wiejska, ul. Sanowa 40, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;44;134;28
8;"Publiczna Szkoła Podstawowa im. Jana Pawła II w Pysznicy, ul. Sportowa 1, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;183;465;119
9;"Publiczna Szkoła Podstawowa im. Armii Krajowej w Jastkowicach, Jastkowice ul. Mickiewicza 1, 37-403 Pysznica";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;252;380;141
10;"Dom Ludowy w Słomianej, ul. Wolności 60, 37-403 Słomiana";181803;"gm. Pysznica";"stalowowolski";"podkarpackie";1;1;46;144;25
1;"Urząd Gminy, ul. Rynek Duży 7, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;175;212;58
2;"Publiczna Szkoła im. Gen. Kazimierza Sosnkowskiego, Antoniów 33, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;99;251;37
3;"Wiejski Dom Kultury, Chwałowice 132, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;124;367;74
4;"Publiczna Szkoła Podstawowa im. Jana Pawła II, Wola Rzeczycka 254, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;95;250;52
5;"Publiczna Szkoła Podstawowa im. Tadeusza Kościuszki, Rzeczyca Długa 176, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;125;263;59
6;"Dom Ludowy w Dąbrówce Pniowskiej, Dąbrówka Pniowska 43, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;39;92;12
7;"Dom Ludowy w Kępie Rzeczyckiej, Kępa Rzeczycka 23, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;35;61;10
8;"Dom Ludowy w Nowinach, Nowiny 56, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;76;94;15
9;"Dom Ludowy w Pniowie, Pniów 37, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;48;94;18
10;"Dom Ludowy w Witkowicach, Witkowice 107, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;17;84;15
11;"Dom Ludowy w Żabnie, Żabno 199, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;62;140;45
12;"Dom Ludowy w Dąbrowie Rzeczyckiej, Dąbrowa Rzeczycka 88, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;79;134;24
13;"Dom Ludowy w Rzeczycy Okrągłej, Rzeczyca Okrągła 44, 37-455 Radomyśl nad Sanem";181804;"gm. Radomyśl nad Sanem";"stalowowolski";"podkarpackie";1;1;35;125;25
1;"Zespół Szkół Ogólnokształcących w Zaklikowie, ul. Sandomierska 56, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;344;508;138
2;"Zespół Szkół Ogólnokształcących w Zaklikowie, ul. Sandomierska 56, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;184;279;85
3;"Zespół Szkół w Zdziechowicach Drugich, Zdziechowice Drugie 212, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;104;261;43
4;"Zespół Szkół w Zdziechowicach Drugich, Zdziechowice Drugie 212, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;72;334;79
5;"Szkoła Podstawowa w Łysakowie, Łysaków 1, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;51;280;53
6;"Zespół Szkół w Lipie, Lipa ul. Szkolna 5, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;237;357;100
7;"Zespół Szkół w Lipie, Lipa ul. Szkolna 5, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;188;328;93
8;"Dom Pomocy Społecznej w Irenie prowadzony przez Zgromadzenie Sióstr Opatrzności Bożej, Irena 72, 37-470 Zaklików";181805;"gm. Zaklików";"stalowowolski";"podkarpackie";1;1;0;45;0
1;"Urząd Gminy w Zaleszanach, ul. Tadeusza Kościuszki 16, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;162;328;80
2;"Remiza OSP w Zbydniowie, Zbydniów ul. Księdza Nai 1, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;238;367;92
3;"Publiczna Szkoła Podstawowa w Turbi im. Św. Jana Pawła II, Turbia ul. Sandomierska 45, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;219;375;108
4;"Centrum Sportowo-Rekreacyjne „Kręgle"" w Kępiu Zaleszańskim, Kępie Zaleszańskie ul. Centralna 42, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;261;421;73
5;"Dom Ludowy w Skowierzynie, Skowierzyn 127, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;156;224;45
6;"Publiczna Szkoła Podstawowa w Kotowej Woli im. Marii Skłodowskiej-Curie, Kotowa Wola 1, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;106;296;48
7;"Dom Ludowy w Majdanie Zbydniowskim, Majdan Zbydniowski 158, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;71;122;37
8;"Publiczna Szkoła Podstawowa w Pilchowie, Pilchów ul. por. Józefa Sarny 1, 37-450 Stalowa Wola";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;221;294;118
9;"Remiza OSP w Obojnej, Obojna 13, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;82;181;81
10;"Dom Ludowy w Dzierdziówce, Dzierdziówka 152, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;95;153;36
11;"Dom Ludowy w Agatówce, Agatówka ul. Kalinowa 5, 37-450 Stalowa Wola";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;102;141;51
12;"Dom Ludowy w Motyczu Szlacheckim, Motycze Szlacheckie 40, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;36;77;19
13;"Dom Ludowy w Wólce Turebskiej, Wólka Turebska 136, 37-415 Zaleszany";181806;"gm. Zaleszany";"stalowowolski";"podkarpackie";1;1;57;132;17
1;"Miejsko-Gminny Ośrodek Kultury w Baranowie Sandomierskim, ul. Fabryczna 39, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;310;376;83
2;"Środowiskowy Dom Kultury w Skopaniu, ul. Kardynała Wyszyńskiego 7, 39-451 Skopanie";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;280;418;76
3;"Remiza OSP w Suchorzowie, Suchorzów ul. Strażacka 4, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;88;177;29
4;"Remiza OSP w Dąbrowicy, Dąbrowica 185, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;125;390;50
5;"Remiza OSP w Ślęzakach, Ślęzaki 96, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;65;231;30
6;"Dom Ludowy w Knapach, Knapy ul. Wspólna 7, 39-451 Skopanie";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;87;172;42
7;"Dom Ludowy w Woli Baranowskiej, Wola Baranowska ul. Zachodnia 2, 39-451 Skopanie";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;249;695;106
8;"Centrum Rekreacji w Durdach, Durdy 1A, 39-451 Skopanie";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;51;264;27
9;"Dom Ludowy w Dymitrowie Dużym, Dymitrów Duży 99, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;48;101;14
10;"Remiza OSP w Dymitrowie Małym, Dymitrów Mały 75, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;47;98;17
11;"Ośrodek Kultury i Sportu w Markach, Marki ul. Leśna 32, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;24;115;21
12;"Remiza OSP w Kaczakach, Kaczaki ul. Strażacka 3, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;76;170;35
13;"Remiza OSP w Siedleszczanach, Siedleszczany 39, 39-450 Baranów Sandomierski";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;71;60;14
14;"Dom Ludowy w Skopaniu, ul. św. Floriana 1, 39-451 Skopanie";182001;"gm. Baranów Sandomierski";"tarnobrzeski";"podkarpackie";1;1;192;285;62
1;"Szkoła Podstawowa Nr 2 im. Jana Pawła II w Gorzycach, ul. Edukacji Narodowej 3, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;415;312;60
2;"Środowiskowy Dom Kultury w Gorzycach, pl. Plac Erazma Mieszczańskiego 10, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;441;339;64
3;"Budynek administracyjno-biurowy, ul. 3 Maja 4, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;410;317;58
4;"Świetlica Wiejska, ul. Pańska 1, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;465;264;37
5;"Dom Ludowy w Motyczu Poduchownym, Motycze Poduchowne 88, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;105;75;20
6;"Świetlica w Zalesiu Gorzyckim, Zalesie Gorzyckie 74, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;58;46;6
7;"Dom Kultury we Wrzawach, Wrzawy 486, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;539;236;26
8;"Remiza OSP w Trześni, Trześń ul. Błonie 4, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;319;350;88
9;"Dom Kultury w Sokolnikach, Sokolniki ul. Sandomierska 84, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;382;408;87
10;"Remiza OSP w Orliskach, Orliska 65, 39-432 Gorzyce";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;73;43;10
11;"Szkoła Podstawowa im. Stanisława Jachowicza w Furmanach, Furmany ul. Kościelna 2, 39-400 Tarnobrzeg";182002;"gm. Gorzyce";"tarnobrzeski";"podkarpackie";1;1;168;163;55
1;"Zespół Szkół Ogólnokształcących im. Prof. Stanisława Bąka w Grębowie, ul. Rynek 9, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;451;712;174
2;"Szkoła Filialna w Zapoledniku, ul. Dolańskich 170, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;66;130;33
3;"Szkoła Filialna w Jamnicy, Jamnica 135, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;129;238;53
4;"Zespół Szkolno-Przedszkolny w Zabrniu, Zabrnie 582, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;247;318;81
5;"Zespół Szkół w Stalach, Stale ul. Tarnobrzeska 5, 39-400 Tarnobrzeg";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;296;665;150
6;"Szkoła Podstawowa im. Marii Konopnickiej w Żupawie, Żupawa 41, 39-400 Tarnobrzeg";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;95;309;54
7;"Szkoła Podstawowa im. Kard. Stefana Wyszyńskiego w Krawcach, Krawce 167, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;82;246;44
8;"Zespół Szkoła Podstawowa i Przedszkole w Wydrzy, Wydrza 383, 39-410 Grębów";182003;"gm. Grębów";"tarnobrzeski";"podkarpackie";1;1;173;344;81
1;"Szkoła Podstawowa Nr 2, ul. Leśna 40, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;247;305;103
2;"Miejsko-Gminny Ośrodek Pomocy Społecznej, ul. Mikołaja Reja 3, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;296;353;86
3;"Samorządowy Ośrodek Kultury, ul. Stefana Żeromskiego 2, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;171;182;52
4;"Szkoła Podstawowa Nr 2, ul. Mikołaja Reja 7, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;278;278;65
5;"Zespół Szkół Nr 1, ul. Mikołaja Reja 7, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;273;334;99
6;"Zespół Placówek Oświatowych, ul. Bronisława Zybury 4, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;392;460;162
7;"Remiza Ochotniczej Straży Pożarnej, ul. Strażacka 3, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;361;467;144
8;"Publiczna Szkoła Podstawowa, Alfredówka 192, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;122;219;65
9;"Szkoła Podstawowa, ul. Kolejowa 6, 39-442 Chmielów";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;320;584;100
10;"Szkoła Podstawowa, Cygany 70, 39-442 Chmielów";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;167;320;63
11;"Szkoła Podstawowa, Jadachy 1, 39-442 Chmielów";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;182;531;83
12;"Dom Ludowy w Rozalinie, Rozalin 185, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;62;208;42
13;"Dom Ludowy w Tarnowskiej Woli, Tarnowska Wola 240, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;101;279;55
14;"Dom Pomocy Społecznej w Nowej Dębie, ul. Jana Pawła II 7, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;2;42;0
15;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Marii Skłodowskiej-Curie 1A, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;8;23;3
16;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Tadeusza Kościuszki 1C, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;5;6;0
17;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Rzeszowska 8, 39-460 Nowa Dęba";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;3;12;0
18;"Oddział Zewnętrzny w Chmielowie Zakładu Karnego w Dębicy, ul. Zaciszna 4, 39-442 Chmielów";182004;"gm. Nowa Dęba";"tarnobrzeski";"podkarpackie";1;1;43;34;33
1;"Miejski Ośrodek Sportu i Rekreacji im. Alfreda Freyera, ul. Aleja Niepodległości 2, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;479;346;74
2;"Miejski Ośrodek Sportu i Rekreacji im. Alfreda Freyera, ul. Aleja Niepodległości 2, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;522;355;89
3;"Szkoła Podstawowa Nr 3, ul. Jana Kochanowskiego 1, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;322;278;67
4;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;465;356;78
5;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;530;389;111
6;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;480;362;98
7;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;484;396;121
8;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;477;374;95
9;"Szkoła Podstawowa Nr 10, ul. M. Dąbrowskiej 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;491;317;88
10;"Państwowa Uczelnia Zawodowa w Tarnobrzegu, ul. Kardynała Stefana Wyszyńskiego 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;259;121;32
11;"Zespół Szkół Nr 1, ul. Mikołaja Kopernika 49, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;176;75;26
12;"Zespół Szkół, ul. Mikołaja Kopernika 1, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;471;237;74
13;"Zespół Szkół Nr 3, ul. św. Barbary 1B, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;452;323;81
14;"Zespół Szkół Specjalnych, ul. Mikołaja Kopernika 18, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;498;337;116
15;"Dom Osiedlowy, ul. Krzywa 2, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;470;209;89
16;"Dom Osiedlowy, ul. Nadwiślańska 16, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;50;45;10
17;"Ochotnicza Straż Pożarna, ul. Ocicka 89, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;158;145;45
18;"Szkoła Podstawowa Nr 4, ul. Stanisława Wyspiańskiego 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;586;427;108
19;"Szkoła Podstawowa Nr 4, ul. Stanisława Wyspiańskiego 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;513;334;92
20;"Szkoła Podstawowa Nr 4, ul. Stanisława Wyspiańskiego 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;550;396;126
21;"Zespół Szkół Nr 2, ul. Stanisława Jachowicza 4, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;138;77;28
22;"Państwowa Uczelnia Zawodowa w Tarnobrzegu, ul. Kardynała Stefana Wyszyńskiego 10, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;311;189;60
23;"Szkoła Podstawowa Nr 9, ul. Wiejska 4, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;422;301;76
24;"Szkoła Podstawowa Nr 9, ul. Wiejska 4, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;382;228;84
25;"Szkoła Podstawowa Nr 9, ul. Wiejska 4, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;618;283;98
26;"Szkoła Podstawowa Nr 7, ul. Henryka Sienkiewicza 215, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;521;568;141
27;"Szkoła Podstawowa Nr 8, ul. Piętaka Stanisława 53, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;405;421;110
28;"Dom Strażaka, ul. Spokojna 9, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;272;237;53
29;"Dom Ludowy, ul. Sielecka 29, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;152;124;27
30;"Szkoła Podstawowa Nr 11, ul. Olszowa 1, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;365;394;104
31;"Szkoła Podstawowa Nr 9, ul. Wiejska 4, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;402;186;75
32;"Dom Pomocy Społecznej, ul. Kurasia Ferdynanda 7, 39-400 Tarnobrzeg";186401;"m. Tarnobrzeg";"Tarnobrzeg";"podkarpackie";1;1;9;16;1
