"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TYRALSKA Gaja Gabriela - KW BEZPARTYJNI SAMORZĄDOWCY";"KRZYŻANOWSKI Marcin Rafał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SCHETYNA Grzegorz Juliusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
72;"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;260;397;810
73;"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;216;335;883
74;"Dom Studencki ""Parawanowiec"", pl. Grunwaldzki 28, 50-363 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;223;293;753
75;"Dom Studencki ""Dwudziestolatka"", ul. Piastowska 1, 50-359 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;243;338;702
76;"Szkoła Podstawowa nr 36, ul. Fryderyka Chopina 9B, 51-609 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;158;276;753
77;"Szkoła Podstawowa nr 36, ul. Fryderyka Chopina 9B, 51-609 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;112;193;596
78;"Liceum Ogólnokształcące nr II z Oddziałami Mistrzostwa Sportowego, ul. Parkowa 18 - 26, 51-616 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;87;116;290
79;"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;191;306;917
80;"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;161;267;720
81;"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;157;271;653
82;"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;196;295;829
83;"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;316;405;1211
84;"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;237;357;930
