"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
367;"Ośrodek Kultury Kraków Nowa Huta Klub „Dukat”, ul. Styczna 1, 31-764 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;584;685
368;"Szkoła Podstawowa Nr 78, ul. Jaskrowa 5, 31-990 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;782;979
369;"Oddziały Szkoły Podstawowej Nr 78, ul. Łuczanowicka 2a, 31-766 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;301;296
370;"Ośrodek Kultury Kraków Nowa Huta Klub ""KRZESŁAWICE"", ul. Melchiora Wańkowicza 17, 31-752 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;221;388
371;"Młodzieżowy Dom Kultury im. J. Korczaka, os. Osiedle Szkolne 5, 31-975 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;344;584
372;"Zespół Szkół Elektrycznych Nr 2, os. Osiedle Szkolne 26, 31-977 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;222;377
373;"Szkoła Podstawowa Nr 88, os. Osiedle Szklane Domy 2, 31-972 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;181;289
374;"Rada i Zarząd Dzielnicy XVIII, os. Osiedle Centrum B 6, 31-927 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;436;675
375;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 105, os. Osiedle Słoneczne 12, 31-957 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;303;548
376;"Zespół Szkół Zawodowych Nr 2, os. Osiedle Szkolne 18, 31-977 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;387;670
377;"Publiczne Liceum Ogólnokształcące im. Królowej Apostołów w Krakowie, ul. Bulwarowa 33, 31-751 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;175;433
378;"Szkoła Podstawowa im. św. Wincentego Pallottiego, os. Osiedle Krakowiaków 47, 31-964 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;294;406
379;"Szkoła Podstawowa im. św. Wincentego Pallottiego, os. Osiedle Krakowiaków 47, 31-964 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;233;412
380;"Ośrodek Kultury im. C. K. Norwida, os. Osiedle Górali 5, 31-959 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;303;444
381;"Zespół Szkół Ogólnokształcących Sportowych Nr 2, os. Osiedle Teatralne 35, 31-948 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;349;568
382;"Zespół Szkół Ogólnokształcących Sportowych Nr 2, os. Osiedle Teatralne 35, 31-948 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;219;354
383;"XI Liceum Ogólnokształcące, os. Osiedle Teatralne 33, 31-948 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;298;524
384;"Zespół Szkół Ekonomicznych Nr 2, os. Osiedle Spółdzielcze 6, 31-943 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;235;524
385;"Szkoła Podstawowa Nr 103, os. Osiedle Kolorowe 29, 31-941 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;425;672
386;"Szkoła Podstawowa Nr 103, os. Osiedle Kolorowe 29, 31-941 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;312;559
387;"Szkoła Podstawowa Nr 91, os. Osiedle Handlowe 4, 31-935 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;241;409
388;"Szkoła Podstawowa Nr 91, os. Osiedle Handlowe 4, 31-935 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;253;514
389;"Szkoła Podstawowa Nr 91, os. Osiedle Handlowe 4, 31-935 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;315;497
390;"Szkoła Podstawowa Nr 91, os. Osiedle Handlowe 4, 31-935 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;325;537
391;"Ośrodek Kultury Kraków Nowa Huta Klub „Jędruś”, os. Osiedle Centrum A 6a, 31-923 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;384;782
392;"Szkoła Podstawowa Nr 80, os. Osiedle Na Skarpie 8, 31-909 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;285;461
393;"Szkoła Podstawowa Nr 80, os. Osiedle Na Skarpie 8, 31-909 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;412;629
394;"Szkoła Podstawowa Nr 80, os. Osiedle Na Skarpie 8, 31-909 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;397;574
395;"Szkoła Podstawowa Nr 80, os. Osiedle Na Skarpie 8, 31-909 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;295;553
396;"XVI Liceum Ogólnokształcące, os. Osiedle Willowe 1, 31-901 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;370;551
397;"XVI Liceum Ogólnokształcące, os. Osiedle Willowe 1, 31-901 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;290;438
398;"Szkoła Podstawowa Nr 37, os. Osiedle Stalowe 18, 31-922 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;258;370
399;"Szkoła Podstawowa Nr 37, os. Osiedle Stalowe 18, 31-922 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;344;703
400;"Zespół Szkół Specjalnych Nr 6, ul. Tadeusza Ptaszyckiego 9, 31-979 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;553;776
401;"Towarzystwo Przyjaciół Ziemi Pleszowskiej Świetlica Osiedlowa, ul. Nadbrzezie 18, 31-983 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;86;101
402;"Szkoła Podstawowa Nr 74, ul. Branicka 26, 31-985 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;340;315
403;"Zespół Szkolno-Przedszkolny Nr 9, ul. Romana Prawocheńskiego 7, 31-998 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;550;406
404;"Szkoła Podstawowa Nr 141, ul. Józefa Sawy-Calińskiego 12, 31-999 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;598;437
405;"Szkoła Podstawowa Nr 142, ul. Drożyska 13, 31-998 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;423;325
410;"Szkoła Podstawowa Nr 155, os. Osiedle 2 Pułku Lotniczego 21, 31-869 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;317;1197
411;"Ośrodek Kultury Kraków-Nowa Huta, Klub Zakole, ul. Zakole 31, 31-763 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;170;320
420;"Zakład Opiekuńczo-Leczniczy prowadzony przez Zgromadzenie Sióstr Felicjanek, ul. Hugona Kołłątaja 7, 31-502 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;28;4
421;"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Mikołaja Kopernika 23, 31-501 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;58;65
422;"Dom Pomocy Społecznej, ul. Ułanów 25, 31-450 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;10;1
423;"Dom Pomocy Społecznej, ul. Rozrywka 1, 31-419 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;16;4
424;"Krakowski Szpital Specjalistyczny im. Jana Pawła II, ul. Prądnicka 80, 31-202 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;134;113
425;"Szpital Miejski Specjalistyczny im. Gabriela Narutowicza w Krakowie, ul. Prądnicka 35 - 37, 31-202 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;39;62
426;"Dom Pomocy Społecznej, ul. Piotra Kluzeka 6, 31-222 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;22;18
427;"Zakład Opiekuńczo-Leczniczy BONA-MED sp. z o. o., ul. ks. Kazimierza Siemaszki 17C, 31-207 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;9;10
445;"Dom Pomocy Społecznej im. Władysława Godynia w Krakowie, ul. Sołtysowska 13d, 31-589 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;25;17
446;"Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o. o., os. Osiedle Złotej Jesieni 1, 31-826 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;58;61
447;"Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o. o., os. Osiedle Złotej Jesieni 1, 31-826 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;62;47
448;"Zakład Opiekuńczo-Leczniczy Serdeczna Troska Sp. z o. o., os. Osiedle Złotej Jesieni 5, 31-826 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;15;12
449;"Areszt Śledczy w Krakowie, Oddział Zewnętrzny w Krakowie-Nowej Hucie, ul. Spławy 2, 31-988 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;52;152
450;"Dom Pomocy Społecznej, os. Osiedle Sportowe 9, 31-965 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;12;3
451;"Dom Pomocy Społecznej, os. Osiedle Szkolne 28, 31-977 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;11;8
452;"Centrum Medyczne Ujastek sp. z o. o., ul. Ujastek 3, 31-752 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;27;44
453;"Szpital Specjalistyczny im. Stefana Żeromskiego SP ZOZ w Krakowie, os. Osiedle Na Skarpie 66, 31-913 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;50;64
454;"Serdeczna Troska Sp. z o. o. Zakład Opiekuńczo-Leczniczy, ul. Rzepakowa 5a, 31-989 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;18;22
