"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
62;"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;234;692
63;"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;323;776
64;"Młodzieżowy Dom Kultury, al. Aleja 29 Listopada 102, 31-406 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;357;835
65;"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;322;739
66;"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;347;861
67;"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;401;876
68;"Młodzieżowy Dom Kultury, al. Aleja 29 Listopada 102, 31-406 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;239;653
69;"Zespół Szkolno-Przedszkolny Nr 12, ul. ks. Józefa Meiera 16D, 31-236 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;431;1401
70;"Zespół Szkolno-Przedszkolny Nr 12, ul. ks. Józefa Meiera 16D, 31-236 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;318;801
71;"Zespół Szkolno-Przedszkolny Nr 12, ul. ks. Józefa Meiera 16D, 31-236 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;216;842
72;"Zespół Szkolno-Przedszkolny Nr 2, ul. Porzeczkowa 3, 31-234 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;273;931
73;"Zespół Szkolno-Przedszkolny Nr 2, ul. Porzeczkowa 3, 31-234 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;469;1464
74;"Szkoła Podstawowa Nr 58, ul. Stanisława Pigonia 2, 31-230 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;473;1267
