"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SULIMA Marek Artur - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BIERECKI Grzegorz Michał - KW PRAWO I SPRAWIEDLIWOŚĆ"
14;"Przedszkole Niepubliczne im. Przyjaciół Kubusia Puchatka, ul. Łomaska 70, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;544;631
15;"Szkoła Podstawowa Nr 3, ul. Sportowa 7, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;447;548
16;"Firma Dariusz Głowacki ""DAGO"", ul. Grzybowa 52B, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;898;754
17;"Szkoła Podstawowa nr 3, ul. Sportowa 7, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;641;681
18;"Przedszkole Samorządowe nr 3, ul. Warszawska 19C, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;681;495
19;"Klub Kultury ""Piast"", ul. Spółdzielcza 4, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;642;487
20;"Szkoła Podstawowa nr 2, ul. Akademicka 8, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;884;641
21;"Przedszkole Samorządowe nr 13, ul. Kazimierza Jagiellończyka 17, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;795;581
22;"Szkoła Podstawowa nr 9, ul. Zygmunta Augusta 2, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;711;603
23;"Przedszkole Samorządowe nr 17, ul. Zygmunta Starego 4, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;668;563
24;"Medyczne Studium Zawodowe, ul. Okopowa 3, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;1083;635
25;"Katolickie Liceum Ogólnokształcące, ul. Janowska 55, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;885;565
26;"Samorządowe Przedszkole Integracyjne nr 16, ul. Wesoła 21-23, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;212;193
27;"POL-Kres Edwood, ul. Łomaska 86, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;516;543
28;"Wojewódzki Szpital Specjalistyczny, ul. Terebelska 57 - 65, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;52;122
29;"Zakład Karny, ul. Prosta 33, 21-500 Biała Podlaska";66101;"m. Biała Podlaska";"Biała Podlaska";"lubelskie";1;1;86;19
