"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
210;"Zespół Szkół Odzieżowych Nr 1, ul. Cechowa 57, 30-614 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;482;804
211;"Zespół Szkół Odzieżowych Nr 1, ul. Cechowa 57, 30-614 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;415;1250
212;"Zespół Szkół Odzieżowych Nr 1, ul. Cechowa 57, 30-614 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;318;674
213;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 162, ul. Stanisława Stojałowskiego 31, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;422;736
214;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 162, ul. Stanisława Stojałowskiego 31, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;519;705
215;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 162, ul. Stanisława Stojałowskiego 31, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;399;767
216;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 162, ul. Stanisława Stojałowskiego 31, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;489;846
217;"Szkoła Podstawowa Nr 149, ul. Franciszka Bujaka 15, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;389;850
218;"Szkoła Podstawowa Nr 149, ul. Franciszka Bujaka 15, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;324;952
219;"Szkoła Podstawowa Nr 149, ul. Franciszka Bujaka 15, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;342;992
220;"Szkoła Podstawowa Nr 149, ul. Franciszka Bujaka 15, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;453;808
221;"Szkoła Podstawowa Nr 149, ul. Franciszka Bujaka 15, 30-611 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;415;1088
