"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MARANDA Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"KONIECZNY Wojciech Jan - KW NOWA LEWICA";"POHORECKA Monika Sylwia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIEŃKOWSKA Małgorzata Beata - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
120;"Szkoła Podstawowa nr 46, ul. Szamotowa 8, 42-280 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;100;358;238;87
121;"Szkoła Podstawowa nr 37, ul. Wielkoborska 54, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;193;661;492;195
122;"Szkoła Podstawowa nr 13, ul. Wręczycka 111/115, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;158;703;595;148
123;"Szkoła Podstawowa nr 13, ul. Wręczycka 111/115, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;118;724;318;110
124;"Szkoła Podstawowa nr 13, ul. Wręczycka 111/115, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;130;856;365;125
125;"Szkoła Podstawowa nr 29, ul. św. Rocha 221, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;157;721;488;170
126;"Szkoła Podstawowa nr 29, ul. św. Rocha 221, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;147;762;391;140
127;"Miejski Szpital Zespolony, ul. Adama Mickiewicza 12, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;4;25;18;4
128;"Miejski Szpital Zespolony, ul. Bony Sforzy 1/3, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;1;14;16;3
129;"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi Panny w Częstochowie, ul. Polskiego Czerwonego Krzyża 7, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;2;36;51;13
130;"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi Panny w Częstochowie, ul. Bialska 104/118, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;12;33;33;8
131;"Dom Pomocy Społecznej pw. Św. Antoniego Zgromadzenia Sióstr Miłosierdzia, ul. Wieluńska 1, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;1;15;15;5
132;"Miejski Szpital Zespolony, ul. Mirowska 15, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;3;38;42;6
133;"Areszt Śledczy w Częstochowie, ul. Mirowska 22, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;21;69;28;63
134;"Dom Pomocy Społecznej, ul. prof. Stanisława Kontkiewicza 2, 42-226 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;6;7;35;12
135;"Dom Seniora „Nad Strumykiem"", ul. Wałowa 3, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;5;5;2;4
136;"Centrum Opieki Paliatywnej, ul. Mikołaja Kopernika 17A, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;2;6;3;1
