"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BERNACKI Włodzimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"MACOŃ Radosław Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORTA Adam Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KRZYCH Bartłomiej Hubert - KW POLSKA JEST JEDNA"
6;"Szkoła Podstawowa w Kłaju, Kłaj 361, 32-015 Kłaj";121903;"gm. Kłaj";"wielicki";"małopolskie";1;1;329;118;447;71
7;"Szkoła Podstawowa w Kłaju, Kłaj 361, 32-015 Kłaj";121903;"gm. Kłaj";"wielicki";"małopolskie";1;1;390;105;542;97
8;"Dom Kultury w Łysokaniach, Łysokanie 90, 32-014 Łysokanie";121903;"gm. Kłaj";"wielicki";"małopolskie";1;1;209;43;122;46
9;"Dom Kultury w Szarowie, Szarów 346, 32-014 Szarów";121903;"gm. Kłaj";"wielicki";"małopolskie";1;1;338;102;325;50
10;"Dom Kultury w Targowisku, Targowisko 423, 32-015 Targowisko";121903;"gm. Kłaj";"wielicki";"małopolskie";1;1;345;119;513;55
1;"Zamek Królewski w Niepołomicach, ul. Zamkowa 2, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;352;175;796;114
2;"Zamek Królewski w Niepołomicach, ul. Zamkowa 2, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;389;168;908;127
3;"Zamek Królewski w Niepołomicach, ul. Zamkowa 2, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;462;150;806;95
4;"Małopolskie Centrum Dźwięku i Słowa w Niepołomicach, ul. Zamkowa 4, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;416;135;559;99
5;"Remiza Ochotniczej Straży Pożarnej w Niepołomicach, ul. Sportowa 1b, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;232;72;173;44
6;"Szkoła Podstawowa Nr 4 w Niepołomicach, os. Osiedle Kaptarz 40, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;339;146;713;127
7;"Szkoła Podstawowa w Podłężu, Podłęże 220, 32-003 Podłęże";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;488;116;631;108
8;"Dom Kultury w Staniątkach, Staniątki 315, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;746;138;593;128
9;"Dom Kultury w Zagórzu, Zagórze 170, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;225;59;166;36
10;"Zespół Szkolno-Przedszkolny w Zakrzowie, Zakrzów 323, 32-003 Podłęże";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;277;62;293;67
11;"Dom Kultury w Woli Batorskiej, Wola Batorska 25, 32-007 Zabierzów Bocheński";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;730;198;742;157
12;"Szkoła Podstawowa z Oddziałami Integracyjnymi w Zabierzowie Bocheńskim, Zabierzów Bocheński 465, 32-007 Zabierzów Bocheński";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;420;135;384;84
13;"Zespół Szkolno-Przedszkolny w Woli Zabierzowskiej, Wola Zabierzowska 1, 32-007 Zabierzów Bocheński";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;336;82;212;48
14;"Dom Kultury w Chobocie, Chobot 43, 32-007 Zabierzów Bocheński";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;83;26;58;16
15;"Dom Kultury w Ochmanowie, Ochmanów 123, 32-003 Podłęże";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;156;37;160;34
16;"Dom Kultury w Słomirogu, Słomiróg 119, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;176;24;90;25
17;"Zespół Szkolno-Przedszkolny w Suchorabie, Suchoraba 79, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;116;34;44;15
18;"Dom Kultury w Zakrzowcu, Zakrzowiec 264, 32-003 Podłęże";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;187;41;131;36
19;"Zamek Królewski w Niepołomicach, ul. Zamkowa 2, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;189;88;313;41
20;"Szkoła Podstawowa Nr 4 w Niepołomicach, os. Osiedle Kaptarz 40, 32-005 Niepołomice";121904;"gm. Niepołomice";"wielicki";"małopolskie";1;1;253;88;510;62
1;"Szkoła Podstawowa nr 2 w Wieliczce, ul. Stanisława Moniuszki 1, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;284;108;712;100
2;"Centrum Edukacyjno-Rekreacyjne ""Solne Miasto"" w Wieliczce, ul. Tadeusza Kościuszki 15, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;221;73;610;105
3;"Przedszkole Samorządowe nr 2 w Wieliczce, ul. Adama Asnyka 40, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;410;126;622;142
4;"Przedszkole Samorządowe nr 5 w Wieliczce, ul. Wincentego Pola 23, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;430;96;530;113
5;"Szkoła Podstawowa nr 3 w Wieliczce, os. Henryka Sienkiewicza 14, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;397;68;503;98
6;"Szkoła Podstawowa Nr 1 w Wieliczce, ul. Marszałka Józefa Piłsudskiego 20, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;530;166;945;218
7;"Liceum Ogólnokształcące w Wieliczce, ul. Marszałka Józefa Piłsudskiego 18, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;238;81;618;125
8;"Świetlica Środowiskowa w Wieliczce, ul. Reformacka 76, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;306;166;939;207
9;"Centrum Edukacyjno-Rekreacyjne ""Solne Miasto"" w Wieliczce, ul. Tadeusza Kościuszki 15, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;465;151;795;160
10;"Szkoła Podstawowa Nr 4 w Wieliczce, ul. Krzyszkowicka 18, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;418;213;1119;180
11;"Dom Osiedlowy w Wieliczce, ul. Krzyszkowicka 5c, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;423;191;1237;227
12;"Szkoła Podstawowa w Sierczy, Siercza 428, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;308;105;383;103
13;"Świetlica Środowiskowa w Sygneczowie, Sygneczów 260, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;427;124;572;136
14;"Szkoła Podstawowa w Golkowicach, Golkowice 454, 30-698 Kraków";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;460;129;399;63
15;"Świetlica Środowiskowa w Janowicach, Janowice 402, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;340;70;253;103
16;"Szkoła Podstawowa w Podstolicach, Podstolice 204, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;310;96;159;66
17;"Szkoła Podstawowa w Koźmicach Wielkich, Koźmice Wielkie 605, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;418;79;237;132
18;"Szkoła Podstawowa w Koźmicach Wielkich, Koźmice Wielkie 605, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;264;83;269;94
19;"Szkoła Podstawowa w Byszycach, Byszyce 1, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;245;53;104;49
20;"Szkoła Podstawowa w Gorzkowie, Gorzków 168, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;269;74;224;62
21;"Szkoła Podstawowa w Raciborsku, Raciborsko 71, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;323;100;308;65
22;"Szkoła Podstawowa w Grajowie, Grajów 177, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;255;47;177;59
23;"Świetlica Środowiskowa w Mietniowie, Mietniów 353, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;270;60;330;70
24;"Wiejski Dom Kultury w Pawlikowicach, Pawlikowice 71, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;433;99;477;137
25;"Szkoła Podstawowa w Dobranowicach, Dobranowice 121, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;190;39;137;46
26;"Dom Strażaka w Chorągwicy, Chorągwica 140, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;236;53;240;57
27;"Świetlica Środowiskowa w Lednicy Górnej, Lednica Górna 451, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;287;82;487;94
28;"Świetlica Środowiskowa w Sułkowie, Sułków 467, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;317;140;471;130
29;"Wiejski Dom Kultury w Małej Wsi, Mała Wieś 303, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;214;59;269;128
30;"Wiejski Dom Kultury w Strumianach, Strumiany 254, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;111;35;218;107
31;"Szkoła Podstawowa w Węgrzcach Wielkich, Węgrzce Wielkie 190, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;519;115;784;316
32;"Szkoła Podstawowa w Grabiu, Grabie 2, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;209;45;182;33
33;"Dom Ludowy w Brzegach, Brzegi 234, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;166;58;159;43
34;"Świetlica Środowiskowa w Kokotowie, Kokotów 730, 32-002 Węgrzce Wielkie";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;461;86;751;198
35;"Dom Strażaka w Zabawie, Zabawa 340, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;226;73;443;113
36;"Dom Ludowy w Śledziejowicach, Śledziejowice 4, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;328;114;726;172
37;"Dom Ludowy w Czarnochowicach, Czarnochowice 150, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;317;105;524;143
38;"Dom Strażaka w Jankówce, Jankówka 40, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;125;20;59;26
39;"Świetlica Wiejska w Koźmicach Małych, Koźmice Małe 37, 32-020 Wieliczka";121905;"gm. Wieliczka";"wielicki";"małopolskie";1;1;198;38;133;42
