"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIERZBICKA Renata Teresa - KW PRAWO I SPRAWIEDLIWOŚĆ";"LUDKOWSKI Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁACZ-LESZCZYŃSKA Agnieszka Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
8;"Zespół Szkolno-Przedszkolny nr 7, ul. Główna 2, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;275;88;530
9;"Środowiskowy Dom Samopomocy, ul. Czesława Miłosza 15a, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;386;52;612
10;"Środowiskowy Dom Samopomocy, ul. Czesława Miłosza 15a, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;343;84;592
11;"Zespół Szkół Muzycznych, ul. Piętnastolecia 24, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;147;46;392
12;"Zespół Szkolno-Przedszkolny nr 7, ul. Główna 2, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;213;57;610
13;"Zespół Szkół Muzycznych, ul. Piętnastolecia 24, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;268;85;615
14;"Zespół Szkolno-Przedszkolny Nr 6, ul. Grodzka 71, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;311;66;753
15;"Zespół Szkolno-Przedszkolny Nr 6, ul. Grodzka 71, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;395;77;935
16;"Zespół Szkolno-Przedszkolny Nr 6, ul. Grodzka 71, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;330;91;887
17;"Zespół Przedszkoli Samorządowych nr 1, ul. Grodzka 13, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;356;71;774
18;"Zespół Żłobków Samorządowych Nr 2, ul. Kasztelańska 7, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;266;51;605
19;"Zespół Żłobków Samorządowych Nr 2, ul. Kasztelańska 7, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;356;87;880
20;"Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 26, ul. Palisadowa 48, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;344;91;754
21;"Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 26, ul. Palisadowa 48, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;426;71;941
22;"Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 26, ul. Palisadowa 48, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;283;58;654
23;"Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 26, ul. Palisadowa 48, 58-316 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;246;62;657
24;"Politechnika Wrocławska Zamiejscowy Ośrodek Dydaktyczny w Wałbrzychu, ul. Armii Krajowej 78, 58-302 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;174;48;307
25;"Rada Wspólnoty Samorządowej ""Stary Zdrój"", ul. Armii Krajowej 37, 58-302 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;319;95;707
26;"Zespół Szkolno-Przedszkolny Nr 3, ul. Tytusa Chałubińskiego 13, 58-302 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;190;65;621
27;"Zespół Szkolno-Przedszkolny Nr 4, ul. 11 Listopada 75, 58-302 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;337;88;736
28;"I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Ignacego Paderewskiego 17, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;238;66;576
29;"I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Ignacego Paderewskiego 17, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;285;59;462
30;"Publiczna Szkoła Podstawowa Nr 23, ul. Andrzeja Struga 3, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;264;62;461
31;"Zespół Żłobków Samorządowych Nr 1, ul. Truskawiecka 21, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;226;56;396
32;"Publiczna Szkoła Podstawowa Nr 23, ul. Andrzeja Struga 3, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;196;68;371
33;"Zespół Szkół Nr 7, ul. Kłodzka 29, 58-308 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;179;43;495
34;"Rada Wspólnoty Samorządowej „Rusinowa, Kozice”, ul. Osiedle Górnicze 48, 58-308 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;192;69;369
35;"Zespół Szkolno-Przedszkolny Nr 8, ul. Poznańska 8, 58-303 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;261;92;511
36;"Rada Wspólnoty Samorządowej „Podgórze, Nowy i Stary Glinik” Filia, ul. Glinicka 1, 58-303 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;75;20;126
37;"Zespół Szkolno-Przedszkolny Nr 8, ul. Poznańska 8, 58-303 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;340;104;589
38;"Zespół Szkolno-Przedszkolny Nr 2, ul. Królewiecka 7, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;139;49;296
39;"Zespół Szkolno-Przedszkolny Nr 8, ul. Poznańska 8, 58-303 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;145;33;282
40;"Rada Wspólnoty Samorządowej ""Podgórze, Nowy i Stary Glinnik"", ul. Niepodległości 24, 58-303 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;569;134;1200
41;"Zespół Szkół Politechnicznych „Energetyk”, al. Wyzwolenia 5, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;226;70;494
42;"Zespół Szkół Politechnicznych „Energetyk”, al. Wyzwolenia 5, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;315;87;625
43;"Publiczna Szkoła Podstawowa Nr 28, al. Wyzwolenia 43, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;233;81;558
44;"Zespół Szkolno-Przedszkolny Nr 5, ul. Bolesława Limanowskiego 12, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;152;32;309
45;"Zespół Szkół Zawodowych Specjalnych, ul. Adama Mickiewicza 24, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;170;58;335
46;"Zespół Szkół Zawodowych Specjalnych, ul. Adama Mickiewicza 24, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;185;58;318
47;"Zespół Szkolno-Przedszkolny Nr 1, ul. 1 Maja 105, 58-305 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;197;51;342
48;"III Liceum Ogólnokształcące, ul. Henryka Jordana 4, 58-305 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;197;50;351
49;"III Liceum Ogólnokształcące, ul. Henryka Jordana 4, 58-305 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;329;78;662
50;"Publiczna Szkoła Podstawowa Nr 6, ul. gen. Władysława Andersa 50, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;246;62;574
51;"Publiczna Szkoła Podstawowa Nr 6, ul. gen. Władysława Andersa 50, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;245;66;474
52;"Powiatowa i Miejska Biblioteka Publiczna „Biblioteka Pod Atlantami” Filia Nr 6, ul. gen. Władysława Andersa 137, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;242;58;508
53;"Publiczna Szkoła Podstawowa Nr 2, ul. Melchiora Wańkowicza 13, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;173;47;472
54;"Publiczna Szkoła Podstawowa Nr 2, ul. Melchiora Wańkowicza 13, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;298;105;683
55;"Publiczna Szkoła Podstawowa Nr 2, ul. Melchiora Wańkowicza 13, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;228;58;470
56;"Muzeum Gross-Rosen, ul. Szarych Szeregów 9, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;152;34;340
57;"Publiczna Szkoła Podstawowa Nr 2, ul. Melchiora Wańkowicza 13, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;268;91;548
58;"Specjalistyczny Szpital Ginekologiczno-Położniczy, ul. Ignacego Paderewskiego 10, 58-301 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;16;5;7
59;"Specjalistyczny Szpital im. Alfreda Sokołowskiego Oddziały przy ul. Batorego 4, ul. Stefana Batorego 4, 58-300 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;25;6;31
60;"Specjalistyczny Szpital im. Alfreda Sokołowskiego Oddziały przy ul. A. Sokołowskiego 4, ul. Alfreda Sokołowskiego 4, 58-309 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;17;8;46
61;"Dom Seniora-Rusinowa, ul. Osiedle Górnicze 19A, 58-308 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;13;3;5
62;"Dom Seniora-Biały Kamień, ul. gen. Władysława Andersa 162a, 58-304 Wałbrzych";26501;"m. Wałbrzych";"Wałbrzych";"dolnośląskie";1;1;7;0;13
