"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FEDOROWICZ Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OSTROWSKI Krzysztof Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JURGA Michał Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRZYBYLSKI Dawid Krzysztof - KWW RDIP";"PIASECKI Mirosław - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
11;"Budynek administracyjny Woj. Szpitala dla Nerwowo i Psychicznie Chorych, ul. Poznańska 15, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;539;303;92;28;27
12;"I Liceum Ogólnokształcące im. B. Chrobrego, ul. prof. Józefa Kostrzewskiego 3, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;929;408;140;37;48
13;"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;511;294;98;19;34
14;"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;527;316;84;20;27
15;"Miejskie Przedsiębiorstwo Komunikacyjne Sp. z o. o., ul. Wesoła 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;458;194;59;25;31
16;"Szkoła Podstawowa Nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;604;298;74;15;39
17;"Przedszkole nr 6, ul. Wiosenna 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;337;215;71;33;39
18;"Szkoła Podstawowa nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;527;339;95;23;46
19;"Szkoła Podstawowa nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;524;237;57;10;21
20;"Szkoła Podstawowa Nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;637;199;70;32;33
21;"Szkoła Podstawowa Nr 6, ul. Żwirki i Wigury 22, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;823;432;105;39;46
22;"Przedszkole nr 8, ul. Budowlanych 22, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;898;519;115;52;42
23;"Szkoła Podstawowa nr 7, ul. Józefa Paczkowskiego 13, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;519;218;65;23;30
24;"Gnieźnieńska Spółdzielnia Mieszkaniowa, ul. Budowlanych 2, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;490;237;65;16;22
25;"Szkoła Podstawowa Nr 9, ul. ks. Stanisława Staszica 5, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;483;235;65;18;15
26;"Szkoła Podstawowa nr 9, ul. ks. Stanisława Staszica 5, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;490;206;44;23;31
27;"Zespół Szkół Technicznych im. Papieża Jana Pawła II, ul. Augusta Cieszkowskiego 17, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;962;95;432;34;52
28;"Urbis Sp. z o. o. Zakład Oczyszczania Miasta, ul. Fabryczna 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;897;420;135;41;53
29;"Urbis Sp. z o. o. Zakład Oczyszczania Miasta, ul. Fabryczna 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;389;168;46;10;18
30;"Przedszkole Nr 14, os. Osiedle Jagiellońskie 33, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;859;451;102;38;47
31;"Przedszkole Nr 17, os. Osiedle Piastowskie 18, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;726;371;114;32;42
32;"Szkoła Podstawowa nr 10, os. Osiedle Orła Białego 18, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;766;397;107;36;36
33;"Przedszkole Nr 1, os. Osiedle Władysława Łokietka 21, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;804;456;131;24;35
34;"Szkoła Podstawowa Nr 12, os. Osiedle Kazimierza Wielkiego 33, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;455;301;64;13;23
35;"Szkoła Podstawowa Nr 12, os. Osiedle Kazimierza Wielkiego 33, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;444;265;53;25;34
36;"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych, ul. Poznańska 15, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;75;78;20;11;10
37;"Szpital Pomnik Chrztu Polski, ul. św. Jana 9, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;7;12;2;0;0
38;"Szpital Pomnik Chrztu Polski, ul. 3 Maja 37 - 39, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;28;27;5;2;3
39;"Dom Pomocy Społecznej, ul. Wrzesińska 21, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;8;20;2;9;4
1;"Hala Widowiskowo-Sportowa w Czerniejewie, ul. Szkolna 3, 62-250 Czerniejewo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;739;486;175;45;55
2;"Blok Żywieniowo-Świetlicowy Szkoły Podstawowej, ul. Szkolna 3, 62-250 Czerniejewo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;183;134;38;9;9
3;"Szkoła Podstawowa, ul. Tadeusza Kościuszki 24, 62-241 Żydowo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;544;414;106;30;34
4;"Sala Gimnastyczna Szkoły Podstawowej, ul. Tadeusza Kościuszki 34, 62-241 Żydowo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;136;195;44;9;11
5;"Świetlica Wiejska w Pakszynie, Pakszyn 66, 62-250 Czerniejewo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;69;71;21;8;14
6;"Świetlica Wiejska w Pawłowie, Pawłowo 28, 62-250 Czerniejewo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;66;114;30;8;10
7;"Świetlica Wiejska w Szczytnikach Czerniejewskich, Szczytniki Czerniejewskie 48A, 62-250 Czerniejewo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;68;85;23;13;7
8;"Sala widzeń Zakładu Karnego w Gębarzewie, Gębarzewo ., 62-241 Żydowo";300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";1;1;234;84;108;14;26
1;"Zespół Szkół w Jankowie Dolnym, Jankowo Dolne 9, 62-214 Jankowo Dolne";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;750;341;142;27;40
2;"Zespół Szkół im. Ks. Jana Twardowskiego w Szczytnikach Duchownych, Szczytniki Duchowne 27, 62-214 Szczytniki Duchowne";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;714;314;135;20;52
3;"Świetlica Wiejska w Piekarach, ul. Poziomkowa 32C, 62-200 Piekary";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;399;185;84;9;30
4;"Szkoła Podstawowa im. Obrońców Gniezna i Ziemi Gnieźnieńskiej w Goślinowie, Goślinowo 14, 62-200 Goślinowo";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;571;315;115;19;44
5;"Szkoła Podstawowa im. Powstańców Wielkopolskich 1918/19 w Zdziechowie, Zdziechowa 136, 62-211 Zdziechowa";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;494;444;138;17;32
6;"Świetlica wiejska w Mnichowie, Mnichowo 14b, 62-200 Mnichowo";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;512;245;101;17;33
7;"Szkoła Podstawowa im. Księdza Leona Formanowicza w Modliszewku, Modliszewko 13, 62-211 Modliszewko";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;138;106;31;9;10
8;"Świetlica Wiejska w Strzyżewie Kościelnym, Strzyżewo Kościelne 12, 62-214 Strzyżewo Kościelne";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;179;149;29;14;13
9;"Świetlica Wiejska w Woli Skorzęckiej, Wola Skorzęcka 29, 62-200 Wola Skorzęcka";300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";1;1;471;199;90;12;26
1;"Urząd Gminy, ul. Szkolna 2, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;397;281;67;31;20
2;"Świetlica Wiejska, Rybno Wielkie ul. Główna 14, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;195;198;69;14;13
3;"Świetlica Wiejska w Sławnie, Sławno ul. Gnieźnieńska 40, 62-265 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;248;251;85;18;30
4;"Hala Widowiskowo-Sportowa, ul. Polna 33, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;164;72;28;12;16
5;"Świetlica Wiejska w Łagiewnikach Kościelnych, Łagiewniki Kościelne 39A, 62-272 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;111;71;11;9;5
6;"Świetlica Wiejska w Skrzetuszewie, Skrzetuszewo 29B, 62-265 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;67;66;20;9;1
7;"Świetlica Wiejska w Sroczynie, Sroczyn 15B, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;54;46;16;4;3
8;"Świetlica Wiejska w Węgorzewie, Węgorzewo 24A, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;53;54;18;3;1
9;"Świetlica Wiejska w Turostowie, Turostowo 35, 62-280 Kiszkowo";300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";1;1;90;66;18;8;10
1;"Miejsko Gminny Ośrodek Kultury w Kłecku, ul. Gnieźnieńska 8, 62-270 Kłecko";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;382;313;88;31;22
2;"Zespół Szkolno Przedszkolny w Kłecku, ul. Gnieźnieńska 7A, 62-270 Kłecko";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;303;224;61;16;22
3;"Świetlica wiejska w Wilkowyji, Wilkowyja 26, 62-270 Wilkowyja";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;180;177;54;15;13
4;"Świetlica wiejska w Charbowie, Charbowo 17, 62-270 Charbowo";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;48;80;8;4;7
5;"Szkoła Podstawowa w Dębnicy, Dębnica 3, 62-271 Dębnica";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;286;342;124;22;30
6;"Świetlica wiejska w Działyniu, Działyń 18A, 62-271 Działyń";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;194;186;35;17;15
7;"Świetlica wiejska w Bojanicach, Bojanice 27A, 62-270 Bojanice";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;51;58;20;4;8
8;"Świetlica wiejska w Gorzuchowie, Gorzuchowo 18A, 62-270 Gorzuchowo";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;47;98;32;4;4
9;"Świetlica wiejska w Michalczy, Michalcza 7A, 62-270 Michalcza";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;43;73;5;4;0
10;"Świetlica wiejska w Świniarach, Świniary 16A, 62-270 Świniary";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;68;66;19;2;2
11;"Świetlica wiejska w Ułanowie, Ułanowo 6A, 62-270 Ułanowo";300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";1;1;25;53;23;3;4
1;"Szkoła Podstawowa w Lednogórze, Lednogóra 40A, 62-261 Lednogóra";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;416;184;75;35;25
2;"Szkoła Podstawowa w Fałkowie, Fałkowo 1A, 62-262 Fałkowo";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;454;244;116;16;29
3;"Dom Kultury w Łubowie, Łubowo 13F, 62-260 Łubowo";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;349;259;72;26;41
4;"Szkoła Podstawowa w Owieczkach, Owieczki 11A, 62-260 Łubowo";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;191;207;57;3;19
5;"Sala wiejska w Dziekanowicach, Dziekanowice 26A, 62-261 Dziekanowice";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;110;81;19;6;13
6;"Sala wiejska w Imielnie, Imielno 1/3, 62-261 Imielno";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;154;67;27;9;11
7;"Sala wiejska w Wierzycach, Wierzyce os. Osiedle Leśne 7, 62-262 Fałkowo";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;277;109;36;10;13
8;"Sala wiejska w Woźnikach, Woźniki 11A, 62-260 Woźniki";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;76;73;18;4;1
9;"Sala wiejska w Rzegnowie, Rzegnowo 44A, 62-260 Rzegnowo";300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";1;1;63;78;19;5;6
1;"Świetlica Wiejska, Mieleszyn 24a, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;226;142;59;11;22
2;"Świetlica Wiejska, Mielno 33, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;112;132;19;4;15
3;"Szkoła Podstawowa, Łopienno 117, 62-213 Łopienno";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;139;175;36;4;15
4;"Szkoła Podstawowa, Karniszewo 11a, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;98;109;26;8;6
5;"Świetlica Wiejska w Popowie Tomkowym, Popowo Tomkowe 35a, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;73;68;22;8;7
6;"Świetlica Wiejska w Przysiece, Przysieka 12a, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;53;55;10;2;0
7;"Świetlica Wiejska w Sokolnikach, Sokolniki 13a, 62-212 Mieleszyn";300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";1;1;133;156;36;9;14
1;"Gminny Ośrodek Kultury w Niechanowie, ul. Gnieźnieńska 2, 62-220 Niechanowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;514;497;120;32;44
2;"Wiejski Dom Kultury w Jarząbkowie, Jarząbkowo 7 B, 62-220 Jarząbkowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;201;270;58;9;12
3;"Szkoła Podstawowa w Niechanowie, ul. Różana 33, 62-220 Niechanowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;174;204;50;20;16
4;"Świetlica wiejska w Gurówku, Gurówko 6, 62-220 Niechanowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;464;234;92;18;24
5;"Świetlica wiejska w Jelitowie, Jelitowo 14, 62-220 Niechanowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;41;95;14;9;8
6;"Świetlica wiejska w Trzuskołoniu, Trzuskołoń 17A, 62-220 Niechanowo";300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";1;1;56;99;23;10;5
1;"Przedszkole Nr 2 im ""Misia Uszatka"", ul. Bolesława Chrobrego 8, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;441;359;102;36;43
2;"Ośrodek Sportu i Rekreacji, ul. Piastowska 11, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;401;268;76;23;20
3;"Szkoła Podstawowa Nr 1 im. J. Kilińskiego, ul. Jana i Jędrzeja Śniadeckich 18, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;519;333;118;44;48
4;"Szkoła Podstawowa Nr 2 im. Polskich Olimpijczyków, ul. Pl. Michała Kościeszy Kosmowskiego 5, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;450;326;130;29;45
5;"Szkoła Podstawowa im. Powstania Wielkopolskiego, Kruchowo 1, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;240;245;62;18;24
6;"Świetlica Wiejska, Wydartowo 48, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;69;117;38;15;7
7;"Świetlica Wiejska, Niewolno 16A, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;152;107;39;10;10
8;"Dom Kultury, ul. św. Jana 11, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;117;73;39;8;6
9;"Środowiskowy Dom Samopomocy, ul. Adama Mickiewicza 28, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;21;26;2;1;0
10;"Szkoła Podstawowa im. Bohaterów Września 1939 r., Trzemżal 56, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;217;375;66;28;29
11;"Świetlica Wiejska, Lubiń 10, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;98;65;25;5;10
12;"Świetlica Wiejska w Jastrzębowie, Jastrzębowo 37B, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;52;56;30;7;4
13;"Świetlica Wiejska w Wymysłowie, Wymysłowo 105, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;114;66;22;5;11
