"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FEDOROWICZ Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OSTROWSKI Krzysztof Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JURGA Michał Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRZYBYLSKI Dawid Krzysztof - KWW RDIP";"PIASECKI Mirosław - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
1;"Liceum Ogólnokształcące w Słupcy, pl. Szkolny 1, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;414;310;61;32;21
2;"Szkoła Podstawowa Nr 1 w Słupcy, pl. Szkolny 1a, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;358;279;62;21;16
3;"Warsztaty Terapii Zajęciowej (budynek dawnego gimnazjum), ul. Armii Krajowej 27, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;857;462;113;24;41
4;"Zespół Szkół Ekonomicznych w Słupcy, ul. Powstańców Wielkopolskich 22, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;658;358;103;20;23
5;"Zespół Szkół Zawodowych w Słupcy, ul. Mikołaja Kopernika 11A, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;579;363;74;24;37
6;"Szkoła Podstawowa Nr 3 w Słupcy, ul. Mikołaja Kopernika 13, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;588;369;63;22;30
7;"Urząd Miasta w Słupcy, ul. Kazimierza Pułaskiego 21, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;533;322;70;13;46
8;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Słupcy-Szpital, ul. Romualda Traugutta 7E, 62-400 Słupca";302301;"m. Słupca";"słupecki";"wielkopolskie";1;1;4;10;2;0;0
1;"Zespół Szkolno-Przedszkolny w Ratyniu, Ratyń 15a, 62-406 Lądek";302302;"gm. Lądek";"słupecki";"wielkopolskie";1;1;197;268;48;11;18
2;"Zespół Szkolno-Przedszkolny w Lądku, ul. Pyzderska 31, 62-406 Lądek";302302;"gm. Lądek";"słupecki";"wielkopolskie";1;1;417;485;89;16;27
3;"Szkoła Podstawowa w Ciążeniu, ul. Wolności 42 A, 62-404 Ciążeń";302302;"gm. Lądek";"słupecki";"wielkopolskie";1;1;384;406;107;21;25
4;"Sala OSP Dolany, Dolany 84a, 62-406 Lądek";302302;"gm. Lądek";"słupecki";"wielkopolskie";1;1;85;87;18;3;17
5;"Świetlica Wiejska w Jaroszynie, Jaroszyn 59, 62-405 Ląd";302302;"gm. Lądek";"słupecki";"wielkopolskie";1;1;104;104;28;13;13
1;"Przedszkole Gminne w Orchowie, ul. Powstańców Wielkopolskich 4, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;334;286;85;33;28
2;"Dom Pomocy Społecznej w Skubarczewie, Skubarczewo 4, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;47;60;18;8;5
3;"Świetlica Wiejska w Osówcu, Osówiec 10A, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;32;105;14;5;10
4;"Niepubliczna Szkoła Podstawowa w Różannie, Różanna 9, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;116;133;45;15;22
5;"Świetlica Wiejska w Bielsku, Bielsko 99, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;95;143;40;11;8
6;"Remiza Ochotniczej Straży Pożarnej w Słowikowie, Słowikowo 23A, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;43;51;24;0;3
7;"Świetlica Wiejska w Szydłówcu, Szydłówiec 4, 62-436 Orchowo";302303;"gm. Orchowo";"słupecki";"wielkopolskie";1;1;40;37;24;8;4
1;"Urząd Gminy , ul. Lipowa 2, Ostrowite, ul. Lipowa 2, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;292;373;82;22;37
2;"Szkoła Podstawowa w Giewartowie, Giewartów ul. Armii Krajowej 9, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;176;225;42;16;14
3;"Środowiskowy Dom Samopomocy Lucynowo 2, Lucynowo, Lucynowo 2, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;85;198;31;14;13
4;"Świetlica wiejska Naprusewo 56 Naprusewo, Naprusewo 56, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;101;169;22;16;17
5;"Sala OSP w Kąpielu, Kąpiel 8a, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;56;80;11;6;6
6;"Świetlica wiejska w Sierniczu Wielkim, Siernicze Wielkie 21A, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;34;68;9;3;9
7;"Świetlica wiejska w Kosewie, Kosewo ul. Słupecka 4, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;105;43;17;4;5
8;"Świetlica Wiejska w Mieczownicy, Mieczownica 15A, 62-402 Ostrowite";302304;"gm. Ostrowite";"słupecki";"wielkopolskie";1;1;52;84;22;10;8
1;"Dom Kultury w Powidzu, ul. Park Powstańców Wielkopolskich 25, 62-430 Powidz";302305;"gm. Powidz";"słupecki";"wielkopolskie";1;1;394;283;90;11;28
2;"Strażnica OSP, ul. Strzałkowska 16b, 62-430 Powidz";302305;"gm. Powidz";"słupecki";"wielkopolskie";1;1;184;143;54;10;23
3;"Świetlica Wiejska w Anastazewie, Anastazewo 22b, 62-436 Orchowo";302305;"gm. Powidz";"słupecki";"wielkopolskie";1;1;130;101;28;4;7
1;"Zespół Szkolno-Przedszkolny w Kotuni, Kotunia 47, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;195;227;46;10;16
2;"Szkoła Podstawowa im. Polskich Olimpijczyków w Kowalewie-Opactwie, Kowalewo-Opactwo 25, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;224;261;67;10;17
3;"Zespół Szkolno-Przedszkolny w Cieninie Zabornym, Cienin Zaborny 44, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;293;313;80;16;25
4;"Zespół Szkolno-Przedszkolny w Cieninie Kościelnym, Cienin Kościelny 82, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;302;421;87;30;36
5;"Zespół Szkolno-Przedszkolny w Młodojewie, Młodojewo 92, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;160;266;49;20;24
6;"Szkoła Podstawowa im. Józefa Janika w Koszutach, Koszuty 17, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;270;221;63;11;22
7;"Centrum Usług Wspólnych Gminy Słupca w Wierzbocicach, Wierzbocice 52, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;140;163;52;7;9
8;"Przedszkole Gminne w Piotrowicach, Piotrowice ul. Słupecka 10, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;369;190;62;14;24
9;"Szkoła Podstawowa im. Polskich Noblistów w Drążnej, Drążna 38, 62-400 Słupca";302306;"gm. Słupca";"słupecki";"wielkopolskie";1;1;157;136;50;9;10
1;"Urząd Gminy, ul. Aleja Prymasa Wyszyńskiego 6, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;516;367;125;30;48
2;"Gminny Ośrodek Kultury i Sportu, ul. Powstańców Wielkopolskich 5, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;623;416;112;21;58
3;"Zespół Szkolno-Przedszkolny, ul. Ostrowska 8B, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;407;262;78;27;34
4;"sala wiejska, Brudzewo 10B, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;104;135;42;15;14
5;"sala wiejska, Graboszewo 11A, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;59;110;14;4;6
6;"sala wiejska, Ostrowo Kościelne 6, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;233;313;55;13;32
7;"Sala wiejska w Młodziejewicach, Młodziejewice 2, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;70;50;21;3;6
8;"Sala wiejska w Skarboszewie, Skarboszewo 12A, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;157;152;29;7;9
9;"Sala wiejska w Szemborowie, Szemborowo 58B, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;90;136;19;6;13
10;"Zespół Szkolno-Przedszkolny w Wólce, Wólka 1, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;176;165;44;9;10
11;"Dom Pomocy Społecznej w Strzałkowie, ul. Pułaskiego 1, 62-420 Strzałkowo";302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";1;1;10;5;5;5;1
1;"Szkoła Podstawowa im. Michała Okurzałego, pl. Szkolny 1, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;366;343;75;22;18
2;"Szkoła Podstawowa im. Michała Okurzałego, ul. Pyzderska 75, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;261;219;64;15;17
3;"Szkoła Podstawowa im. Michała Okurzałego, pl. Szkolny 1, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;90;131;25;2;12
4;"Szkoła Podstawowa im. Unii Europejskiej, Trąbczyn Dworski 10, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;308;479;98;26;25
5;"Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu, Łukom 2, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;232;336;100;17;22
6;"Sala OSP Drzewce, Drzewce 24, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;137;121;53;4;9
7;"Sala OSP Kopojno, Kopojno 32, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;93;137;24;6;8
8;"Sala OSP Oleśnica, Oleśnica dz. 514, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;100;137;30;5;5
9;"Sala OSP Skokum, Skokum 82, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;48;77;14;3;3
10;"Dom Pomocy Społecznej w Zagórowie, ul. Konstantego Lidmanowskiego 4, 62-410 Zagórów";302308;"gm. Zagórów";"słupecki";"wielkopolskie";1;1;6;13;2;0;1
1;"Szkoła Podstawowa, ul. Centralna 3, 63-012 Dominowo";302501;"gm. Dominowo";"średzki";"wielkopolskie";1;1;573;255;117;24;30
2;"Szkoła Podstawowa, Murzynowo Kościelne 30, 63-014 Murzynowo Kościelne";302501;"gm. Dominowo";"średzki";"wielkopolskie";1;1;177;174;55;16;13
3;"Szkoła Podstawowa w Gieczu, Giecz 25, 63-012 Dominowo";302501;"gm. Dominowo";"średzki";"wielkopolskie";1;1;205;157;36;8;15
1;"Zespół Szkół w Krzykosach, ul. Główna 39, 63-024 Krzykosy";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;188;177;54;9;20
2;"Zespół Szkół w Pięczkowie, ul. Szkolna 5, 63-025 Pięczkowo";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;225;293;77;24;23
3;"Zespół Szkół w Sulęcinku, ul. Szkolna 37, 63-023 Sulęcinek";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;548;330;148;35;44
4;"Zespół Szkolno-Przedszkolny w Murzynowie Leśnym, ul. Poznańska 74, 63-023 Murzynowo Leśne";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;238;180;74;12;15
5;"Świetlica wiejska w Miąskowie, Miąskowo 15A, 63-023 Sulęcinek";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;97;87;17;9;8
6;"Świetlica wiejska w Solcu, ul. Kościelna 2, 63-023 Solec";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;195;160;57;8;17
7;"Zespół Szkolno-Przedszkolny w Sulęcinie, ul. Długa 24, 63-023 Sulęcin";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;109;100;36;5;15
8;"Świetlica wiejska w Witowie, Witowo 14, 63-025 Witowo";302502;"gm. Krzykosy";"średzki";"wielkopolskie";1;1;84;138;45;6;8
1;"Zespół Szkolno-Przedszkolny w Boguszynie, Boguszyn ul. Śremska 35, 63-041 Chocicza";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;280;236;91;20;37
2;"Zespół Szkół, Klęka 9, 63-040 Nowe Miasto nad Wartą";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;353;395;146;29;37
3;"Szkoła Podstawowa, Kolniczki 11A, 63-041 Chocicza";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;219;360;100;15;20
4;"Zespół Szkół, ul. Szkolna 2, 63-040 Nowe Miasto nad Wartą";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;547;338;115;36;37
5;"Zespół Szkół, ul. Śremska 30, 63-041 Chocicza";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;413;325;135;27;46
6;"Świetlica wiejska w Kruczynie, Kruczyn 10A, 63-041 Chocicza";302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";1;1;118;137;43;8;14
1;"Przedszkole Niepubliczne „Krasnal Hałabała"", ul. Staszica 10, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;487;220;105;24;23
2;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ignacego Jana Paderewskiego 27, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;384;177;92;22;18
3;"Zespół Szkół Rolniczych, ul. Kosynierów 2b, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;879;339;169;40;49
4;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ignacego Jana Paderewskiego 27, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;488;195;97;31;20
5;"Budynek POLO MARKETU, os. Osiedle Prymasa Wyszyńskiego 5, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;1107;303;187;60;47
6;"Galeria Miejska Muzeum Ziemi Średzkiej ""Dwór w Koszutach"", pl. Stary Rynek 16, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;417;204;94;31;22
7;"Szkoła Podstawowa Nr 3, ul. 20 Października 2, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;403;250;81;32;23
8;"Przedszkole Niepubliczne „Osiedlowe Skrzaty"", ul. Kościuszki 12, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;410;248;69;31;15
9;"Ośrodek Kultury, ul. 20 Października 30, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;487;238;82;41;14
10;"Ośrodek Kultury, ul. 20 Października 30, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;550;177;94;26;27
11;"Lokal u Róży, ul. Aleksandra Kamińskiego 1, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;746;210;101;19;31
12;"Szkoła Podstawowa Nr 2 z oddziałami integracyjnymi, ul. Dąbrowskiego 50, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;622;240;131;31;38
13;"Szkoła Podstawowa Nr 2 z oddziałami integracyjnymi, ul. Dąbrowskiego 50, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;440;200;69;26;32
14;"Szkoła Podstawowa Nr 2 z oddziałami integracyjnymi, ul. Dąbrowskiego 50, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;460;201;74;20;17
15;"Szkoła Podstawowa Nr 2 z oddziałami integracyjnymi (dawne Gimnazjum), ul. Lipowa 9, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;536;266;86;35;32
16;"Niepubliczna Szkoła Podstawowa, Jarosławiec 34a, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;301;195;84;50;20
17;"Szkoła Podstawowa, Starkówiec Piątkowski 2b, 63-000 Starkówiec Piątkowski";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;96;110;23;11;13
18;"Niepubliczna Szkoła Podstawowa, ul. Szkolna 1, 63-000 Brodowo";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;398;197;114;19;27
19;"Szkoła Podstawowa, Słupia Wielka 28, 63-000 Słupia Wielka";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;283;188;65;21;32
20;"Niepubliczna Szkoła Podstawowa, Pławce 38, 63-000 Pławce";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;195;117;64;21;14
21;"Dom Ludowy, Janowo 100, 63-000 Janowo";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;249;138;86;14;21
22;"Świetlica wiejska w Szlachcinie, Szlachcin 148/3, 63-000 Szlachcin";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;135;105;21;4;7
23;"Świetlica wiejska w Winnej Górze, Winna Góra 173/1, 63-000 Winna Góra";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;106;71;19;9;13
24;"Świetlica wiejska w Kijewie, Kijewo 29B, 63-000 Kijewo";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;127;72;42;7;11
25;"Świetlica wiejska w Koszutach, Koszuty 70A, 63-000 Koszuty";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;235;104;58;27;6
26;"Świetlica wiejska w Babinie, Babin 8, 63-000 Babin";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;73;58;30;4;8
27;"Świetlica wiejska w Zielnikach, Zielniki 5G, 63-000 Zielniki";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;105;56;16;5;2
28;"Świetlica wiejska w Dębiczu, Dębicz 66/11, 63-000 Dębicz";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;85;53;28;3;15
29;"Świetlica wiejska w Połażejewie, Połażejewo 8, 63-000 Połażejewo";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;88;96;19;13;8
30;"Szpital Średzki Serca Jezusowego Sp. z o. o., ul. Żwirki i Wigury 10, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;13;11;3;0;2
31;"Oddział Zewnętrzny w Środzie Wielkopolskiej Zakładu Karnego w Gębarzewie, ul. Garncarska 1, 63-000 Środa Wielkopolska";302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";1;1;35;10;16;7;4
1;"Szkoła Podstawowa im. R. W. Berwińskiego, ul. Poznańska 28, 63-020 Zaniemyśl";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;377;223;123;27;62
2;"Gminny Ośrodek Kultury, ul. Sienkiewicza 3, 63-020 Zaniemyśl";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;984;336;185;39;102
3;"Świetlica wiejska w Czarnotkach, Czarnotki 1A, 63-020 Zaniemyśl";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;181;116;58;15;21
4;"Szkoła Podstawowa Śnieciska, ul. Kościelna 2, 63-021 Śnieciska";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;305;185;79;17;33
5;"Świetlica wiejska w Zwoli, Zwola ul. Główna 27, 63-020 Zaniemyśl";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;191;83;52;5;20
6;"Szkoła Podstawowa im. Jana Pawła II, Pigłowice 32A, 63-021 Śnieciska";302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";1;1;101;85;24;8;13
1;"Szkoła Podstawowa, ul. Główna 61, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;300;205;87;22;29
2;"Szkoła Podstawowa, Iłówiec 16, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;133;106;52;14;9
3;"Szkoła Podstawowa, Manieczki ul. Szkolna 6, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;407;149;86;32;52
4;"Szkoła Podstawowa, Żabno 6, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;275;141;75;21;42
5;"Świetlica wiejska w Grabianowie, Grabianowo 21, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;55;24;15;6;5
6;"Świetlica wiejska w Grzybnie, Grzybno 10, 63-112 Brodnica";302601;"gm. Brodnica";"śremski";"wielkopolskie";1;1;116;109;31;14;18
1;"Sala widowiskowa w Dolsku, ul. Plac Wyzwolenia 3, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;430;267;106;29;73
2;"Świetlica w Małachowie, Małachowo 44, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;97;94;40;24;12
3;"Świetlica w Ostrowiecznie, Ostrowieczno 34, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;136;172;43;9;38
4;"Świetlica w Wieszczyczynie, Wieszczyczyn ul. Księdza Marciniaka 32, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;120;94;43;14;38
5;"Szkoła Podstawowa im. Janusza Kusocińskiego w Dolsku, ul. Kościańska 4, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;143;141;59;26;43
6;"Świetlica w Księginkach, Księginki 58A, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;95;118;35;8;22
7;"Zespół Szkolno-Przedszkolny w Masłowie, Szkoła Podstawowa im. Jana Brzechwy w Masłowie, Masłowo 8, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;91;123;27;4;35
8;"Świetlica w Lubiatowie, Lubiatowo 4A, 63-140 Dolsk";302602;"gm. Dolsk";"śremski";"wielkopolskie";1;1;101;111;33;5;22
1;"Szkoła Podstawowa w Książu Wlkp., ul. Stacha Wichury 27, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;681;437;175;35;64
2;"Szkoła Podstawowa w Książu Wlkp., ul. Stacha Wichury 27, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;341;401;95;29;82
3;"Szkoła Podstawowa w Mchach, Mchy 39, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;195;243;46;17;29
4;"Szkoła Podstawowa w Konarzycach, Konarzyce ul. Szkolna 6, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;240;220;102;19;71
5;"Świetlica wiejska we Włościejewicach, Włościejewice 49B, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;68;116;15;11;8
6;"Szkoła Podstawowa w Chwałkowie Kościelnym, Chwałkowo Kościelne 54, 63-130 Książ Wielkopolski";302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";1;1;101;166;63;15;16
1;"Szkoła Podstawowa Nr 4 im. Marii Konopnickiej w Śremie, ul. Stefana Grota Roweckiego 10, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;802;643;132;44;157
2;"Przedszkole Nr 3 ""Jarzębinka"" w Śremie, ul. Tadeusza Bora Komorowskiego 3, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;448;274;68;26;82
3;"Szkoła Podstawowa Nr 5 im. Polskich Noblistów w Śremie, ul. Dezyderego Chłapowskiego 12A, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;1005;544;153;42;134
4;"Przedszkole z Oddziałami Integracyjnymi Nr 5 ""Mali Przyrodnicy"" w Śremie, ul. Tadeusza Bora Komorowskiego 4, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;515;294;97;31;98
5;"Szkoła Podstawowa Nr 6 im. Braci Barskich w Śremie, ul. Ignacego Paderewskiego 4, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;1083;558;232;68;139
6;"Przedszkole ""Słoneczna Szóstka"" z Oddziałami Zamiejscowymi w Śremie, ul. Ignacego Paderewskiego 4, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;635;248;113;44;73
7;"Salka Parafialna przy Parafii Rzymskokatolickiej pw. bł. Michała Kozala Bpa i M. w Śremie, ul. Jacka Malczewskiego 8, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;990;299;185;39;131
8;"Budynek gminny w Śremie, ul. Jana Kilińskiego 2, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;289;96;54;26;54
9;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika w Śremie, ul. Jana Kochanowskiego 2, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;880;454;166;55;125
10;"Muzeum Śremskie w Śremie, ul. Adama Mickiewicza 89, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;532;321;120;27;78
11;"Zespół Szkół Politechnicznych im. Powstańców Wielkopolskich w Śremie, ul. Ks. Jerzego Popiełuszki 30, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;430;289;96;23;63
12;"Szkoła Podstawowa nr 2 im. ks. Piotra Wawrzyniaka w Śremie, ul. Szkolna 4, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;571;290;127;69;101
13;"Świetlica wsi Psarskie, Psarskie ul. Owocowa 6, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;820;289;145;39;140
14;"Szkoła Podstawowa im. Janusza Korczaka w Zbrudzewie, Zbrudzewo ul. Śremska 49, 63-100 Śrem";302604;"gm. Śrem";"śremski";"wielkopolskie";1;1;532;291;152;41;118
