"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa Nr 6 w Augustowie, ul. Tartaczna 21, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;285;206;66
2;"Augustowskie Towarzystwo Budownictwa Społecznego ""Kodrem"" w Augustowie, ul. Komunalna 2, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;344;259;69
3;"Augustowskie Centrum Edukacyjne w Augustowie, al. Aleja Kardynała Wyszyńskiego 3, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;239;228;50
4;"Kompleks Hotelowy LOGOS w Augustowie, ul. 29 Listopada 9, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;450;418;125
5;"Przedszkole Nr 1 w Augustowie, ul. Waryńskiego 57, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;313;294;80
6;"Państwowa Szkoła Muzyczna I Stopnia w Augustowie, ul. Wybickiego 1, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;197;121;37
7;"Powiatowy Zarząd Dróg w Augustowie, ul. Wojska Polskiego 54, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;609;401;142
8;"Osiedlowy Dom Kultury w Augustowie, ul. Hoża 2A, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;716;584;137
9;"Miejski Ośrodek Pomocy Społecznej, ul. 3 Maja 60, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;460;332;137
10;"Zespół Szkół Ogólnokształcących w Augustowie, ul. Śródmieście 31, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;287;245;53
11;"Miejska Biblioteka Publiczna w Augustowie, ul. Hoża 7, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;333;252;62
12;"Szkoła Podstawowa Nr 3 w Augustowie, ul. Mickiewicza 1, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;361;305;85
13;"Miejski Dom Kultury w Augustowie, rynek Zygmunta Augusta 9, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;186;155;54
14;"Augustowskie Centrum Aktywności Seniorów, ul. Hoża 29, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;236;187;38
15;"Społeczna Szkoła Podstawowa STO w Augustowie (budynek po byłym Gimnazjum Nr 2), ul. Nowomiejska 41, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;549;511;126
16;"Społeczna Szkoła Podstawowa STO w Augustowie (budynek po byłym Gimnazjum Nr 2), ul. Nowomiejska 41, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;373;420;121
17;"Przedszkole Nr 2 w Augustowie, ul. Kopernika 24, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;315;276;92
18;"Szkoła Podstawowa Nr 2 w Augustowie, ul. Rajgrodzka 1, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;414;423;238
