"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZEGORCZYK Hubert - KW PRAWO I SPRAWIEDLIWOŚĆ";"BORUSEWICZ Bogdan Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZOSTAK Artur - KW POLSKA PARTIA PIRATÓW"
1;"Szkoła Podstawowa Nr 20, Gdańsk ul. Wczasy 3, 80-509 Gdańsk 26";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;361;751;86
2;"Projektornia Gdański Archipelag Kultury, Gdańsk ul. Dworska 29A, 80-506 Gdańsk 26";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;295;783;101
3;"Stowarzyszenie Szkoły Gedanensis, Gdańsk ul. Dworska 34, 80-506 Gdańsk 26";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;643;1606;217
4;"Zespół Szkół Ogólnokształcących Nr 10, Gdańsk ul. Ignacego Krasickiego 10, 80-515 Gdańsk 26";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;315;937;128
5;"Zespół Szkół Ogólnokształcących Nr 10, Gdańsk ul. Ignacego Krasickiego 10, 80-515 Gdańsk 26";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;346;734;96
6;"Zespół Szkół Morskich, Gdańsk ul. Wyzwolenia 8, 80-537 Gdańsk 4";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;437;921;113
7;"Zespół Szkół Ogólnokształcących Nr 5, Gdańsk ul. Na Zaspę 31A, 80-546 Gdańsk 4";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;521;1038;160
8;"Zespół Szkolno–Przedszkolny nr 7, Gdańsk ul. Wolności 6A, 80-538 Gdańsk 4";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;421;1095;184
9;"Gdańska Organizacja Turystyczna, Gdańsk ul. Uczniowska 22, 80-530 Gdańsk 4";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;369;1588;271
10;"Dom Sztuki-Gdański Archipelag Kultury, Gdańsk ul. Wilhelma Stryjewskiego 25, 80-625 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;387;712;89
11;"Dom Sztuki-Gdański Archipelag Kultury, Gdańsk ul. Wilhelma Stryjewskiego 25, 80-625 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;369;722;93
