"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SKRODZKI Sławomir Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUCKI Krzysztof Aleksander - KW NOWA LEWICA";"ŁYCZAK Józef Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LISIECKI Jakub Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
11;"Zespół Szkół Ekonomicznych, ul. Bukowa 38/40, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;28;628;247;78
12;"Szkoła Podstawowa Nr 14, ul. Bukowa 9, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;36;549;220;62
13;"Szkoła Podstawowa Nr 14, ul. Bukowa 9, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;42;445;169;39
14;"Zespół Szkół Nr 11, ul. Papieżka 89, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;55;649;296;87
15;"Zespół Szkół Nr 11, ul. Papieżka 89, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;52;512;222;53
16;"Stadion Miejski OSiR, ul. Leśna 53a, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;68;546;213;75
17;"Szkoła Podstawowa Nr 2, ul. Żytnia 47, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;90;1079;365;120
18;"Szkoła Podstawowa Nr 2, ul. Żytnia 47, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;52;651;257;71
19;"Szkoła Podstawowa Nr 2, ul. Żytnia 47, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;48;553;186;61
20;"Przychodnia Nr 5 Miejskiego Zespołu Opieki Zdrowotnej, ul. Żytnia 55, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;39;522;242;60
21;"Zespół Szkół Samochodowych, ul. Leśna 1A, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;28;438;208;48
22;"Zespół Szkół Samochodowych, ul. Leśna 1A, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;35;515;211;51
23;"Zespół Szkół Samochodowych, ul. Leśna 1A, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;31;495;177;24
24;"Zespół Szkół Nr 8, ul. Willowa 8, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;54;623;273;84
25;"Zespół Szkół Nr 8, ul. Willowa 8, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;56;637;210;70
26;"Szkoła Podstawowa Nr 10, ul. Starodębska 21, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;29;320;156;43
27;"Zespół Szkół Nr 3, ul. Nowomiejska 21, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;12;201;72;24
28;"Zespół Szkół Muzycznych, ul. Wiejska 29, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;29;677;242;80
29;"Zespół Szkół Muzycznych, ul. Wiejska 29, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;49;604;270;62
30;"Szkoła Podstawowa Nr 7, ul. Włodzimierza Gniazdowskiego 7, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;47;615;292;54
31;"Szkoła Podstawowa Nr 7, ul. Włodzimierza Gniazdowskiego 7, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;77;757;284;95
32;"Zespół Szkół Muzycznych, ul. Wiejska 29, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;35;456;196;57
33;"Szkoła Podstawowa Nr 12, ul. Wiejska 29, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;28;555;210;62
34;"Szkoła Podstawowa Nr 12, ul. Wiejska 29, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;41;422;186;77
35;"Miejska Biblioteka Publiczna Filia Nr 2, ul. Dziewińska 17, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;55;605;280;69
36;"Przedszkole Publiczne Nr 30, ul. Kaliska 85, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;47;457;210;49
37;"Przedszkole Publiczne Nr 32, ul. Kaliska 108, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;30;386;176;45
38;"Zespół Szkolno-Przedszkolny Nr 1, ul. Konstantego Ildefonsa Gałczyńskiego 9, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;34;555;204;61
39;"Zespół Szkolno-Przedszkolny Nr 1, ul. Konstantego Ildefonsa Gałczyńskiego 9, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;50;661;279;63
40;"Zespół Szkolno-Przedszkolny Nr 1, ul. Konstantego Ildefonsa Gałczyńskiego 9, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;43;665;248;47
41;"Szkoła Podstawowa Nr 23, ul. Stanisława Wyspiańskiego 3, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;42;562;228;46
42;"Szkoła Podstawowa Nr 23, ul. Stanisława Wyspiańskiego 3, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;31;646;220;65
43;"Przedszkole Publiczne Nr 36, ul. Stanisława Wyspiańskiego 3, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;54;612;202;72
44;"Zespół Szkół Nr 4, ul. Kaliska 108, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;32;411;201;55
45;"Zespół Szkół Nr 4, ul. Kaliska 108, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;34;587;270;40
46;"Zespół Szkół Nr 4, ul. Kaliska 108, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;37;522;212;57
47;"Zespół Szkolno-Przedszkolny Nr 2, ul. Szkolna 13, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;43;680;281;84
48;"Zespół Szkolno-Przedszkolny Nr 2, ul. Szkolna 13, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;60;846;255;111
49;"Zespół Szkolno-Przedszkolny Nr 2, ul. Szkolna 13, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;42;779;259;85
50;"Zespół Szkolno-Przedszkolny Nr 2, ul. Szkolna 13, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;50;720;251;82
51;"Collegium Maius Kujawskiej Szkoły Wyższej, ul. Stefana Okrzei 94, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;25;368;136;50
52;"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, ul. Wieniecka 46, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;36;538;196;65
53;"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, ul. Wieniecka 46, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;47;602;238;49
54;"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, ul. Wieniecka 46, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;44;593;188;52
55;"Przedszkole Publiczne Nr 25, ul. Rajska 1, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;47;746;303;65
56;"Szkoła Podstawowa Nr 22, ul. Promienna 15, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;40;487;212;46
57;"Szkoła Podstawowa Nr 22, ul. Promienna 15, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;46;550;212;53
58;"Szkoła Podstawowa Nr 22, ul. Promienna 15, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;48;577;210;53
59;"Szkoła Podstawowa Nr 18, ul. Hutnicza 5/7, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;65;620;254;61
60;"Szkoła Podstawowa Nr 18, ul. Hutnicza 5/7, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;44;483;164;68
61;"Centrum Kultury „Browar B. "" Klub „Zazamcze”, ul. Toruńska 87, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;55;497;216;47
62;"Zespół Placówek Nr 1 (Bursa Szkolna Nr 2), ul. Mechaników 1, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;49;477;257;61
63;"Włocławski Inkubator Innowacji i Przedsiębiorczości, ul. Toruńska 148, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;24;169;129;32
64;"Dom Pomocy Społecznej, ul. Dobrzyńska 102, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;6;11;8;2
65;"Dom Pomocy Społecznej, ul. Nowomiejska 19, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;0;12;19;1
66;"Miejski Zespół Opieki Zdrowotnej Sp. z o. o. – Dom Pomocy Społecznej, ul. Stefana Żeromskiego 28A, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;3;15;0;2
67;"Wojewódzki Szpital Specjalistyczny, ul. Wieniecka 49, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;2;38;36;6
68;"Zakład Karny, ul. Bartnicka 10, 87-800 Włocławek";46401;"m. Włocławek";"Włocławek";"kujawsko-pomorskie";1;1;85;500;76;203
