"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KŁOSOWSKI Tomasz Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"TYSZKIEWICZ Wadim - KWW WADIM TYSZKIEWICZ - PAKT SENACKI"
1;"Centrum Aktywności Społecznej, ul. Kasprowicza 8, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;328;990
2;"Centrum Aktywności Społecznej, ul. Kasprowicza 8, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;340;1176
3;"Szkoła Podstawowa nr 8, ul. Matejki 29, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;361;1093
4;"Publiczne Przedszkole Nr 12, os. Osiedle Konstytucji 3 Maja 12H, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;286;799
5;"Szkoła Podstawowa Nr 3, ul. Botaniczna 22, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;420;1037
6;"Szkoła Podstawowa Nr 3, ul. Botaniczna 22, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;217;539
7;"Nowosolski Dom Kultury, ul. Marszałka Józefa Piłsudskiego 49, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;343;1010
8;"Publiczne Przedszkole Nr 11, ul. Matejki 28, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;307;909
9;"Szkoła Podstawowa nr 8, ul. Matejki 29, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;344;1034
10;"Szkoła Podstawowa Nr 5, ul. Młodych 2, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;391;1089
11;"Publiczne Przedszkole Nr 9, ul. Wrocławska 35B, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;289;849
12;"Szkoła Podstawowa nr 6, ul. Kościuszki 26, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;108;355
13;"Szkoła Podstawowa Nr 2, ul. Gimnazjalna 11, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;212;630
14;"Szkoła Podstawowa Nr 1, ul. Parafialna 6, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;298;725
15;"Szkoła Podstawowa Nr 1, ul. Szkolna 1, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;264;636
16;"Miejski Ośrodek Sportu i Rekreacji, ul. św. Barbary 2, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;260;714
17;"Publiczne Przedszkole Nr 6, ul. Kasprzaka 3, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;233;713
18;"Wielospecjalistyczny Szpital SP ZOZ, ul. Chałubińskiego 7, 67-100 Nowa Sól";80401;"m. Nowa Sól";"nowosolski";"lubuskie";1;1;48;82
1;"Szkoła Podstawowa w Bytomiu Odrzańskim, ul. Kościelna 9, 67-115 Bytom Odrzański";80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";1;1;361;939
2;"Szkoła Podstawowa w Bytomiu Odrzańskim, ul. Kożuchowska 15, 67-115 Bytom Odrzański";80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";1;1;266;679
3;"Świetlica Wiejska, Bycz 17, 67-115 Bytom Odrzański";80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";1;1;80;175
4;"Świetlica Wiejska, Wierzbnica brak, 67-115 Bytom Odrzański";80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";1;1;49;122
1;"Gminny Dom Kultury w Kolsku, ul. Piastowska 39, ul. Piastowska 39, 67-415 Kolsko";80403;"gm. Kolsko";"nowosolski";"lubuskie";1;1;314;685
2;"Zespól Edukacyjny w Konotopie, Plac Powstańców Wlkp. 7, pl. Powstańców Wlkp. 7, 67-416 Konotop";80403;"gm. Kolsko";"nowosolski";"lubuskie";1;1;220;426
1;"Szkoła Podstawowa Nr 2 w Kożuchowie, ul. 22 Lipca 1807 12, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;120;339
2;"Zespół Szkół Ponadgimnazjalnych Nr 5 w Kożuchowie, ul. 22 Lipca 1807 5, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;268;681
3;"Szkoła Podstawowa Nr 1 w Kożuchowie (budynek sali gimnastycznej), ul. Chopina 11, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;243;726
4;"Centrum Kultury ""Zamek"" w Kożuchowie, ul. Klasztorna 14, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;306;744
5;"Szkoła Podstawowa Nr 1 w Kożuchowie, ul. Anny Haller 1, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;374;1199
6;"Dom Pomocy Społecznej w Kożuchowie, ul. Szprotawska 19, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;17;8
7;"Świetlica Wiejska w Stypułowie, Stypułów 69A, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;159;300
8;"Świetlica Wiejska w Broniszowie, Broniszów 45A, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;130;249
9;"Świetlica Wiejska w Studzieńcu, Studzieniec 6, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;108;209
10;"Szkoła Podstawowa w Mirocinie Dolnym, Mirocin Dolny 28, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;101;186
11;"Świetlica Wiejska w Czciradzu, Czciradz 34, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;131;289
12;"Biblioteka Publiczna Miasta i Gminy Kożuchów, Filia-Książ Śląski, Książ Śląski 32, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;66;147
13;"Świetlica Wiejska, Mirocin Górny 82, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;103;182
14;"Świetlica Wiejska, Solniki 1, 67-120 Kożuchów";80404;"gm. Kożuchów";"nowosolski";"lubuskie";1;1;32;90
1;"budynek Klubu Senior +, Nowe Żabno ul. Kożuchowska 12, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;88;237
2;"budynek sali wiejskiej, Kiełcz ul. Odrzańska 12, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;174;234
3;"Zespół Szkół w Przyborowie, Przyborów ul. Szkolna 16, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;196;468
4;"Szkoła Podstawowa w Lubieszowie, Lubieszów 53, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;122;488
5;"Budynek Sali Wiejskiej, Rudno ul. Dębowa 37, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;91;306
6;"Budynek Sali Wiejskiej, Lipiny 77, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;95;113
7;"Zespół Szkół, Lubięcin 82, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;262;560
8;"Sala Wiejska, Stany 8, 67-108 Lubięcin";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;70;104
9;"Sala Wiejska, Wrociszów 4c, 67-100 Nowa Sól";80405;"gm. Nowa Sól";"nowosolski";"lubuskie";1;1;49;147
1;"Świetlica szkolna Zespół Szkół nr 1, ul. Szkolna ., 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;203;557
2;"Centrum Ratownictwa Pożarniczego w Nowym Miasteczku, ul. Głogowska 13, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;201;377
3;"Gminny Ośrodek Kultury w Nowym Miasteczku, ul. Kościuszki 2, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;141;216
4;"Dom Strażaka w Borowie Wielkim, Borów Wielki 43, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;104;175
5;"Dom Gościa w Miłakowie, Miłaków 43, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;61;76
6;"Świetlica Wiejska w Popęszycach, Popęszyce 29, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;33;93
7;"Świetlica wiejska w Żukowie, Żuków 8, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;54;79
8;"Świetlica Wiejska, Rejów 2, 67-124 Nowe Miasteczko";80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";1;1;28;77
1;"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Otyniu, ul. Żeromskiego 3, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;202;696
