"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
5;"Zespół Szkolno-Przedszkolny, ul. Zwycięstwa 44, 44-177 Paniówki";240503;"gm. Gierałtowice";"gliwicki";"śląskie";1;1;744;1100
6;"Zespół Szkolno-Przedszkolny, Chudów ul. Szkolna 52, 44-177 Paniówki";240503;"gm. Gierałtowice";"gliwicki";"śląskie";1;1;425;647
1;"Świetlica Wiejska w Nieborowicach, Nieborowice ul. Główna 50, 44-144 Żernica";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;227;553
2;"""Młynówka"" w Leboszowicach, Leboszowice ul. Smolnicka 6A, 44-145 Pilchowice";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;59;165
3;"Sala w budynku przy ul. Damrota 5 w Pilchowicach, ul. Damrota 5, 44-145 Pilchowice";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;498;1300
4;"Zespół Szkolno-Przedszkolny w Stanicy, Stanica ul. Gliwicka 18, 44-145 Pilchowice";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;304;479
5;"Dom Kultury w Wilczy, ul. Karola Miarki 123, 44-189 Wilcza";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;530;670
6;"Dom Kultury w Żernicy, ul. Szafranka 9, 44-144 Żernica";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;549;1227
7;"budynek Sołtysówki, Kuźnia Nieborowska ul. Kasztanowa 6, 44-144 Żernica";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;83;164
8;"Szpital Chorób Płuc im. św. Józefa w Pilchowicach, ul. Dworcowa 31, 44-145 Pilchowice";240504;"gm. Pilchowice";"gliwicki";"śląskie";1;1;15;22
1;"Zespół Szkolno-Przedszkolny Rudziniec, ul. Gliwicka 5, 44-160 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;274;476
2;"Szkoła Podstawowa Bojszów, Bojszów ul. Szkolna 23, 44-160 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;163;391
3;"Zespół Szkolno-Przedszkolny Rudno, Rudno ul. Szkolna 9, 44-160 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;186;390
4;"Szkoła Podstawowa Kleszczów, Kleszczów ul. Szkolna 23, 44-164 Gliwice 21";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;140;457
5;"Budynek świetlicy wiejskiej Rzeczyce, Rzeczyce ul. Kolejowa 10, 44-164 Gliwice 21";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;90;223
6;"Szkoła Podstawowa Bycina, Bycina ul. Szkolna 13, 44-120 Pyskowice";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;152;237
7;"budynek byłej szkoły podstawowej Taciszów, Taciszów ul. Szkolna 2, 44-171 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;93;186
8;"Zespół Szkolno-Przedszkolny, Pławniowice ul. Gliwicka 107, 44-171 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;105;288
9;"Gminny Ośrodek Kultury, Poniszowice ul. Parkowa 11, 44-172 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;123;193
10;"Szkoła Podstawowa Chechło, Chechło ul. Szkolna 1, 44-172 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;73;122
11;"Ochotnicza Straż Pożarna w Łączy, Łącza ul. Szkolna 34, 44-160 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;87;109
12;"Świetlica wiejska, Ligota Łabędzka ul. Szkolna 1, 44-109 Gliwice";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;37;104
