"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SUCHAŃSKA Katarzyna Aleksandra - KW BEZPARTYJNI SAMORZĄDOWCY";"MILCARZ Henryk Mieczysław - KW NOWA LEWICA";"SŁOŃ Krzysztof Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RAK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BIERNACKI Robert - KW POLSKA JEST JEDNA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNY ANTYSYSTEMOWY"
8;"Szkoła Podstawowa w Jeleniowie, Jeleniów 85, 26-006 Nowa Słupia";260413;"gm. Nowa Słupia";"kielecki";"świętokrzyskie";1;1;29;31;196;35;18;7
9;"Świetlica Wiejska w Baszowicach, Baszowice 47A, 26-006 Nowa Słupia";260413;"gm. Nowa Słupia";"kielecki";"świętokrzyskie";1;1;38;29;130;13;15;6
10;"Szkoła Podstawowa w Paprocicach, Paprocice 1, 26-006 Nowa Słupia";260413;"gm. Nowa Słupia";"kielecki";"świętokrzyskie";1;1;11;12;48;11;4;3
1;"Remiza OSP w Piekoszowie, ul. Częstochowska 85A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;160;317;298;64;37;20
2;"Biblioteka Centrum Kultury w Piekoszowie, ul. Częstochowska 66, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;87;143;247;42;30;17
3;"Remiza OSP w Piekoszowie, ul. Częstochowska 85A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;110;95;327;50;30;11
4;"Zespół Placówek Oświatowych w Jaworzni (świetlica), Jaworznia 93, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;85;115;239;35;31;19
5;"Zespół Placówek Oświatowych w Jaworzni (sala gimnastyczna), Jaworznia 93, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;100;117;213;31;20;10
6;"Szkoła Podstawowa w Brynicy im. Stefana Żeromskiego, Brynica ul. Przyszkolna 1, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;87;102;354;69;39;21
7;"Szkoła Podstawowa w Łosieniu im. Henryka Sienkiewicza, Łosień 1, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;77;46;378;78;26;10
8;"Szkoła Podstawowa w Zajączkowie im. Bohaterów Powstania Styczniowego, Zajączków ul. Międzygórze 8, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;96;76;393;47;29;12
9;"Szkoła Podstawowa w Rykoszynie im. Józefa Piłsudskiego, Rykoszyn ul. Świętokrzyska 112, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;162;193;360;77;42;17
10;"Świetlica Wiejska w Szczukowicach, Szczukowice 176A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;74;63;294;31;21;17
11;"Zespół Oświatowych Placówek Integracyjnych w Micigoździe im. 100-lecia Odzyskania Niepodległości przez Polskę, Micigózd ul. Częstochowska 21, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;126;156;347;54;17;14
12;"Świetlica Wiejska w Wincentowie, Wincentów 66B, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;91;106;294;39;23;12
13;"Żłobek Gminny w Piekoszowie, ul. Czarnowska 54, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;75;128;167;31;20;14
14;"Budynek Klubu Sportowego w Skałce, Skałka 34A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;118;89;367;48;29;12
15;"Zespół Placówek Oświatowych w Jaworzni (siedziba Przedszkola), Jaworznia 93, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;30;66;151;21;18;8
16;"Szkoła Podstawowa im. Adama Mickiewicza w Szczukowskich Górkach, Szczukowskie Górki 35A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;41;34;116;20;13;8
17;"Dom Dla Niepełnosprawnych w Piekoszowie, ul. Czarnowska 2A, 26-065 Piekoszów";260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";1;1;4;2;56;1;3;1
1;"Urząd Miasta i Gminy Pierzchnica, ul. Urzędnicza 6, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;16;39;68;13;6;0
2;"Społeczna Szkoła Podstawowa w Drugni, Drugnia 28, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;26;34;161;26;7;7
3;"Budynek byłej Szkoły Podstawowej w Skrzelczycach, Skrzelczyce ul. Piaski 6, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;31;39;213;30;17;9
4;"Szkoła Podstawowa w Pierzchnicy, ul. Kardynała Stefana Wyszyńskiego 5, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;111;163;272;51;27;9
5;"Remiza Ochotniczej Straży Pożarnej w Gumienicach, Gumienice 17, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;47;62;260;25;15;13
6;"Świetlica Wiejska w Pierzchniance, Pierzchnianka 52F, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;20;26;83;8;3;0
7;"Świetlica Wiejska w Osinach, Osiny 30, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;7;19;64;3;3;3
8;"Świetlica Wiejska w Maleszowie, Maleszowa 29, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;28;42;63;3;3;3
9;"Świetlica Wiejska w Wierzbiu, Wierzbie 3B, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;30;28;110;6;9;2
10;"Świetlica Wiejska w Górkach, Górki 5A, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;18;25;122;16;11;1
11;"Dom Seniora im. Sue Ryder w Pierzchnicy, ul. Szkolna 36, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;5;6;16;1;0;2
12;"Dom Pomocy Społecznej w Osinach, Osiny 54B, 26-015 Pierzchnica";260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";1;1;3;4;20;1;0;3
1;"Szkoła Podstawowa, Bardo 86A, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;24;24;125;14;12;1
2;"Świetlica Wiejska, Celiny 27A, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;14;46;127;8;10;3
3;"Świetlica w Budynku Wielofunkcyjnym, Ociesęki 61A, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;56;56;179;25;28;7
4;"Budynek szkoły, ul. Jana Sienieńskiego 20, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;45;45;260;32;33;7
5;"Szkoła Podstawowa, Szumsko 42B, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;31;52;227;22;23;12
6;"Świetlica Wiejska, Nowa Huta 68, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;50;45;100;14;12;4
7;"Remiza OSP, Chańcza 59A, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;35;49;128;12;24;7
8;"Świetlica Wiejska, Życiny 91, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;22;43;65;12;9;5
9;"Świetlica, ul. Jana Sienieńskiego 19, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;56;120;169;21;11;12
10;"Dom Wiejski, Szumsko 37, 26-035 Raków";260416;"gm. Raków";"kielecki";"świętokrzyskie";1;1;33;52;169;21;31;7
1;"Świetlica w Szewcach, Szewce ul. Dewońska 91, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;86;256;183;41;27;24
2;"Gminny Ośrodek Kultury „Perła” w Nowinach, ul. Perłowa 1, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;109;213;158;46;30;19
3;"Zespół Szkół Ponadpodstawowych w Nowinach, ul. Gimnazjalna 1, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;133;242;255;66;40;18
4;"Samorządowe Przedszkole w Nowinach, ul. Parkowa 11, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;121;275;197;54;31;17
5;"Szkoła Podstawowa w Nowinach, ul. Białe Zagłębie 21, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;114;214;229;38;38;13
6;"Zespół Placówek Oświatowych w Bolechowicach, Bolechowice 10, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;55;99;123;15;17;6
7;"Zespół Placówek Integracyjnych w Kowali, Kowala 51B, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;105;108;321;63;35;17
8;"Ochotnicza Straż Pożarna w Woli Murowanej, Wola Murowana 17C, 26-052 Nowiny";260417;"gm. Nowiny";"kielecki";"świętokrzyskie";1;1;53;58;111;21;8;2
1;"Szkoła Podstawowa w Oblęgorku, Oblęgorek ul. Gimnazjalna 15, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;105;126;294;55;39;16
2;"Samorządowe Centrum Kultury, Sportu i Czytelnictwa w Strawczynie, ul. Żeromskiego 16, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;130;153;351;64;33;28
3;"Szkoła Podstawowa w Rudzie Strawczyńskiej, Ruda Strawczyńska 4, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;117;121;454;82;66;23
4;"Szkoła Podstawowa w Korczynie, Korczyn 101, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;63;45;315;56;29;11
5;"Szkoła Podstawowa w Chełmcach, Chełmce ul. Kościelna 51, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;124;122;530;64;45;27
6;"Szkoła Podstawowa w Promniku, Promnik ul. Szkolna 10, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;120;130;415;70;41;24
7;"Świetlica środowiskowa w Strawczynku, Strawczynek ul. Wojewódzka 39, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;101;118;297;71;23;28
8;"Świetlica Wiejska w Oblęgorze, Oblęgór ul. Skałka 18, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;81;106;250;54;28;13
9;"Remiza Ochotniczej Straży Pożarnej w Hucisku, Hucisko 40B, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;43;34;152;17;11;10
10;"Szkoła Podstawowa w Niedźwiedziu, Niedźwiedź 56, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;25;27;191;17;20;6
11;"Dom Pomocy Społecznej ""Helena"" w Rudzie Strawczyńskiej, Ruda Strawczyńska 80A, 26-067 Strawczyn";260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";1;1;0;1;8;1;0;0
1;"Urząd Gminy w Zagnańsku, ul. Spacerowa 8, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;58;104;133;22;15;4
2;"Zespół Szkoły Podstawowej Nr 2 i Przedszkola w Zagnańsku, ul. Turystyczna 59, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;159;421;297;64;43;33
3;"Świetlica w Jaworzach, Jaworze ul. Bursztynowa 9, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;41;133;128;20;9;10
4;"Szkoła Podstawowa w Kajetanowie, Zabłocie 1, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;109;491;451;54;33;12
5;"Gminna Biblioteka Publiczna w Samsonowie, Samsonów 6, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;160;349;463;53;35;34
6;"Zespół Szkoły Podstawowej i Przedszkola w Tumlinie, Tumlin-Węgle ul. Grodowa 2, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;118;250;345;63;40;31
7;"Budynek OSP w Szałasie, Szałas 95B, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;40;49;157;17;10;7
8;"Budynek Gminny w Umrze, Umer 76, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;90;109;231;32;21;10
9;"Budynek Gminny w Zachełmiu, Zachełmie 1, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;68;140;216;31;6;19
10;"Zespół Szkół Leśnych w Zagnańsku, ul. Spacerowa 4, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;98;257;270;52;39;16
11;"Budynek Gminny w Belnie, Belno 143, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;37;71;148;14;18;6
12;"Szkoła Podstawowa Nr 1 im. Nauczycieli Tajnego Nauczania w Zagnańsku, Chrusty 60, 26-050 Zagnańsk";260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";1;1;25;81;56;8;10;2
1;"Katolicka Szkoła Podstawowa im. Maryi z Nazaretu w Kielcach, ul. Marszałkowska 40, 25-546 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;224;641;479;97;74;57
2;"Przedszkole Samorządowe nr 6, ul. Bukowa 8, 25-542 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;177;418;515;85;69;31
3;"Przedszkole Samorządowe nr 1, ul. Cypriana Kamila Norwida 5, 25-410 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;184;502;433;85;72;31
4;"Przedszkole Samorządowe nr 32, ul. Jana Kasprowicza 5, 25-411 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;103;292;253;35;10;45
5;"Szkoła Podstawowa nr 1, ul. Leopolda Staffa 7, 25-410 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;186;458;427;57;60;30
6;"Szkoła Podstawowa nr 39, ul. Marii Krzyżanowskiej 8, 25-435 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;169;412;252;65;79;27
7;"Szkoła Podstawowa Integracyjna nr 11 im. Bohaterów Warszawy, ul. Jasna 20/22, 25-523 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;327;539;297;108;95;26
8;"Integracyjne Przedszkole Samorządowe nr 27, ul. Marszałkowska 11A, 25-533 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;201;621;419;90;92;42
9;"Szkoła Podstawowa nr 19 im. Ireny Sendlerowej, ul. Targowa 3, 25-520 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;218;638;509;92;82;29
10;"Przedszkole Samorządowe nr 16 im. Jana Brzechwy, ul. Nowy Świat 34, 25-522 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;149;298;390;57;60;20
11;"Zespół Szkół Elektrycznych, ul. Prezydenta Ryszarda Kaczorowskiego 8, 25-317 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;175;504;383;85;42;28
12;"Szkoła Podstawowa nr 12 im. Bohaterów Westerplatte, ul. Wspólna 17, 25-003 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;214;656;349;78;78;27
13;"Środowiskowy Dom Samopomocy Typu B w Kielcach, ul. Stefana Okrzei 8, 25-525 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;124;348;212;60;52;29
14;"Szkoła Podstawowa nr 2 im. Marii Konopnickiej, ul. Generała Tadeusza Kościuszki 5, 25-310 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;153;460;354;75;54;27
15;"Zespół Szkół Przemysłu Spożywczego im. Danuty Siedzikówny ""Inki"", ul. Zagórska 14, 25-355 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;158;484;269;76;58;31
16;"Dom Kultury ""Zameczek"", ul. Juliusza Słowackiego 23, 25-365 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;198;559;311;61;58;32
17;"Szkoła Podstawowa nr 13 im. Władysława Jagiełły, ul. Prosta 27A, 25-371 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;204;529;296;44;71;39
18;"Ochotnicza Straż Pożarna, ul. Podporucznika Zbigniewa Kruszelnickiego ""Wilka"" 49, 25-669 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;239;256;572;80;45;49
19;"Targi Kielce S. A., ul. Zakładowa 1, 25-672 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;183;351;435;73;80;30
20;"Przedszkole Samorządowe nr 2, ul. Górnicza 64, 25-651 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;250;519;547;94;73;49
21;"Urząd Miasta Kielce, ul. Strycharska 6, 25-659 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;236;433;557;93;61;34
22;"Przedszkole Samorządowe nr 18, ul. Malików 3, 25-639 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;215;285;540;84;88;32
23;"Szkoła Podstawowa nr 25 im. Kornela Makuszyńskiego, ul. Jurajska 7, 25-640 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;313;793;235;102;120;45
24;"Szkoła Podstawowa nr 25 im. Kornela Makuszyńskiego, ul. Jurajska 7, 25-640 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;286;692;319;105;86;50
25;"Szkoła Podstawowa nr 25 im. Kornela Makuszyńskiego, ul. Jurajska 7, 25-640 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;245;578;288;87;81;41
26;"Klub „Domatorek”, ul. Edmunda Massalskiego 4, 25-636 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;263;661;464;90;94;34
27;"Przedszkole Samorządowe nr 34, al. Jerzego Szajnowicza-Iwanowa 15, 25-636 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;240;537;336;64;72;42
28;"Szkoła Podstawowa nr 34 im. Adama Mickiewicza, ul. Biskupa Adama Naruszewicza 25, 25-628 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;303;634;494;95;97;45
29;"Szkoła Podstawowa nr 34 im. Adama Mickiewicza, ul. Biskupa Adama Naruszewicza 16, 25-628 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;227;590;483;83;87;40
30;"III Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Cypriana Kamila Norwida, ul. Jagiellońska 4, 25-613 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;194;376;437;61;62;26
31;"Przedszkole Samorządowe nr 29, ul. Tytusa Chałubińskiego 32, 25-619 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;200;382;442;74;72;29
32;"Szkoła Podstawowa nr 18 im. Zbigniewa Kruszelnickiego ""Wilka"", ul. Króla Bolesława Chrobrego 105, 25-623 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;249;467;488;97;93;48
33;"Przedszkole Samorządowe nr 26, ul. Piekoszowska 42, 25-735 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;235;436;419;89;64;32
34;"ENERIS Surowce S. A.-Kielce, ul. Zagnańska 232A, 25-563 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;175;388;267;58;47;24
35;"Przedszkole Samorządowe nr 35, ul. Władysława Orkana 13, 25-548 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;236;782;478;117;131;31
36;"Hala Sportowa Miejskiego Ośrodka Sportu i Rekreacji, ul. Warszawska 338, 25-414 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;264;796;480;88;73;31
37;"Szkoła Podstawowa nr 27, ul. Marszałkowska 96, 25-549 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;277;667;502;94;81;51
38;"Szkoła Podstawowa nr 27, ul. Marszałkowska 96, 25-549 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;258;510;447;79;78;45
39;"V Liceum Ogólnokształcące im. Ks. Piotra Ściegiennego, ul. Marszałkowska 96, 25-549 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;210;578;465;76;72;28
40;"Szkoła Podstawowa nr 39 im. Stanisława Moniuszki, ul. Marii Krzyżanowskiej 8, 25-435 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;149;356;321;68;72;44
41;"Przedszkole Samorządowe nr 42 im. Świętego Mikołaja, ul. Elizy Orzeszkowej 26, 25-435 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;172;465;415;61;48;31
42;"Przedszkole Samorządowe nr 40, ul. Marszałka Józefa Piłsudskiego 30, 25-431 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;251;611;490;78;72;43
43;"Szkoła Podstawowa nr 33 im. Ignacego Jana Paderewskiego, ul. Marszałka Józefa Piłsudskiego 42, 25-431 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;287;640;489;121;75;44
44;"Szkoła Podstawowa nr 33 im. Ignacego Jana Paderewskiego, ul. Marszałka Józefa Piłsudskiego 42, 25-431 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;273;684;558;105;111;48
45;"Przedszkole Samorządowe nr 19 z Oddziałami Integracyjnymi ""Świętokrzyskie Skrzaty"", os. Na Stoku 98, 25-437 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;239;526;526;83;84;40
46;"Dawny budynek Zespołu Szkół Ogólnokształcących nr 14, ul. Jana Nowaka-Jeziorańskiego 53, 25-432 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;216;586;533;70;76;23
47;"Dawny budynek Zespołu Szkół Ogólnokształcących nr 14, ul. Jana Nowaka-Jeziorańskiego 53, 25-432 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;261;618;511;94;69;38
48;"Klub Seniora, ul. Jana Nowaka-Jeziorańskiego 75, 25-432 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;257;521;507;80;79;37
49;"Szkoła Podstawowa nr 15 im. Tadeusza Kościuszki, ul. Leszczyńska 8, 25-321 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;173;400;373;72;71;21
50;"Przedszkole Samorządowe nr 33, ul. Romualda 6, 25-322 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;215;488;349;75;65;33
51;"Przedszkole Samorządowe nr 30, ul. Wielkopolska 15, 25-327 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;341;705;468;91;86;75
52;"Klub Seniora, ul. Świętego Stanisława Kostki 4A, 25-341 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;218;516;447;75;72;45
53;"Szkoła Podstawowa nr 24 im. Pierwszej Kompanii Kadrowej, ul. Kujawska 18, 25-344 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;206;472;391;79;51;47
54;"Przedszkole Samorządowe nr 4 im. Wandy Chotomskiej, ul. Kujawska 21, 25-344 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;186;417;361;81;66;24
55;"Przedszkole Samorządowe nr 24, ul. Fryderyka Chopina 3, 25-356 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;162;388;351;63;76;21
56;"Szkoła Podstawowa nr 28 im. Żołnierzy 4 Pułku Piechoty ""Czwartaków"", ul. Karola Szymanowskiego 5, 25-361 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;188;505;387;59;58;35
57;"Dom Działkowca, ul. Głogowa 6, 25-346 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;263;722;511;86;105;44
58;"Rejonowe Przedsiębiorstwo Zieleni i Usług Komunalnych Spółka z o. o., ul. Sandomierska 249, 25-330 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;185;353;398;80;52;38
59;"Miejski Zarząd Dróg, ul. Jadwigi Prendowskiej 7, 25-395 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;282;599;417;99;92;44
60;"Przedszkole Samorządowe nr 3 im. Robinsona Crusoe, ul. Barwinek 33, 25-150 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;286;691;475;97;105;55
61;"Szkoła Podstawowa nr 32 im. Janusza Kusocińskiego, ul. Barwinek 31, 25-150 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;229;501;453;78;62;43
62;"Przedszkole Samorządowe nr 39, ul. Barwinek 31, 25-150 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;266;645;473;87;68;38
63;"Szkoła Podstawowa nr 8 im. Wojska Polskiego, ul. Generała Józefa Hauke-Bosaka 1, 25-217 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;250;682;388;82;90;41
64;"Przedszkole Samorządowe nr 36, ul. Tujowa 2, 25-209 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;286;627;514;103;81;36
65;"Budynek po Młodzieżowym Ośrodku Wychowawczym, ul. Dobromyśl 44, 25-825 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;79;131;182;30;17;13
66;"Szkoła Podstawowa nr 31 z Oddziałami Integracyjnymi im. Henryka Sienkiewicza, ul. Krzemionkowa 1, 25-750 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;208;523;390;56;67;57
67;"Szkoła Podstawowa nr 7 im. Partyzantów Ziemi Kieleckiej, ul. Zimna 16, 25-732 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;194;542;453;69;73;32
68;"Szkoła Podstawowa nr 31 z Oddziałami Integracyjnymi im. Henryka Sienkiewicza, ul. Krzemionkowa 1, 25-750 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;219;569;368;51;81;38
69;"Zespół Placówek Oświatowych nr 2 w Kielcach, ul. Jagiellońska 90, 25-734 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;205;385;281;69;64;25
