"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
36;"Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Walerego Goetla 2, 40-749 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;351;339;199
37;"Miejski Dom Kultury ""Południe"" Filia nr 2 w Murckach, ul. Pawła Kołodzieja 42, 40-749 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;288;361;194
38;"Katowickie Centrum Edukacji Zawodowej im. Powstańców Śląskich-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Techników 11, 40-326 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;681;422;297
39;"Zespół Szkolno-Przedszkolny nr 3, ul. Józefa Grzegorzka 4, 40-309 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;296;177;103
40;"Zespół Szkolno-Przedszkolny nr 3, ul. Józefa Grzegorzka 4, 40-309 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;293;215;114
41;"Zespół Szkół Handlowych, ul. gen. Józefa Hallera 60, 40-320 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;348;291;168
42;"Szkoła Podstawowa dla Chłopców KUŹNICA, ul. Deszczowa 14, 40-318 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;458;272;155
43;"Szkoła Podstawowa nr 45, ul. dr Janusza Korczaka 11, 40-321 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;322;213;126
44;"Zespół Szkolno-Przedszkolny nr 25, ul. Morawa 86, 40-353 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;415;359;178
45;"Zespół Szkolno-Przedszkolny nr 12, ul. Wiosny Ludów 22, 40-374 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;504;382;207
46;"Zespół Szkolno-Przedszkolny nr 12, ul. Wiosny Ludów 22, 40-374 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;270;207;114
47;"Zespół Szkół Przemysłu Spożywczego, ul. ks. bpa Herberta Bednorza 15, 40-384 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;286;206;130
48;"Zespół Szkół Przemysłu Spożywczego, ul. ks. bpa Herberta Bednorza 15, 40-384 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;368;307;173
49;"Liceum Ogólnokształcące In Altum (dawna Szkoła Podstawowa nr 53), ul. Oswobodzenia 47, 40-404 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;433;399;287
50;"Miejskie Przedszkole nr 63, ul. Zamkowa 10, 40-413 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;388;298;234
51;"Szkoła Podstawowa nr 53, ul. Szopienicka 58a, 40-431 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;434;299;194
52;"Szkoła Podstawowa nr 53, ul. Szopienicka 58a, 40-431 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;369;226;205
53;"Szkoła Podstawowa nr 53, ul. Szopienicka 58a, 40-431 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;734;459;339
54;"Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ, ul. Karliczka 15, 40-488 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;433;424;268
55;"Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ, ul. Karliczka 15, 40-488 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;446;386;286
56;"Zespół Szkolno-Przedszkolny nr 13, ul. Przyjazna 7a, 40-466 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;476;444;253
57;"Zespół Szkolno-Przedszkolny nr 13, ul. Przyjazna 7a, 40-466 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;639;390;329
58;"Zespół Szkolno-Przedszkolny nr 13, ul. Adama 33, 40-467 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;509;437;236
