"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
97;"Miejskie Przedszkole nr 34, ul. Tysiąclecia 84a, 40-871 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;612;267;209
98;"Szkoła Podstawowa nr 59, ul. Bolesława Chrobrego 5, 40-881 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;577;344;233
99;"Szkoła Podstawowa nr 59, ul. Bolesława Chrobrego 5, 40-881 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;669;320;282
100;"Szkoła Podstawowa nr 22, ul. Michała Wolskiego 3, 40-859 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;383;285;195
101;"Ośrodek Sportowy Gliwicka, ul. Gliwicka 214, 40-860 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;510;392;224
102;"Zespół Szkół i Placówek nr 2, ul. Juliusza Zarębskiego 2, 40-854 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;401;320;185
103;"Zespół Szkół i Placówek nr 2, ul. Juliusza Zarębskiego 2, 40-854 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;329;260;174
104;"Zespół Szkół i Placówek nr 2, ul. Juliusza Zarębskiego 2, 40-854 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;386;275;138
105;"Społeczna Szkoła Podstawowa ""Nasza Dobra Szkoła"", ul. Agnieszki 2, 40-110 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;491;365;204
106;"Miejskie Przedszkole nr 27, ul. ks. Ściegiennego 27, 40-114 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;829;308;257
107;"Zespół Szkolno-Przedszkolny nr 1, ul. Sportowa 29, 40-106 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;302;215;136
108;"Zespół Szkolno-Przedszkolny nr 1, ul. Sportowa 29, 40-106 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;428;274;210
109;"Śląski Oddział Wojewódzki Narodowego Funduszu Zdrowia w Katowicach, ul. Stanisława Kossutha 13, 40-833 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;744;380;351
110;"XV Liceum Ogólnokształcące, ul. Obroki 87, 40-833 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;407;306;211
111;"Miejskie Przedszkole nr 13, ul. Wincentego Witosa 16a, 40-832 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;523;327;281
112;"Szkoła Podstawowa nr 33, ul. Wincentego Witosa 23, 40-832 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;616;433;307
