"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOBER Ryszard Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAMLAU Józef Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBIŃSKI Adam Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMCZYK Zbigniew - KW ZWIĄZKU SŁOWIAŃSKIEGO"
3;"Szkoła Podstawowa w Nowym Kobrzyńcu, Nowy Kobrzyniec 1, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;134;124;37;21
4;"Świetlica Wiejska w Pręczkach, Pręczki 8, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;47;49;18;7
5;"Szkoła Podstawowa w Sosnowie, Sosnowo 33, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;141;277;70;29
6;"Szkoła Podstawowa w Nadrożu im. Zygmunta Padlewskiego, Nadróż 56, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;139;122;34;22
7;"Świetlica Wiejska w Rojewie, Rojewo 43, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;47;83;16;8
8;"Świetlica Wiejska w Lasotach, Lasoty 52, 87-515 Rogowo";41203;"gm. Rogowo";"rypiński";"kujawsko-pomorskie";1;1;34;57;17;1
1;"Szkoła Podstawowa w Starorypinie Rządowym, Starorypin Rządowy 13, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;176;171;48;19
2;"Urząd Gminy Rypin, ul. Lipnowska 4, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;158;126;51;27
3;"Szkoła Podstawowa w Zakroczu, Zakrocz 45, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;116;130;43;20
4;"Szkoła Podstawowa w Sadłowie, Sadłowo 23, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;197;177;70;28
5;"Szkoła Podstawowa w Stępowie, Stępowo 86, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;135;82;33;17
6;"Szkoła Podstawowa w Borzyminie, Borzymin 5, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;157;143;51;24
7;"Remiza OSP w Rypałkach Prywatnych, Rypałki Prywatne 34A, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;47;59;21;6
8;"Szkoła Podstawowa w Kowalkach, Kowalki 29, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;133;128;32;20
9;"Świetlica wiejska w Rusinowie, Rusinowo 70, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;154;105;32;17
10;"Świetlica wiejska w Dębianach, Dębiany 16A, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;55;53;15;3
11;"Remiza OSP w Godziszewach, Godziszewy 69, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;102;86;29;3
12;"Świetlica wiejska w Balinie, Balin 29/1, 87-500 Rypin";41204;"gm. Rypin";"rypiński";"kujawsko-pomorskie";1;1;87;82;22;10
1;"Zespół Szkół w Skrwilnie, ul. Bieżuńska 16, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;194;279;56;26
2;"Urząd Gminy w Skrwilnie, ul. Rypińska 7, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;226;246;55;24
3;"Szkoła Podstawowa w Skudzawach, Skudzawy 27, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;60;97;32;9
4;"Szkoła Podstawowa w Okalewie, Okalewo 62, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;164;229;65;18
5;"Świetlica wiejska w Przywitowie, Przywitowo 22, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;44;104;31;6
6;"Zespół Szkół w Skrwilnie, ul. Bieżuńska 16, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;152;289;61;31
7;"Remiza OSP w Urszulewie, Urszulewo 18b, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;33;58;12;10
8;"Remiza OSP w Kotowach, Kotowy 82, 87-510 Skrwilno";41205;"gm. Skrwilno";"rypiński";"kujawsko-pomorskie";1;1;64;56;17;9
1;"Szkoła Podstawowa w Radzikach Dużych, Radziki Duże 9B, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;144;170;55;21
2;"Szkoła Podstawowa w Radzikach Dużych, Radziki Duże 9B, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;73;78;24;9
3;"Szkoła Podstawowa w Wąpielsku, Wąpielsk 114, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;135;168;33;21
4;"Szkoła Podstawowa w Wąpielsku, Wąpielsk 114, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;118;169;37;23
5;"Świetlica Wiejska w Półwiesku Małym, Półwiesk Mały 32A, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;77;106;19;15
6;"Szkoła Podstawowa w Długiem, Długie 70, 87-337 Wąpielsk";41206;"gm. Wąpielsk";"rypiński";"kujawsko-pomorskie";1;1;147;140;38;22
1;"Szkoła Podstawowa Nr 2 im. Jana Pawła II, ul. Wolności 30, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;223;114;38;13
2;"Szkoła Podstawowa Nr 3 im. Edmunda Wojnowskiego, ul. Tysiąclecia 1, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;496;240;72;46
3;"Przystań Sportów Wodnych im. Jerzego Bosmana-Lewandowskiego, ul. Podzamcze 25, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;376;95;46;19
4;"Miejski Zakład Energetyki Cieplnej, Wodociągów i Kanalizacji Sp. z o. o., ul. Tysiąclecia 8A, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;577;273;90;43
5;"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Wolności 11, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;159;88;29;12
6;"Wąbrzeski Dom Kultury, ul. Wolności 47, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;535;226;66;26
7;"Miejska i Powiatowa Biblioteka Publiczna im. Witalisa Szlachcikowskiego, ul. Matejki 11B, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;210;82;28;13
8;"Centrum Kształcenia Praktycznego i Ustawicznego, ul. Staszica 2, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;456;205;60;29
9;"Zespół Szkół, ul. Żeromskiego 6, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;429;237;60;32
10;"Komenda Powiatowa Państwowej Straży Pożarnej, ul. św. Floriana 6, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;264;119;33;11
11;"Nowy Szpital Sp. z o. o., ul. Wolności 27, 87-200 Wąbrzeźno";41701;"m. Wąbrzeźno";"wąbrzeski";"kujawsko-pomorskie";1;1;3;7;2;2
1;"Szkoła Podstawowa, Dębowa Łąka 127, 87-207 Dębowa Łąka";41702;"gm. Dębowa Łąka";"wąbrzeski";"kujawsko-pomorskie";1;1;221;193;56;21
2;"Szkoła Podstawowa, Łobdowo 6, 87-207 Dębowa Łąka";41702;"gm. Dębowa Łąka";"wąbrzeski";"kujawsko-pomorskie";1;1;144;175;46;17
3;"Szkoła Podstawowa, Wielkie Radowiska 2, 87-207 Dębowa Łąka";41702;"gm. Dębowa Łąka";"wąbrzeski";"kujawsko-pomorskie";1;1;211;218;65;22
1;"Gminny Ośrodek Kultury, ul. Szkolna 4, 87-222 Książki";41703;"gm. Książki";"wąbrzeski";"kujawsko-pomorskie";1;1;272;195;53;27
2;"Szkoła Podstawowa, ul. Szkolna 6, 87-222 Książki";41703;"gm. Książki";"wąbrzeski";"kujawsko-pomorskie";1;1;296;192;53;27
3;"Świetlica Wiejska, Łopatki 42, 87-222 Książki";41703;"gm. Książki";"wąbrzeski";"kujawsko-pomorskie";1;1;178;165;51;27
4;"Świetlica Wiejska, Osieczek 187a, 87-222 Książki";41703;"gm. Książki";"wąbrzeski";"kujawsko-pomorskie";1;1;132;162;29;16
1;"Zespół Szkolno-Przedszkolny, Płużnica 43, 87-214 Płużnica";41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";1;1;264;172;43;16
2;"Sala Gimnastyczna, Płużnica 37a, 87-214 Płużnica";41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";1;1;221;161;42;20
3;"Zespół Szkolno-Przedszkolny budynek w Nowej Wsi Królewskiej, Nowa Wieś Królewska 25, 87-214 Płużnica";41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";1;1;237;168;39;10
4;"Remizo-świetlica, Błędowo 67, 87-214 Płużnica";41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";1;1;294;228;73;16
5;"Świetlica wiejska, Mgowo 20, 87-214 Płużnica";41704;"gm. Płużnica";"wąbrzeski";"kujawsko-pomorskie";1;1;98;98;18;5
1;"Szkoła Podstawowa, Jarantowice 84C, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;271;165;48;20
2;"Szkoła Podstawowa, ul. Szkolna 4, 87-213 Ryńsk";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;298;298;96;31
3;"Świetlica, Nielub 21, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;171;114;27;12
4;"Świetlica, Wałycz ul. Lecha Mączyńskiego 17, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;239;195;58;23
5;"Szkoła Podstawowa, Zieleń 56, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;177;157;43;37
6;"Szkoła Podstawowa, Myśliwiec 3, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;154;78;37;16
7;"Świetlica, Czystochleb 13, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;179;87;27;14
8;"Świetlica, Ludowice 81, 87-213 Ryńsk";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;116;111;39;14
9;"Świetlica, Wronie 24B, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;159;62;26;9
10;"Świetlica, Pływaczewo 9A, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;105;101;31;10
11;"Świetlica, Jaworze 16B, 87-200 Wąbrzeźno";41705;"gm. Ryńsk";"wąbrzeski";"kujawsko-pomorskie";1;1;71;67;14;9
1;"Szkoła Podstawowa Nr 4, ul. Jaśminowa 2, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;635;257;105;70
2;"Zespół Szkół Rolniczych, ul. Lipowa 33, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;954;412;198;72
3;"Budynek po byłym Gimnazjum Nr 9, ul. Ignacego Paderewskiego 10, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;675;356;120;75
4;"Przedszkole Miejskie ""TARPNO"", ul. Dąbrówki 6, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;204;165;38;35
5;"Szkoła Podstawowa Nr 18, ul. Dąbrówki 7, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;313;161;70;30
6;"Miejski Ośrodek Rekreacji i Wypoczynku, ul. Za Basenem 2, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;570;328;81;58
7;"Dom Dziennego Pobytu, ul. marsz. Józefa Piłsudskiego 111, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;334;183;54;28
8;"Klub Centrum Szkolenia Logistyki, ul. Anny Walentynowicz 6, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;463;238;72;38
9;"Biblioteka Miejska, ul. Legionów 28, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;440;205;81;51
10;"Szkoła Podstawowa Nr 9 (sala gimnastyczna), ul. Forteczna 29, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;498;298;138;58
11;"Centrum Kształcenia Ustawicznego, ul. Legionów 2, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;285;177;86;51
12;"Szkoła Podstawowa Nr 5, ul. Sienkiewicza 24, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;148;75;42;15
13;"Szkoła Podstawowa Nr 13, ul. gen. Sikorskiego 42, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;241;115;36;21
14;"Szkoła Podstawowa Nr 16, ul. Kochanowskiego 19, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;835;367;137;66
15;"Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi SPINAKER, ul. Ludwika Waryńskiego 102, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;455;202;85;40
16;"Szkoła Podstawowa Nr 8, ul. Mikołaja z Ryńska 6, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;257;176;38;21
17;"Szkoła Podstawowa Nr 12, ul. Moniuszki 14, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;665;331;99;61
18;"Centrum Kultury TEATR, ul. Teatralna 1, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;526;250;91;63
19;"Klub AKCENT, ul. J. Wybickiego 38, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;301;189;63;38
20;"Zespół Szkół Gastronomiczno-Hotelarskich, ul. Curie-Skłodowskiej 22/24, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;264;145;50;36
21;"Urząd Miejski, ul. Ratuszowa 1, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;176;100;47;34
22;"Szkoła Podstawowa Nr 17, al. 23 Stycznia 30, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;152;95;30;21
23;"MARINA, ul. Portowa 8, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;204;130;66;35
24;"Szkoła Podstawowa Nr 3, ul. Narutowicza 6, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;299;138;47;36
25;"Zespół Placówek Młodzieżowych ""Bursa"", ul. gen. Józefa Hallera 37, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;532;232;84;53
26;"Zespół Szkół Ekonomicznych, ul. Konarskiego 39, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;430;255;71;39
27;"Zespół Placówek Edukacyjno-Rewalidacyjnych, ul. Parkowa 25, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;411;194;72;47
28;"Szkoła Podstawowa Nr 21, ul. Nauczycielska 19, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;536;267;68;42
29;"Szkoła Podstawowa Nr 21 (Hala A), ul. Nauczycielska 19, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;512;253;74;37
30;"Szkoła Podstawowa Nr 21 (BASEN), ul. Nauczycielska 19, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;783;297;107;60
31;"Szkoła Podstawowa Nr 21, Hala F, ul. Nauczycielska 19, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;791;311;128;61
32;"Przedszkole Miejskie ""LOTNISKO"", ul. Ikara 8, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;753;310;97;61
33;"Szkoła Podstawowa Nr 15, ul. Bydgoska 24, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;705;311;80;58
34;"Ognisko Pracy Pozaszkolnej, ul. Chełmińska 104, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;173;106;34;16
35;"Ośrodek Kultury Fizycznej ""BASEN"", ul. Kalinkowa 56, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;612;344;99;68
36;"Przedszkole Miejskie ""KOPERNIK"", ul. Kalinkowa 46, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;485;250;58;36
37;"Szkoła Podstawowa Nr 2, ul. Żeromskiego 8, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;348;173;49;39
38;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 2, ul. Kasprowicza 4, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;784;346;116;59
39;"Przedszkole Miejskie ""STRZEMIĘCIN"", ul. Jackowskiego 47, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;742;287;90;61
40;"Zespół Szkół Ogólnokształcących, ul. Janusza Korczaka 23, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;493;201;76;43
41;"Przedszkole Miejskie ""STRZEMIĘCIN"", ul. Janusza Korczaka 21, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;554;296;75;38
42;"Centrum Pomocy Dziecku i Poradnictwa Rodzinnego, ul. Śniadeckich 6A, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;635;262;78;50
43;"Poradnia Psychologiczno-Pedagogiczna, ul. Janusza Korczaka 23, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;781;389;110;43
44;"Przedszkole Miejskie ""RZĄDZ"", ul. ks. dr. Władysława Łęgi 17, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;722;345;80;47
45;"Wydział Bezpieczeństwa i Zarządzania Kryzysowego Urzędu Miejskiego, ul. Strażacka 1, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;884;316;99;44
46;"Szkoła Podstawowa Nr 20, ul. Jana III Sobieskiego 12, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;613;289;75;41
47;"Niepubliczne Przedszkole ""TOM BOMBADIL"", ul. Henryka Gąsiorowskiego 4, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;840;392;123;54
48;"Budynek Przychodni Zdrowia, al. Aleja Sportowców 1/3, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;440;290;87;54
49;"Szkoła Podstawowa Nr 11, ul. Droga Mazurska 2, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;693;424;122;58
50;"Dom Pomocy Społecznej, ul. Nadgórna 30/32, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;12;33;5;6
51;"Dom Pomocy Społecznej, ul. Parkowa 12, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;12;23;3;11
52;"Szpital, Budynek ""A"" łóżkowy, Sala Konferencyjna, ul. dr. Ludwika Rydygiera 15/17, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;122;65;18;15
53;"Zakład Karny Nr 1, ul. J. Wybickiego 10/22, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;318;101;207;87
54;"Zakład Karny Nr 1, Oddział Zewnętrzny, ul. gen. Sikorskiego 13/17, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;126;30;43;31
55;"Dom Pomocy Społecznej, ul. Dywizjonu 303 4, 86-300 Grudziądz";46201;"m. Grudziądz";"Grudziądz";"kujawsko-pomorskie";1;1;8;16;1;6
