"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JANCZAR Urszula - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJTYŁA Andrzej Franciszek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RATAJCZYK Arkadiusz Stefan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PĘCHERZ Janusz Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JANKOWSKI Zdzisław Kazimierz - KW NORMALNY KRAJ";"BOROWIAK Dawid - KWW NIEZALEŻNY KANDYDAT DAWID BOROWIAK";"SAPIŃSKI Grzegorz Marcin - KWW WIELKOPOLSKA INICJATYWA SENACKA"
14;"Zespół Szkół Technicznych w Pleszewie, ul. Zielona 3, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;55;319;67;463;20;44;11
15;"Dom Pomocy Społecznej w Pleszewie, ul. Podgórna 2, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;76;280;69;537;9;35;14
16;"Zespół Szkół Publicznych Nr 2 w Pleszewie, ul. Ogrodowa 2, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;16;129;27;190;0;15;4
17;"Zespół Szkół Publicznych Nr 1 w Pleszewie, ul. Szkolna 5, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;40;209;58;335;5;37;4
18;"Zespół Szkół Publicznych Nr 1 w Pleszewie, ul. Szkolna 5, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;38;228;53;280;11;25;9
19;"I Liceum Ogólnokształcące im. St. Staszica w Pleszewie, ul. Poznańska 38, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;58;275;70;469;8;23;6
20;"I Liceum Ogólnokształcące im. St. Staszica w Pleszewie, ul. Poznańska 38, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;42;311;60;513;14;36;9
21;"Zespół Szkół Publicznych Nr 3 w Pleszewie, ul. Bolesława Krzywoustego 6, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;53;275;67;523;8;35;5
22;"Zespół Szkół Publicznych Nr 3 w Pleszewie, ul. Bolesława Krzywoustego 6, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;56;360;59;437;17;32;9
23;"Zespół Szkół Publicznych Nr 3 w Pleszewie, ul. Bolesława Krzywoustego 6, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;43;257;53;389;7;39;7
24;"Zespół Szkół Publicznych Nr 2 w Pleszewie, ul. Ogrodowa 2, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;38;277;41;448;14;45;10
25;"Sala Wiejska w Ludwinie, Ludwina 27A, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;8;42;12;39;0;7;2
26;"Sala Wiejska w Pacanowicach, Pacanowice 19, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;10;59;13;57;4;11;1
27;"Sala Wiejska w Rokutowie, Rokutów 13A, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;17;86;11;56;2;11;2
28;"Sala Wiejska w Bronowie, Bronów 40B, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;20;160;10;90;7;16;5
29;"Pleszewskie Centrum Medyczne w Pleszewie Sp. z o. o., ul. Poznańska 125A, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;4;39;3;44;4;4;3
30;"Dom Pomocy Społecznej w Pleszewie, ul. Plac Wolności im. Jana Pawła II 5, 63-300 Pleszew";302006;"gm. Pleszew";"pleszewski";"wielkopolskie";1;1;6;25;5;9;1;6;0
1;"I Liceum Ogólnokształcące im. Adama Asnyka, ul. Grodzka 1, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;55;270;49;509;9;83;29
2;"Galeria Sztuki im. Jana Tarasina, pl. Plac Świętego Józefa 5, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;29;193;45;298;2;52;17
3;"ProfiLingua Szkoła Języków Obcych, al. Aleja Wolności 6, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;24;165;32;354;5;60;16
4;"Młodzieżowy Dom Kultury im. Władysława Broniewskiego, ul. Teatralna 3, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;67;345;59;753;11;82;29
5;"III Liceum Ogólnokształcące im. Mikołaja Kopernika, ul. Tadeusza Kościuszki 10, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;34;225;34;336;4;39;19
6;"Szkoła Podstawowa Nr 3 im. Juliusza Słowackiego, ul. Ciasna 16, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;29;261;67;444;9;80;29
7;"Szkoła Podstawowa Nr 1 im. Konstytucji 3 Maja, ul. 3 Maja 16, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;39;355;45;659;0;86;32
8;"Niepubliczne Przedszkole Niezapominajka, ul. Warszawska 8, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;38;206;32;345;4;39;17
9;"Szkoła Podstawowa Nr 9 im. 25 Dywizji Piechoty Ziemi Kaliskiej, ul. Żwirki i Wigury 13, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;82;467;105;955;10;137;41
10;"Fundacja Kaliski Inkubator Przedsiębiorczości, ul. Częstochowska 25, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;30;184;43;404;5;36;10
11;"Uniwersytet im. Adama Mickiewicza w Poznaniu Wydział Pedagogiczno-Artystyczny w Kaliszu, ul. Nowy Świat 28 - 30, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;29;92;18;195;4;23;6
12;"Szkoła Podstawowa Nr 16 im. Powstańców Wielkopolskich 1918 - 1919, ul. Fabryczna 13 - 15, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;47;245;54;507;9;65;21
13;"Zespół Szkół Ponadpodstawowych, ul. Rzemieślnicza 6, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;46;348;52;678;9;78;32
14;"Zespół Szkół Zawodowych im. Zesłańców Sybiru, ul. Wąska 13, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;12;130;28;255;5;36;8
15;"Szkoła Podstawowa Nr 7 im. Adama Mickiewicza, ul. Robotnicza 5, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;87;365;75;1087;9;141;46
16;"DOMCAR Sp. z o. o., ul. Poznańska 24, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;67;294;50;681;6;84;23
17;"Szkoła Podstawowa Nr 12 im. Księcia Bolesława Pobożnego, ul. Jana Długosza 14, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;44;217;48;390;9;66;24
18;"Szkoła Podstawowa Nr 2 im. Jana Pawła II, ul. Juliana Tuwima 4, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;60;393;64;626;7;79;18
19;"Publiczne Przedszkole Nr 27 Radość, ul. Władysława Reymonta 29, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;87;421;86;838;12;103;28
20;"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego Collegium Medicum, ul. Kaszubska 13, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;46;292;60;444;4;67;35
21;"Zespół Szkolno-Przedszkolny nr 6, ul. Chełmska 18, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;72;423;109;698;9;109;35
22;"Zespół Szkół Techniczno-Elektronicznych, ul. Częstochowska 99, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;38;333;66;684;6;77;34
23;"Dzienny Dom Pomocy Społecznej, ul. Cegielniana 6, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;56;376;64;791;8;71;33
24;"Zakład Podstawowej Opieki Zdrowotnej „PULS” Przychodnia Medycyny Rodzinnej, ul. Polna 29, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;55;360;40;719;3;67;23
25;"Niepubliczne Przedszkole im. Marii Konopnickiej, ul. Ostrowska 62, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;59;346;48;720;5;83;25
26;"Szkoła Podstawowa Nr 8 im. Bohaterów Westerplatte, ul. Serbinowska 22a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;30;157;32;354;8;45;18
27;"Klub Osiedlowy Kaliskiej Spółdzielni Mieszkaniowej Lokatorsko-Własnościowej, ul. Serbinowska 25, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;65;281;54;582;7;71;38
28;"Szkoła Podstawowa Nr 4 im. Marii Dąbrowskiej, ul. Polna 17, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;26;244;39;519;6;70;15
29;"Szkoła Podstawowa Nr 14 im. Władysława Broniewskiego, ul. Adama Mickiewicza 11, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;48;240;34;535;6;90;21
30;"Publiczne Przedszkole Nr 19 z Oddziałami Integracyjnymi Razem, ul. Widok 98a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;61;263;44;566;8;133;23
31;"Publiczne Przedszkole Nr 18 Chatka Puchatka, ul. Serbinowska 5a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;44;266;44;487;7;85;20
32;"Niepubliczne Przedszkole Jacka i Agatki, ul. Serbinowska 21, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;45;334;34;566;10;63;20
33;"Szkoła Podstawowa Nr 18 im. Janusza Kusocińskiego, ul. Podmiejska 9a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;71;386;61;699;6;80;28
34;"Szkoła Podstawowa Nr 10 im. Marii Konopnickiej, ul. Karpacka 3, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;75;474;80;914;11;128;29
35;"Zespół Szkolno-Przedszkolny nr 2, ul. 25 Pułku Artylerii 4 - 8, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;73;328;80;498;11;49;30
36;"Zespół Szkolno-Przedszkolny nr 1, ul. Wykopaliskowa 45, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;94;540;100;774;10;116;59
37;"Szkoła Podstawowa Nr 17 z Oddziałami Integracyjnymi im. Stefana Szolc-Rogozińskiego, ul. Prymasa Stefana Wyszyńskiego 3b, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;61;352;30;613;8;75;27
38;"Niepubliczne Przedszkole Bajka, ul. Prymasa Stefana Wyszyńskiego 3a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;59;396;84;665;11;85;25
39;"Niepubliczne Przedszkole Zielone Łąki, ul. Prymasa Stefana Wyszyńskiego 19a, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;28;147;31;290;3;48;16
40;"Niepubliczne Przedszkole Calineczka, al. Aleja Wojska Polskiego 30, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;91;384;66;902;15;114;49
41;"Zespół Szkolno-Przedszkolny Nr 3, ul. Świętego Michała 1, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;56;354;59;521;10;67;34
42;"Niepubliczne Przedszkole Szczęśliwa Trzynastka, ul. Krótka 9, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;18;115;23;168;6;27;6
43;"Żłobek Nr 4, al. Aleja Wojska Polskiego 34, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;65;285;48;615;4;76;29
44;"Warsztaty Szkolne Zespołu Szkół Ponadpodstawowych, ul. Obywatelska 4, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;38;249;45;504;6;57;20
45;"Zespół Szkół Ekonomicznych, ul. Legionów 6, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;27;157;37;353;4;34;11
46;"Szkoła Podstawowa Nr 23 im. Eligiusza Kor-Walczaka, ul. Sulisławicka 108 - 110, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;46;237;53;307;4;66;10
47;"Publiczne Przedszkole Nr 28 Bajka, ul. Cmentarna 1 - 3, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;31;160;21;444;1;42;11
48;"Klub Seniora SM „Dobrzec”, ul. Prymasa Stefana Wyszyńskiego 43, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;29;168;28;376;6;50;23
49;"Ośrodek Sportu, Rehabilitacji i Rekreacji, ul. Łódzka 19 - 29, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;43;353;42;411;14;71;25
50;"Zespół Szkół Nr 9, ul. Prymasa Stefana Wyszyńskiego 22 - 24, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;88;338;59;903;9;121;37
51;"Zespół Szkół Nr 9, ul. Prymasa Stefana Wyszyńskiego 22 - 24, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;72;316;65;690;10;101;42
52;"Wojewódzki Szpital Zespolony w Kaliszu im. Ludwika Perzyny Szpital im. Ludwika Perzyny, ul. Poznańska 79, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;1;52;2;37;1;6;3
53;"Wojewódzki Szpital Zespolony w Kaliszu im. Ludwika Perzyny Szpital im. Przemysława II, ul. Toruńska 7, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;1;5;0;8;1;0;1
54;"Dom Pomocy Społecznej, ul. Winiarska 26, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;1;34;1;39;2;5;5
55;"NZOZ SALUS Sp. z o. o. Zakład Pielęgnacyjno-Opiekuńczy, ul. Zagorzynek 34, 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;0;6;0;4;0;0;0
56;"Oddział Zewnętrzny w Kaliszu Aresztu Śledczego w Ostrowie Wielkopolskim, ul. Wrocławska 193 - 195 (wejście od ul. 29 Pułku Piechoty), 62-800 Kalisz";306101;"m. Kalisz";"Kalisz";"wielkopolskie";1;1;2;14;6;15;2;3;2
