"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZANOWSKI Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"MAZUR Marek Marian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DOBKOWSKI Wiesław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"KWAPISIEWICZ Marek Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANOWSKA Małgorzata Monika - KW POLSKA JEST JEDNA"
3;"Publiczna Szkoła Podstawowa w Rzejowicach, Rzejowice 91, 97-512 Kodrąb";101207;"gm. Kodrąb";"radomszczański";"łódzkie";1;1;30;97;174;23;29
4;"Świetlica wiejska w Woli Malowanej, Wola Malowana 22, 97-512 Kodrąb";101207;"gm. Kodrąb";"radomszczański";"łódzkie";1;1;22;111;158;32;24
5;"Gminne Centrum Informacji w Dmeninie, Dmenin 124, 97-512 Kodrąb";101207;"gm. Kodrąb";"radomszczański";"łódzkie";1;1;32;88;150;28;23
6;"Gminne Centrum Informacji w Dmeninie, Dmenin 124, 97-512 Kodrąb";101207;"gm. Kodrąb";"radomszczański";"łódzkie";1;1;27;166;150;12;11
7;"Świetlica Wiejska w Zakrzewie, Zakrzew 18A, 97-512 Kodrąb";101207;"gm. Kodrąb";"radomszczański";"łódzkie";1;1;18;63;85;8;15
1;"Urząd Gminy w Lgocie Wielkiej, ul. Radomszczańska 60, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;43;196;192;50;30
2;"Publiczna Szkoła Podstawowa w Woli Blakowej, Wola Blakowa 39, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;28;92;187;52;23
3;"Świetlica Wiejska w Brudzicach, Brudzice ul. Radomszczańska 1A, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;25;78;219;48;19
4;"Wiejski Dom Kultury w Krzywanicach, Krzywanice 142A, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;25;106;128;25;25
5;"Świetlica Wiejska w Wiewiórowie, Wiewiórów 50A, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;28;41;117;26;9
6;"Centrum Inicjatyw Kultury Lokalnej wsi Woźniki (Strażnica OSP), Woźniki 60, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;19;64;115;20;15
7;"Strażnica Ochotniczej Straży Pożarnej w Krępie, Krępa 80, 97-565 Lgota Wielka";101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";1;1;34;64;148;26;16
1;"Publiczna Szkoła Podstawowa im. Świętego Jana Pawła II w Jedlnie, Jedlno Pierwsze 33A, 97-561 Ładzice";101209;"gm. Ładzice";"radomszczański";"łódzkie";1;1;61;279;401;59;64
2;"Zespół Szkolno-Przedszkolny w Stobiecku Szlacheckim, Stobiecko Szlacheckie 24A, 97-561 Ładzice";101209;"gm. Ładzice";"radomszczański";"łódzkie";1;1;64;266;333;55;43
3;"Publiczna Szkoła Podstawowa w Radziechowicach, Radziechowice Drugie ul. Szkolna 5, 97-561 Ładzice";101209;"gm. Ładzice";"radomszczański";"łódzkie";1;1;33;144;265;45;43
4;"Urząd Gminy Ładzice, ul. Wyzwolenia 36, 97-561 Ładzice";101209;"gm. Ładzice";"radomszczański";"łódzkie";1;1;19;100;116;23;23
5;"Dom Pomocy Społecznej w Radziechowicach, Radziechowice Pierwsze ul. Wspólna 2, 97-561 Ładzice";101209;"gm. Ładzice";"radomszczański";"łódzkie";1;1;2;2;18;1;1
1;"Gminna Biblioteka Publiczna w Strzelcach Małych, Strzelce Małe 33, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;37;187;290;48;60
2;"Sala OSP w Chełmie, Chełmo 51, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;18;55;123;20;14
3;"Szkoła Podstawowa w Przerębie, Przerąb 61, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;27;110;220;25;40
4;"Budynek po byłej Szkole Podstawowej w Ochotniku, Ochotnik 99, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;9;36;187;18;23
5;"Budynek OSP Granice, Granice 71, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;22;49;99;12;24
6;"Budynek Publicznej Szkoły Podstawowej im. Jana Pawła II w Strzelcach Małych Filia Kraszewice, Kraszewice 113, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;24;44;162;27;29
7;"Budynek OSP Korytno, Korytno 52, 97-515 Masłowice";101210;"gm. Masłowice";"radomszczański";"łódzkie";1;1;10;37;124;12;21
1;"Publiczna Szkoła Podstawowa w Przedborzu, ul. Mostowa 37A, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;54;226;404;54;79
2;"Zespół Szkół Ponadpodstawowych w Przedborzu, ul. Piotrkowska 1, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;60;305;452;79;69
3;"Szkoła Podstawowa w Górach Mokrych, Góry Mokre 94a, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;24;133;425;58;55
4;"Lokal wyborczy-budynek służący wypoczynkowi i rekreacji, Nosalewice 27, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;32;89;281;48;45
5;"Przedszkole Samorządowe w Przedborzu, ul. Mostowa 39, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;38;242;242;28;39
6;"Dom Pomocy Społecznej „Family”-Niepubliczny Zakład Pielęgnacyjno-Opiekuńczy ""Family"", Taras 46A, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;1;3;7;1;2
7;"Zakład Pielęgnacyjno-Opiekuńczy w Przedborzu, ul. Częstochowska 25, 97-570 Przedbórz";101211;"gm. Przedbórz";"radomszczański";"łódzkie";1;1;1;0;5;1;0
1;"Publiczna Szkoła Podstawowa w Dziepółci, Dziepółć 97, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;23;187;136;28;16
2;"Publiczna Szkoła Podstawowa w Kietlinie, Kietlin ul. Radomszczańska 61, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;20;145;234;32;6
3;"Publiczna Szkoła Podstawowa w Płoszowie, Płoszów ul. Radomszczańska 41, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;28;175;178;31;39
4;"Publiczna Szkoła Podstawowa w Strzałkowie, Strzałków ul. Kolumba 2, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;52;261;248;43;36
5;"Publiczna Szkoła Podstawowa w Strzałkowie, Strzałków ul. Kolumba 2, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;33;167;171;57;22
6;"Publiczna Szkoła Podstawowa w Szczepocicach, Szczepocice Rządowe 19C, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;23;111;174;37;23
7;"Strażnica OSP w Dąbrówce, Dąbrówka 12a, 97-500 Radomsko";101212;"gm. Radomsko";"radomszczański";"łódzkie";1;1;31;152;109;28;13
1;"Publiczna Szkoła Podstawowa, Krzętów ul. Stodolna 22, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;31;118;246;47;31
2;"Remiza OSP, Sokola Góra 47, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;11;32;127;8;6
3;"Gminny Ośrodek Kultury i Sportu w Wielgomłynach (parter), ul. Rynek 1, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;28;68;133;20;19
4;"Sala Obrad w Urzędzie Gminy w Wielgomłynach (I piętro), ul. Rynek 1, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;31;156;244;30;39
5;"Publiczna Szkoła Podstawowa, Zagórze 30, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;12;66;266;38;26
6;"Świetlica w Niedośpielinie, Niedośpielin 97, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;27;99;147;16;21
7;"Świetlica w Trzebcach, Trzebce 57, 97-525 Wielgomłyny";101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";1;1;8;43;120;7;12
1;"Publiczna Szkoła Podstawowa w Żytnie, ul. Ogrodowa 16, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;65;244;360;65;46
2;"Gminny Ośrodek Kultury w Żytnie, Silnica 77, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;19;71;209;21;20
3;"Przedszkole Publiczne w Żytnie Filia w Maluszynie, Maluszyn ul. Wolności 5, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;33;118;254;60;51
4;"Publiczna Szkoła Podstawowa w Borzykowej, Borzykowa ul. Szkolna 12, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;43;108;417;42;33
5;"Publiczna Szkoła Podstawowa w Silniczce, Silniczka ul. Główna 9, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;19;47;97;16;14
6;"Świetlica Wiejska w Pągowie, Pągów 35, 97-532 Żytno";101214;"gm. Żytno";"radomszczański";"łódzkie";1;1;11;18;117;9;10
1;"Przedszkole Samorządowe nr 11, ul. Adama Mickiewicza 98/102, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;46;386;313;60;50
2;"Szkoła Podstawowa nr 5 z Oddziałami Integracyjnymi im. Andrzeja Frycza Modrzewskiego, ul. Jerozolimska 73, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;65;382;331;65;40
3;"Pogotowie Opiekuńcze, ul. Wojska Polskiego 75, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;62;446;314;61;54
4;"Miejska Biblioteka Publiczna, ul. Marii Curie-Skłodowskiej 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;96;468;338;108;52
5;"Zespół Szkół Ponadpodstawowych nr 4 im. ks. Jerzego Popiełuszki, ul. Henryka Sienkiewicza 10/12, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;32;181;161;33;46
6;"Zespół Szkół Ponadpodstawowych nr 5, ul. Leonarda 12/14, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;60;440;280;80;52
7;"Przedszkole Samorządowe nr 8, ul. Władysława Broniewskiego 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;86;484;381;97;70
8;"Miejska Biblioteka Publiczna, ul. Marii Curie-Skłodowskiej 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;35;167;153;30;30
9;"I Liceum Ogólnokształcące im. Bolesława Chrobrego, ul. Al. Mikołaja Kopernika 6, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;22;193;156;38;24
10;"Przedszkole Samorządowe nr 5, ul. Kazimierza Wielkiego 5, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;56;386;270;53;37
11;"Szkoła Podstawowa nr 10 im. Mikołaja Reja, ul. Adama Próchnika 8/12, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;88;408;340;81;63
12;"Szkoła Podstawowa nr 16 im. Polskich Olimpijczyków, ul. Krakowskie Przedmieście 11, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;97;566;393;88;66
13;"Szkoła Podstawowa nr 11 im. Henryka Sienkiewicza, ul. Kazimierza Szmidta 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;75;474;386;95;52
14;"Przedszkole Samorządowe nr 12, ul. Włókiennicza 7, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;71;374;277;57;31
15;"Lokal wyborczy, ul. Jeziorna 41, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;110;768;460;101;78
16;"II Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Stefana Żeromskiego 11, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;57;515;402;76;61
17;"Zespół Szkół Ponadpodstawowych nr 1 im. rtm. Witolda Pileckiego (wejście od strony ul. Stefana Żeromskiego), ul. Franklina Roosevelta 1, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;74;475;312;67;59
18;"Lokal wyborczy przy Schronisku dla osób bezdomnych ""Panaceum"", ul. Wronia 55/59, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;25;200;192;44;15
19;"Zespół Szkół Ponadpodstawowych nr 2, ul. Romana Dmowskiego 38e, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;66;498;402;63;59
20;"Lokal wyborczy, ul. Romana Dmowskiego 47, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;76;610;403;62;73
21;"Przedszkole Samorządowe nr 7, ul. Poprzeczna 7a, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;72;595;361;77;67
22;"Szkoła Podstawowa nr 13 im. Trybunału Koronnego, ul. Romana Dmowskiego 11, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;90;625;422;76;63
23;"Przedszkole Samorządowe nr 15, ul. Belzacka 78a, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;66;471;271;55;55
24;"Przedszkole Samorządowe nr 20, ul. Ignacego Paderewskiego 1A, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;114;806;438;126;71
25;"Przedszkole Samorządowe nr 19, ul. Belzacka 97d, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;69;587;385;75;71
26;"Szkoła Podstawowa nr 12 im. Kornela Makuszyńskiego, ul. Belzacka 104, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;85;785;388;64;45
27;"Akademia Piotrkowska, ul. Juliusza Słowackiego 114/118, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;87;563;450;81;62
28;"Przedszkole Samorządowe nr 16, ul. Jarosława Daniłowskiego 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;78;698;492;91;80
29;"III Liceum Ogólnokształcące im. Juliusza Słowackiego, ul. Al. Armii Krajowej 17, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;68;466;391;67;55
30;"Miejski Żłobek Dzienny, ul. Belzacka 97E, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;89;655;431;77;79
31;"Szkoła Podstawowa nr 2 im. Krzysztofa Kamila Baczyńskiego, ul. Kostromska 50, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;73;460;304;68;57
32;"Prywatna Językowa Szkoła Podstawowa, ul. 1 Maja 18a, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;61;332;268;57;46
33;"Dzienny Dom Pomocy Społecznej ""Dom Seniora"", ul. Wojska Polskiego 127, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;127;851;561;98;97
34;"Przedszkole Samorządowe nr 26, ul. Wojska Polskiego 133, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;108;731;431;107;77
35;"Szkoła Podstawowa nr 3 im. Szarych Szeregów, ul. Wysoka 28/38, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;89;386;350;58;54
36;"Przedszkole Samorządowe nr 24 z Oddziałami Integracyjnymi im. Misia Uszatka, ul. Topolowa 14a, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;100;476;364;63;62
37;"Ośrodek Doradztwa Rolniczego, ul. Kasztelańska 9, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;86;448;372;75;73
38;"Samodzielny Szpital Wojewódzki w Piotrkowie Trybunalskim, ul. Rakowska 15, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;3;29;67;7;3
39;"Oddział Samodzielnego Szpitala Wojewódzkiego w Piotrkowie Trybunalskim, ul. Franklina Roosevelta 3, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;0;4;4;4;0
40;"Areszt Śledczy w Piotrkowie Trybunalskim, ul. Wronia 76/90, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;60;197;58;85;37
41;"Dom Pomocy Społecznej w Piotrkowie Trybunalskim, ul. Franciszka Żwirki 5, 97-300 Piotrków Trybunalski";106201;"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";1;1;2;7;27;1;4
