"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BAREŁKOWSKA Dorota Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"DZIKOWSKI Waldy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
14;"Świetlica wiejska w Górze, Góra 22/1, 62-007 Biskupice";302112;"gm. Pobiedziska";"poznański";"wielkopolskie";1;1;62;123
15;"Świetlica wiejska w Kociałkowej Górce, Kociałkowa Górka 12, 62-010 Pobiedziska";302112;"gm. Pobiedziska";"poznański";"wielkopolskie";1;1;63;106
16;"Świetlica wiejska w Latalicach, Latalice 43, 62-010 Pobiedziska";302112;"gm. Pobiedziska";"poznański";"wielkopolskie";1;1;96;76
17;"Oddział Zewnętrzny w Pobiedziskach Zakładu Karnego w Gębarzewie, ul. Władysława Jagiełły 34, 62-010 Pobiedziska";302112;"gm. Pobiedziska";"poznański";"wielkopolskie";1;1;9;56
1;"Rokietnicki Ośrodek Sportu, ul. Szamotulska 29, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;482;2207
2;"Rokietnicki Ośrodek Sportu, ul. Szamotulska 29, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;208;916
3;"Szkoła Podstawowa im. Jana Brzechwy, ul. Trakt Napoleoński 16, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;536;1762
4;"Zespół Szkolno-Przedszkolny, Cerekwica ul. Przybrodzka 1, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;360;1741
5;"Świetlica wiejska, Krzyszkowo ul. Koszycy 107, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;198;646
6;"Świetlica wiejska, Żydowo ul. Rostworowska 5, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;136;321
7;"Zespół Szkolno-Przedszkolny, Napachanie ul. Poznańska 26, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;306;860
8;"PUK Sp. z o. o., Bytkowo ul. Topolowa 6, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;88;393
9;"Rokietnicki Ośrodek Sportu, ul. Szamotulska 29, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;360;1305
10;"Świetlica wiejska, Przybroda ul. Kaźmierska 26, 62-090 Rokietnica";302113;"gm. Rokietnica";"poznański";"wielkopolskie";1;1;85;150
1;"Budynek oświatowy-Przedszkole, ul. Janusza Korczaka 2, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;353;858
2;"Hala widowiskowo-sportowa, ul. Poznańska 22A, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;295;925
3;"Szkoła Podstawowa, ul. Szkolna 1, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;337;681
4;"Szkoła Podstawowa, ul. Poznańska 25, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;370;873
5;"Budynek byłej szkoły, Łódź ul. Szkolna 24, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;346;756
6;"Szkoła Podstawowa, Modrze ul. Tadeusza Kościuszki 14, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;242;420
7;"Świetlica Wiejska, Strykowo ul. Bukowska 2, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;269;604
8;"Szkoła Podstawowa, Jeziorki ul. Pocztowa 12, 62-060 Stęszew";302114;"gm. Stęszew";"poznański";"wielkopolskie";1;1;357;995
1;"Dom Osiedlowy, ul. Zjednoczenia 4, 62-003 Biedrusko";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;383;1485
2;"Zespół Szkół im. Ojca Mariana Żelazka, ul. Szkolna 3, 62-001 Chludowo";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;439;849
3;"Remiza Ochotniczej Straży Pożarnej, ul. Wojciecha Bogusławskiego 36, 62-002 Suchy Las";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;366;1502
4;"Szkoła Podstawowa im. Wojciecha Bogusławskiego, ul. Szkolna 15, 62-002 Suchy Las";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;253;1203
5;"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Poziomkowa 11, 62-002 Suchy Las";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;317;1381
6;"Świetlica osiedlowa, Złotniki pl. Plac Grzybowy 16, 62-002 Suchy Las";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;204;1221
7;"Świetlica osiedlowa, Złotniki ul. Żukowa 14, 62-002 Suchy Las";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;364;1333
8;"Świetlica wiejska, Golęczewo ul. Dworcowa 61A, 62-001 Chludowo";302115;"gm. Suchy Las";"poznański";"wielkopolskie";1;1;237;606
1;"Szkoła Podstawowa nr 5 im. prof. Adama Wodziczki w Swarzędzu, os. Macieja Mielżyńskiego 3a, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;438;1053
2;"Szkoła Podstawowa nr 5 im. prof. Adama Wodziczki w Swarzędzu, os. Macieja Mielżyńskiego 3a, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;330;1095
3;"Szkoła Podstawowa nr 5 im. prof. Adama Wodziczki w Swarzędzu, os. Macieja Mielżyńskiego 3a, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;282;954
4;"Szkoła Podstawowa nr 5 im. prof. Adama Wodziczki w Swarzędzu, os. Macieja Mielżyńskiego 3a, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;247;879
5;"Ośrodek Kultury w Swarzędzu, ul. Poznańska 14, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;399;829
6;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Swarzędzu, ul. Polna 21, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;348;1054
7;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Swarzędzu, ul. Polna 21, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;430;977
8;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Swarzędzu, ul. Polna 21, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;379;919
9;"Szkoła Podstawowa nr 1 im. Stanisława Staszica w Swarzędzu, ul. Zamkowa 20, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;315;667
10;"Szkoła Podstawowa nr 3 im. Polskich Noblistów w Swarzędzu, os. Czwartaków 1, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;245;611
11;"Szkoła Podstawowa nr 3 im. Polskich Noblistów w Swarzędzu, os. Czwartaków 1, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;296;762
12;"Szkoła Podstawowa nr 4 im. Jana Brzechwy w Swarzędzu, os. Kościuszkowców 4, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;312;748
13;"Szkoła Podstawowa nr 4 im. Jana Brzechwy w Swarzędzu, os. Kościuszkowców 4, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;395;865
14;"Biblioteka Publiczna w Swarzędzu, os. Czwartaków 1, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;280;783
15;"Świetlica Wiejska w Jasinie, ul. Wrzesińska 152, 62-020 Jasin";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;258;934
16;"Szkoła Podstawowa nr 1 im. Stanisława Staszica w Swarzędzu, ul. Zamkowa 20, 62-020 Swarzędz";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;271;798
17;"Szkoła Podstawowa nr 1 im. Mikołaja Kopernika w Zalasewie, ul. Planetarna 7, 62-020 Zalasewo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;243;1098
18;"Szkoła Podstawowa nr 2 im. Aleksandra Doby w Zalasewie, ul. Jana Heweliusza 26, 62-020 Zalasewo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;225;919
19;"Szkoła Podstawowa w Wierzonce, ul. Karłowicka 3, 62-006 Wierzonka";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;187;291
20;"Szkoła Podstawowa im. św. Jana Pawła II w Paczkowie, ul. Szkolna 16, 62-021 Paczkowo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;325;994
21;"Świetlica Wiejska w Gruszczynie, ul. Swarzędzka 40, 62-006 Gruszczyn";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;349;1584
22;"Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu w Kobylnicy, ul. Poznańska 50, 62-006 Kobylnica";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;299;637
23;"Świetlica Wiejska w Bogucinie, ul. Wrzosowa 81, 62-006 Bogucin";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;167;493
24;"Szkoła Podstawowa nr 2 im. Aleksandra Doby w Zalasewie, ul. Jana Heweliusza 26, 62-020 Zalasewo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;277;1500
25;"Szkoła Podstawowa nr 1 im. Mikołaja Kopernika w Zalasewie, ul. Planetarna 7, 62-020 Zalasewo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;239;1270
26;"Świetlica Wiejska w Janikowie, ul. Asfaltowa 7A, 62-006 Janikowo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;116;149
27;"Świetlica Wiejska w Rabowicach, ul. Bukowa 11, 62-020 Rabowice";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;153;814
28;"Świetlica Wiejska w Uzarzewie, ul. Akacjowa 14, 62-006 Uzarzewo";302116;"gm. Swarzędz";"poznański";"wielkopolskie";1;1;134;157
1;"Szkoła Podstawowa nr 1 im. Jana Pawła II, ul. Szkolna 5, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;375;1418
2;"Świetlica Wiejska, Lusowo ul. Ogrodowa 13, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;248;1190
3;"Szkoła Podstawowa, ul. Kościelna 46/48, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;369;1210
4;"Świetlica Wiejska, Jankowice ul. Wiśniowa 2a, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;109;255
5;"Szkoła Podstawowa im. Polskich Noblistów, Baranowo ul. Wypoczynkowa 93, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;358;1575
6;"Szkoła Podstawowa, ul. Kościelna 46/48, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;317;895
7;"GOK SEZAM, ul. Ogrodowa 14, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;330;986
8;"Szkoła Podstawowa nr 1 im. Jana Pawła II, ul. Szkolna 5, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;185;1022
9;"Szkoła Podstawowa, ul. Kościelna 46/48, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;398;1053
10;"Świetlica Wiejska, Chyby ul. Szamotulska 22, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;123;670
11;"Świetlica Wiejska, Batorowo ul. Stefana Batorego 67, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;88;225
12;"Szkoła Podstawowa, Lusówko ul. Dopiewska 5, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;343;1805
13;"Świetlica Wiejska, Sierosław ul. Dworska 3, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;172;758
14;"Świetlica Wiejska, Sady ul. Poprzeczna 3, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;176;896
15;"Świetlica Wiejska, Ceradz Kościelny pl. Plac Harcerski 4, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;119;305
16;"Świetlica Wiejska, Góra ul. Szkolna 3A, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;72;364
17;"Świetlica Wiejska, Kokoszczyn ul. Dworcowa 6, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;38;113
18;"Świetlica Wiejska, Rumianek ul. Parkowa 6A, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;60;216
19;"Świetlica Wiejska, Swadzim ul. Lipowa 11A, 62-080 Tarnowo Podgórne";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;79;192
20;"Świetlica Wiejska, Wysogotowo ul. Wierzbowa 127, 62-081 Przeźmierowo";302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";1;1;120;431
