"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIAŁOOKA-KOSTENECKA Danuta Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBICKI Sławomir Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Urząd Miasta, ul. Wiejska 50, 84-150 Hel";221101;"m. Hel";"pucki";"pomorskie";1;1;255;714
2;"Zespół Szkół Ogólnokształcących, ul. Szkolna 1, 84-150 Hel";221101;"m. Hel";"pucki";"pomorskie";1;1;191;616
3;"115 Szpital Wojskowy z Przychodnią SPZOZ, ul. Boczna 10, 84-150 Hel";221101;"m. Hel";"pucki";"pomorskie";1;1;19;34
1;"Urząd Miasta, ul. Portowa 24, 84-140 Jastarnia";221102;"gm. Jastarnia";"pucki";"pomorskie";1;1;735;928
2;"Biuro Informacji Turystycznej, Kuźnica ul. gen. Józefa Hallera 1A, 84-130 Jastarnia";221102;"gm. Jastarnia";"pucki";"pomorskie";1;1;129;233
3;"Parafia Rzymskokatolicka pw. Matki Boskiej Nieustającej Pomocy, ul. ks. Hieronima Gołębiewskiego 1, 84-141 Jurata";221102;"gm. Jastarnia";"pucki";"pomorskie";1;1;82;225
1;"Szkoła Podstawowa im. Mariusza Zaruskiego (budynek ""A""), ul. Przebendowskiego 27, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;274;702
2;"Szkoła Podstawowa im. Mariusza Zaruskiego (budynek ""B""), ul. Nowy Świat 12, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;282;834
3;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Zamkowa 5, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;321;706
4;"I Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Morskiego Dywizjonu Lotniczego 18, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;308;831
5;"Ośrodek Adaptacyjny Puckiego Stowarzyszenia Wspierającego Osoby Niepełnosprawne Umysłowo ""Razem"", ul. Mestwina 32, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;409;959
6;"Dom Pomocy Społecznej, ul. Aleksandra Majkowskiego 3, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;13;9
7;"Szpital Pucki Sp. z o. o., ul. 1-go Maja 13A, 84-100 Puck";221103;"m. Puck";"pucki";"pomorskie";1;1;3;5
1;"Zespół Szkół Nr 1, ul. Morska 1, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;283;725
2;"Urząd Miejski, ul. gen. Józefa Hallera 19, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;286;500
3;"Szkoła Podstawowa Nr 2, ul. 1000-lecia Państwa Polskiego 2, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;374;922
4;"Szkoła Podstawowa Nr 2, ul. 1000-lecia Państwa Polskiego 2, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;352;961
5;"Zespół Szkół Nr 1, ul. Morska 1, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;383;898
6;"Świetlica Stowarzyszenia ""BLIZA"", Chałupy ul. Kaperska 25, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;96;135
7;"Szkoła Podstawowa, Chłapowo ul. Władysławowska 87, 84-120 Władysławowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;289;402
8;"Świetlica, Tupadły ul. Szkolna 3, 84-104 Jastrzębia Góra";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;100;172
9;"Hotel Okulski Grand, Rozewie ul. Garnizonowa 40, 84-104 Jastrzębia Góra";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;30;133
10;"Szkoła Podstawowa, ul. Słowackiego 4, 84-104 Jastrzębia Góra";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;580;288
11;"Natura Park, ul. Łowiecka 18, 84-105 Ostrowo";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;121;293
12;"Szkoła Podstawowa, ul. Wojska Polskiego 47, 84-105 Karwia";221104;"gm. Władysławowo";"pucki";"pomorskie";1;1;181;408
1;"Zespół Szkolno-Przedszkolny Hala Sportowa, Mosty ul. Szkolna 16, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;576;1831
2;"Przedszkole, Rewa ul. Koralowa 1, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;168;379
3;"Gminny Dom Kultury, Pierwoszyno ul. Kaszubska 11, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;205;571
4;"Szkoła Podstawowa Hala Sportowa, ul. Żeromskiego 11, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;358;1173
5;"Szkoła Podstawowa, Dębogórze ul. Pomorska 30, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;366;1062
6;"Szkoła Podstawowa Hala Sportowa, Pogórze ul. Szkolna 15, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;421;1811
7;"Świetlica Sołecka, Suchy Dwór ul. Jana Chryzostoma Paska 6, 81-198 Kosakowo";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;242;937
8;"Świetlica Sołecka, ul. Długa 16, 84-230 Dębogórze-Wybudowanie";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;46;77
9;"Szkoła Podstawowa Budynek Główny, ul. Szkolna 15, 81-198 Pogórze";221105;"gm. Kosakowo";"pucki";"pomorskie";1;1;280;1008
1;"Dom Kultury, ul. Antoniego Abrahama 38, 84-113 Wierzchucino";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;285;440
2;"Szkoła Podstawowa, Żarnowiec ul. Szkolna 2, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;192;210
3;"Szkoła Podstawowa, ul. Szkolna 6, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;274;452
4;"Dom Ludowy, Sławoszyno ul. Floriana Ceynowy 17, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;126;217
5;"Przedszkole Publiczne, Lubocino 10, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;135;131
6;"Dom Ludowy, Białogóra ul. Morska 12, 84-113 Wierzchucino";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;124;229
7;"Świetlica wiejska, Prusewo ul. Pucka 2, 84-113 Wierzchucino";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;53;69
8;"Świetlica wiejska, Brzyno ul. Piwna 10, 84-113 Wierzchucino";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;64;116
9;"Rybaczówka, Dębki ul. Plażowa 2, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;49;136
