"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZYMAŃSKA Halina Barbara - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOCHAN Magdalena Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
7;"Świetlica Wiejska w Starych Łysogórkach, Stare Łysogórki 17, 74-505 Mieszkowice";320605;"gm. Mieszkowice";"gryfiński";"zachodniopomorskie";1;1;48;87
1;"Regionalne Biuro Geoparku, ul. Plac Wolności 2, 74-503 Moryń";320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";1;1;402;667
2;"Szkoła Filialna w Witnicy, Witnica ul. Moryńska 15, 74-503 Moryń";320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";1;1;154;215
3;"Wiejskie Centrum Administracji, Kultury, Sportu i Rekreacji, Klępicz 7A, 74-503 Moryń";320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";1;1;137;137
4;"Świetlica Wiejska w Bielinie, Bielin 27 A, 74-503 Moryń";320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";1;1;105;130
5;"Dom Pomocy Społecznej, ul. Rynkowa 27, 74-503 Moryń";320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";1;1;36;0
1;"Świetlica Wiejska w Żelisławcu, ul. Niepodległości 20, 74-106 Żelisławiec";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;127;124
2;"Świetlica Wiejska w Starym Czarnowie, ul. Polna 1, 74-106 Stare Czarnowo";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;196;218
3;"Sala gimnastyczna, Kołbacz ul. Anny Jagiellonki 1, 74-106 Stare Czarnowo";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;309;396
4;"Świetlica Wiejska w Binowie, Binowo 42a, 74-106 Binowo";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;100;135
5;"Świetlica Wiejska w Glinnej, Glinna 14a, 74-106 Glinna";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;87;86
6;"Świetlica Wiejska w Dębinie, Dębina 14, 74-106 Dębina";320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";1;1;75;92
1;"Urząd Miejski, ul. Rynek 15, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;361;694
2;"Świetlica Wiejska w Piasecznie, Piaseczno 43A, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;73;100
3;"Hala Widowiskowo-Sportowa, ul. Cmentarna 12, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;193;163
4;"Świetlica Wiejska w Góralicach, Góralice 28/2, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;150;144
5;"Szkoła Filialna w Stołecznej, Stołeczna 9, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;152;150
6;"Świetlica Wiejska w Gogolicach, Gogolice 35, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;99;117
7;"Stowarzyszenie Dom z Sercem Dom Pomocy Społecznej, ul. Aleja Róż 1, 74-510 Trzcińsko-Zdrój";320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";1;1;18;5
1;"Szkoła Podstawowa, ul. Barnima III 1, 74-120 Widuchowa";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;428;689
2;"Szkoła Podstawowa, ul. Królewiecka 42, 74-121 Krzywin";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;214;177
3;"Świetlica Wiejska, Żelechowo 24, 74-121 Krzywin";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;155;137
4;"Świetlica Wiejska, Lubicz 56, 74-120 Widuchowa";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;136;140
5;"Świetlica Wiejska, Ognica 50, 74-121 Krzywin";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;88;105
6;"Świetlica Wiejska, Żarczyn 44A, 74-121 Krzywin";320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";1;1;62;66
1;"Świetlica środowiskowa, Dziwnówek ul. Nad Zalewem 1, 72-420 Dziwnów";320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";1;1;144;337
2;"Świetlica środowiskowa, ul. Niezłomnych 1A, 72-420 Dziwnów";320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";1;1;106;273
3;"Hala Widowiskowo-Sportowa, ul. Władysława Reymonta 10, 72-420 Dziwnów";320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";1;1;176;470
4;"Dom Kultury w Dziwnowie, ul. Marynarki Wojennej 4D, 72-420 Dziwnów";320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";1;1;82;367
5;"Świetlica środowiskowa, ul. Zatoczna 34, 72-415 Międzywodzie";320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";1;1;308;533
1;"Szkoła Podstawowa im. Bolesława Chrobrego, ul. Szkolna 2, 72-410 Golczewo";320702;"gm. Golczewo";"kamieński";"zachodniopomorskie";1;1;495;831
2;"Dom Strażaka, ul. Niepodległości 34, 72-410 Golczewo";320702;"gm. Golczewo";"kamieński";"zachodniopomorskie";1;1;147;148
3;"Świetlica Wiejska, Wysoka Kamieńska ul. Spółdzielcza 2, 72-410 Golczewo";320702;"gm. Golczewo";"kamieński";"zachodniopomorskie";1;1;306;453
4;"Świetlica Wiejska w Kłębach, Kłęby 26, 72-410 Golczewo";320702;"gm. Golczewo";"kamieński";"zachodniopomorskie";1;1;169;174
1;"Muzeum Historii Ziemi Kamieńskiej, ul. Adama Mickiewicza 34, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;364;662
2;"Budynek TBS-przychodnia, ul. Mikołaja Kopernika 26, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;269;559
3;"Przedszkole Publiczne nr 1, ul. Józefa Wysockiego 3a, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;289;620
4;"Powiatowa i Miejska Biblioteka Publiczna, ul. Wolińska 9, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;312;753
5;"Liceum Ogólnokształcące, ul. Marii Konopnickiej 19, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;326;781
6;"Szkoła Podstawowa, Wrzosowo 37, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;193;260
7;"Świetlica OSP, Trzebieszewo 13, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;130;263
8;"Szkoła Podstawowa, Jarszewo 32, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;206;333
9;"Świetlica Wiejska Benice, Benice 34, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;122;206
10;"Świetlica wiejska, Rzewnowo 9a, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;87;149
11;"Świetlica Wiejska w Rekowie, Rekowo 3C, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;78;148
12;"Dom Pomocy Społecznej w Śniatowie, Śniatowo 17, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;11;8
13;"Szpital w Kamieniu Pomorskim Sp. z o. o., ul. Szpitalna 10, 72-400 Kamień Pomorski";320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";1;1;8;4
1;"Świetlica Środowiskowa ""Iskierka"" (w budynku dawnego Gimnazjum nr 1), ul. Kolejowa 33, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;199;442
2;"Szkoła Podstawowa nr 1 im. Bolesława Chrobrego, ul. Leśna 17, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;215;396
3;"Międzynarodowy Dom Kultury, ul. Bohaterów Warszawy 20, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;270;545
4;"Miejska Biblioteka Publiczna im. Jana Kochanowskiego, pl. Plac Ratuszowy 1, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;285;679
5;"Świetlica Wiejska ""WIKLINA"", Wapnica ul. Turkusowa 26, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;95;278
6;"Budynek Ochotniczej Straży Pożarnej, Lubin ul. Główna 27c, 72-500 Międzyzdroje";320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";1;1;58;163
1;"Szkoła Podstawowa im. Juliana Grunera, ul. Szkolna 4, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;174;348
2;"Szkoła Podstawowa, Gostyń 5, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;171;242
3;"Świetlica wiejska, Chomino 41, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;102;180
4;"Świetlica wiejska, Stuchowo 2, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;129;266
5;"Świetlica wiejska, Gostyniec 40A, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;53;62
6;"Świetlica wiejska, Ciesław 6A, 72-405 Świerzno";320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";1;1;42;70
1;"Publiczna Szkoła Podstawowa, ul. Spokojna 1, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;168;324
2;"Publiczna Szkoła Podstawowa, ul. Spokojna 1, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;243;444
3;"Zespół Szkół Ponadpodstawowych, ul. Słowiańska 2, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;283;427
4;"Biblioteka Publiczna, ul. Rynek 2, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;165;257
5;"Świetlica Wiejska, Dargobądz 19, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;132;206
6;"Budynek Niepublicznej Szkoły Podstawowej, Ładzin 56, 72-518 Ładzin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;138;214
7;"Wiejski Ośrodek Kultury, ul. Nadmorska 1, 72-513 Wisełka";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;125;147
8;"Świetlica Wiejska, ul. Zwycięstwa 20A, 72-514 Kołczewo";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;154;315
9;"Świetlica Wiejska, Sierosław 20, 72-514 Kołczewo";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;127;216
10;"Publiczna Szkoła Podstawowa w Troszynie, Troszyn 15, 72-511 Troszyn";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;145;200
11;"Świetlica Wiejska, Ostromice 38D, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;80;136
12;"Publiczna Szkoła Podstawowa, Koniewo 9, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;130;116
13;"Świetlica Wiejska, Recław 21, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;117;185
14;"Świetlica Wiejska, Unin 22, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;96;150
15;"Świetlica Wiejska w Warnowie, Warnowo 36A, 72-518 Warnowo";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;68;84
16;"Świetlica Wiejska w Wiejkowie, Wiejkowo 2A, 72-510 Wolin";320706;"gm. Wolin";"kamieński";"zachodniopomorskie";1;1;62;68
1;"Barlinecki Ośrodek Kultury, ul. Podwale 9, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;228;361
2;"Przedszkole Miejskie Nr 2, ul. Podwale 11, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;246;347
3;"Szkoła Podstawowa Nr 1, ul. Jeziorna 12, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;239;411
4;"Urząd Stanu Cywilnego w Barlinku, ul. Jeziorna 8, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;246;417
5;"Europejskie Centrum Spotkań, ul. Leśna 1, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;160;329
6;"Szkoła Podstawowa Nr 1, ul. Leśna 10, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;158;283
7;"Nadleśnictwo Barlinek, ul. Tunelowa 56a, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;255;410
8;"Szkoła Podstawowa Nr 4, ul. Kombatantów 3, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;167;426
9;"Szkoła Podstawowa Nr 4, ul. Kombatantów 3, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;213;426
10;"Zespół Szkół i Placówek Oświatowych, ul. Szosowa 2, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;206;414
11;"Zespół Szkół i Placówek Oświatowych, ul. Szosowa 2, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;213;325
12;"Świetlica wiejska, Osina 26a, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;77;165
13;"Świetlica wiejska, Płonno 29D, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;75;117
14;"Szkoła Podstawowa, Mostkowo 37d, 74-322 Mostkowo";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;263;279
15;"Świetlica wiejska, Rychnów 45, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;191;203
16;"Świetlica wiejska, Moczkowo ul. Gorzowska 15, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;250;628
17;"Świetlica wiejska, Lutówko 17a, 74-320 Lutówko";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;76;88
18;"Świetlica wiejska, Krzynka 24a, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;60;113
19;"Szpital Barlinek Sp. z o. o., ul. Szpitalna 10, 74-320 Barlinek";321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";1;1;9;16
1;"Gminny Ośrodek Kultury, ul. Poznańska 19A, 74-407 Boleszkowice";321002;"gm. Boleszkowice";"myśliborski";"zachodniopomorskie";1;1;186;456
2;"Świetlica Wiejska, Namyślin 70, 74-406 Namyślin";321002;"gm. Boleszkowice";"myśliborski";"zachodniopomorskie";1;1;99;200
3;"Świetlica Wiejska, Gudzisz 23B, 74-407 Boleszkowice";321002;"gm. Boleszkowice";"myśliborski";"zachodniopomorskie";1;1;99;135
4;"Świetlica Wiejska, Wysoka 4 A, 74-407 Boleszkowice";321002;"gm. Boleszkowice";"myśliborski";"zachodniopomorskie";1;1;69;86
1;"Szkoła Podstawowa Nr 1, ul. Marszałka Józefa Piłsudskiego 10, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;441;891
2;"Szkoła Podstawowa Nr 2, ul. Jana Pawła II 1, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;211;383
3;"Dębnowski Ośrodek Kultury, ul. Ignacego Daszyńskiego 20, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;469;1101
4;"Zespół Szkół im. Juliusza Słowackiego, ul. Zachodnia 4, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;418;898
5;"Szkoła Podstawowa Nr 3, ul. Juliusza Słowackiego 21, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;295;595
6;"Filia Szkoły Podstawowej Nr 3, ul. Jana Pawła II 63, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;263;482
7;"Świetlica Wiejska, Różańsko 22, 74-311 Różańsko";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;180;274
8;"Szkoła Podstawowa, ul. Jana Pawła II 85, 74-404 Cychry";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;167;271
9;"Szkoła Podstawowa, Sarbinowo 80, 74-404 Cychry";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;126;213
10;"Szkoła Podstawowa, Smolnica 20, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;193;297
11;"Zespół Placówek Oświatowych, Barnówko 38, 74-311 Różańsko";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;120;180
12;"Świetlica Wiejska, Oborzany 42, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;95;135
13;"Remiza Ochotniczej Straży Pożarnej, Dargomyśl 101A, 74-404 Cychry";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;103;168
14;"Świetlica Wiejska, Bogusław 38, 74-404 Cychry";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;42;114
15;"Świetlica Wiejska, Krześnica 58B, 74-404 Cychry";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;75;117
16;"Świetlica Wiejska, Warnice 14A, 74-311 Różańsko";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;48;108
17;"Szpital w Dębnie im. Świętej Matki Teresy z Kalkuty Sp. z o. o., ul. Tadeusza Kościuszki 58, 74-400 Dębno";321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";1;1;6;8
1;"Szkoła Podstawowa nr 3 im. Leonida Teligi, ul. Lipowa 18a, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;210;498
2;"Szkoła Podstawowa nr 3 im. Leonida Teligi, ul. Lipowa 18a, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;311;539
3;"Miejska i Powiatowa Biblioteka Publiczna, ul. Armii Polskiej 16, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;232;414
4;"Środowiskowy Dom Samopomocy, ul. Kamienna 20, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;249;526
5;"Zespół Szkół im. Noblistów Polskich, ul. Za Bramką 8, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;187;313
6;"Specjalny Ośrodek Szkolno-Wychowawczy TPD, ul. Witolda Pileckiego 27, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;266;387
7;"Budynek przy ul. Pionierów 13 (byłe gimnazjum), ul. Pionierów 13, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;192;378
8;"Przedszkole Publiczne nr 2 im. Misia Uszatka, ul. Spokojna 12, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;178;434
9;"Szkoła Podstawowa im. Jana Brzechwy, Nawrocko 11, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;120;168
10;"Miejska i Powiatowa Biblioteka Publiczna Filia w Golenicach, Golenice 45, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;244;278
11;"Świetlica Ochotniczej Straży Pożarnej, Sulimierz 76A, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;130;152
12;"Szkoła Podstawowa im. Janusza Korczaka, Kierzków 69, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;193;214
13;"Świetlica Wiejska, Sitno ul. Sportowa 19A, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;132;249
14;"Szkoła Podstawowa nr 2 im. Janusza Kusocińskiego, ul. Józefa Piłsudskiego 18, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;59;110
15;"Świetlica Wiejska w Myśliborzycach, Myśliborzyce 48, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;56;126
16;"Świetlica Wiejska w Chłopowie, Chłopowo 13, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;38;33
17;"Świetlica Wiejska w Czernikowie, Czerników 14, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;58;64
18;"Świetlica Wiejska w Renicach, Renice 2, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;68;100
19;"Świetlica Wiejska w Głazowie, Głazów 47, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;68;75
20;"Świetlica Wiejska w Derczewie, Derczewo ul. Lipiańska 4A, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;54;64
21;"Świetlica Wiejska w Rościnie, Rościn 50, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;70;48
22;"Świetlica Wiejska w Wierzbnicy, Wierzbnica 19A, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;120;161
23;"Świetlica Wiejska w Ławach, Ławy 13A, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;86;110
24;"Świetlica Wiejska w Klicku, Klicko 4B, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;52;91
25;"Dom Pomocy Społecznej dla Osób Przewlekle Somatycznie Chorych, ul. Celna 23, 74-300 Myślibórz";321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";1;1;25;10
1;"Sala Wiejska, ul. Plac Św. Floriana 8, 74-304 Nowogródek Pomorski";321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";1;1;121;173
2;"Budynek Szkoły Podstawowej, ul. Gorzowska 9, 74-305 Karsko";321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";1;1;174;380
3;"Sala Wiejska, Trzcinna 26, 74-304 Nowogródek Pomorski";321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";1;1;115;186
4;"Sala Wiejska w Kinicach, Kinice 6, 74-304 Nowogródek Pomorski";321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";1;1;82;96
5;"Sala Wiejska w Giżynie, Giżyn 65A, 74-304 Nowogródek Pomorski";321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";1;1;85;118
1;"Sala konferencyjna Urzędu Gminy, ul. Niepokalanej 34, 74-202 Bielice";321201;"gm. Bielice";"pyrzycki";"zachodniopomorskie";1;1;429;412
2;"Świetlica wiejska, Babin 43a, 74-202 Bielice";321201;"gm. Bielice";"pyrzycki";"zachodniopomorskie";1;1;295;318
1;"Szkoła Podstawowa, Kozielice 73, 74-204 Kozielice";321202;"gm. Kozielice";"pyrzycki";"zachodniopomorskie";1;1;274;260
2;"Świetlica Wiejska, Tetyń 64, 74-205 Tetyń";321202;"gm. Kozielice";"pyrzycki";"zachodniopomorskie";1;1;216;182
3;"Świetlica Wiejska, Mielno Pyrzyckie 64, 74-204 Kozielice";321202;"gm. Kozielice";"pyrzycki";"zachodniopomorskie";1;1;91;102
1;"Miejsko-Gminny Ośrodek Kultury, pl. Huberta Dzikowskiego 1, 74-240 Lipiany";321203;"gm. Lipiany";"pyrzycki";"zachodniopomorskie";1;1;402;524
2;"Miejsko-Gminna Biblioteka Publiczna, ul. Szkolna 17, 74-240 Lipiany";321203;"gm. Lipiany";"pyrzycki";"zachodniopomorskie";1;1;335;414
3;"Świetlica, Batowo 23, 74-230 Mielęcin";321203;"gm. Lipiany";"pyrzycki";"zachodniopomorskie";1;1;192;145
4;"Budynek Hali Rekreacyjno-Sportowej, ul. Mikołaja Kopernika 9, 74-240 Lipiany";321203;"gm. Lipiany";"pyrzycki";"zachodniopomorskie";1;1;197;300
1;"Publiczna Szkoła Podstawowa, Jesionowo 59, 74-210 Przelewice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;152;180
2;"Szkoła Podstawowa, Kłodzino 37, 74-210 Przelewice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;127;157
3;"Hala Kompleksu sportowego im. Wojciecha Matusiaka, Przelewice 95A, 74-210 Przelewice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;224;331
4;"Publiczna Szkoła Podstawowa, Żuków 38, 73-115 Dolice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;152;126
5;"Świetlica wiejska, Płońsko 6a, 74-210 Przelewice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;118;100
6;"Świetlica wiejska, Kosin 18, 74-210 Przelewice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;108;82
7;"Świetlica wiejska, Lubiatowo 12, 74-211 Brzesko";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;96;80
8;"Świetlica wiejska, Przywodzie 21, 73-115 Dolice";321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";1;1;78;89
1;"Przedszkole Publiczne Nr 4, ul. Zabytkowa 50, 74-200 Pyrzyce";321205;"gm. Pyrzyce";"pyrzycki";"zachodniopomorskie";1;1;394;483
2;"Zespół Szkół Nr 1, ul. Lipiańska 2, 74-200 Pyrzyce";321205;"gm. Pyrzyce";"pyrzycki";"zachodniopomorskie";1;1;229;489
3;"Szkoła Podstawowa w Pyrzycach, ul. Tadeusza Rejtana 6, 74-200 Pyrzyce";321205;"gm. Pyrzyce";"pyrzycki";"zachodniopomorskie";1;1;607;785
4;"Przedszkole Publiczne Nr 3 z Oddziałem Integracyjnym, ul. Gabriela Narutowicza 5, 74-200 Pyrzyce";321205;"gm. Pyrzyce";"pyrzycki";"zachodniopomorskie";1;1;197;304
