"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
8;"Szkoła Podstawowa w Dereźni Solskiej, Dereźnia Solska 1a, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;56;456;108;164;10;68
9;"Szkoła Podstawowa w Woli Dereźniańskiej, Wola Dereźniańska 93, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;29;232;43;32;5;31
10;"Szkoła Podstawowa w Starym Bidaczowie, Stary Bidaczów 42, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;11;146;33;24;2;26
11;"Klub Aktywności Lokalnej w Dylach, Dyle 42A, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;18;117;23;39;4;35
12;"Szkoła Podstawowa w Hedwiżynie, Hedwiżyn 88b, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;75;270;66;139;16;71
13;"Remizo-świetlica OSP w Soli, Sól 87, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;33;242;61;125;14;54
14;"Zespół Szkoły Podstawowej i Przedszkola w Soli, Sól 279, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;35;306;56;65;7;42
15;"Remizo-świetlica, Nadrzecze 34a, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;17;63;32;63;2;23
16;"Świetlica wiejska, Majdan Gromadzki 14E, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;17;127;29;28;6;14
17;"Dom Pomocy Społecznej w Teodorówce, Teodorówka 1, 23-400 Biłgoraj";60203;"gm. Biłgoraj";"biłgorajski";"lubelskie";1;1;3;11;6;3;1;8
1;"Świetlica-Dom Nauczyciela, Bukowina 59, 23-425 Biszcza";60204;"gm. Biszcza";"biłgorajski";"lubelskie";1;1;22;338;52;60;5;48
2;"Gminny Ośrodek Kultury, Sportu i Rekreacji w Biszczy, Biszcza 52, 23-425 Biszcza";60204;"gm. Biszcza";"biłgorajski";"lubelskie";1;1;25;259;65;79;4;65
