"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
15;"Zakład Karny, ul. Nowa 64, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;24;48;58;185;23;21
1;"Sala Konferencyjna Urzędu Gminy, ul. Spółdzielcza 2a, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;34;307;69;104;44;72
2;"Remiza Strażacka, Witków 119, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;4;86;16;23;26;23
3;"Świetlica Wiejska, Gołębie 38a, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;4;73;7;11;18;18
4;"Warsztaty Terapii Zajęciowej, Oszczów-Kolonia 30, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;16;166;22;30;32;44
5;"Publiczna Szkoła Podstawowa, Hulcze 37, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;20;187;16;44;9;54
6;"Remiza Strażacka, Chłopiatyn 8, 22-540 Dolhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;8;76;25;33;6;44
7;"Dom Kultury, Przewodów 24, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;12;154;19;36;18;36
8;"Świetlica Wiejska, Horoszczyce 117, 22-540 Dołhobyczów";60402;"gm. Dołhobyczów";"hrubieszowski";"lubelskie";1;1;8;59;6;5;2;19
1;"Gminny Ośrodek Kultury w Horodle, ul. Hrubieszowska 1, 22-523 Horodło";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;29;359;63;109;50;66
2;"Budynek po Szkole Podstawowej w Kopyłowie, Kopyłów 14, 22-523 Horodło";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;6;103;9;16;20;10
3;"Świetlica Wiejska w Bereżnicy, Bereżnica 65, 22-523 Horodło";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;5;65;13;24;20;19
4;"Świetlica Wiejska w Łuszkowie, Łuszków 28, 22-523 Horodło";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;30;121;28;45;26;50
5;"Szkoła Podstawowa im. Marii Konopnickiej, ul. Bohaterów Września 10, 22-525 Strzyżów";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;32;287;48;158;117;74
6;"Świetlica Wiejska w Matczu, Matcze 68, 22-523 Horodło";60403;"gm. Horodło";"hrubieszowski";"lubelskie";1;1;8;84;7;16;10;25
1;"Świetlica, Czerniczyn 125, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;24;164;33;53;71;53
2;"Świetlica, Ślipcze 26A, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;12;116;23;32;37;40
3;"Świetlica, Cichobórz 81, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;14;131;14;24;55;50
4;"Szkoła Podstawowa, Mieniany 50, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;11;81;20;30;27;24
5;"Szkoła Podstawowa, Kozodawy 83, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;6;75;14;11;22;10
6;"Świetlica, Brodzica 45, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;20;117;16;47;33;28
7;"Szkoła Podstawowa, Husynne 118, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;5;77;14;35;26;18
8;"Świetlica, Dziekanów 66, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;16;160;26;60;62;38
9;"Szkoła Podstawowa, Szpikołosy 34, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;17;202;32;62;33;44
10;"Świetlica, Moniatycze 81, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;25;310;32;67;68;53
11;"Szkoła Podstawowa, Stefankowice 26, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;10;138;17;25;13;23
12;"Świetlica, Ubrodowice 46, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;9;90;7;10;9;22
13;"Świetlica, Masłomęcz 99, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;7;138;28;22;30;16
14;"Świetlica, Gródek 39, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;6;62;18;16;34;12
15;"Świetlica, Obrowiec 44, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;11;99;11;34;35;12
16;"Świetlica, Teptiuków 55, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;16;83;11;45;42;7
17;"Świetlica, Moroczyn 87, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;10;43;16;16;22;20
18;"Świetlica, Nowosiółki 42, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;4;65;7;12;22;8
19;"Świetlica, Kułakowice Trzecie 38, 22-500 Hrubieszów";60404;"gm. Hrubieszów";"hrubieszowski";"lubelskie";1;1;9;45;10;16;12;15
1;"Gminny Ośrodek Kultury, ul. Kryłowska 18, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;32;305;46;104;134;85
2;"Świetlica Wiejska, Smoligów 75, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;7;60;9;17;38;25
3;"Środowiskowy Dom Samopomocy, Modryń 65, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;20;208;33;53;46;75
4;"Szkoła Podstawowa, Szychowice Nowe ul. Parkowa 39, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;5;100;12;24;12;30
5;"Świetlica Wiejska, Górka-Zabłocie ul. Kościelna 1, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;10;97;18;14;45;19
6;"Szkoła Podstawowa, Kryłów ul. Hrubieszowska 4, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;21;199;22;37;68;51
7;"Szkoła Podstawowa, Wiszniów 61, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;7;66;14;36;28;26
8;"Świetlica Wiejska, Stara Wieś 97, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;9;128;16;27;13;66
9;"Świetlica Wiejska, Mołożów 77a, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;17;131;26;13;18;37
10;"Wiejski Dom Kultury, Miętkie 17a, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;9;143;22;52;24;53
11;"Niepubliczny Zakład Opiekuńczo-Leczniczy ""Droga Życia"", Smoligów 71, 22-530 Mircze";60405;"gm. Mircze";"hrubieszowski";"lubelskie";1;1;13;15;3;7;6;10
1;"Świetlica wiejska w Trzeszczanach Pierwszych, Trzeszczany Pierwsze 39, 22-554 Trzeszczany";60406;"gm. Trzeszczany";"hrubieszowski";"lubelskie";1;1;30;292;50;95;56;88
2;"Szkoła Podstawowa, Mołodiatycze 86, 22-554 Trzeszczany";60406;"gm. Trzeszczany";"hrubieszowski";"lubelskie";1;1;9;255;23;19;29;43
3;"Szkoła Podstawowa, Nieledew 32, 22-554 Trzeszczany";60406;"gm. Trzeszczany";"hrubieszowski";"lubelskie";1;1;39;378;37;116;77;97
4;"Remiza Strażacka w Leopoldowie, Leopoldów 26A, 22-554 Trzeszczany";60406;"gm. Trzeszczany";"hrubieszowski";"lubelskie";1;1;2;54;10;16;10;20
1;"Gminny Ośrodek Kultury, ul. Partyzantów 1, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;32;289;36;77;20;85
2;"Świetlica, Rozkoszówka 48, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;14;192;26;14;9;59
3;"Wiejski Dom Kultury w Jarosławcu, Jarosławiec 123, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;14;94;26;27;18;42
4;"Świetlica, Drohiczany 45A, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;4;129;10;17;8;44
5;"Szkoła Podstawowa, Teratyn 127, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;18;319;47;58;39;96
6;"Świetlica Wiejska w Chyżowicach, Chyżowice 21A, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;7;81;15;18;14;20
7;"Świetlica Wiejska w Staszicu, Staszic 48B, 22-510 Uchanie";60407;"gm. Uchanie";"hrubieszowski";"lubelskie";1;1;5;65;3;5;9;19
1;"Gminny Ośrodek Kultury, ul. Piłsudskiego Józefa 2, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;40;363;79;108;77;101
2;"Szkoła Podstawowa, ul. Jana Pawła II 17, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;28;314;41;135;70;74
3;"Szkoła Podstawowa, Podhorce 110, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;7;102;9;33;13;22
4;"Świetlica, Gozdów 66, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;14;173;23;44;21;35
5;"Szkoła Podstawowa, Hostynne-Kolonia 30, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;19;290;42;31;39;61
6;"Szkoła Podstawowa, Malice 37, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;14;110;13;24;13;45
7;"Remizo-świetlica, Terebiń 113, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;26;224;26;56;33;74
8;"Remizo-świetlica, Honiatycze 49, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;12;100;8;30;14;52
9;"Remizo-świetlica, Turkowice 78, 22-546 Turkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;80;2;10;25;16;35
10;"Szkoła Podstawowa, Sahryń 62, 22-546 Turkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;20;131;39;39;16;39
11;"Świetlica, Alojzów 37, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;10;61;12;22;33;21
12;"Świetlica, Kotorów 54, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;5;55;8;10;4;16
13;"Świetlica, Wilków 17a, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;6;71;4;10;6;21
14;"Remizo-świetlica, Wronowice 50, 22-550 Werbkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;8;60;7;4;3;5
15;"Zakład opiekuńczo-leczniczy RESTITUTIO, Turkowice 131, 22-546 Turkowice";60408;"gm. Werbkowice";"hrubieszowski";"lubelskie";1;1;2;18;0;1;1;7
1;"Szkoła Podstawowa Nr 2, ul. Żołnierzy Września 1, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;81;535;114;402;34;120
2;"Przedszkole Nr 1, ul. Chocimska 17, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;36;247;39;197;8;52
3;"Przedszkole Nr 1, ul. Chocimska 19, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;47;263;44;220;6;53
4;"Miejska Biblioteka Publiczna, ul. Zamojska 2, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;90;532;123;387;41;124
5;"Szkoła Podstawowa Nr 3, ul. Jana Matejki 7, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;39;272;49;245;20;54
6;"Przedszkole Nr 2, ul. Tomasza Zamojskiego 14, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;42;258;53;243;18;70
7;"Szkoła Podstawowa Nr 1, ul. M. Kopernika 4, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;43;248;61;227;29;58
8;"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej sp. z o. o., ul. Lwowska 37A, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;48;341;61;201;13;59
9;"Komenda Powiatowa Państwowej Straży Pożarnej, ul. Janusza Petera 7, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;47;331;67;229;12;60
10;"Zespół Szkół Techniczno-Zawodowych im. Macieja Rataja, ul. Generała Józefa Hallera 5, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;77;562;103;383;39;90
11;"Przedszkole Nr 5, ul. St. Moniuszki 51, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;88;457;115;457;47;113
12;"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Al. Grunwaldzkie 1, 22-600 Tomaszów Lubelski";61801;"m. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;4;28;2;3;1;3
1;"Gminny Ośrodek Kultury, ul. Lwowska 5, 22-670 Bełżec";61802;"gm. Bełżec";"tomaszowski";"lubelskie";1;1;50;360;70;177;14;119
2;"Zespół Szkolno Przedszkolny, ul. Rzeszowska 75, 22-670 Bełżec";61802;"gm. Bełżec";"tomaszowski";"lubelskie";1;1;29;176;38;74;4;76
3;"Remizo-świetlica, Chyże 46, 22-670 Bełżec";61802;"gm. Bełżec";"tomaszowski";"lubelskie";1;1;9;98;15;21;5;22
4;"Remizo-świetlica, Brzeziny 32, 22-670 Bełżec";61802;"gm. Bełżec";"tomaszowski";"lubelskie";1;1;15;89;8;9;2;14
1;"Samorządowy Ośrodek Kultury w Jarczowie, ul. Józefa Piłsudskiego 2A, 22-664 Jarczów";61803;"gm. Jarczów";"tomaszowski";"lubelskie";1;1;32;215;43;57;13;57
2;"Szkoła Podstawowa, Wierszczyca 54, 22-664 Jarczów";61803;"gm. Jarczów";"tomaszowski";"lubelskie";1;1;32;320;59;43;5;45
3;"Świetlica wiejska, Gródek 92, 22-664 Jarczów";61803;"gm. Jarczów";"tomaszowski";"lubelskie";1;1;18;182;17;31;8;30
4;"Świetlica wiejska, Chodywańce 15, 22-664 Jarczów";61803;"gm. Jarczów";"tomaszowski";"lubelskie";1;1;37;166;30;33;2;34
5;"Świetlica wiejska, Jarczów-Kolonia Pierwsza 42, 22-664 Jarczów";61803;"gm. Jarczów";"tomaszowski";"lubelskie";1;1;3;76;5;14;1;12
1;"Świetlica wiejska, Krynice 84G, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;25;156;34;70;6;72
2;"Świetlica wiejska, Antoniówka 12, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;12;173;23;35;8;24
3;"Niepubliczna Szkoła Podstawowa, Huta Dzierążyńska 17, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;9;65;10;19;0;18
4;"Świetlica wiejska, Zwiartów 67, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;9;79;14;11;4;38
5;"Świetlica wiejska, Dąbrowa 34A, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;12;146;14;20;2;24
6;"Świetlica wiejska, Polanówka 32, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;4;61;11;9;7;17
7;"Świetlica wiejska, Majdan Krynicki 21, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;9;52;11;22;3;22
8;"Świetlica wiejska, Polany 108A, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;6;69;5;11;1;6
9;"Świetlica wiejska, Dzierążnia 50, 22-610 Krynice";61804;"gm. Krynice";"tomaszowski";"lubelskie";1;1;5;94;5;28;7;18
1;"Świetlica wiejska, Hrebenne 86B, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;13;121;12;18;3;26
2;"Szkoła Podstawowa im. gen. Nikodema Sulika, ul. Jana III Sobieskiego 5, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;76;317;106;292;10;154
3;"Urząd Miejski Sala Konferencyjna, ul. Jana III Sobieskiego 16, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;21;136;29;38;2;37
4;"Świetlica Rolniczej Spółdzielni Produkcyjnej, Łazowa 17A, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;11;125;36;22;5;37
5;"Wiejski Dom Kultury, Żurawce ul. Szkolna 7, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;8;72;10;32;4;16
6;"Szkoła Podstawowa im. Dzieci Zamojszczyzny, Machnów Nowy ul. Św. Jana Pawła II 16, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;26;318;50;98;21;78
7;"Świetlica wiejska, Siedliska 65, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;9;80;7;23;1;15
8;"Świetlica wiejska, Ruda Żurawiecka 56, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;8;91;10;20;2;24
9;"Zakład opiekuńczo-leczniczy RESTITUTIO Rehabilitacja, ul. Szkolna 2, 22-680 Lubycza Królewska";61805;"gm. Lubycza Królewska";"tomaszowski";"lubelskie";1;1;5;37;3;30;6;9
1;"Gminny Ośrodek Kultury, ul. Partyzantów 12, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;32;256;41;108;13;92
2;"Szkoła Podstawowa, ul. Chopina 11, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;42;270;50;162;24;87
3;"Warsztat Terapii Zajęciowej, Muratyn 49, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;6;89;10;16;3;20
4;"Świetlica Wiejska, Dobużek-Kolonia 4, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;13;105;10;27;9;28
5;"Szkoła Podstawowa, Nabróż-Kolonia 19, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;6;93;17;30;7;44
6;"Szkoła Podstawowa, Zimno 1, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;14;95;22;24;3;55
7;"Świetlica Wiejska, Podlodów 80, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;13;139;17;12;3;33
8;"Świetlica Wiejska, Pukarzów 96, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;19;135;15;14;4;34
9;"Świetlica Wiejska, Wólka Pukarzowska 63, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;2;93;11;10;0;9
10;"Szkoła Podstawowa, Steniatyn 71, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;14;69;13;12;5;34
11;"Świetlica Wiejska, Hopkie 59, 22-650 Łaszczów";61806;"gm. Łaszczów";"tomaszowski";"lubelskie";1;1;10;74;9;10;0;19
1;"Szkoła Podstawowa im. Tadeusza Kościuszki w Rachaniach, ul. Partyzantów 47, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;24;253;45;53;8;37
2;"Remizo-Świetlica, Pawłówka 57B, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;5;93;3;17;4;9
3;"Remizo-Świetlica, Grodysławice 119, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;6;133;13;20;0;24
4;"Szkoła Podstawowa, Michalów 117, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;13;52;22;20;5;14
5;"Remizo-Świetlica, Wożuczyn 78A, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;59;261;37;57;11;47
6;"Remizo-Świetlica, Siemierz 65A, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;9;87;8;14;4;7
7;"Dom Kultury, Wożuczyn-Cukrownia 21A, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;35;206;46;55;8;36
8;"Remizo-Świetlica, Werechanie 43, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;19;134;11;17;3;12
9;"Szkoła Podstawowa, Siemnice 1, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;4;103;19;14;7;12
10;"Remizo-Świetlica, Józefówka 48B, 22-640 Rachanie";61807;"gm. Rachanie";"tomaszowski";"lubelskie";1;1;20;116;21;35;4;31
1;"Remizo-świetlica, Ciotusza Nowa 44B, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;30;212;46;47;7;44
2;"Szkoła Podstawowa, Grabowica 72B, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;20;299;36;56;9;61
3;"Szkoła Podstawowa im. Żołnierzy Armii Kraków, Łosiniec 23A, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;41;289;49;137;12;90
4;"Szkoła Podstawowa im. Marii Konopnickiej, Majdan Sopocki Pierwszy 113, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;37;366;52;51;6;81
5;"Remizo-świetlica, Paary 130B, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;24;148;25;72;8;44
6;"Gminny Ośrodek Kultury, ul. Tomaszowska 100, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;58;481;72;226;24;116
7;"Szkoła Podstawowa, Łuszczacz 1, 22-672 Susiec";61808;"gm. Susiec";"tomaszowski";"lubelskie";1;1;13;185;20;21;4;24
1;"Zespół Szkół i Przedszkola, ul. Lubelska 62, 22-604 Tarnawatka";61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";1;1;17;404;51;63;8;53
2;"Świetlica wiejska, Tarnawatka-Tartak ul. Tomaszowska 17B, 22-604 Tarnawatka";61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";1;1;32;328;59;92;11;40
3;"Świetlica wiejska, Wieprzów Tarnawacki 24a, 22-600 Tomaszów Lubelski";61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";1;1;9;153;29;21;3;32
4;"Świetlica wiejska, Huta Tarnawacka 17, 22-604 Tarnawatka";61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";1;1;9;180;39;25;7;25
5;"Świetlica wiejska, Niemirówek-Kolonia 41a, 22-604 Tarnawatka";61809;"gm. Tarnawatka";"tomaszowski";"lubelskie";1;1;4;156;22;18;1;22
1;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego, ul. Kardynała Stefana Wyszyńskiego 22, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;28;318;55;58;10;99
2;"Centrum Promocji Wsi Poturzyn, Poturzyn 23, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;21;112;26;44;7;59
3;"Centrum Kultury i Promocji Wsi Łykoszyn, Łykoszyn 85, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;10;43;15;11;4;21
4;"Świetlica Wiejska, Nowosiółki 16a, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;20;232;42;46;6;65
5;"Świetlica Wiejska, Żulice 55, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;6;81;18;16;4;21
6;"Remizo-Świetlica, Dutrów 63, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;7;60;14;11;4;20
7;"Świetlica Wiejska, Kryszyn 20, 22-652 Telatyn";61810;"gm. Telatyn";"tomaszowski";"lubelskie";1;1;8;72;7;6;5;27
1;"Dom Strażaka, Łaszczówka ul. Spółdzielcza 2, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;52;245;49;128;16;68
2;"Świetlica wiejska, Ulów 131, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;9;77;15;9;4;15
3;"Szkoła Podstawowa, Sabaudia 47, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;46;258;44;77;7;39
4;"Szkoła Podstawowa, Pasieki 87, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;13;143;33;41;9;33
5;"Budynek po byłej Szkole Podstawowej, Ruda Wołoska ul. Szkolna 11, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;26;104;28;57;7;20
6;"Wiejski Dom Kultury, Majdan Górny ul. Długa 136, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;49;288;75;106;10;65
7;"Niepubliczna Szkoła Podstawowa, Jeziernia 110, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;31;280;55;98;13;44
8;"Gminny Ośrodek Kultury, Podhorce 130, 22-600 Tomaszów Lubelski";61811;"gm. Tomaszów Lubelski";"tomaszowski";"lubelskie";1;1;42;285;59;42;6;36
