"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PAPROCKI Marek Jan - KW NOWA LEWICA";"PUPA Zdzisław Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ĆWIĘKA Jacek Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
32;"Dom Pomocy Społecznej w Mielcu, ul. Kardynała Wyszyńskiego 16, 39-300 Mielec";181101;"m. Mielec";"mielecki";"podkarpackie";1;1;12;43;8
1;"Zespół Szkolno-Przedszkolny w Borowej, Szkoła Podstawowa im. A. Mickiewicza w Borowej, Borowa 248, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;256;448;146
2;"Zespół Szkolno-Przedszkolny w Borowej, Przedszkole w Pławie, Pławo 73A, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;90;149;58
3;"Budynek szkoły w Woli Pławskiej, Wola Pławska 36, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;24;85;9
4;"Niepubliczny Zespół Szkół w Górkach, Górki 29, 39-306 Górki";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;64;169;48
5;"Budynek szkoły w Glinach Wielkich, Gliny Wielkie 47, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;52;96;38
6;"Dom Ludowy w Łysakówku, Łysakówek 62, 39-306 Górki";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;44;97;21
7;"Zespół Szkół Społecznych w Glinach Małych, Gliny Małe 99, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;89;159;71
8;"Dom Strażaka w Surowej, Surowa 44, 39-306 Górki";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;34;69;23
9;"Dom Wiejsko-Strażacki w Orłowie, Orłów 6A, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;39;56;25
10;"Dom Strażaka w Sadkowej Górze, Sadkowa Góra 154, 39-305 Borowa";181102;"gm. Borowa";"mielecki";"podkarpackie";1;1;140;234;47
1;"Szkoła Podstawowa w Czerminie, Czermin 454, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;316;588;181
2;"Szkoła Podstawowa w Trzcianie, Trzciana 289, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;106;423;136
3;"Szkoła Podstawowa w Brniu Osuchowskim, Breń Osuchowski 64, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;53;162;33
4;"Dom Strażaka w Ziempniowie, Ziempniów 95, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;42;157;53
5;"Szkoła Podstawowa w Otałęży, Otałęż 15, 39-305 Borowa";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;52;228;54
6;"Dom Strażaka w Łysakowie, Łysaków 210, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;84;267;56
7;"Dom Strażaka w Dąbrówce Osuchowskiej, Dąbrówka Osuchowska 66, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;52;133;39
8;"Dom Strażaka w Woli Otałęskiej, Wola Otałęska 20, 39-305 Borowa";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;47;155;45
9;"Dom Strażaka w Szafranowie, Szafranów 48, 39-304 Czermin";181103;"gm. Czermin";"mielecki";"podkarpackie";1;1;23;88;30
1;"Szkoła Podstawowa w Gawłuszowicach, Gawłuszowice 5, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;45;164;33
2;"Dom Strażaka w Krzemienicy, Krzemienica 76, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;27;145;27
3;"Dom Strażaka w Młodochowie, Młodochów 28, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;36;107;23
4;"Dom Strażaka w Brzyściu, Brzyście 120, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;31;103;19
5;"Dom Strażaka w Kliszowie, Kliszów 108, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;80;201;54
6;"Dom Strażaka w Woli Zdakowskiej, Wola Zdakowska 99, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;55;144;27
7;"Dom Strażaka w Ostrówku, Ostrówek 34A, 39-307 Gawłuszowice";181104;"gm. Gawłuszowice";"mielecki";"podkarpackie";1;1;15;59;13
1;"Zespół Szkół w Trześni, Trześń 87, 39-331 Chorzelów";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;357;615;139
2;"Samorządowy Ośrodek Kultury i Sportu Gminy Mielec z/s w Chorzelowie, Chorzelów 307, 39-331 Chorzelów";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;534;710;228
3;"Zespół Szkolno-Przedszkolny w Chrząstowie, Chrząstów 156, 39-331 Chorzelów";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;150;180;75
4;"Zespół Szkolno-Przedszkolny w Książnicach, Książnice 91, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;148;328;88
5;"Zespół Szkół w Podleszanach, Podleszany 127, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;300;474;173
6;"Zespół Szkół w Woli Mieleckiej, Wola Mielecka 406, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;400;592;216
7;"Zespół Szkolno-Przedszkolny w Rzędzianowicach, Rzędzianowice 186, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;238;364;119
8;"Społeczna Szkoła Podstawowa w Złotnikach, Złotniki 61, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;220;277;107
9;"Zespół Szkolno-Przedszkolny w Rydzowie, Rydzów 33, 39-300 Mielec";181105;"gm. Mielec";"mielecki";"podkarpackie";1;1;34;141;30
1;"Szkoła Podstawowa w Padwi Narodowej, ul. Jana Pawła II 2, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;174;428;100
2;"Budynek po byłej szkole filialnej w Zarówniu, Zarównie 43, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;52;203;34
3;"Budynek wiejski w Piechotach, Piechoty 49A, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;19;78;11
4;"Budynek wiejski w Babulach, Babule 36A, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;22;76;15
5;"Budynek wiejski w Rożniatach, Rożniaty 17B, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;30;134;18
6;"Świetlica wiejska w Przykopie, Przykop 102A, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;41;90;18
7;"Wiejski Dom Kultury w Wojkowie, Wojków 91A, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;41;135;24
8;"Budynek wiejski w Domacynach, Domacyny 33, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;21;78;20
9;"Szkoła Podstawowa w Padwi Narodowej, ul. Jana Pawła II 2, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;145;365;58
10;"Budynek wiejski w Kębłowie, Kębłów 62B, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;42;122;29
11;"Dom Wielofunkcyjny w Zadusznikach, Zaduszniki 11A, 39-340 Padew Narodowa";181106;"gm. Padew Narodowa";"mielecki";"podkarpackie";1;1;22;80;9
1;"Budynek Żłobka „Psotna Andzia” w Przecławiu, rynek Rynek 8, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;243;477;165
2;"Szkoła Podstawowa w Kiełkowie, Kiełków 57a, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;90;254;50
3;"Szkoła Podstawowa w Rzemieniu, Rzemień 257, 39-322 Rzemień";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;234;384;142
4;"Szkoła Podstawowa w Tuszymie, Tuszyma 482, 39-321 Tuszyma";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;344;799;202
5;"Szkoła Podstawowa w Łączkach Brzeskich, Łączki Brzeskie 136, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;62;416;55
6;"Szkoła Podstawowa w Dobryninie, Dobrynin 217, 39-322 Rzemień";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;93;335;59
7;"Białoborski Dom Kultury, Biały Bór 139, 39-321 Tuszyma";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;117;304;51
8;"Dom Ludowy w Podolu, Podole 147, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;88;373;77
9;"Budynek Komunalny Stadion-Przecław, ul. Wenecka 10, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;46;293;48
10;"Budynek po byłej Szkole Podstawowej w Zaborczu, Zaborcze 57, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;31;82;16
11;"Dom Kultury w Wylowie, Wylów 67, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;17;87;14
12;"Prywatny Dom Opieki Barbara Markulis, Kiełków 72A, 39-320 Przecław";181107;"gm. Przecław";"mielecki";"podkarpackie";1;1;2;2;0
1;"Szkoła Muzyczna I stopnia w Radomyślu Wielkim, ul. Ogrodowa 1, 39-310 Radomyśl Wielki";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;265;423;151
2;"Szkoła Podstawowa w Partyni, Partynia 66, 39-310 Partynia";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;116;395;120
3;"Szkoła Podstawowa w Podborzu, Podborze 101, 39-308 Podborze";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;48;276;49
4;"Szkoła Podstawowa w Rudzie, Ruda 124, 39-315 Ruda";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;142;470;116
5;"Szkoła Podstawowa w Dąbrówce Wisłockiej, Dąbrówka Wisłocka 115, 39-315 Dąbrówka Wisłocka";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;33;263;37
6;"Szkoła Podstawowa w Zdziarcu, Zdziarzec 116, 39-311 Zdziarzec";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;115;257;66
7;"Szkoła Podstawowa w Dąbiu, Dąbie 100, 39-311 Dąbie";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;89;237;104
8;"Szkoła Podstawowa w Żarówce, Żarówka 64, 39-312 Żarówka";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;117;249;68
9;"Szkoła Podstawowa w Janowcu, Janowiec 10, 39-312 Janowiec";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;74;191;57
10;"Szkoła Podstawowa w Dulczy Wielkiej, ul. ks. Kalinowskiego 212/1, 39-312 Dulcza Wielka";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;192;483;123
11;"Szkoła Podstawowa w Dulczy Małej, Dulcza Mała 40, 39-310 Dulcza Mała";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;93;268;40
12;"Agronomówka w Zgórsku, Zgórsko 41, 39-308 Zgórsko";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;84;137;46
13;"Szkoła Podstawowa w Radomyślu Wielkim, ul. Klonowa 2, 39-310 Radomyśl Wielki";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;285;497;192
14;"Dom Strażaka w Pniu, Pień 41a, 39-310 Pień";181108;"gm. Radomyśl Wielki";"mielecki";"podkarpackie";1;1;23;114;26
1;"Szkoła Podstawowa w Tuszowie Narodowym, Tuszów Narodowy 231, 39-332 Tuszów Narodowy";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;166;371;88
2;"Szkoła Podstawowa w Maliniu, Malinie 220, 39-331 Chorzelów";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;330;567;133
3;"Samorządowe Przedszkole w Ławnicy, Ławnica 118, 39-331 Chorzelów";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;92;222;78
4;"Szkoła Podstawowa w Borkach Nizińskich, Borki Nizińskie 18, 39-307 Gawłuszowice";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;70;297;52
5;"Dom Ludowy w Jaślanach, Jaślany 279, 39-332 Tuszów Narodowy";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;125;549;100
6;"Szkoła Podstawowa w Czajkowej, Czajkowa 60, 39-332 Tuszów Narodowy";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;58;227;54
7;"Dom Strażaka w Sarnowie, Sarnów 43, 39-333 Sarnów";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;40;256;47
8;"Gminny Ośrodek Kultury w Grochowem, Grochowe 87, 39-332 Tuszów Narodowy";181109;"gm. Tuszów Narodowy";"mielecki";"podkarpackie";1;1;142;370;78
1;"Zespół Szkolno-Przedszkolny w Wadowicach Górnych, Wadowice Górne 111, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;181;461;252
2;"Filia Gminnej Biblioteki Publicznej w Wadowicach Górnych, Wola Wadowska 44, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;39;280;46
3;"Szkoła Podstawowa w Jamach, Jamy 81, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;76;324;68
4;"Szkoła Podstawowa w Wadowicach Dolnych, Wadowice Dolne 65, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;89;245;82
5;"Szkoła Podstawowa w Wampierzowie, Wampierzów 81, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;70;246;88
6;"Szkoła Podstawowa w Izbiskach, Izbiska 71, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;52;239;45
7;"Dom Ludowy w Piątkowcu, Piątkowiec 50A, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;75;106;41
8;"Gminny Ośrodek Pomocy Społecznej w Wadowicach Górnych, Zabrnie 85, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;39;161;43
9;"Dom Strażaka w Grzybowie, Grzybów 18, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;23;84;21
10;"Dom Strażaka w Kawęczynie, Kawęczyn 35B, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;58;81;30
11;"Dom Ludowy w Wierzchowinach, Wierzchowiny 21B, 39-308 Wadowice Górne";181110;"gm. Wadowice Górne";"mielecki";"podkarpackie";1;1;36;134;37
1;"Były budynek Zespołu Szkół w Iwierzycach, Iwierzyce 188, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;108;328;130
2;"Zespół Szkół w Iwierzycach, Szkoła Filialna w Sielcu, Sielec 51 B, 39-120 Sędziszów Małopolski";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;95;232;70
3;"Szkoła Podstawowa w Olchowej, Olchowa 3, 39-127 Będziemyśl";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;205;412;120
4;"Szkoła Podstawowa w Nockowej, Nockowa 1, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;98;436;154
5;"Szkoła Podstawowa w Nockowej, Szkoła Filialna w Będzienicy, Będzienica 44, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;26;188;51
6;"Szkoła Podstawowa w Bystrzycy, Szkoła Filialna w Wiśniowej, Wiśniowa 69, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;35;248;52
7;"Szkoła Podstawowa w Bystrzycy, Bystrzyca 52 A, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;61;331;70
8;"Dom Strażaka w Olimpowie, Olimpów 57, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;46;252;49
9;"Szkoła Podstawowa w Wiercanach, Wiercany 73, 39-124 Iwierzyce";181501;"gm. Iwierzyce";"ropczycko-sędziszowski";"podkarpackie";1;1;61;273;76
1;"Dom Strażaka w Ostrowie, Ostrów 224, 39-103 Ostrów";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;212;518;131
2;"Publiczna Szkoła Podstawowa w Skrzyszowie, Skrzyszów 190, 39-103 Ostrów";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;110;324;98
3;"Publiczna Szkoła Podstawowa w Woli Ocieckiej, Wola Ociecka 114, 39-104 Ocieka";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;46;265;59
4;"Publiczna Szkoła Podstawowa w Ociece, Ocieka 352, 39-104 Ocieka";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;95;487;103
5;"Wiejski Ośrodek Kultury w Bliźnie, Blizna 68, 39-104 Ocieka";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;25;74;20
6;"Publiczna Szkoła Podstawowa w Kamionce, Kamionka 206, 39-122 Kamionka";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;77;358;65
7;"Żłobek ""Gwiazdeczka"" w Zdżarach, Zdżary 59, 39-104 Ocieka";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;18;82;23
8;"Dom Ludowy w Borku Małym, Borek Mały 41, 39-120 Sędziszów Małopolski";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;28;129;21
9;"Publiczna Szkoła Podstawowa w Kozodrzy, Kozodrza 175, 39-103 Ostrów";181502;"gm. Ostrów";"ropczycko-sędziszowski";"podkarpackie";1;1;66;283;54
1;"Dom Kultury w Brzezówce, Brzezówka 160, 39-102 Lubzina";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;97;359;125
2;"Szkoła Podstawowa im. Jana Brzechwy w Lubzinie, Lubzina 188, 39-102 Lubzina";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;250;649;213
3;"Dom Strażaka w Łączkach Kucharskich, Łączki Kucharskie 160, 39-106 Łączki Kucharskie";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;107;497;90
4;"Dom Strażaka w Okoninie, Okonin 29, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;40;156;63
5;"Szkoła Podstawowa im. Baśni Polskiej w Niedźwiadzie Dolnej, Niedźwiada 40, 39-107 Niedźwiada";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;51;304;63
6;"Dom Kultury w Niedźwiadzie, Niedźwiada 113, 39-107 Niedźwiada";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;65;402;114
7;"Szkoła Podstawowa im. Jana Twardowskiego w Niedźwiadzie Górnej, Niedźwiada 261, 39-107 Niedźwiada";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;42;366;86
8;"Szkoła Podstawowa im. Tadeusza Sinki w Małej, Mała 35, 39-107 Niedźwiada";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;124;469;79
9;"Zespół Szkół w Gnojnicy Dolnej, Gnojnica 268, 39-105 Gnojnica";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;94;453;115
10;"Szkoła Podstawowa im. ppłk. Łukasza Cieplińskiego w Gnojnicy Woli, Gnojnica 504, 39-105 Gnojnica";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;45;369;69
11;"Dom Strażaka w Ropczycach, ul. Ogrodnicza 36f, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;97;225;84
12;"Dom Strażaka w Ropczycach, ul. Leśna 88, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;64;331;75
13;"Środowiskowy Dom Samopomocy w Ropczycach, ul. Stanisława Konarskiego 4, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;163;256;94
14;"Zespół Szkół Nr 3 w Ropczycach, ul. Robotnicza 48, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;200;421;122
15;"Szkoła Podstawowa im. Jana Pawła II w Ropczycach, ul. 3 Maja 424, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;190;585;172
16;"Publiczne Przedszkole nr 3 w Ropczycach, ul. Szkolna 33A, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;113;306;77
17;"Dom Kultury w Ropczycach, ul. Majora Henryka Sucharskiego 101, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;262;565;171
18;"Szkoła Podstawowa Nr 5 im. Seweryna Udzieli w Ropczycach, ul. Stanisława Konarskiego 4, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;312;365;172
19;"Szkoła Podstawowa nr 5 im. Seweryna Udzieli w Ropczycach, ul. Stanisława Konarskiego 4, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;118;186;56
20;"Publiczne Przedszkole nr 2 w Ropczycach, ul. Armii Krajowej 6, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;262;444;124
21;"Szkoła Podstawowa nr 1 im. Mikołaja Kopernika w Ropczycach, ul. Wyspiańskiego 8, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;199;257;139
22;"Centrum Kultury im. Józefa Mehoffera w Ropczycach, ul. Władysława Bursztyna 1, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;100;198;61
23;"Miejska i Powiatowa Biblioteka Publiczna w Ropczycach, ul. Grunwaldzka 19, 39-100 Ropczyce";181503;"gm. Ropczyce";"ropczycko-sędziszowski";"podkarpackie";1;1;152;463;288
1;"Liceum Ogólnokształcące w Sędziszowie Małopolskim, ul. Fabryczna 5, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;149;283;108
2;"Szkoła Podstawowa Nr 3 w Sędziszowie Małopolskim, ul. Osiedle Młodych 20, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;172;264;90
3;"Szkoła Podstawowa Nr 3 w Sędziszowie Małopolskim, ul. Osiedle Młodych 20, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;142;252;73
4;"Budynek byłej Szkoły Podstawowej Nr 2 w Sędziszowie Małopolskim, ul. Rynek 9, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;344;459;171
5;"Szkoła Podstawowa Nr 2 w Sędziszowie Małopolskim, ul. ks. Stanisława Maciąga 3, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;213;393;144
6;"Szkoła Podstawowa Nr 2 w Sędziszowie Małopolskim, ul. ks. Stanisława Maciąga 3, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;287;513;156
7;"Szkoła Podstawowa Nr 1 w Sędziszowie Małopolskim, ul. Szkolna 13, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;162;626;157
8;"Szkoła Podstawowa Nr 5 w Sędziszowie Małopolskim, ul. Kawęczyn 70, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;96;328;109
9;"Świetlica przy Przedszkolu w Sędziszowie Małopolskim, ul. Legionów Polskich 17, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;66;248;56
10;"Szkoła Podstawowa Nr 4 w Sędziszowie Małopolskim, ul. Legionów Polskich 162, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;130;447;152
11;"Dom Ludowy w Będziemyślu, Będziemyśl 35, 39-127 Będziemyśl";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;99;355;91
12;"Szkoła Podstawowa w Boreczku, Boreczek 46, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;32;158;39
13;"Dom Ludowy w Cierpiszu, Cierpisz 33, 39-123 Czarna Sędziszowska";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;9;84;16
14;"Szkoła Podstawowa w Czarnej Sędziszowskiej, Czarna Sędziszowska 145, 39-123 Czarna Sędziszowska";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;97;627;137
15;"Szkoła Podstawowa w Górze Ropczyckiej, Góra Ropczycka 2, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;75;441;78
16;"Dom Ludowy w Klęczanach, Klęczany 112, 39-127 Będziemyśl";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;181;494;157
17;"Szkoła Podstawowa w Krzywej, Krzywa 121, 39-120 Sędziszów Małopolski";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;111;415;129
18;"Dom Ludowy w Rudzie, Ruda 65, 39-122 Kamionka";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;14;134;14
19;"Szkoła Podstawowa w Szkodnej, Szkodna 121, 39-126 Zagorzyce";181504;"gm. Sędziszów Małopolski";"ropczycko-sędziszowski";"podkarpackie";1;1;34;329;33
