"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAMERSKI Jan Wincenty - KW PRAWO I SPRAWIEDLIWOŚĆ";"CHMURA Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WAKSMUNDZKI Bogusław - KWW KANDYDAT ZIEM GÓRSKICH"
5;"Przedszkole Nr 1, ul. Orkana 18I, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;380;144;341
6;"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 40, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;414;146;348
7;"Sala Obrad Urzędu Miejskiego, ul. Parkowa 2, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;625;191;553
8;"Szkoła Podstawowa Nr 2, ul. Sądecka 2, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;494;216;413
9;"Szkoła Podstawowa, Chabówka 232, 34-720 Chabówka";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;445;101;199
10;"Szkoła Podstawowa, Ponice 105, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;316;110;161
11;"Szkoła Podstawowa, Rdzawka 60, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;493;103;151
12;"Śląskie Centrum Rehabilitacyjno – Uzdrowiskowe, ul. Dietla 5, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;7;5;4
13;"Dom Pomocy Społecznej, ul. Parkowa 4, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;17;3;1
14;"Dom Wypoczynkowy ""Karabela”, ul. Zaryte 14, 34-700 Rabka-Zdrój";121112;"gm. Rabka-Zdrój";"nowotarski";"małopolskie";1;1;7;1;4
1;"Szkoła Podstawowa Nr 3 im. Ojca Św. Jana Pawła II, Spytkowice 153, 34-745 Spytkowice";121113;"gm. Spytkowice";"nowotarski";"małopolskie";1;1;293;80;94
2;"Szkoła Podstawowa Nr 1 im. Por. Tadeusza Stefaniszyna, Spytkowice 12, 34-745 Spytkowice";121113;"gm. Spytkowice";"nowotarski";"małopolskie";1;1;239;93;123
3;"Szkoła Podstawowa Nr 1 im. Por. Tadeusza Stefaniszyna, Spytkowice 12, 34-745 Spytkowice";121113;"gm. Spytkowice";"nowotarski";"małopolskie";1;1;255;86;136
4;"Szkoła Podstawowa Nr 1 im. Por. Tadeusza Stefaniszyna, Spytkowice 12, 34-745 Spytkowice";121113;"gm. Spytkowice";"nowotarski";"małopolskie";1;1;260;93;102
5;"Szkoła Podstawowa Nr 2 im. 12 Pułku Piechoty, Spytkowice 566, 34-745 Spytkowice";121113;"gm. Spytkowice";"nowotarski";"małopolskie";1;1;292;75;95
1;"Szkoła Podstawowa, Bańska Niżna ul. Papieska 141, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;269;103;102
2;"Szkoła Podstawowa, Bańska Wyżna ul. Szlak Papieski 64, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;371;78;68
3;"Szkoła Podstawowa, Bór ul. Jana Pawła II 44, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;119;40;53
4;"Szkoła Podstawowa w Maruszynie Górnej, Maruszyna ul. Jana Pawła II 29, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;251;87;78
5;"Szkoła Podstawowa w Maruszynie Dolnej, Maruszyna ul. Jana Pawła II 83, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;298;54;56
6;"Szkoła Podstawowa, Skrzypne ul. św. Jadwigi Królowej 128, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;356;50;39
7;"Szkoła Podstawowa, ul. Szkolna 6, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;418;135;194
8;"Szkoła Podstawowa, ul. Szkolna 6, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;437;140;173
9;"Szkoła Podstawowa, Zaskale ul. Kardynała Karola Wojtyły 51, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;328;149;200
10;"Dom Pomocy Społecznej ""Smrek"", Zaskale ul. Kardynała Karola Wojtyły 136, 34-424 Szaflary";121114;"gm. Szaflary";"nowotarski";"małopolskie";1;1;18;4;1
1;"Zakopiańskie Centrum Edukacji im. H. Modrzejewskiej, ul. Kasprusie 35A, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;326;126;469
2;"Agenda Zamiejscowa Urzędu Marszałkowskiego Województwa Małopolskiego, ul. Kościeliska 7, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;399;198;474
3;"Szkoła Podstawowa Nr 2, ul. Skibówki 2D, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;245;127;369
4;"D. W. ""APENA"", ul. Osiedle Krzeptówki 87, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;427;157;358
5;"Czytelnia Miejskiej Biblioteki Publicznej im. Stefana Żeromskiego, ul. Łukaszówki 4A, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;307;113;332
6;"Liceum Ogólnokształcące im. Oswalda Balzera, ul. Słoneczna 1, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;263;120;400
7;"Szkoła Podstawowa Nr 5, ul. Chramcówki 27, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;456;196;546
8;"Szkoła Podstawowa Nr 5, ul. Nowotarska 42, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;244;126;370
9;"Szkoła Podstawowa Nr 3, ul. Mieczysława Karłowicza 6, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;369;164;663
10;"Spółdzielnia Mieszkaniowa ""PARDAŁÓWKA"", ul. Osiedle Pardałówka 1/5A, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;302;192;479
11;"Szkoła Podstawowa Nr 7, ul. Cyrhla 57, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;290;118;231
12;"Szkoła Podstawowa Nr 9, ul. Harenda 21, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;535;202;246
13;"Szkoła Podstawowa Nr 4, ul. Janosówka 15B, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;606;204;372
14;"Państwowe Liceum Sztuk Plastycznych im. Antoniego Kenera, ul. Henryka Sienkiewicza 27, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;311;143;476
15;"Tatrzański Park Narodowy, ul. Tytusa Chałubińskiego 42, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;266;165;500
16;"Przedszkole Nr 9, ul. Sabały 10, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;246;147;440
17;"Zespół Szkół Hotelarsko-Turystycznych, ul. Partyzantów 1/5, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;302;127;471
18;"Szkoła Podstawowa Nr 1, ul. Władysława Orkana 6, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;226;142;458
19;"Szkoła Podstawowa Nr 5, ul. Nowotarska 42, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;514;247;468
20;"Szpital Powiatowy im. dr Tytusa Chałubińskiego, ul. Kamieniec 10, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;18;4;16
21;"Szpital Specjalistyczny Chorób Płuc ""Odrodzenie"" im. Klary Jelskiej, ul. Gładkie 1, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;22;5;15
22;"Wojewódzki Szpital Rehabilitacyjny im. dr Stefana Jasińskiego, ul. Ciągłówka 9, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;102;10;44
23;"Uniwersytecki Szpital Ortopedyczno-Rehabilitacyjny, ul. Oswalda Balzera 15, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;12;6;13
24;"Dom Pomocy Społecznej im. Jana Pawła II, ul. Szpitalna 21, 34-500 Zakopane";121701;"m. Zakopane";"tatrzański";"małopolskie";1;1;10;3;4
1;"Szkoła Podstawowa Nr 1 (sala nr 1), ul. Jana Pawła II 184A, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;301;88;112
2;"Szkoła Podstawowa Nr 1 (sala nr 2), ul. Jana Pawła II 184A, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;409;135;170
3;"Szkoła Podstawowa Nr 2 (sala nr 1), ul. Miłośników Podhala 23, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;245;96;120
4;"Szkoła Podstawowa Nr 2 (sala nr 2), ul. Miłośników Podhala 23, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;453;114;124
5;"Szkoła Podstawowa, Gliczarów Dolny 70, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;161;25;44
6;"Szkoła Podstawowa, Gliczarów Górny ul. Wierchy 121, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;267;76;130
7;"Remiza OSP, Leszczyny 39, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;121;41;30
8;"Szkoła Podstawowa, Sierockie 90B, 34-425 Biały Dunajec";121702;"gm. Biały Dunajec";"tatrzański";"małopolskie";1;1;178;38;26
1;"Szkoła Podstawowa, ul. Kościuszki 11, 34-530 Bukowina Tatrzańska";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;598;198;365
2;"Szkoła Podstawowa, ul. Kościuszki 11, 34-530 Bukowina Tatrzańska";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;465;96;246
3;"Szkoła Podstawowa, ul. Środkowa 184, 34-405 Białka Tatrzańska";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;714;244;445
4;"Szkoła Podstawowa, Brzegi ul. Halna 58, 34-532 Jurgów";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;253;64;142
5;"Szkoła Podstawowa, Czarna Góra ul. Nadwodnia 140, 34-532 Jurgów";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;286;59;133
6;"Szkoła Podstawowa, Czarna Góra ul. Zagóra 149, 34-532 Jurgów";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;201;36;46
7;"Szkoła Podstawowa, ul. Polna 44, 34-406 Leśnica";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;531;116;117
8;"""Śpisko Izba"" nad sklepem GS, Jurgów 15, 34-532 Jurgów";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;285;88;189
9;"Szkoła Podstawowa, ul. Polna 44, 34-406 Leśnica";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;545;105;111
10;"Szkoła Podstawowa, Rzepiska ul. Potok Grocholów 8, 34-532 Jurgów";121703;"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";1;1;239;49;81
1;"Szkoła Podstawowa, ul. Szeligówka 11, 34-511 Kościelisko";121704;"gm. Kościelisko";"tatrzański";"małopolskie";1;1;664;261;670
2;"Szkoła Podstawowa, ul. Szeligówka 11, 34-511 Kościelisko";121704;"gm. Kościelisko";"tatrzański";"małopolskie";1;1;512;256;619
3;"Budynek wielofunkcyjny, Dzianisz 173, 34-514 Dzianisz";121704;"gm. Kościelisko";"tatrzański";"małopolskie";1;1;682;204;201
4;"Szkoła Podstawowa, Witów 119, 34-512 Witów";121704;"gm. Kościelisko";"tatrzański";"małopolskie";1;1;449;138;227
1;"Gminny Ośrodek Kultury, ul. Józefa Piłsudskiego 2, 34-520 Poronin";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;611;248;427
2;"Urząd Gminy, ul. Józefa Piłsudskiego 5, 34-520 Poronin";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;399;207;252
3;"Filia Gminnego Ośrodka Kultury, Małe Ciche 21, 34-531 Murzasichle";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;192;70;116
4;"Szkoła Podstawowa im. Ratowników Tatrzańskich, ul. Sądelska 31, 34-531 Murzasichle";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;440;185;322
5;"Szkoła Podstawowa im. Antoniny Tatar, Suche 115a, 34-520 Poronin";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;389;78;156
6;"Zespół Szkolno-Przedszkolny, ul. św. Anny 1/3, 34-521 Ząb";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;709;189;298
7;"Szkoła Podstawowa im. Bronisława Czecha, Nowe Bystre 61, 34-521 Ząb";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;381;107;111
8;"Szkoła Filialna im. Ks. Jerzego Popiełuszki w Stasikówce, ul. Stasikówka 65, 34-520 Poronin";121705;"gm. Poronin";"tatrzański";"małopolskie";1;1;176;50;59
