"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAJDA Radosław Władysław - KW BEZPARTYJNI SAMORZĄDOWCY";"GAJDA Tadeusz Stanisław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BŁASZCZYK Przemysław Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOBOL Kamil - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIGŁOWSKI Dariusz Andrzej - KW RUCH NAPRAWY POLSKI"
1;"Szkoła Podstawowa im. Powstańców Styczniowych w Dalikowie, ul. Łęczycka 3, 99-205 Dalików";101101;"gm. Dalików";"poddębicki";"łódzkie";1;1;69;317;466;93;28
2;"Szkoła Podstawowa w Domaniewie im. prof. Mieczysława Szymczaka, Domaniew 42, 99-205 Dalików";101101;"gm. Dalików";"poddębicki";"łódzkie";1;1;24;152;178;36;16
3;"Remiza Ochotniczej Straży Pożarnej w Kucinach, Kuciny 24, 99-205 Dalików";101101;"gm. Dalików";"poddębicki";"łódzkie";1;1;31;149;190;47;4
4;"Remiza Ochotniczej Straży Pożarnej w Budzynku, Budzynek 25, 99-205 Dalików";101101;"gm. Dalików";"poddębicki";"łódzkie";1;1;20;54;178;33;7
5;"Budynek po byłej Szkole Podstawowej w Wilczycy, Wilczyca 23, 99-205 Dalików";101101;"gm. Dalików";"poddębicki";"łódzkie";1;1;33;101;167;20;7
1;"Szkoła Podstawowa im. Kazimierza Deki-Deczyńskiego, ul. Główna 17, 99-235 Pęczniew";101102;"gm. Pęczniew";"poddębicki";"łódzkie";1;1;51;319;402;67;31
2;"Budynek OSP w Luboli, Lubola 76a, 99-235 Pęczniew";101102;"gm. Pęczniew";"poddębicki";"łódzkie";1;1;20;51;133;24;2
3;"Budynek OSP w Księżej Wólce, Księża Wólka 28, 99-235 Pęczniew";101102;"gm. Pęczniew";"poddębicki";"łódzkie";1;1;24;101;167;20;5
4;"Budynek OSP w Drużbinie, Drużbin 53, 99-235 Pęczniew";101102;"gm. Pęczniew";"poddębicki";"łódzkie";1;1;25;88;165;19;5
5;"Centrum Kulturalno-Oświatowe we wsi Brzeg przy szkole podstawowej, Brzeg 118, 99-235 Pęczniew";101102;"gm. Pęczniew";"poddębicki";"łódzkie";1;1;21;63;142;21;11
1;"Liceum Ogólnokształcące im. Marii Konopnickiej w Poddębicach, ul. Łęczycka 13/15, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;59;355;206;53;38
2;"Liceum Ogólnokształcące im. Marii Konopnickiej w Poddębicach, ul. Łęczycka 13/15, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;26;244;222;40;55
3;"Liceum Ogólnokształcące im. Marii Konopnickiej w Poddębicach, ul. Łęczycka 13/15, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;27;201;152;34;32
4;"Liceum Ogólnokształcące im. Marii Konopnickiej w Poddębicach, ul. Łęczycka 13/15, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;37;275;103;42;45
5;"Miejska i Gminna Biblioteka Publiczna im. Ziemowita Skibińskiego w Poddębicach, ul. Łódzka 31, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;32;244;182;34;38
6;"Szkoła Podstawowa Nr 1 im. Lotników Polskich w Poddębicach, ul. Polna 36, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;36;275;185;35;59
7;"Szkoła Podstawowa Nr 1 im. Lotników Polskich w Poddębicach, ul. Polna 36, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;54;332;173;51;44
8;"Budynek OSP w Sworawie, Sworawa 28, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;22;123;115;28;12
9;"Budynek OSP w Panaszewie, Panaszew 24A, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;28;136;143;25;9
10;"Budynek OSP w Kałowie, Kałów 13, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;21;123;169;22;17
11;"Budynek OSP w Niewieszu, Niewiesz-Kolonia 39, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;21;108;301;34;25
12;"Budynek OSP w Klementowie, Klementów 1D, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;20;185;143;27;24
13;"Szkoła Podstawowa im. Tadeusza Kościuszki w Niemysłowie, Niemysłów 32A, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;23;203;273;38;17
14;"Budynek byłej Szkoły Podstawowej w Lipnicy, Lipnica 22A, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;33;117;225;27;12
15;"Szkoła Podstawowa w Bałdrzychowie, Bałdrzychów 13A, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;46;240;233;59;20
16;"Budynek OSP w Nowym Pudłowie, Nowy Pudłów 42, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;7;64;138;21;4
17;"Centrum Turystyki i Rekreacji w Byczynie, Byczyna 45A, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;29;174;194;45;11
18;"Budynek OSP w Górze Bałdrzychowskiej, Góra Bałdrzychowska 9, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;10;55;76;13;7
19;"Budynek OSP w Chropach, Chropy 54, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;15;71;116;22;14
20;"Poddębickie Centrum Zdrowia Sp. z o. o. w Poddębicach-Szpital, ul. Mickiewicza 16, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;7;38;38;4;3
21;"NZOZ ""MOŻ-MED. "" Sp. j. Możdżan w Poddębicach, ul. Miła 27, 99-200 Poddębice";101103;"gm. Poddębice";"poddębicki";"łódzkie";1;1;3;7;18;0;3
1;"Szkoła Podstawowa w Wilamowie, Wilamów 50, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;30;146;448;66;9
2;"Szkoła Podstawowa w Wieleninie, Wielenin-Kolonia 30A, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;28;88;294;36;13
3;"Centrum Spycimierskie Boże Ciało, Spycimierz 6, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;8;62;136;20;6
4;"Miejsko-Gminny Ośrodek Kultury w Uniejowie, ul. Targowa 21, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;12;60;180;21;8
5;"Szkoła Podstawowa w Uniejowie, ul. Kościelnicka 26 - 28, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;70;316;343;67;23
6;"Miejskie Przedszkole w Uniejowie, ul. Targowa 19, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;69;455;454;89;36
7;"Remiza OSP w Człopach, Człopy 39, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;3;40;125;14;3
8;"Remiza OSP w Ostrowsku, Ostrowsko 86, 99-210 Uniejów";101104;"gm. Uniejów";"poddębicki";"łódzkie";1;1;26;120;155;23;6
1;"Szkoła Podstawowa w Wartkowicach, ul. Legionów Polskich 5, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;65;295;414;88;48
2;"Muzeum Oświatowe w Bronowie, Bronów 6, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;17;55;162;19;9
3;"Obiekt komunalny w Białej Górze, Biała Góra 39, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;36;112;240;40;13
4;"Szkoła Podstawowa w Kłódnej, Jadwisin 3, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;16;80;123;20;7
5;"Obiekt komunalny w Parądzicach, Parądzice 25, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;20;59;189;13;2
6;"Obiekt komunalny w Pełczyskach, Pełczyska 4, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;15;78;163;36;9
7;"Obiekt komunalny w Sakowie, Saków 7, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;15;26;127;11;5
8;"Obiekt komunalny w Turze, Wilkowice 8, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;14;148;187;54;25
9;"Ochotnicza Straż Pożarna w Zelgoszczy, Zelgoszcz 26, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;10;37;85;19;6
10;"Dom Pomocy Społecznej w Gostkowie, Stary Gostków 41, 99-220 Wartkowice";101105;"gm. Wartkowice";"poddębicki";"łódzkie";1;1;1;0;5;1;5
1;"Zespół Szkół w Zadzimiu, Kazimierzew 38, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;48;229;298;63;23
2;"Sala OSP w Ralewicach, Ralewice 4, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;38;117;176;47;8
3;"Szkoła Podstawowa w Zygrach, Zygry 71, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;41;130;202;43;19
4;"Budynek Szkoły w Małyniu, Kłoniszew 57, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;26;113;242;24;10
5;"Sala OSP w Wierzchach, Wierzchy 31A, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;29;139;247;37;14
6;"Sala OSP w Charchowie Pańskim, Charchów Pański 25, 99-232 Zadzim";101106;"gm. Zadzim";"poddębicki";"łódzkie";1;1;15;62;219;34;12
