"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JASKUŁA Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"KOMARNICKI Władysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
31;"Państwowa Szkoła Muzyczna I i II stopnia, ul. Bolesława Chrobrego 3, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;328;377
32;"IV Liceum Ogólnokształcące, ul. Kosynierów Gdyńskich 8, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;240;266
33;"Przedszkole Miejskie nr 1, ul. Kosynierów Gdyńskich 29, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;315;392
34;"Urząd Miasta Gorzowa Wielkopolskiego-Pałac Ślubów, ul. Kazimierza Wielkiego 1, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;371;553
35;"Centrum Edukacji Zawodowej i Biznesu-Internat, ul. Stefana Okrzei 42, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;369;723
36;"Zespół Szkół Ogólnokształcących nr 1, ul. Aleksandra Puszkina 31, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;536;811
37;"Szkoła Podstawowa nr 21, ul. Stanisława Taczaka 1, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;438;783
38;"Prywatna Szkoła Podstawowa o Profilu Artystycznym, ul. Bohaterów Westerplatte 10, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;438;828
39;"Miejskie Centrum Kultury, ul. Michała Drzymały 26, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;151;230
40;"Zespół Szkół Technicznych i Ogólnokształcących, ul. Czereśniowa 4e, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;492;830
41;"Przedszkole Miejskie nr 29, ul. Walerego Wróblewskiego 48, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;446;607
42;"Szkoła Podstawowa nr 13, ul. Szwoleżerów 2, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;480;595
43;"Przedszkole Miejskie nr 17, ul. gen. Stanisława Maczka 21, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;455;786
44;"Szkoła Podstawowa nr 13, ul. Ignacego Paderewskiego 5, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;350;543
45;"Szkoła Podstawowa nr 13, ul. Ignacego Paderewskiego 5, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;503;892
46;"Żłobek Miejski Nr 1, ul. Walerego Wróblewskiego 50, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;387;616
47;"Szkoła Podstawowa nr 13, ul. Szwoleżerów 2, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;349;578
48;"Zespół Szkół Technicznych i Ogólnokształcących-Internat, ul. Czereśniowa 4i, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;518;833
49;"Katolicka Szkoła Podstawowa im. św. Jana Pawła II, ul. Waldemara Kućki 1, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;506;714
50;"Szkoła Podstawowa nr 20, ul. Szarych Szeregów 7, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;516;760
51;"Szkoła Podstawowa nr 20, ul. Szarych Szeregów 7, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;477;791
52;"Przedszkole Miejskie nr 22, ul. Szarych Szeregów 2, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;450;824
53;"Przedszkole Miejskie nr 20, ul. Franciszka Walczaka 47, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;356;458
54;"Szkoła Podstawowa nr 20, ul. Szarych Szeregów 7, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;593;879
55;"Żłobek Miejski nr 4, ul. gen. Stanisława Maczka 23, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;579;865
56;"Dom Studenta Akademii im. Jakuba z Paradyża, ul. marsz. Józefa Piłsudskiego 9, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;363;538
57;"Spółdzielnia Mieszkaniowa ""Dolinki"", ul. Okólna 25, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;459;640
58;"Szkoła Podstawowa nr 2, ul. Ludwika Zamenhofa 2a, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;237;376
59;"Zespół Szkół Gastronomicznych, ul. Okólna 35, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;353;543
60;"Szkoła Podstawowa nr 9, ul. Nowa 7, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;192;260
61;"Miejskie Przedszkole Integracyjne nr 9, ul. Widok 25, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;373;506
62;"Szkoła Podstawowa nr 17, ul. Warszawska 19, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;472;776
63;"Szkoła Podstawowa nr 17, ul. Warszawska 19, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;374;599
64;"Wielospecjalistyczny Szpital Wojewódzki w Gorzowie Wlkp. Sp. z o. o. Zespół Szpitalny przy ulicy Walczaka, Gorzów Wielkopolski ul. Franciszka Walczaka 42, 66-400 Gorzów Wlkp.";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;54;33
65;"Wielospecjalistyczny Szpital Wojewódzki w Gorzowie Wlkp. Sp. z o. o. Zespół Szpitalny przy ulicy Dekerta, Gorzów Wielkopolski ul. Jana Dekerta 1, 66-400 Gorzów Wlkp.";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;46;70
66;"Zakład Karny, ul. Podmiejska 17, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;80;253
67;"Dom Pomocy Społecznej nr 1, ul. Podmiejska Boczna 10, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;31;37
68;"Dom Pomocy Społecznej nr 2, ul. Franciszka Walczaka 42DPS, 66-400 Gorzów Wielkopolski";86101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";1;1;19;10
