"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOBUS Mariola - KW BEZPARTYJNI SAMORZĄDOWCY";"KOPICZKO Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALEWSKI Artur Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIOTROWSKA Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
4;"Sołeckie Centrum Kultury w Drygałach, Drygały ul. Kościuszki 4, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;211;359;90;177
5;"Szkoła Podstawowa w Skarżynie, Skarżyn 19, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;56;102;36;34
6;"Świetlica wiejska w Świdrach Kościelnych, Świdry Kościelne 9, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;46;111;26;28
7;"Świetlica wiejska w Kumielsku, Kumielsk 5, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;52;258;44;54
8;"Zespół Szkół Nr 1 w Białej Piskiej, ul. Sienkiewicza 16, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;112;117;35;64
9;"Szkoła Podstawowa w Bemowie Piskim, Bemowo Piskie ul. Generała Bema 1A, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;63;170;49;145
10;"Świetlica wiejska w Rakowie Małym, Rakowo Małe 1B, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;12;38;6;10
11;"Świetlica Wiejska w Orłowie, Orłowo 18A, 12-230 Biała Piska";281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";1;1;41;117;18;55
1;"Zespół szkolno-przedszkolny w Orzyszu (mały budynek), ul. Wojska Polskiego 12, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;106;403;108;253
2;"Zespół szkolno-przedszkolny w Orzyszu (duży budynek), ul. Wojska Polskiego 12, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;102;386;102;351
3;"Sala widowiskowo-sportowa (hala sportowa), os. Robotnicze 11A, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;78;305;76;365
4;"Świetlica wiejska w Wierzbinach, Wierzbiny 26A, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;28;112;36;105
5;"Sala widowiskowo-sportowa w Orzyszu (korytarz), os. Robotnicze 11A, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;52;240;79;160
6;"Zespół szkolno-przedszkolny w Okartowie, Okartowo 22, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;14;112;18;102
7;"Świetlica Wiejska w Drozdowie, Drozdowo 10, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;21;132;14;71
8;"Zespół szkolno-przedszkolny w Dąbrówce, Dąbrówka 40, 12-250 Orzysz";281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";1;1;23;103;36;62
1;"Szkoła Podstawowa im. Janusza Korczaka, Trzonki 29, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;54;194;46;153
2;"Świetlica wiejska, Rostki 18a, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;34;144;35;108
3;"Świetlica wiejska, Wiartel 6b, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;39;251;48;197
4;"Świetlica wiejska, Turośl 5, 12-220 Ruciane-Nida";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;43;181;32;89
5;"Specjalny Ośrodek Szkolno-Wychowawczy im. dr. Władysława Klementowskiego, Łupki 15, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;120;404;123;306
6;"Szkoła Podstawowa, Jeże 14, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;45;123;32;66
7;"Szkoła Podstawowa im. Ks. Jerzego Popiełuszki, Liski 22, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;38;206;37;72
8;"Zespół Szkolno-Przedszkolny Nr 1, ul. Gustawa Gizewiusza 8, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;71;361;66;272
9;"Zespół Szkolno-Przedszkolny Nr 1, ul. Lipowa 15, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;98;427;106;338
10;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika, sala nr 7, ul. dr. Władysława Klementowskiego 2, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;91;455;98;320
11;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika, sala nr 9, ul. dr. Władysława Klementowskiego 2, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;54;193;81;246
12;"Urząd Miejski, ul. Gustawa Gizewiusza 5, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;109;463;150;453
13;"I Liceum Ogólnokształcące im. Bojowników o Polskość Mazur, ul. Władysława Sikorskiego 15, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;108;422;116;399
14;"II Liceum Ogólnokształcące w Piszu, sala nr 16, ul. Młodzieżowa 26, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;57;244;58;164
15;"II Liceum Ogólnokształcące w Piszu, sala nr 9, ul. Młodzieżowa 26, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;127;542;108;338
16;"Szkoła Podstawowa Nr 4 im. Papieża Jana Pawła II, sala nr 3, ul. Michała Wołodyjowskiego 2a, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;139;554;164;494
17;"Szkoła Podstawowa Nr 4 im. Papieża Jana Pawła II, sala nr 6, ul. Michała Wołodyjowskiego 2a, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;85;301;100;323
18;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Powiatowy w Piszu, ul. Henryka Sienkiewicza 2, 12-200 Pisz";281603;"gm. Pisz";"piski";"warmińsko-mazurskie";1;1;1;16;0;8
1;"Świetlica Osiedlowa, ul. Mazurska 13, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;43;148;48;259
2;"Zespół Szkół Leśnych, ul. Polna 2, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;47;236;60;250
3;"Szkoła Podstawowa nr 1 w Rucianem-Nidzie, wejście A, ul. Gałczyńskiego 2, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;48;244;49;239
4;"Szkoła Podstawowa nr 1 w Rucianem-Nidzie, wejście B, ul. Gałczyńskiego 2, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;42;195;44;174
5;"Świetlica Wiejska, Wejsuny 29, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;44;190;49;237
6;"Szkoła Podstawowa w Ukcie, Ukta 70, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;57;224;62;189
7;"Świetlica Wiejska, Wojnowo 21, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;60;211;75;195
8;"Świetlica Wiejska, Karwica 12A, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;20;74;18;115
9;"Dom Pomocy Społecznej Ewangelicki Dom Opieki ""BETEZDA"" w Ukcie Parafii Ewangelicko-Augsburskiej w Mikołajkach, Ukta 31, 12-220 Ruciane-Nida";281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";1;1;2;9;2;5
1;"Zespół Placówek Oświatowych w Baniach Mazurskich-Sala 26 parter, ul. Konopnickiej 12, 19-520 Banie Mazurskie";281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";1;1;42;201;45;291
2;"Zespół Placówek Oświatowych w Baniach Mazurskich, Sala 30 parter, ul. Konopnickiej 12, 19-520 Banie Mazurskie";281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";1;1;21;164;26;120
3;"Szkoła Podstawowa w Lisach, Lisy 23A, 19-520 Banie Mazurskie";281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";1;1;19;127;30;98
4;"Świetlica wiejska w Żabinie, Żabin 36, 19-520 Banie Mazurskie";281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";1;1;25;175;40;126
1;"Szkoła Podstawowa w Dubeninkach, ul. Szkolna 1, 19-504 Dubeninki";281802;"gm. Dubeninki";"gołdapski";"warmińsko-mazurskie";1;1;57;225;44;155
2;"Gminne Centrum Kultury w Dubeninkach, ul. Dębowa 6, 19-504 Dubeninki";281802;"gm. Dubeninki";"gołdapski";"warmińsko-mazurskie";1;1;18;121;29;57
3;"Świetlica Wiejska w Żytkiejmach, Żytkiejmy ul. 1 Maja 2, 19-504 Dubeninki";281802;"gm. Dubeninki";"gołdapski";"warmińsko-mazurskie";1;1;28;213;47;105
1;"Świetlica wiejska w Galwieciach, Galwiecie 30a, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;37;134;40;146
2;"Świetlica wiejska w Górnem, Górne 22, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;21;123;14;51
3;"Szkoła Podstawowa w Pogorzeli, Pogorzel 27, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;15;72;19;61
4;"Świetlica wiejska w Kozakach, Kozaki 19a, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;24;140;24;94
5;"Świetlica wiejska w Jabłońskich, Jabłońskie 17A, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;25;98;32;154
6;"Szkoła Podstawowa w Boćwince, Boćwinka 13, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;11;107;23;88
7;"Starostwo Powiatowe w Gołdapi, ul. Krótka 1, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;48;156;52;142
8;"Szkoła Podstawowa im. Michała Kajki w Grabowie, Grabowo 54, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;28;138;43;116
9;"Szkoła Podstawowa Nr 3 im. Tadeusza Kościuszki w Gołdapi, ul. Tadeusza Kościuszki 25, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;96;288;80;574
10;"Zespół Szkół Zawodowych w Gołdapi, ul. Jaćwieska 14, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;62;299;83;436
11;"Szkoła Podstawowa Nr 5 im. Noblistów Polskich w Gołdapi, ul. Tadeusza Kościuszki 30, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;49;223;58;375
12;"Urząd Miejski w Gołdapi, pl. Plac Zwycięstwa 14, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;48;258;76;385
13;"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Mikołaja Kopernika w Gołdapi, ul. Szkolna 4, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;51;285;65;367
14;"Liceum Ogólnokształcące im. Jana Pawła II w Gołdapi, ul. ks. Popiełuszki 2, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;57;256;82;334
15;"Szkoła Podstawowa Nr 2 im. Marszałka Józefa Piłsudskiego w Gołdapi, ul. 1 Maja 25, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;109;333;115;612
16;"Centrum Kultury Wiejskiej w Kośmidrach, Kośmidry 48E, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;11;69;21;90
17;"GoldMedica Sp. z o. o.-budynek Zakładu Pielęgnacyjno-Opiekuńczego w Gołdapi, ul. Słoneczna 7b, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;1;16;2;11
18;"Sanatorium Uzdrowiskowe WITAL, ul. Wczasowa 7, 19-500 Gołdap";281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";1;1;21;123;10;131
1;"Gminny Ośrodek Kultury w Budrach, ul. Aleja Wojska Polskiego 18, 11-606 Budry";281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";1;1;40;187;33;156
2;"Klub Seniora w Budrach, ul. Aleja Wojska Polskiego 18, 11-606 Budry";281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";1;1;27;190;31;103
3;"Świetlica wiejska w Ołowniku, Ołownik 43, 11-606 Budry";281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";1;1;21;80;16;45
4;"Warsztaty Terapii Zajęciowej w Olszewie Węgorzewskim, Olszewo Węgorzewskie 41, 11-606 Budry";281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";1;1;20;101;27;75
5;"Szkoła Podstawowa w Sobiechach, Sobiechy 24, 11-606 Budry";281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";1;1;13;51;18;29
1;"Pomieszczenie przy Ochotniczej Straży Pożarnej w Kutach, Kuty 28, 11-610 Pozezdrze";281902;"gm. Pozezdrze";"węgorzewski";"warmińsko-mazurskie";1;1;46;192;39;229
2;"Szkoła Podstawowa im. Jadwigi Tressenberg w Pozezdrzu, Sala nr 1 parter, ul. 1 Maja 1B, 11-610 Pozezdrze";281902;"gm. Pozezdrze";"węgorzewski";"warmińsko-mazurskie";1;1;47;185;46;228
3;"Szkoła Podstawowa im. Jadwigi Tressenberg w Pozezdrzu, Sala nr 2 (sala gimnastyczna), ul. 1 Maja 1B, 11-610 Pozezdrze";281902;"gm. Pozezdrze";"węgorzewski";"warmińsko-mazurskie";1;1;32;214;48;252
1;"Urząd Miejski w Węgorzewie, ul. Zamkowa 3, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;42;165;36;324
2;"Szkoła Podstawowa Nr 2 w Węgorzewie, (sala nr 5), ul. Zamkowa 6, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;44;152;42;292
3;"Ciepłownie Miejskie Sp. z o. o., ul. Bolesława Chrobrego 4, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;75;174;94;333
4;"Miejska Hala Sportowa przy Szkole Podstawowej Nr 1 w Węgorzewie (hol), ul. Pionierów 6, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;61;164;56;412
5;"Klub Senior + w Węgorzewie, (sala ćwiczeń), ul. Generała Józefa Bema 12, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;50;145;29;255
6;"Specjalny Ośrodek Szkolno-Wychowawczy w Węgorzewie, ul. Zamkowa 34, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;49;125;57;228
7;"Szkoła Podstawowa nr 1 w Węgorzewie, (hol budynek A), ul. Pionierów 6, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;35;182;55;289
8;"Liceum Ogólnokształcące w Węgorzewie, ul. Bolesława Prusa 10, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;33;160;50;201
9;"Szkoła Podstawowa nr 1 w Węgorzewie, (hol budynek B), ul. Pionierów 6, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;33;206;56;241
10;"Szkoła Podstawowa Nr 2 w Węgorzewie, (stołówka), ul. Zamkowa 6, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;52;151;58;293
11;"Szkoła Podstawowa w Perłach, Perły 33, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;38;138;31;143
12;"Ciepłownie Miejskie w Węgorzewie Sp. z o. o. Punkt obsługi klienta, ul. Pionierów 10, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;34;117;39;122
13;"Klub Senior + w Węgorzewie, (pracownia), ul. Generała Józefa Bema 12, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;43;115;47;195
14;"Świetlica wiejska w Węgielsztynie, Węgielsztyn 45, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;26;143;46;136
15;"Szkoła Podstawowa im. Bohaterów Września w Radziejach, Radzieje ul. Węgorzewska 16, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;40;162;47;231
16;"Świetlica wiejska w Trygorcie, Trygort 106, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;14;49;11;86
17;"Świetlica wiejska w Kalskich Nowinach, Kalskie Nowiny 19, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;19;77;11;61
18;"Szpital Psychiatryczny Samodzielny Publiczny Zakład Opieki Zdrowotnej w Węgorzewie, ul. Generała Józefa Bema 24, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;4;17;7;10
19;"Mazurskie Centrum Zdrowia Szpital Powiatowy w Węgorzewie Publiczny Zakład Opieki Zdrowotnej, ul. 3 Maja 17, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;3;13;5;13
20;"Dom Pomocy Społecznej w Węgorzewie, ul. 11 Listopada 12, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;3;16;0;6
21;"Zakład Opiekuńczo-Leczniczy Psychiatryczny, Rudziszki 5, 11-600 Węgorzewo";281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";1;1;3;5;3;5
