"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
1;"Szkoła Podstawowa Nr 3 im. Komisji Edukacji Narodowej w Skawinie, ul. Adama Mickiewicza 11A, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;620;657;68;103
2;"Szkoła Podstawowa Nr 3 im. Komisji Edukacji Narodowej w Skawinie, ul. Adama Mickiewicza 11A, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;331;433;29;76
3;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika w Skawinie, ul. Korabnicka 19, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;458;762;77;143
4;"Liceum Ogólnokształcące im. M. Skłodowskiej-Curie w Skawinie, ul. Żwirki i Wigury 17, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;326;533;65;97
5;"Szkoła Podstawowa Nr 2 im. Kazimierza Wielkiego w Skawinie, ul. Żwirki i Wigury 17, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;474;686;40;105
6;"Zespół Szkół Techniczno-Ekonomicznych w Skawinie, ul. Mikołaja Kopernika 13, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;338;460;39;64
7;"Zespół Szkół Techniczno-Ekonomicznych w Skawinie, ul. Mikołaja Kopernika 13, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;476;614;65;118
8;"Miejskie Przedsiębiorstwo Energetyki Cieplnej S. A. w Krakowie z siedzibą w Skawinie, ul. Ogrody 7A, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;427;464;38;94
9;"Centrum Usług Społecznych w Skawinie, ul. ks. Jerzego Popiełuszki 17, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;544;492;41;82
10;"Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. Noblistów Polskich w Skawinie, ul. Wincentego Witosa 4, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;357;395;24;65
11;"Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. Noblistów Polskich w Skawinie, ul. Wincentego Witosa 4, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;334;390;42;54
12;"Szkoła Podstawowa Nr 4 im. Stanisława Wyspiańskiego w Skawinie, ul. Stanisława Wyspiańskiego 5, 32-050 Skawina";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;504;926;80;120
13;"Szkoła Podstawowa im. św. Jana Pawła II w Radziszowie, ul. Szkolna 7, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;416;437;58;96
14;"Dom Ludowy w Woli Radziszowskiej, ul. św. Jana Pawła II 12, 32-053 Wola Radziszowska";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;690;448;70;126
15;"Zespół Szkolno-Przedszkolny Szkoła Podstawowa im. Batalionów Chłopskich w Krzęcinie, Krzęcin ul. św. Floriana 75, 32-051 Wielkie Drogi";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;498;276;33;83
16;"Dom Ludowy w Jaśkowicach, ul. Kościelna 6, 32-051 Jaśkowice";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;253;253;36;58
17;"Zespół Placówek Edukacyjno-Opiekuńczo-Wychowawczych w Wielkich Drogach, ul. Jana Brandysa 8, 32-051 Wielkie Drogi";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;333;264;37;60
18;"Szkoła Podstawowa im. Walerego Goetla w Zelczynie, ul. Szkolna 2, 32-051 Zelczyna";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;272;235;37;62
19;"Dom Ludowy w Pozowicach, Pozowice 170, 32-051 Wielkie Drogi";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;179;131;29;32
20;"Szkoła Podstawowa im. św. Jadwigi Królowej w Rzozowie, Rzozów 90, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;453;371;54;93
21;"Zespół Placówek Oświatowych im. Jana Brzechwy w Borku Szlacheckim, ul. Szkolna 20, 32-050 Borek Szlachecki";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;379;321;49;65
22;"Zespół Placówek Oświatowych im. Janusza Korczaka w Kopance, ul. Skawińska 59, 32-050 Kopanka";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;246;201;37;49
23;"Szkoła Podstawowa im. św. Jana Pawła II w Radziszowie, ul. Szkolna 7, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;498;430;62;112
24;"Dom Ludowy w Ochodzy, Ochodza ul. Wiślana 56, 32-051 Wielkie Drogi";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;263;174;36;45
25;"Centrum Aktywności Kulturalnej w Polance Hallera, Polanka Hallera 4, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;167;64;9;17
26;"Remiza Ochotniczej Straży Pożarnej w Facimiechu, Facimiech 221, 32-051 Wielkie Drogi";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;155;202;22;33
27;"Świetlica Wiejska w Gołuchowicach, Gołuchowice 90, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;175;144;20;30
28;"Dom Ludowy w Grabiu, Grabie 11, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;127;49;14;27
29;"Dom Ludowy w Jurczycach, Jurczyce 26, 32-052 Radziszów";120611;"gm. Skawina";"krakowski";"małopolskie";1;1;165;157;20;44
1;"Hala Sportowa w Słomnikach, ul. św. Jana Pawła II 4, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;475;389;58;65
2;"Zespół Szkół Ogólnokształcących w Słomnikach, ul. św. Jana Pawła II 2, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;508;350;52;91
3;"Sala widowiskowa Miejsko-Gminnego Centrum Kultury w Słomnikach, ul. Wolności 4, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;295;164;31;36
4;"Szkoła Podstawowa w Niedźwiedziu, Niedźwiedź ul. Szkolna 11, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;348;257;44;84
5;"Budynek Świetlicy Wiejskiej w Szczepanowicach, Szczepanowice 17, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;66;35;8;13
6;"Szkoła Podstawowa w Kacicach, Kacice 80, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;339;176;47;57
7;"Szkoła Podstawowa w Prandocinie, Prandocin 64a, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;221;94;25;36
8;"Budynek OSP w Wężerowie, Wężerów 60a, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;158;85;15;26
9;"Budynek Świetlicy Wiejskiej w Muniakowicach, Muniakowice 29, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;147;35;13;12
10;"Budynek Świetlicy Wiejskiej w Polanowicach, Polanowice 31, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;222;132;27;33
11;"Zespół Szkół z Oddziałami Integracyjnymi i Specjalnymi im. Stanisława Wyspiańskiego w Waganowicach, Waganowice 19, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;64;42;15;11
12;"Zespół Szkół w Smrokowie, Smroków 44a, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;165;54;11;20
13;"Budynek Ochotniczej Straży Pożarnej w Trątnowicach, Trątnowice 62, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;95;29;7;4
14;"Świetlica Wiejska w Prandocinie-Wysiołku, Prandocin-Wysiołek 32, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;152;97;12;25
15;"Budynek Świetlicy Wiejskiej w Czechach, Czechy 28 D, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;105;31;10;10
16;"Budynek Świetlicy Wiejskiej w Brończycach, Brończyce 24, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;65;51;9;13
17;"Budynek Świetlicy Wiejskiej w Kępie, Kępa 4 A, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;61;18;7;8
18;"Budynek Ochotniczej Straży Pożarnej w Miłocicach, Miłocice 59, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;270;132;36;48
19;"Budynek Świetlicy Wiejskiej w Zaborzu, Zaborze 63b, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;117;95;13;28
20;"Budynek Ochotniczej Straży Pożarnej w Prandocinie-Iłach, Prandocin-Iły 32, 32-090 Słomniki";120612;"gm. Słomniki";"krakowski";"małopolskie";1;1;148;56;23;17
1;"Urząd Gminy w Sułoszowej, ul. Krakowska 139, 32-045 Sułoszowa";120613;"gm. Sułoszowa";"krakowski";"małopolskie";1;1;443;208;26;45
2;"Centrum Kultury w Sułoszowej, ul. Szkolna 5, 32-045 Sułoszowa";120613;"gm. Sułoszowa";"krakowski";"małopolskie";1;1;534;105;24;42
3;"Szkoła Podstawowa Nr 2 im. Batalionów Chłopskich w Sułoszowej, ul. Olkuska 316, 32-045 Sułoszowa";120613;"gm. Sułoszowa";"krakowski";"małopolskie";1;1;454;109;23;53
4;"Zespół Placówek Oświatowych w Woli Kalinowskiej, Wola Kalinowska ul. Szkolna 12, 32-045 Sułoszowa";120613;"gm. Sułoszowa";"krakowski";"małopolskie";1;1;195;98;28;41
5;"Zespół Szkolno-Przedszkolny w Wielmoży, Wielmoża ul. Szkolna 55, 32-045 Sułoszowa";120613;"gm. Sułoszowa";"krakowski";"małopolskie";1;1;591;261;60;67
1;"Szkoła Podstawowa w Świątnikach Górnych, ul. Kazimierza Bruchnalskiego 35, 32-040 Świątniki Górne";120614;"gm. Świątniki Górne";"krakowski";"małopolskie";1;1;657;676;80;108
2;"Szkoła Podstawowa we Wrząsowicach, Wrząsowice ul. Szkolna 5, 32-040 Świątniki Górne";120614;"gm. Świątniki Górne";"krakowski";"małopolskie";1;1;536;646;75;116
3;"Szkoła Podstawowa w Ochojnie, Ochojno ul. Podhalańska 27, 32-040 Świątniki Górne";120614;"gm. Świątniki Górne";"krakowski";"małopolskie";1;1;455;407;46;92
4;"Szkoła Podstawowa w Rzeszotarach, Rzeszotary ul. Pod Dębiną 45, 32-040 Świątniki Górne";120614;"gm. Świątniki Górne";"krakowski";"małopolskie";1;1;956;569;85;169
5;"Szkoła Podstawowa w Olszowicach, Olszowice ul. Świętego Floriana 18, 32-040 Świątniki Górne";120614;"gm. Świątniki Górne";"krakowski";"małopolskie";1;1;217;191;32;36
1;"Szkoła Podstawowa w Będkowicach, ul. Brzozowa 16, 32-089 Będkowice";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;175;169;10;24
2;"Szkoła Podstawowa w Bęble, ul. Krakowska 76, 32-089 Bębło";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;366;351;58;84
3;"Gminny Ośrodek Kultury i Sportu w Wielkiej Wsi z siedzibą w Białym Kościele, ul. Królowej Jadwigi 4, 32-089 Biały Kościół";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;340;259;35;63
4;"Gminny Ośrodek Kultury i Sportu w Wielkiej Wsi z siedzibą w Białym Kościele, ul. Królowej Jadwigi 4, 32-089 Biały Kościół";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;104;59;12;12
5;"Zespół Szkolno-Przedszkolny w Modlnicy, ul. Sportowa 2, 32-085 Modlnica";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;467;1104;93;146
6;"Budynek Wielofunkcyjny w Tomaszowicach, ul. Krakowska 85, 32-085 Tomaszowice";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;231;458;38;61
7;"Zespół Szkół Ponadpodstawowych im. Wincentego Witosa w Giebułtowie, os. Osiedle Szkolne 8, 32-085 Giebułtów";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;287;638;54;69
8;"Szkoła Filialna w Modlniczce, ul. Świętej Faustyny 8, 32-085 Modlniczka";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;388;808;72;115
9;"Budynek Wielofunkcyjny w Czajowicach, ul. Kasztanowa 2, 32-089 Czajowice";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;182;202;19;27
10;"Budynek Wielofunkcyjny w Wierzchowiu, rynek Rynek 5, 32-089 Wierzchowie";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;132;129;24;30
11;"Szkoła Podstawowa w Wielkiej Wsi, ul. Szkolna 5, 32-089 Wielka Wieś";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;438;403;40;75
12;"Urząd Gminy Wielka Wieś z siedzibą w Szycach, pl. Plac Wspólnoty 1, 32-085 Szyce";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;123;192;13;29
13;"Niepubliczny Zakład Opieki Zdrowotnej ""Pasternik"" MALUTY Sp. z o. o., os. Osiedle Krakowskie Przedmieście 28, 32-085 Modlniczka";120615;"gm. Wielka Wieś";"krakowski";"małopolskie";1;1;17;19;3;3
1;"Świetlica w Aleksandrowicach, Aleksandrowice 133, 32-084 Morawica";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;163;213;24;34
2;"Szkoła Podstawowa w Balicach, ul. Szkolna 66, 32-083 Balice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;339;507;44;72
3;"Świetlica Wiejska w Brzeziu, ul. Kluczwody 38, 32-080 Brzezie";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;443;554;53;83
4;"Świetlica Wiejska w Brzezince, Brzezinka ul. Krakowska 26, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;225;190;13;37
5;"Szkoła Podstawowa w Bolechowicach, ul. Szkolna 7, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;474;977;49;99
6;"Szkoła Podstawowa w Zelkowie, Zelków ul. Jana Pawła II 22, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;235;322;19;42
7;"Remiza OSP w Brzoskwini, Brzoskwinia ul. Tenczyńskich 12, 32-084 Morawica";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;298;274;36;61
8;"Małopolski Ośrodek Doradztwa Rolniczego w Karniowicach, Karniowice ul. Osiedlowa 9, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;195;352;18;33
9;"Samorządowe Centrum Kultury i Promocji Gminy Zabierzów-Filia w Kleszczowie, Kleszczów 165, 32-084 Morawica";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;110;112;10;24
10;"Świetlica Wiejska w Burowie, Burów 115, 32-083 Balice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;120;172;16;22
11;"Szkoła Podstawowa w Kobylanach, Kobylany ul. Jana Pawła II 61, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;253;293;32;42
12;"Świetlica Wiejska w Niegoszowicach, Niegoszowice ul. Rostworowskich 23, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;117;193;12;24
13;"Szkoła Podstawowa w Nielepicach, Nielepice ul. Długa 17, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;208;281;16;40
14;"Świetlica OSP w Radwanowicach, Radwanowice ul. 21 Lipca 56, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;168;161;21;36
15;"Rudawskie Centrum Kultury-Filia Samorządowego Centrum Kultury i Promocji Gminy Zabierzów w Rudawie, ul. Rynek 4, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;477;621;52;93
16;"Świetlica wiejska w Pisarach, Pisary ul. płk. Pisarskiego 132, 32-064 Rudawa";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;198;289;27;42
17;"Szkoła Podstawowa w Rząsce, Rząska ul. Krakowska 122, 30-199 Kraków";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;569;1039;51;117
18;"Świetlica Wiejska w Szczyglicach, Szczyglice ul. Sportowa 38, 32-083 Balice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;195;235;24;29
19;"Świetlica Wiejska w Więckowicach, Więckowice ul. Słoneczna 34, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;151;257;18;30
20;"SCKiP w Zabierzowie, ul. Szkolna 2, 32-080 Zabierzów";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;379;969;70;120
21;"Zespół Szkolno-Przedszkolny w Zabierzowie, ul. Kolejowa 15, 32-080 Zabierzów";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;191;513;20;58
22;"Zespół Szkolno-Przedszkolny w Zabierzowie, ul. Kolejowa 15, 32-080 Zabierzów";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;371;785;49;87
23;"Willa Lubomirskich-Filia Samorządowego Centrum Kultury i Promocji Gminy Zabierzów w Kochanowie, ul. Lubomirskich 125, 32-064 Kochanów";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;96;103;9;11
24;"Świetlica Wiejska sołectwa Młynka w Młynce, Młynka 81, 32-064 Młynka";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;73;72;6;19
25;"Dom Pomocy Społecznej w Karniowicach, Karniowice ul. Osiedlowa 10, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;22;8;3;7
26;"Dom Pomocy Społecznej w Więckowicach, Więckowice ul. Słoneczna 3, 32-082 Bolechowice";120616;"gm. Zabierzów";"krakowski";"małopolskie";1;1;18;4;3;3
1;"Budynek Wielofunkcyjny w Batowicach, ul. Matejki 20, 32-086 Batowice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;114;79;10;16
2;"Przedszkole Samorządowe w Węgrzcach z siedzibą w Bibicach, ul. Tadeusza Kościuszki 56, 32-087 Bibice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;264;633;34;77
3;"Przedszkole Samorządowe w Węgrzcach z siedzibą w Bibicach, ul. Tadeusza Kościuszki 56, 32-087 Bibice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;349;624;55;83
4;"Szkoła Podstawowa im. Stanisława Wyspiańskiego w Bibicach, ul. Tadeusza Kościuszki 56A, 32-087 Bibice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;304;908;64;91
5;"Szkoła Podstawowa im. Stanisława Wyspiańskiego w Bibicach, ul. Tadeusza Kościuszki 56A, 32-087 Bibice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;395;750;55;109
6;"Szkoła Podstawowa im. Jana Pawła II w Zielonkach, ul. Księdza Jana Michalika 2, 32-087 Zielonki";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;323;1289;73;122
7;"Szkoła Podstawowa im. Jana Pawła II w Zielonkach, ul. Księdza Jana Michalika 2, 32-087 Zielonki";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;519;707;66;89
8;"Szkoła Podstawowa im. Jana Pawła II w Zielonkach, ul. Księdza Jana Michalika 2, 32-087 Zielonki";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;391;911;67;70
9;"Budynek Sołecki w Pękowicach, ul. Na Błonie 2, 32-087 Pękowice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;89;271;14;24
10;"Budynek Gminny w Korzkwi, ul. Podzamcze 11, 32-088 Korzkiew";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;130;157;17;29
11;"Szkoła Podstawowa im. Józefa Piłsudskiego w Woli Zachariaszowskiej, ul. Świętego Floriana 1, 32-087 Wola Zachariaszowska";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;360;445;44;66
12;"Budynek Wielofunkcyjny w Owczarach, ul. Długa 27, 32-088 Owczary";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;206;278;34;63
13;"Budynek Wielofunkcyjny w Bosutowie, ul. Krakowska 20, 32-086 Bosutów";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;215;375;24;38
14;"Budynek Wielofunkcyjny w Brzozówce, ul. Krakowska 20, 32-088 Brzozówka";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;140;206;13;43
15;"Budynek Wiejski w Dziekanowicach, ul. Długa 126, 32-086 Dziekanowice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;172;205;33;34
16;"Budynek Wielofunkcyjny w Garlicy Murowanej, ul. Garlicka 85, 32-087 Garlica Murowana";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;124;116;13;10
17;"Budynek Wielofunkcyjny w Grębynicach, ul. Orlich Gniazd 24, 32-088 Grębynice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;112;142;14;17
18;"Zespół Szkolno-Przedszkolny w Przybysławicach, ul. Krakowska 107, 32-088 Przybysławice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;182;245;25;46
19;"Budynek Wielofunkcyjny w Trojanowicach, ul. Krakowska 120, 32-087 Trojanowice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;228;248;24;48
20;"Dom Pomocy Społecznej w Owczarach, ul. Kasztanowa 20, 32-088 Owczary";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;12;9;2;3
21;"Dom Pomocy Społecznej w Batowicach, ul. Matejki 24, 32-086 Batowice";120617;"gm. Zielonki";"krakowski";"małopolskie";1;1;41;7;3;7
1;"Szkoła Podstawowa im. A. Malatyńskiego w Miechowie-Charsznicy, Miechów-Charsznica ul. Szkolna 14, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;235;267;32;62
2;"Szkoła Podstawowa im. A. Malatyńskiego w Miechowie-Charsznicy, Miechów-Charsznica ul. Szkolna 14, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;202;218;25;52
3;"Szkoła Podstawowa im. M. Kopernika w Swojczanach, Swojczany 200, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;319;127;35;44
4;"Szkoła Podstawowa w Pogwizdowie, Pogwizdów 58, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;119;37;12;14
5;"Remiza OSP w Uniejowie-Kolonii, Uniejów-Kolonia 32a, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;258;125;25;26
6;"Remiza OSP w Tczycy, Tczyca 145, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;334;131;14;42
7;"Budynek gminny w Podlesicach, Podlesice 37a, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;151;37;8;16
8;"Remiza Ochotniczej Straży Pożarnej w Chodowie, Chodów 34, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;75;78;16;23
9;"Środowiskowy Dom Samopomocy w Jelczy, Jelcza 219, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;197;61;9;24
10;"Budynek Szkoły Podstawowej w Uniejowie-Rędzinach, Uniejów-Rędziny 50, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;93;81;10;22
11;"Remiza Ochotniczej Straży Pożarnej w Witowicach, Witowice 30, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;142;39;15;22
12;"Dom Opieki CARITAS Kielecka w Miechowie-Charsznicy, Miechów-Charsznica ul. Młyńska 2, 32-250 Charsznica";120801;"gm. Charsznica";"miechowski";"małopolskie";1;1;6;2;0;1
1;"Urząd Gminy w Gołczy, Gołcza 80, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;433;154;37;54
2;"Remiza OSP w Chobędzy, Chobędza 60, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;171;41;28;20
3;"Szkoła Podstawowa w Szreniawie, Szreniawa 9, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;330;181;33;39
4;"Budynek po byłej szkole podstawowej w Mostku, Mostek 21, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;184;82;20;18
5;"Budynek po byłej Szkole Podstawowej w Ulinie Wielkiej, Ulina Wielka 103, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;188;52;28;24
6;"Szkoła Podstawowa w Wysocicach, Wysocice 47, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;193;116;19;25
7;"Świetlica wiejska w Czaplach Wielkich, Czaple Wielkie 7, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;143;67;11;20
8;"Remiza Ochotniczej Straży Pożarnej w Krępie, Krępa 137, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;102;63;10;11
9;"Świetlica Wiejska w Czaplach Małych, Czaple Małe 13, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;132;37;11;16
10;"Remiza Ochotniczej Straży Pożarnej w Makowie, Maków 81, 32-075 Gołcza";120802;"gm. Gołcza";"miechowski";"małopolskie";1;1;130;55;14;10
1;"Budynek gminny w Przybysławicach, Przybysławice 60, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;204;57;17;32
2;"Centrum Kształcenia na Odległość w Kamionce, Kamionka 90A, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;121;46;10;22
3;"Środowiskowy Dom Samopomocy w Kępiu, Kępie 16, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;119;53;18;22
4;"Remiza OSP w Marcinowicach, Marcinowice 65, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;174;76;17;27
5;"Szkoła Podstawowa Nr 1 w Kozłowie, Kozłów 303, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;346;125;25;50
6;"Świetlica wiejska w Przysiece, Przysieka 41, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;181;70;14;18
7;"Szkoła Podstawowa Nr 1 w Kozłowie, Kozłów 303, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;97;30;16;13
8;"Budynek gminny w Wolicy, Wolica 14, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;92;24;11;14
9;"Remiza OSP w Wierzbicy, Wierzbica 34, 32-241 Kozłów";120803;"gm. Kozłów";"miechowski";"małopolskie";1;1;111;14;5;15
1;"Szkoła Podstawowa w Książu Małym, Książ Mały 60, 32-210 Książ Wielki";120804;"gm. Książ Wielki";"miechowski";"małopolskie";1;1;247;90;20;32
