"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
9;"Remiza Ochotniczej Straży Pożarnej w Sułkowicach, Sułkowice 46a, 32-095 Iwanowice Włościańskie";120603;"gm. Iwanowice";"krakowski";"małopolskie";1;1;112;111;13;22
10;"Świetlica Wiejska w Poskwitowie, Poskwitów ul. Na Błonia 28, 32-095 Iwanowice Włościańskie";120603;"gm. Iwanowice";"krakowski";"małopolskie";1;1;216;147;26;32
11;"Remiza Ochotniczej Straży Pożarnej w Maszkowie, Maszków ul. Kolonia 56, 32-095 Iwanowice Włościańskie";120603;"gm. Iwanowice";"krakowski";"małopolskie";1;1;195;162;14;31
1;"Remiza OSP w Gotkowicach, Gotkowice 34, 32-048 Jerzmanowice";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;224;197;33;55
2;"Gminny Ośrodek Kultury i Biblioteka w Jerzmanowicach, ul. Centralna 97, 32-048 Jerzmanowice";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;691;655;80;110
3;"Szkoła Podstawowa w Szklarach, Szklary 121, 32-048 Jerzmanowice";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;183;98;9;40
4;"Przedszkole Samorządowe w Jerzmanowicach, Łazy 39, 32-048 Jerzmanowice";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;140;147;11;28
5;"Szkoła Podstawowa w Sąspowie, Sąspów 32, 32-048 Jerzmanowice";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;438;229;39;70
6;"Dom Ludowy w Przegini, Przeginia 116a, 32-049 Przeginia";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;872;293;84;116
7;"Szkoła Podstawowa w Czubrowicach, Czubrowice 85, 32-049 Przeginia";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;363;163;37;47
8;"Budynek Wielofunkcyjny w Racławicach, Racławice 54a, 32-049 Przeginia";120604;"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";1;1;503;209;49;83
1;"Szkoła Podstawowa im. T. Kościuszki w Goszycach, Goszyce ul. Tadeusza Kościuszki 95, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;163;129;15;28
2;"Przedszkole Samorządowe ""Akademia Przedszkolaka"" w Wysiołku Luborzyckim, Wysiołek Luborzycki ul. Szkolna 1, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;280;220;25;36
3;"Szkoła Podstawowa im. gen. Mariana Langiewicza w Goszczy, Goszcza ul. Szkolna 1, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;288;366;44;61
4;"Szkoła Podstawowa im. Jana Pawła II w Łuczycach, Łuczyce ul. Szkolna 11, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;427;581;45;83
5;"Świetlica Wiejska w Zastowie, Zastów ul. Tadeusza Kościuszki 103, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;199;89;13;28
