"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZURKIEWICZ Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"LENZ Tomasz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
102;"Szkoła Podstawowa Nr 8, ul. Ignacego Łyskowskiego 28, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;308;611
103;"Szkoła Podstawowa Nr 16, ul. Władysława Dziewulskiego 2, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;323;480
104;"Szkoła Podstawowa nr 16, ul. Władysława Dziewulskiego 2, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;275;565
105;"Szkoła Podstawowa Nr 16, ul. Władysława Dziewulskiego 2, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;429;916
106;"Klub ""Jantar"", ul. Władysława Dziewulskiego 12, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;323;447
107;"Przedszkole Miejskie Nr 11, ul. Tymona Niesiołowskiego 4, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;298;548
108;"Społeczna Szkoła Podstawowa im. J. Słowackiego, ul. Władysława Dziewulskiego 24a, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;257;488
109;"PGE S. A., ul. Ceramiczna 6, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;315;501
110;"Świetlica Środowiskowa, ul. Olsztyńska 114a, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;438;890
111;"Szkoła Podstawowa nr 35, ul. Krynicka 8, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;259;563
112;"Szkoła Podstawowa nr 35, ul. Krynicka 8, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;359;755
113;"Dom Muz-Filia Rudak, ul. Okólna 169, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;344;1274
114;"Zakład Karny w Inowrocławiu – Oddział Zewnętrzny w Toruniu, ul. Piekary 53, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;14;93
115;"Specjalistyczny Szpital Miejski im. M. Kopernika, ul. Stefana Batorego 17/19, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;27;46
116;"Wojewódzki Szpital Zespolony-Szpital Wielospecjalistyczny, ul. św. Józefa 53 - 59, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;77;115
117;"Wojewódzki Szpital Zespolony-Szpital Specjalistyczny dla Dzieci i Dorosłych, ul. Konstytucji 3 Maja 42, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;6;8
118;"Dom Pomocy Społecznej, ul. Szosa Chełmińska 220, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;56;32
119;"Zakład Pielęgnacyjno-Opiekuńczy, ul. Ligi Polskiej 8, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;5;3
120;"Wojewódzki Ośrodek Terapii Uzależnień i Współuzależnienia – Oddział Odwykowy Całodobowy, ul. Włocławska 233, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;16;16
121;"Wojewódzki Ośrodek Terapii Uzależnień i Współuzależnienia-Ośrodek Terapii Odwykowej Uzależnień, ul. Tramwajowa 2/4, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;7;24
122;"Dom Studencki nr 2 UMK, ul. Adama Mickiewicza 6/8, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;13;55
123;"Dom Studencki nr 9 UMK, ul. Jurija Gagarina 21, 87-100 Toruń";46301;"m. Toruń";"Toruń";"kujawsko-pomorskie";1;1;23;75
