"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JEMIELITY Ewa Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRUPIŃSKI Rafał Szymon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Zespół Szkół nr 5 im. Bolesława Chrobrego, ul. Różana 1/3, 61-577 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;152;775
2;"Poznańskie Ośrodki Sportu i Rekreacji, ul. Jana Spychalskiego 34, 61-553 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;336;1517
3;"Przedszkole nr 87 im. Jacusia i Agatki, ul. św. Czesława 6a, 61-575 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;111;729
4;"Zespół Szkół nr 5 im. Bolesława Chrobrego, ul. Różana 1/3, 61-577 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;219;871
5;"Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi, ul. Ignacego Prądzyńskiego 53, 61-527 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;310;1435
6;"Internat Zespołu Szkół Komunikacji, ul. Czajcza 14, 61-546 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;253;892
7;"Szkoła Podstawowa nr 5 im. Romualda Traugutta, ul. Romualda Traugutta 42, 61-514 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;245;985
8;"V Liceum Ogólnokształcące im. Klaudyny Potockiej, ul. Zmartwychwstańców 10, 61-501 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;257;983
9;"Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi, ul. Ignacego Prądzyńskiego 53, 61-527 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;266;944
10;"Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi, ul. Ignacego Prądzyńskiego 53, 61-527 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;306;1047
11;"V Liceum Ogólnokształcące im. Klaudyny Potockiej, ul. Zmartwychwstańców 10, 61-501 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;271;973
12;"Szkoła Podstawowa nr 5 im. Romualda Traugutta, ul. Romualda Traugutta 42, 61-514 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;401;2057
13;"Operator ARP Sp. z o. o., ul. 28 Czerwca 1956 r. 223 - 229, 61-485 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;334;1162
14;"Szkoła Podstawowa nr 77 im. 15 Pułku Ułanów Poznańskich, ul. Romana Dmowskiego 50, 60-204 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;267;784
15;"Zespół Szkół nr 8, ul. Kazimierza Jarochowskiego 62, 60-246 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;304;975
16;"Zespół Szkół nr 8, ul. Kazimierza Jarochowskiego 62, 60-246 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;251;897
17;"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;305;1012
18;"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;288;994
19;"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;307;1196
20;"Zespół Szkół Ogólnokształcących nr 33, ul. Stanisława Wyspiańskiego 27, 60-751 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;281;1118
21;"Zespół Szkół i Placówek Oświatowych, ul. Ryszarda Berwińskiego 2/4, 60-765 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;222;984
22;"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;248;867
23;"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;303;925
24;"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;178;684
25;"Zespół Szkół Handlowych im. Bohaterów Poznańskiego Czerwca `56, ul. Śniadeckich 54/58, 60-774 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;233;976
26;"II Liceum Ogólnokształcące im. Generałowej Zamoyskiej i Heleny Modrzejewskiej, ul. Jana Matejki 8/10, 60-766 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;197;889
