"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWIŃSKA Samanta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"KROPIDŁOWSKI Krzysztof Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLEINA Kazimierz Mariusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
14;"I Społeczna Szkoła Podstawowa STO, ul. Zygmunta Augusta 8, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;202;66;317
15;"Szkoła Podstawowa nr 3 im. Janusza Korczaka, ul. Stefana Banacha 5, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;278;102;586
16;"Przedszkole Miejskie nr 23 ""Promyczek"", ul. Wazów 1a, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;200;78;457
17;"Zespół Szkół Sportowych (sala gimnastyczna), ul. Stefana Banacha 17, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;192;79;391
18;"Zespół Żłobków Miejskich Żłobek nr 2, al. Aleja 3-go Maja 78, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;320;106;809
19;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 4 im. Gustawa Morcinka, ul. Stanisława Leszczyńskiego 17, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;259;95;653
20;"Zespół Szkół Budowlanych i Kształcenia Ustawicznego, ul. Królowej Jadwigi 3, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;276;105;498
21;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 4 im. Gustawa Morcinka, ul. Stanisława Leszczyńskiego 17, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;301;119;608
22;"Przedszkole Miejskie nr 15, ul. Wiatraczna 6, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;363;108;757
23;"Szkoła Podstawowa nr 9 im. kmdra por. Stanisława Hryniewieckiego, ul. Stanisława Małachowskiego 9, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;293;124;547
24;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Adama Mickiewicza, ul. Adama Mickiewicza 32, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;281;117;480
25;"Przedszkole Miejskie nr 5, ul. Juliana Niemcewicza 9, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;257;108;491
26;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Adama Mickiewicza (sala gimnastyczna), ul. Adama Mickiewicza 32, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;291;95;526
27;"Ośrodek Sportowo-Rekreacyjny im. Tadeusza Gwiżdża przy Zespole Szkół Mechanicznych i Logistycznych, ul. Mieczysława Niedziałkowskiego 2, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;266;87;441
28;"Urząd Miejski, pl. Zwycięstwa 1, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;203;52;379
29;"Szkoła Podstawowa nr 6 im. Ludwika Waryńskiego, ul. Stefana Starzyńskiego 6, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;164;53;315
30;"Pomorska Biblioteka Pedagogiczna, ul. Stefana Jaracza 18a, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;207;81;392
31;"V Liceum Ogólnokształcące im. Zbigniewa Herberta, ul. Deotymy 15a, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;245;91;481
32;"Szkoła Podstawowa nr 1 im. Henryka Sienkiewicza, ul. Witolda Lutosławskiego 23, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;310;108;705
33;"Zespół Szkół Technicznych, ul. Karola Szymanowskiego 5, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;336;131;718
34;"Szkoła Podstawowa nr 2 im. Tadeusza Kościuszki, ul. Henryka Pobożnego 2, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;252;95;380
35;"I Liceum Ogólnokształcące im. Bolesława Krzywoustego (sala gimnastyczna), ul. Szarych Szeregów 15, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;300;85;545
36;"Pomorska Medyczna Szkoła Policealna, ul. Bałtycka 29, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;133;49;299
37;"Przedszkole Miejskie nr 2, ul. Zamkowa 6, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;335;119;670
38;"Niepubliczna Szkoła Podstawowa Nr 7, ul. Jana Kilińskiego 38, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;390;208;1095
39;"Szkoła Podstawowa nr 11, ul. prof. Lotha 3, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;380;155;852
40;"Przedszkole Miejskie Integracyjne nr 32 ""Tęczowa Dolina"", ul. Kasztanowa 1, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;321;125;970
41;"Uniwersytet Pomorski, ul. Krzysztofa Arciszewskiego 22a, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;216;78;600
42;"Zespół Szkolno-Przedszkolny, ul. Hubalczyków 7, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;367;174;1093
43;"Przedszkole Miejskie nr 11 ""Calineczka"", ul. Kosynierów Gdyńskich 6, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;307;152;1022
44;"Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w Słupsku Sp. z o. o., ul. Hubalczyków 1, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;44;25;64
45;"Areszt Śledczy w Słupsku, ul. Sądowa 1, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;26;27;76
46;"Dom Pomocy Społecznej ""Leśna Oaza"", ul. Leśna 8, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;24;4;4
47;"Centrum Zdrowia Psychicznego w Słupsku, ul. Obrońców Wybrzeża 4, 76-200 Słupsk";226301;"m. Słupsk";"Słupsk";"pomorskie";1;1;16;4;14
