"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRYJOM Sławomir Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"SŁOWIŃSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"GBIORCZYK Adam Mieczysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZIEMNIAK Wojciech Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
12;"Klub Osiedlowy, ul. gen. Jarosława Dąbrowskiego 45a, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;48;140;63;322
13;"Szkoła Podstawowa nr 7, al. Aleje Jana Pawła II 10, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;52;202;53;423
14;"Szkoła Podstawowa nr 7, al. Aleje Jana Pawła II 10, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;71;179;52;559
15;"Leszczyńska Spółdzielnia Mieszkaniowa, ul. Osiedle Józefa Sułkowskiego 46, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;70;198;66;513
16;"Przedszkole nr 10, ul. Bolesława Prusa 22c, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;63;137;37;438
17;"II Liceum Ogólnokształcące, ul. Bolesława Prusa 33, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;93;298;96;649
18;"Zespół Szkół Rolniczo-Budowlanych, ul. 1 Maja 1, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;110;243;91;660
19;"Przedszkole nr 4, ul. Jana Poplińskiego 5, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;85;205;61;485
20;"Szkoła Podstawowa nr 3, pl. pl. Jana Amosa Komeńskiego 1, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;65;184;65;373
21;"Szkoła Podstawowa nr 1, al. Aleje Zygmunta Krasińskiego 2, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;55;161;40;310
22;"Prywatny Zespół Szkół mgr Henryk Jóźwiak, al. Aleje Zygmunta Krasińskiego 22, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;59;143;60;431
23;"Zespół Szkół nr 4, ul. Karola Kurpińskiego 2, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;65;221;62;429
24;"III Liceum Ogólnokształcące, pl. pl. Tadeusza Kościuszki 5, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;115;248;102;805
25;"Zespół Szkół Technicznych-CKZiU, ul. Gabriela Narutowicza 74a, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;86;234;62;609
26;"Szkoła Podstawowa nr 5, ul. Łowiecka 50c, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;135;245;156;1077
27;"Szkoła Podstawowa nr 5, ul. Gronowska 45, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;168;332;174;1028
28;"Szkoła Podstawowa nr 9, ul. ks. Kardynała Stefana Wyszyńskiego 57, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;81;276;80;661
29;"Szkoła Podstawowa nr 9, ul. Stanisława Szczepanowskiego 14, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;166;359;160;1140
30;"Przedszkole nr 3, ul. Stanisława Wyspiańskiego 2, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;98;269;129;726
31;"Przedszkole nr 7, ul. Stefana Żeromskiego 19, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;104;315;97;818
32;"Dom Harcerza, ul. Sokoła 20, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;65;240;68;578
33;"Szkoła Podstawowa nr 4, ul. Henrykowska 1, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;143;394;169;948
34;"Wojewódzki Szpital Wielospecjalistyczny im. dr. Jana Jonstona w Lesznie, ul. Jana Kiepury 45, 64-100 Leszno";306301;"m. Leszno";"Leszno";"wielkopolskie";1;1;10;31;7;43
