"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Dominik - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWILSKI Ryszard Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLARZ Andrzej Sławomir - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
1;"Filia Żłobka Miejskiego nr 1 ""Króla Maciusia"" w Pruszczu Gdańskim, ul. Eugeniusza Romera 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;219;1348;206
2;"Szkoła Podstawowa Nr 2, ul. Tysiąclecia 5, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;124;544;155
3;"Szkoła Podstawowa Nr 2, ul. Tysiąclecia 5, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;182;1115;282
4;"Miejski Ośrodek Pomocy Społecznej, ul. Niepodległości 9, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;64;379;96
5;"Przedszkole Publiczne Nr 3 im. Kubusia Puchatka, ul. Niepodległości 10, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;135;989;205
6;"Centrum Kultury i Sportu, ul. Fryderyka Chopina 34, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;101;604;155
7;"Szkoła Podstawowa Nr 3, ul. Jana Matejki 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;159;923;237
8;"Szkoła Podstawowa Nr 3, ul. Jana Matejki 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;58;328;132
9;"Kasyno Wojskowe, ul. Dywizjonu 303 nr 3, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;79;497;84
10;"Zespół Szkół Ogólnokształcących Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;101;576;137
11;"Oddziały Przedszkolne Szkoły Podstawowej Nr 1, ul. Żwirki i Wigury 8, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;181;1021;202
12;"Hala Widowiskowo-Sportowa przy ZSO Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;102;613;159
13;"Hala Widowiskowo-Sportowa przy ZSO Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;106;609;113
14;"Szkoła Podstawowa nr 4, ul. Jana Kasprowicza 16, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;265;1648;319
15;"Szkoła Podstawowa nr 4, ul. Jana Kasprowicza 16, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;117;692;164
16;"Oddziały Przedszkolne w Szkole Podstawowej Nr 4, ul. Jana Kochanowskiego 8, 83-000 Pruszcz Gdański";220401;"m. Pruszcz Gdański";"gdański";"pomorskie";1;1;131;745;167
1;"Szkoła Podstawowa w Cedrach Małych, Cedry Małe ul. Żuławska 58, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;123;404;172
2;"Gminna Biblioteka Publiczna w Cedrach Wielkich, ul. Osadników Wojskowych 21, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;118;535;135
3;"Przedszkole Samorządowe Nr 2 Oddział zamiejscowy w Trutnowach, Trutnowy ul. św. Piotra i Pawła 3, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;74;303;100
4;"Świetlica Wiejska w Koszwałach, Koszwały ul. Lipowa 15, 83-011 Wiślinka";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;82;279;93
5;"Świetlica Wiejska w Kiezmarku, Kiezmark ul. Wiślana 60, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;44;78;62
6;"Centrum Sportowo Rekreacyjne w Długim Polu, Długie Pole 49, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;84;170;128
7;"Szkoła Podstawowa im. Obrońców Ziem Polskich w Wocławach, Wocławy ul. Władysława Łokietka 40, 83-020 Cedry Wielkie";220402;"gm. Cedry Wielkie";"gdański";"pomorskie";1;1;71;230;97
1;"Urząd Gminy w Kolbudach (sala GOK), ul. Staromłyńska 1, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;271;1045;373
2;"Zespół Kształcenia i Wychowania w Kolbudach, ul. gen. Józefa Wybickiego 33, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;85;415;124
3;"Szkoła Podstawowa w Pręgowie (sala gimnastyczna), Pręgowo ul. Brzozowa 1, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;148;531;147
4;"Budynek gospodarczy (świetlica wiejska), Bąkowo ul. Otomińska 6, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;188;1227;240
5;"Szkoła Podstawowa w Kowalach, Kowale ul. Apollina 7, 80-180 Gdańsk";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;182;1849;326
6;"Dom Kultury w Kowalach, Kowale ul. Glazurowa 1, 80-180 Gdańsk";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;109;600;91
7;"Urząd Gminy w Kolbudach (pok. 101-sala ślubów), ul. Staromłyńska 1, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;91;431;137
8;"Zespół Kształcenia i Wychowania w Lublewie Gdańskim (sala gimnastyczna), Lublewo Gdańskie ul. Szkolna 5, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;163;660;160
