"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KEMPINSKI Radosław Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAROCKA Krystyna Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOBIAK Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Dom Strażaka w Warlubiu, ul. Bąkowska 12, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;415;147;448
2;"Świetlica Wiejska w Bąkowie, Bąkowo 47A, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;137;53;114
3;"Świetlica Wiejska w Płochocinie, Płochocin 10A, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;54;25;20
4;"Świetlica Wiejska w Bzowie, Bzowo 90, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;63;48;107
5;"Świetlica Wiejska w Wielkim Komorsku, Wielki Komorsk ul. Nowska A 12, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;225;102;223
6;"Wiejski Dom Kultury w Lipinkach, Lipinki 6, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;171;70;139
7;"Świetlica Wiejska w Płochocinku, Płochocinek 44, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;62;34;64
8;"Świetlica Wiejska w Kruszach, Krusze 20D, 86-160 Warlubie";41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";1;1;54;32;62
1;"Świetlica Wiejska, Zdroje 89, 89-505 Małe Gacno";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;131;41;129
2;"Szkoła Podstawowa, Iwiec 18, 89-512 Iwiec";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;126;63;100
3;"Szkoła Podstawowa, ul. Szkolna 8, 89-511 Cekcyn";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;97;32;69
4;"Szkoła Podstawowa, ul. Szkolna 8, 89-511 Cekcyn";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;94;48;84
5;"Gminny Ośrodek Kultury, ul. Szkolna 4, 89-511 Cekcyn";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;274;135;358
6;"Remiza OSP, ul. Ogrodowa 17, 89-511 Cekcyn";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;287;112;431
7;"Świetlica Wiejska, Zielonka 73, 89-505 Zielonka";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;79;32;44
8;"Świetlica Wiejska, Wysoka 11A, 89-512 Wysoka";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;119;44;98
9;"Świetlica Wiejska, Małe Gacno 35, 89-505 Małe Gacno";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;87;33;60
10;"Świetlica Wiejska, Krzywogoniec 21, 89-511 Krzywogoniec";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;80;43;109
11;"Świetlica Wiejska, Zalesie 24A, 89-511 Cekcyn";41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";1;1;76;42;104
1;"Remiza Ochotniczej Straży Pożarnej, Wielki Mędromierz 55, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;125;54;156
2;"Świetlica Wiejska, Kamienica 16, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;84;39;118
3;"Gminny Ośrodek Kultury, ul. Główna 35, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;119;58;182
4;"Szkoła Podstawowa im. Jana Pawła II w Gostycynie, ul. Sępoleńska 12a, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;196;106;270
5;"Szkoła Podstawowa im. ks. Józefa Bruskiego w Pruszczu, Pruszcz ul. Dworcowa 33, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;275;84;180
6;"Wiejski Dom Kultury, Wielka Klonia 13, 89-520 Gostycyn";41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";1;1;137;97;130
1;"Szkoła Podstawowa, ul. Szkolna 11, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;188;74;220
2;"Szkoła Podstawowa, ul. Szkolna 11, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;119;45;91
3;"Świetlica Wiejska w Drożdzienicy, Drożdzienica 4A, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;128;65;105
4;"Świetlica Wiejska w Wieszczycach, Wieszczyce 20, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;86;56;59
5;"Szkoła Podstawowa, Żalno ul. Szkolna 1, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;228;106;173
6;"Świetlica Wiejska, Piastoszyn ul. Główna 10, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;111;63;95
7;"Świetlica Wiejska w Pamiętowie, Pamiętowo 16, 89-506 Kęsowo";41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";1;1;52;21;37
1;"Szkoła Podstawowa im. Wojska Polskiego, ul. Wojska Polskiego 16, 89-526 Lubiewo";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;221;65;140
2;"Szkoła Podstawowa im. Janusza Korczaka, ul. Kwiatowa 9, 89-510 Bysław";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;178;76;181
3;"Świetlica Wiejska, Bysławek 51A, 89-510 Bysław";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;145;73;175
4;"Świetlica Wiejska, ul. Główna 19, 89-525 Sucha";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;170;52;141
5;"Świetlica Wiejska, Klonowo 21, 89-526 Lubiewo";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;125;52;109
6;"Szkoła Podstawowa im. Wojska Polskiego, ul. Wojska Polskiego 16, 89-526 Lubiewo";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;187;56;145
7;"Szkoła Podstawowa im. Janusza Korczaka, ul. Kwiatowa 9, 89-510 Bysław";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;229;86;283
8;"Świetlica Wiejska, Minikowo 52, 89-510 Bysław";41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";1;1;87;38;88
1;"Świetlica Wiejska, Lubocień 40, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;100;27;45
2;"Szkoła Podstawowa, Lińsk 37, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;336;117;191
3;"Szkoła Podstawowa, Śliwiczki 97, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;200;54;125
4;"Gminny Ośrodek Kultury, ul. Dworcowa 39, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;226;69;273
5;"Szkoła Podstawowa im. Ks. Prałata Erharda Staniszewskiego, ul. Szkolna 9, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;244;96;297
6;"Gminny Ośrodek Kultury, ul. Dworcowa 39, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;188;63;159
7;"Świetlica Wiejska, Rosochatka 41, 89-530 Śliwice";41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";1;1;125;44;105
1;"Tucholski Ośrodek Kultury, ul. Plac Zamkowy 8, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;237;122;375
2;"Szkoła Podstawowa nr 1, ul. Szkolna 4, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;286;140;466
3;"Przedszkole nr 1, ul. Bydgoska 13B, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;174;85;297
4;"Zespół Szkół Licealnych i Technicznych, ul. Świecka 89A, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;192;76;285
5;"Szkoła Podstawowa nr 2, ul. Piastowska 23, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;198;82;334
6;"Hala Widowiskowo-Sportowa, ul. Warszawska 17, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;257;111;392
7;"Szkoła Podstawowa nr 3, ul. Pocztowa 10, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;190;101;359
8;"Liceum Ogólnokształcące im. Bartłomieja Nowodworskiego, ul. Pocztowa 8A, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;228;76;362
9;"Szkoła Podstawowa nr 5, ul. Świecka 105, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;237;130;477
10;"Świetlica wiejska, Bladowo 5, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;142;47;154
11;"Świetlica wiejska, Mały Mędromierz 29, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;118;53;143
12;"Szkoła Podstawowa, Stobno 33, 89-502 Raciąż";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;90;59;134
13;"Dom Strażaka, Kiełpin 57, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;207;69;175
14;"Świetlica wiejska, Wielka Komorza 15, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;64;20;52
15;"Świetlica wiejska, ul. Szkolna 6, 89-504 Legbąd";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;363;103;219
16;"Szkoła Podstawowa nr 2, ul. Piastowska 23, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;191;72;290
17;"Wiejski Dom Kultury, ul. Wczasowa 1, 89-502 Raciąż";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;244;99;286
18;"Tucholski Ośrodek Kultury, ul. Plac Zamkowy 8, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;85;28;112
19;"Świetlica wiejska, Białowieża 8A, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;57;11;70
20;"Szpital Tucholski sp. z o. o., ul. Nowodworskiego 14 - 18, 89-500 Tuchola";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;11;5;13
21;"Dom Pomocy Społecznej im. Leona i Marii Janta-Połczyńskich w Wysokiej, Wysoka 16, 89-502 Raciąż";41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";1;1;24;1;2
1;"Siedziba Rady Osiedla ""Piaski"", ul. Drzycimska 7, 85-555 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;433;185;885
2;"Zespół Szkolno-Przedszkolny nr 5, ul. Żeglarska 67, 85-529 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;198;81;411
3;"Zespół Szkolno-Przedszkolny nr 5, ul. Średnia 98, 85-554 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;400;183;775
4;"Specjalny Ośrodek Szkolno-Wychowawczy nr 3 im. Marii Grzegorzewskiej, ul. Graniczna 12, 85-201 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;174;70;384
5;"Szkoła Podstawowa nr 10, ul. Śląska 7, 85-235 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;122;93;370
6;"Szkoła Podstawowa nr 10, ul. Śląska 7, 85-235 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;281;135;576
7;"Zespół Szkół nr 6, ul. Staroszkolna 12, 85-209 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;226;118;556
8;"Zespół Szkół nr 6, ul. Staroszkolna 12, 85-209 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;302;139;671
9;"III Liceum Ogólnokształcące, ul. Nowogrodzka 3, 85-208 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;162;78;324
10;"Zespół Szkół nr 16, ul. Koronowska 74, 85-405 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;438;164;1146
11;"K. S. ""Gwiazda"", ul. Józefa Bronikowskiego 45, 85-350 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;177;70;399
12;"Zespół Szkół nr 16, ul. Koronowska 74, 85-405 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;412;169;728
13;"Zespół Szkół nr 16, ul. Koronowska 74, 85-405 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;456;220;1338
14;"Szkoła Podstawowa nr 34, ul. Opławiec 157, 85-469 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;340;153;758
15;"Zespół Szkół nr 24, ul. Puszczykowa 11, 85-446 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;382;221;1042
16;"Szkoła Podstawowa nr 64, ul. Sardynkowa 7, 85-435 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;332;181;1019
17;"Zespół Szkół nr 24, ul. Puszczykowa 11, 85-446 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;400;153;654
18;"Szkoła Podstawowa nr 64, ul. Sardynkowa 7, 85-435 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;340;177;855
19;"Szkoła Podstawowa nr 64, ul. Sardynkowa 7, 85-435 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;272;108;603
20;"Szkoła Podstawowa nr 64, ul. Sardynkowa 7, 85-435 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;352;147;641
21;"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;112;55;360
22;"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;214;134;868
23;"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;215;108;568
24;"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;246;132;783
25;"Zespół Szkolno-Przedszkolny nr 2, ul. Kaliska 10, 85-602 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;150;85;431
26;"Zespół Szkolno-Przedszkolny nr 2, ul. Kaliska 10, 85-602 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;219;93;676
27;"Zespół Szkolno-Przedszkolny nr 2, ul. Grabowa 4, 85-601 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;150;61;356
28;"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;348;251;1533
29;"Szkoła Podstawowa nr 31, ul. Mieczysława Karłowicza 2, 85-092 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;235;82;608
30;"Zespół Szkół Budowlanych, ul. Jana Pestalozziego 18, 85-095 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;173;92;718
31;"Uniwersytet Kazimierza Wielkiego w Bydgoszczy, ul. Józefa Poniatowskiego 12, 85-671 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;199;74;440
32;"Zespół Szkół Ekonomiczno-Administracyjnych, ul. Gajowa 98, 85-717 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;170;60;475
33;"XI Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Cicha 59, 85-650 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;147;49;472
34;"XI Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Cicha 59, 85-650 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;288;143;885
35;"Zespół Szkół Budowlanych, ul. Jana Pestalozziego 18, 85-095 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;247;96;464
36;"Szkoła Podstawowa nr 14, ul. Żmudzka 12, 85-028 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;291;113;805
37;"Zespół Szkół Samochodowych, ul. Aleja Powstańców Wielkopolskich 63, 85-090 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;189;98;660
38;"Szkoła Podstawowa nr 14, ul. Żmudzka 12, 85-028 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;277;87;503
39;"VIII Liceum Ogólnokształcące, ul. Swarzewska 10, 85-731 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;203;72;457
40;"VIII Liceum Ogólnokształcące, ul. Swarzewska 10, 85-731 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;235;114;745
41;"Zespół Szkół Rzemiosła i Przedsiębiorczości, ul. Kijowska 7, 85-703 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;310;127;865
42;"Szkoła Podstawowa nr 32, ul. Bałtycka 59, 85-707 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;167;67;505
43;"Szkoła Podstawowa nr 32, ul. Bałtycka 59, 85-707 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;241;92;585
44;"Szkoła Podstawowa nr 32, ul. Bałtycka 59, 85-707 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;223;98;680
45;"Szkoła Podstawowa nr 32, ul. Bałtycka 59, 85-707 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;333;134;821
46;"Zespół Szkół Handlowych, ul. Gajowa 94, 85-717 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;286;96;620
47;"Zespół Szkół Handlowych, ul. Gajowa 94, 85-717 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;276;91;614
48;"Zespół Szkół Ekonomiczno-Administracyjnych, ul. Gajowa 98, 85-717 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;284;103;613
49;"Bydgoski Zakład Doskonalenia Zawodowego Stowarzyszenie Oświatowo-Techniczne, ul. Fordońska 120, 85-738 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;141;65;252
50;"Szkoła Podstawowa nr 19, ul. Kapliczna 7, 85-775 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;207;66;286
51;"Szkoła Podstawowa nr 43, ul. Łowicka 45, 85-776 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;213;109;390
52;"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;155;98;473
53;"Zespół Szkół nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;263;129;622
54;"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;143;74;489
55;"Zespół Szkół nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;188;66;431
56;"Zespół Szkół Nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;276;84;584
57;"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;129;42;294
58;"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;171;84;532
59;"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;344;247;1368
60;"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;277;118;716
61;"Zespół Szkół nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;466;201;1140
62;"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;263;93;532
63;"Miejskie Centrum Kultury, ul. Gawędy 5, 85-792 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;242;75;486
64;"Miejskie Centrum Kultury, ul. Gawędy 5, 85-792 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;288;105;559
65;"Miejskie Centrum Kultury, ul. Gawędy 5, 85-792 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;263;107;595
66;"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;193;60;423
67;"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;332;117;645
68;"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;276;104;516
69;"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;251;110;588
70;"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;155;62;344
71;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;352;128;678
72;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;361;140;846
73;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;167;82;348
74;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;319;145;639
75;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;345;164;962
76;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;177;81;497
77;"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;205;68;360
78;"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;177;79;408
79;"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;109;72;503
80;"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;213;98;563
81;"Zespół Szkolno-Przedszkolny nr 4, ul. Wyzwolenia 4, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;314;175;947
82;"Zespół Szkolno-Przedszkolny nr 4, ul. Wyzwolenia 4, 85-790 Bydgoszcz";46101;"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";1;1;388;186;836
