"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOCHAN Łukasz Szymon - KW PRAWO I SPRAWIEDLIWOŚĆ";"WCISŁA Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MASIEWICZ-GRODŹ Justyna Joanna - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
5;"Dom Pomocy Społecznej, ul. Szpitalna 2, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;12;2;8
6;"Świetlica Wiejska, Kadyny 13C, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;99;201;21
7;"Świetlica Wiejska w Kamionku Wielkim, Kamionek Wielki 5B, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;74;144;14
8;"Świetlica Wiejska, Chojnowo 10, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;46;38;10
9;"Świetlica Wiejska, Pagórki 20, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;26;48;7
1;"Zespół Szkolno-Przedszkolny, ul. Polna 36, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;345;623;56
2;"Zespół Szkolno-Przedszkolny, ul. Polna 36, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;172;341;31
3;"Przedszkole Niepubliczne ""Kubuś"", ul. Ogrodowa 1, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;165;337;50
4;"Spółdzielnia Mieszkaniowa ""Warmia"", ul. Księcia Józefa Poniatowskiego 18, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;265;583;79
5;"Lokal po byłej Filii Miejskiej Biblioteki Publicznej, ul. Ornecka 6A, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;150;262;42
6;"Młodzieżowy Dom Kultury, ul. Księcia Józefa Poniatowskiego 3, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;142;308;39
7;"Budynek po byłym Zespole Szkół i Placówek Oświatowych, ul. Józefa Wierzbickiego 3A, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;316;710;71
8;"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;143;398;34
9;"Lidzbarski Dom Kultury, ul. Juliusza Słowackiego 4, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;288;644;73
10;"Szkoła Podstawowa Nr 3, ul. Lipowa 17A, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;275;521;82
11;"Szpital Powiatowy, ul. Bartoszycka 3, 11-100 Lidzbark Warmiński";280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;4;5;0
1;"Świetlica Wiejska w Kiwitach, Kiwity 2, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;178;189;57
2;"Niepubliczna Szkoła Podstawowa w Żegotach, Żegoty 91, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;160;135;44
3;"Niepubliczna Szkoła Podstawowa w Krekolach, Krekole 36, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;86;64;20
4;"Świetlica Wiejska w Stoczku, Stoczek 31, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;90;24;89
5;"Świetlica Wiejska w Klutajnach, Klutajny 21, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;47;37;9
6;"Świetlica Wiejska w Samolubiu, Samolubie 14/1, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;68;58;18
7;"Świetlica Wiejska w Kierwinach, Kierwiny 4A, 11-106 Kiwity";280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";1;1;50;65;12
1;"Urząd Gminy Lidzbark Warmiński, ul. Ignacego Krasickiego 1, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;219;311;71
2;"Szkoła Podstawowa, Kraszewo 2, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;180;197;50
3;"Budynek byłej szkoły podstawowej, Kłębowo 7, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;159;240;35
4;"Świetlica wiejska, Rogóż 19A, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;160;206;42
5;"Świetlica wiejska, Runowo 41A, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;89;117;30
6;"Świetlica wiejska, Babiak 13, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;76;58;9
7;"Świetlica wiejska, Kochanówka 17, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;78;78;17
8;"Świetlica wiejska, Łaniewo 79, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;105;86;20
9;"Gminne Centrum Kultury, Pilnik 2, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;25;79;10
10;"Świetlica wiejska, Ignalin 8, 11-100 Lidzbark Warmiński";280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";1;1;52;48;15
1;"Zespół Szkół w Lubominie, ul. Kopernika 4, 11-135 Lubomino";280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";1;1;246;336;83
2;"Środowiskowy Dom Samopomocy w Wolnicy, Wolnica 50, 11-135 Lubomino";280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";1;1;67;77;32
3;"Szkoła Podstawowa w Wilczkowie, Wilczkowo 73, 11-135 Lubomino";280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";1;1;158;107;35
4;"Przedszkole Samorządowe, Rogiedle 28, 11-135 Lubomino";280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";1;1;132;136;36
1;"Ośrodek Sportu i Rekreacji w Ornecie ul Sportowa 7, ul. Sportowa 7, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;391;552;88
2;"Miejski Dom Kultury w Ornecie ul. 1 Maja 45, ul. 1 Maja 45, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;421;598;104
3;"Szkoła Podstawowa Nr 1 w Ornecie ul. Zamkowa 26, ul. Zamkowa 26, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;189;222;76
4;"Szkoła Podstawowa nr 1 w Ornecie ul. Warmińska 11, ul. Warmińska 11, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;267;414;67
5;"Szkoła Podstawowa Nr 4 w Ornecie ul. Kopernika 13, ul. Kopernika 13, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;250;376;72
6;"Szkoła Podstawowa w Bażynach, Bażyny 17, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;171;149;39
7;"Świetlica Wiejska w Henrykowie, Henrykowo 47, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;113;83;75
8;"Świetlica Wiejska w Mingajnach, Mingajny 65, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;120;105;54
9;"Świetlica Wiejska w Opinie, Opin 9, 11-130 Orneta";280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";1;1;63;30;9
1;"Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy Koło PSONI w Elblągu, ul. Szarych Szeregów 32, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;409;792;75
2;"Szkoła Podstawowa Nr 9, ul. Józefa Wybickiego 20, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;488;681;43
3;"Szkoła Podstawowa Nr 18, ul. Węgrowska 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;320;497;35
4;"Przedszkole Nr 21, ul. Wiejska 6, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;423;696;61
5;"Spółdzielnia Mieszkaniowa ""Zakrzewo"", ul. Robotnicza 246, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;354;705;69
6;"Szkoła Podstawowa Nr 18, ul. Węgrowska 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;286;746;55
7;"Zespół Szkół Inżynierii Środowiska i Usług, ul. Obrońców Pokoju 44, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;162;268;20
8;"Szkoła Podstawowa Nr 18, ul. Węgrowska 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;302;636;63
9;"Świetlica w Próchniku, ul. Strumykowa 35, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;117;337;38
10;"Szkoła Podstawowa Nr 11, ul. Janusza Korczaka 34, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;306;565;40
11;"Szkoła Podstawowa Nr 11, ul. Janusza Korczaka 34, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;407;685;72
12;"Przedszkole Nr 24, ul. Jana Brzechwy 5, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;533;932;79
13;"Przedszkole Nr 24, ul. Jana Brzechwy 5, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;425;1136;98
14;"Szkoła Podstawowa Nr 15, ul. Modlińska 39, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;468;946;105
15;"Szkoła Podstawowa Nr 15, ul. Modlińska 39, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;361;805;71
16;"Przedszkole Niepubliczne ""Wiki"", ul. Częstochowska 5, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;440;805;69
17;"NZOZ Młodzieżowy Ośrodek Terapeutyczny KARAN ""Dom Zacheusza"", ul. Królewiecka 197, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;294;714;63
18;"Przedszkole Niepubliczne ""Bajka"", ul. Lubraniecka 19, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;403;639;64
19;"Zespół Szkół Zawodowych Nr 1, ul. Robotnicza 173, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;294;762;62
20;"Zespół Szkół Zawodowych Nr 1, ul. Robotnicza 173, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;376;723;72
21;"Szkoła Podstawowa Nr 1, ul. Ignacego Daszyńskiego 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;324;746;86
22;"Szkoła Podstawowa Nr 1, ul. Ignacego Daszyńskiego 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;412;801;64
23;"Przedszkole Nr 23, ul. Pułkownika Stanisława Dąbka 49, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;316;568;61
24;"Świetlica ESM ""Sielanka"", ul. Gwiezdna 26/27, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;401;657;72
25;"III Liceum Ogólnokształcące, ul. Browarna 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;390;539;65
26;"Szkoła Podstawowa Nr 6, al. Aleja Józefa Piłsudskiego 4, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;304;732;52
27;"Zespół Szkół Gospodarczych, ul. Królewiecka 128, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;267;766;59
28;"Szkoła Podstawowa Nr 19 z Oddziałami Dwujęzycznymi, ul. Urocza 4, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;289;585;50
29;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, ul. Mikołaja Kopernika 27, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;315;509;44
30;"Dom Pomocy Społecznej ""Niezapominajka"", ul. Toruńska 17, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;28;19;5
31;"Szkoła Podstawowa nr 12, ul. Wojciecha Zajchowskiego 12, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;260;512;50
32;"Zespół Szkół i Placówek Sportowych IV Liceum Ogólnokształcące, ul. Henryka Sienkiewicza 4, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;289;638;64
33;"Zespół Szkół i Placówek Sportowych IV Liceum Ogólnokształcące, ul. Henryka Sienkiewicza 4, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;315;671;53
34;"Młodzieżowy Dom Kultury, ul. Generała Józefa Bema 37, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;407;727;79
35;"Szkoła Podstawowa Nr 25, ul. Wyżynna 3, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;483;1180;134
36;"Przedszkole Nr 17, ul. Karowa 30, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;282;452;44
37;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Królewiecka 42, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;339;666;67
38;"Szkoła Podstawowa Nr 12, ul. Wojciecha Zajchowskiego 12, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;358;706;46
39;"Szkoła Podstawowa Nr 23, ul. Słoneczna 14, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;372;764;72
40;"Zespół Państwowych Szkół Muzycznych, ul. Romualda Traugutta 91, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;285;558;51
41;"I Liceum Ogólnokształcące, ul. Pocztowa 2, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;237;1418;68
42;"Szkoła Podstawowa Nr 21, ul. Zbyszka Godlewskiego 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;348;929;77
43;"Szkoła Podstawowa Nr 8, ul. Szańcowa 2, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;353;767;68
44;"Zespół Szkół Techniczno-Informatycznych, ul. Rycerska 2, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;215;549;45
45;"Przedszkole Nr 14, ul. Michała Bałuckiego 17, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;295;732;67
46;"Akademia Nauk Stosowanych w Elblągu, ul. Czerniakowska 22, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;322;553;91
47;"Przedszkole Nr 18, ul. Romualda Mielczarskiego 47, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;189;342;35
48;"Szkoła Podstawowa Nr 14, ul. Romualda Mielczarskiego 45, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;446;645;66
49;"Wojewódzki Ośrodek Ruchu Drogowego w Elblągu, ul. Skrzydlata 1, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;308;752;72
50;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 2, ul. Polna 8A, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;258;442;51
51;"Szkoła Podstawowa Nr 4, ul. Adama Mickiewicza 41, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;369;677;84
52;"Zespół Szkół Mechanicznych, ul. Jana Amosa Komeńskiego 39, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;302;585;45
53;"Szkoła Podstawowa Nr 16, ul. Sadowa 2, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;375;734;71
54;"Akademia Nauk Stosowanych w Elblągu, al. Aleja Grunwaldzka 137, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;498;934;65
55;"Zespół Szkół Technicznych, ul. Artura Grottgera 71, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;314;629;71
56;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Rawska 3, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;380;756;98
57;"Biblioteka Elbląska Filia Nr 3, al. Aleja Józefa Piłsudskiego 17, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;352;534;54
58;"Wojewódzki Szpital Zespolony, ul. Królewiecka 146, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;50;122;9
59;"Szpital Miejski św. Jana Pawła II ul. Jana Amosa Komeńskiego 35 budynek przy ul. Stefana Żeromskiego 22, ul. Stefana Żeromskiego 22, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;19;22;7
60;"Szpital Miejski św. Jana Pawła II, ul. Jana Amosa Komeńskiego 35, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;22;9;3
61;"Szpital Miejski św. Jana Pawła II ul. Jana Amosa Komeńskiego 35 budynek przy ul. Związku Jaszczurczego 22, ul. Związku Jaszczurczego 22, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;0;1;0
62;"Areszt Śledczy, ul. 12 Lutego 4A, 82-300 Elbląg";286101;"m. Elbląg";"Elbląg";"warmińsko-mazurskie";1;1;21;152;23
