"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZAJA Herbert Wincenty - KW BEZPARTYJNI SAMORZĄDOWCY";"PECZKIS Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"GODYLA Beniamin Wincenty - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Gminna Biblioteka Publiczna w Baborowie, rynek Rynek 17, 48-120 Baborów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;96;238;223
2;"Urząd Miejski w Baborowie, ul. Ratuszowa 2a, 48-120 Baborów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;82;248;255
3;"Zespół Szkolno-Przedszkolny, ul. Wiejska 5a, 48-120 Baborów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;83;241;162
4;"Strażacki Dom Ludowy, Sucha Psina 28, 48-133 Sucha Psina";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;55;132;86
5;"Świetlica Wiejska, Raków 83B, 48-120 Raków";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;42;87;71
6;"Świetlica Wiejska w Boguchwałowie, Boguchwałów 31B, 48-100 Boguchwałów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;19;77;41
7;"Świetlica Wiejska w Dziećmarowie, Dziećmarów 91B, 48-120 Dziećmarów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;34;43;38
8;"Świetlica Wiejska w Tłustomostach, Tłustomosty 3, 47-480 Tłustomosty";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;44;117;80
9;"Świetlica Wiejska, Dzielów 19, 48-120 Baborów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;14;61;29
10;"Dom Opieki ""Spokojna Przystań II"" w Baborowie, ul. Powstańców 3, 48-120 Baborów";160201;"gm. Baborów";"głubczycki";"opolskie";1;1;5;10;4
1;"Szkoła Podstawowa w Branicach, ul. Szkolna 8, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;84;231;174
2;"Świetlica Wiejska w Wysokiej, Wysoka 18, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;47;145;121
3;"Szkoła Podstawowa we Włodzieninie, Włodzienin 50, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;74;200;113
4;"Świetlica Wiejska w Uciechowicach, Uciechowice 1, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;70;147;144
5;"Świetlica Wiejska w Bliszczycach, Bliszczyce 112, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;26;98;77
6;"Świetlica Wiejska w Lewicach, Lewice 25B, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;67;227;84
7;"Szkoła Podstawowa w Branicach, ul. Słoneczna 8, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;72;244;232
8;"Dom Pomocy Społecznej w Klisinie Filia w Dzbańcach, Dzbańce-Osiedle 1, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;15;24;63
9;"Dom Pomocy Społecznej w Klisinie Filia w Boboluszkach, Boboluszki 71, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;2;4;36
10;"Dom Pomocy Społecznej w Klisinie Filia w Branicach, ul. Szpitalna 18, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;4;13;24
11;"Dom Pomocy Społecznej w Klisinie Filia w Bliszczycach, Bliszczyce 76, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;1;22;22
12;"Specjalistyczny Szpital im. Ks. Biskupa Józefa Nathana w Branicach (Pawilon J-sala gimnastyczna), ul. Szpitalna 18, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;23;86;37
13;"Regionalny Ośrodek Psychiatrii Sądowej w Branicach, ul. Szpitalna 19, 48-140 Branice";160202;"gm. Branice";"głubczycki";"opolskie";1;1;7;17;8
1;"Szkoła Podstawowa Nr 1, ul. Dworcowa 2, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;81;308;347
2;"Szkoła Podstawowa Nr 2, ul. Jana Kochanowskiego 2, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;81;300;263
3;"Ratusz, rynek Rynek 1, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;171;521;494
4;"Internat Specjalnego Ośrodka Szkolno-Wychowawczego, ul. Raciborska 19, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;71;204;234
5;"Szkoła Podstawowa Nr 3, ul. Jana Kochanowskiego 31, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;139;401;578
6;"Świetlica Zarządu Oświaty Kultury i Sportu, ul. Olimpijska 1, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;115;420;440
7;"Miejski Ośrodek Kultury, ul. Tadeusza Kościuszki 24, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;82;258;284
8;"Szkoła Podstawowa, Gołuszowice 34, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;60;196;105
9;"Szkoła Podstawowa, Bogdanowice ul. Konopnickiej 15, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;48;219;95
10;"Środowiskowy Dom Samopomocy, Nowe Gołuszowice 18, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;48;169;88
11;"Zespół Szkół, Pietrowice 9, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;44;211;165
12;"Świetlica Wiejska, Zubrzyce ul. Długa 32, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;37;176;64
13;"Świetlica Wiejska, Równe 120, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;48;173;116
14;"Świetlica Wiejska, Pomorzowice 1, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;44;199;128
15;"Sala gimnastyczna Szkoły Podstawowej w Klisinie, Klisino 100C, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;46;126;121
16;"Świetlica Wiejska, Głubczyce-Sady 1, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;52;137;114
17;"Szkoła Podstawowa, Lisięcice ul. Szkolna 5, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;76;240;190
18;"Szkoła Podstawowa, Grobniki ul. św. Jana 13, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;40;188;122
19;"Świetlica Wiejska w Debrzycy, Debrzyca ul. Szkolna 2, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;26;106;48
20;"Świetlica Wiejska w Nowej Wsi Głubczyckiej, Nowa Wieś Głubczycka 60, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;28;120;58
21;"Świetlica Wiejska w Zawiszycach, Zawiszyce 1A, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;23;88;55
22;"Świetlica Wiejska w Zopowych, Zopowy ul. Zielona 1, 48-145 Zubrzyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;10;62;23
23;"Dom Pomocy Społecznej w Klisinie, Klisino 100, 48-118 Lisięcice";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;11;11;12
24;"Dom Pomocy Społecznej w Klisinie Filia w Radyni, Radynia 40, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;2;5;24
25;"Placówka Opieki Całodobowej ""Spokojna Przystań"", Chomiąża 46a, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;0;10;13
26;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Głubczycach, ul. Marii Skłodowskiej-Curie 26, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;4;8;12
27;"Zakład Karny w Głubczycach, ul. Jana Kochanowskiego 3, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;25;29;141
28;"Dom Pomocy Społecznej w Klisinie Filia w Głubczycach, ul. Dworcowa 10, 48-100 Głubczyce";160203;"gm. Głubczyce";"głubczycki";"opolskie";1;1;2;5;3
1;"Centrum Kultury i Sportu w Kietrzu, ul. Wojska Polskiego 14, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;183;450;503
2;"Zespół Szkół w Kietrzu, ul. Kościuszki 14, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;148;379;406
3;"Zespół Szkół w Kietrzu, ul. Głowackiego 37, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;123;303;265
4;"Zespół Szkolno-Przedszkolny w Nowej Cerekwii, Nowa Cerekwia ul. Rogożańska 4, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;66;247;119
5;"Wiejski Dom Kultury w Nasiedlu, Nasiedle ul. Zamkowa 7A, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;43;83;68
6;"Szkoła Podstawowa w Dzierżysławiu, Dzierżysław ul. Szkolna 4, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;64;109;117
7;"Świetlica wiejska w Lubotyniu, Lubotyń 30, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;42;82;100
8;"Szkoła Podstawowa w Pilszczu, Pilszcz ul. Owsiana 3, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;71;118;115
9;"Świetlica wiejska w Wojnowicach, Wojnowice ul. Okrężna 27, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;40;192;99
10;"Szkoła Podstawowa w Ściborzycach Wielkich, Ściborzyce Wielkie 105, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;31;74;61
11;"Świetlica Wiejska w Chróścielowie, Chróścielów 51, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;31;80;74
12;"Świetlica Wiejska w Rozumicach, Rozumice 11, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;35;87;40
13;"Dom Pomocy Społecznej w Klisinie Filia w Kietrzu, ul. Plac Biskupa Konrada 1a, 48-130 Kietrz";160204;"gm. Kietrz";"głubczycki";"opolskie";1;1;5;16;27
1;"Osiedlowy Dom Kultury ""Kubiczek"", ul. Główna 54, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;103;141;327
2;"Publiczna Szkoła Podstawowa Nr 20, ul. Archimedesa 25, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;113;231;518
3;"Publiczne Przedszkole nr 21, ul. Filtrowa 13, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;104;224;592
4;"Publiczna Szkoła Podstawowa nr 12, ul. Piastowska 30, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;133;373;616
5;"Publiczna Szkoła Podstawowa nr 12, ul. Grzegorza Piramowicza 30, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;110;241;477
6;"Dom Kultury ""Koźle"", ul. Skarbowa 10, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;121;267;661
7;"Zespół Szkół Specjalnych, ul. Ignacego Krasickiego 10, 47-206 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;160;257;735
8;"Publiczna Szkoła Podstawowa nr 15, ul. Karola Szymanowskiego 19, 47-206 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;123;208;557
9;"Publiczna Szkoła Podstawowa Nr 5, ul. Tadeusza Kościuszki 41, 47-224 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;157;347;613
10;"Publiczne Przedszkole nr 6, ul. Tadeusza Kościuszki 21, 47-224 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;143;363;651
11;"Publiczna Szkoła Podstawowa nr 5, ul. Tadeusza Kościuszki 41, 47-224 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;163;310;732
12;"Publiczna Szkoła Podstawowa nr 11, ul. Aleja Partyzantów 30, 47-224 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;125;370;691
13;"Publiczne Przedszkole nr 23, ul. Wierzbowa 4, 47-224 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;118;293;546
14;"Siedziba Rady Osiedla ""Kuźniczka"", ul. Grunwaldzka 83, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;48;153;397
15;"II Liceum Ogólnokształcące, ul. Jana Matejki 19, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;140;268;538
16;"Publiczna Szkoła Podstawowa nr 6, ul. 1 Maja 3, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;104;227;418
17;"Dom Kultury ""Chemik"", ul. Aleja Jana Pawła II 27, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;135;385;792
18;"Publiczne Przedszkole nr 8, ul. Romana Dmowskiego 5, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;157;329;755
19;"Publiczna Szkoła Podstawowa nr 9, ul. Jurija Gagarina 3, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;97;219;381
20;"Publiczne Przedszkole nr 22, ul. 9 Maja 4, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;112;280;539
21;"Publiczne Przedszkole nr 24, ul. Leszka Białego 7, 47-232 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;102;337;581
22;"Publiczne Przedszkole nr 26, ul. Bolesława Śmiałego 5, 47-232 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;96;270;479
23;"Publiczna Szkoła Podstawowa nr 19, ul. Mieszka I 4, 47-232 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;145;393;598
24;"Publiczna Szkoła Podstawowa nr 19, ul. Mieszka I 4, 47-232 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;170;422;825
25;"Publiczna Szkoła Podstawowa nr 3, ul. Ignacego Mościckiego 14, 47-223 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;109;240;536
26;"Dom Kultury ""Lech"", ul. Wyzwolenia 7b, 47-225 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;172;317;592
27;"Siedziba Rady Osiedla Lenartowice, ul. Nowowiejska 8, 47-225 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;35;70;136
28;"Publiczna Szkoła Podstawowa nr 10, ul. Szkolna 3, 47-225 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;34;73;157
