"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MASŁOWSKI Piotr Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PIECHA Wojciech Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"FOJCIK Andrzej Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁEK Mirosław Jan - KW POLSKA 2050"
1;"Szkoła Podstawowa nr 2 im. Piastów Śląskich, ul. Cieszyńska 12, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;263;208;87;59
2;"Przedszkole nr 2 Integracyjne, ul. Miodowa 11, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;236;217;67;39
3;"Zespół Szkół Energetycznych i Usługowych, ul. Chopina 11b, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;289;225;67;50
4;"Miejski Dom Kultury, ul. Świętego Jana Pawła II 2, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;456;284;120;67
5;"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;292;271;79;43
6;"Przedszkole nr 5 im. Przyjaciół Bohaterów Bajek, ul. Chopina 1, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;213;165;62;40
7;"Szkoła Podstawowa nr 3 im. Mikołaja Kopernika, ul. Ogrodowa 48, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;437;334;141;73
8;"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;507;315;146;64
9;"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;391;381;131;88
10;"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;480;340;135;115
11;"Szkoła Podstawowa nr 4 im. Przyjaciół Ziemi, ul. Powstańców 6, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;235;258;79;51
12;"Szkoła Podstawowa nr 5 im. Powstańców Śląskich, ul. Szkolna 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;323;204;98;60
13;"Szkoła Podstawowa nr 5 im. Powstańców Śląskich, ul. Szkolna 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;449;232;98;39
14;"Miejski Dom Kultury (Filia Łaziska Średnie), ul. Świętej Barbary 17, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;197;199;66;51
15;"Miejska Biblioteka Publiczna (Filia w Łaziskach Średnich), ul. Kardynała Wyszyńskiego 8, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;216;154;59;49
16;"Salon samochodowy, ul. Leśna 1, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;421;200;86;67
1;"Miejska Biblioteka Publiczna, ul. Karola Miarki 5, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;298;227;80;44
2;"Sąd Rejonowy, ul. ks. kard. Stefana Wyszyńskiego 4, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;476;271;80;62
3;"Punkt Społecznej Życzliwości, ul. Podleska 14b, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;375;245;66;71
4;"Przedszkole nr 2, ul. Wincentego Janasa 2, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;219;183;59;46
5;"Szkoła Podstawowa Nr 10, ul. Krakowska 30, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;413;285;70;53
6;"Szkoła Podstawowa Nr 10, ul. Krakowska 30, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;564;348;116;95
7;"Szkoła Podstawowa nr 3, ul. ks. bp. Bandurskiego 1, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;729;513;130;122
8;"Szkoła Podstawowa nr 3, ul. ks. bp. Bandurskiego 1, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;811;371;127;123
9;"Szkoła Podstawowa Nr 1, ul. Konstytucji 3 Maja 20, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;982;392;169;137
10;"Liceum Ogólnokształcące, ul. Żwirki i Wigury 25, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;605;346;131;86
11;"Liceum Ogólnokształcące, ul. Żwirki i Wigury 25, 43-190 Mikołów";240802;"m. Mikołów";"mikołowski";"śląskie";1;1;399;298;112;69
