"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KARPIŃSKI Marcin - KW NOWA LEWICA";"ŁUCZAK Maciej Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOMAGAŁA Klaudia Ewa - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
24;"Państwowa Szkoła Muzyczna, ul. Sokołowska 4, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;440;163;135
25;"Starostwo Powiatowe w Zgierzu, ul. Sadowa 6A, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;380;184;82
26;"Szkoła Podstawowa Nr 4 im. Jana Niepokoja, ul. Łódzka 2, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;365;237;106
27;"Szkoła Podstawowa nr 4 im. Jana Niepokoja, ul. Łódzka 2, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;301;165;86
28;"Szkoła Podstawowa Nr 10, ul. Ozorkowska 68/70, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;622;408;126
29;"Szkoła Podstawowa Nr 10, ul. Ozorkowska 68/70, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;675;388;190
30;"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi, ul. Józefa Piłsudskiego 1, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;498;375;164
31;"Szkoła Podstawowa Nr 3, ul. Szczawińska 2, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;373;288;141
32;"Szkoła Podstawowa Nr 3, ul. Szczawińska 2, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;322;295;123
33;"Miejskie Przedszkole Nr 10, ul. Michała Ossowskiego 26, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;408;293;137
34;"Miejskie Przedszkole Nr 10, ul. Michała Ossowskiego 26, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;392;253;104
35;"Zespół Szkół Nr 1 im. Jakuba Stefana Cezaka, ul. Długa 89/91, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;639;382;173
36;"Centrum Szkoleniowo-Rehabilitacyjne z Domem Mieszkalnym im. Bożenny Piotrowicz PSONI Koło w Zgierzu, ul. Chełmska 42/42A, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;587;241;134
37;"Wojewódzki Szpital Specjalistyczny im. Marii Skłodowskiej-Curie w Zgierzu, ul. Parzęczewska 35, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;63;63;25
38;"Centrum Medyczne Boruta Sp. z o. o. w Zgierzu, ul. Andrzeja Struga 2-4, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;2;1;0
39;"Europejskie Centrum Opieki Medycznej i Pomocy Rodzinie ""CARE"" Sp. z o. o. w Zgierzu, ul. Stanisława Dubois 17, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;16;21;9
40;"Dom Pomocy Społecznej w Zgierzu, ul. Chełmska 16/18, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;7;13;4
41;"Niepubliczny Zakład Opieki Paliatywnej przy Stowarzyszeniu ""Hospicjum"" im. Jana Pawła II przy Parafii N. M. P. Różańcowej w Zgierzu, ul. Parzęczewska 72, 72a, 72b, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;5;5;1
42;"Zgierskie Centrum Kardiologii Med-Pro Polsko-Amerykańskich Klinik Serca, ul. Parzęczewska 35, 95-100 Zgierz";102003;"m. Zgierz";"zgierski";"łódzkie";1;1;6;5;2
1;"Szkoła nr 1 im. Jana Pawła II w Aleksandrowie Łódzkim, ul. Ludwika Waryńskiego 22/26, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1038;657;271
2;"Spółdzielnia Mieszkaniowa w Aleksandrowie Łódzkim, ul. Romana Dmowskiego 1, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1191;558;315
3;"Sportowa Szkoła Podstawowa nr 3 im. Józefa Jaworskiego w Aleksandrowie Łódzkim, ul. Bankowa 7, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1014;583;305
4;"Urząd Miejski w Aleksandrowie Łódzkim, ul. Jakuba Jasińskiego 20, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1121;580;354
5;"Centrum Pomocy Rodzinie i Usług Socjalnych, ul. Warszawska 10, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;938;627;263
6;"Szkoła Podstawowa nr 4 im. Marii Skłodowskiej-Curie w Aleksandrowie Łódzkim, al. Wyzwolenia 3, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;699;482;222
7;"Szkoła Podstawowa nr 4 im. Marii Skłodowskiej-Curie w Aleksandrowie Łódzkim, al. Wyzwolenia 3, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;979;389;276
8;"Szkoła Podstawowa im. Księdza Kardynała Stefana Wyszyńskiego Prymasa Tysiąclecia w Rąbieniu, Rąbień ul. Słowiańska 5, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1250;336;231
9;"Szkoła Podstawowa im. Księdza Kardynała Stefana Wyszyńskiego Prymasa Tysiąclecia w Rąbieniu, Rąbień ul. Słowiańska 5, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;1152;385;261
10;"Szkoła Podstawowa im. Ryszarda Wyrzykowskiego w Bełdowie, Bełdów 37, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;638;440;167
11;"Szkoła Podstawowa z oddziałami integracyjnymi im. Janusza Korczaka w Rudzie-Bugaj, Ruda-Bugaj 54, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;492;189;130
12;"Szkoła Podstawowa nr 4 im. Marii Skłodowskiej-Curie w Aleksandrowie Łódzkim, al. Wyzwolenia 3, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;419;194;155
13;"Budynek Koła Gospodyń Wiejskich w Krzywcu, ul. Konstantego Okołowicza 62, 95-070 Krzywiec";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;212;65;47
14;"Budynek OSP w Saniach, Sanie 21A, 95-070 Sanie";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;112;32;39
15;"Budynek OSP w Sobieniu, Sobień 2, 95-070 Sobień";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;73;54;26
16;"Budynek OSP w Nakielnicy, Nakielnica 36, 95-070 Nakielnica";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;82;51;33
17;"Dom Pomocy Społecznej w Rąbieniu AB, Rąbień AB 59, 95-070 Aleksandrów Łódzki";102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";1;1;4;6;4
1;"Zespół Szkolno-Przedszkolny w Mąkolicach, Mąkolice 96, 95-015 Głowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;95;472;74
2;"Zespół Szkolno-Przedszkolny w Popowie Głowieńskim, Popów Głowieński 25, 95-015 Głowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;190;264;102
3;"Ośrodek Upowszechniania Kultury w Bronisławowie, Bronisławów 10, 95-015 Glowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;196;165;94
4;"Środowiskowy Dom Samopomocy w Woli Zbrożkowej, Wola Zbrożkowa 36, 95-015 Głowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;58;96;42
5;"Zespół Szkolno-Przedszkolny w Lubiankowie, Lubianków 45, 95-015 Głowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;153;197;104
6;"Zespół Szkolno-Przedszkolny w Lubiankowie, Lubianków 45, 95-015 Głowno";102005;"gm. Głowno";"zgierski";"łódzkie";1;1;148;153;56
1;"Gminny Ośrodek Kultury w Leśmierzu, Leśmierz 23, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;213;302;95
2;"Szkoła Podstawowa im. 17 Wielkopolskiej Dywizji Piechoty w Modlnej, Modlna 29, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;229;348;69
3;"Budynek komunalny-świetlica środowiskowa, ul. Gabriela Sokolnickiego 1, 95-039 Sokolniki-Las";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;557;213;112
4;"Budynek komunalny-świetlica wiejska, Helenów 8, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;224;319;98
5;"Szkoła Podstawowa im. Konstantego Ildefonsa Gałczyńskiego w Solcy Wielkiej, Solca Wielka 58, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;233;404;141
6;"Budynek komunalny-świetlica środowiskowa, Sierpów 87a, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;161;245;88
7;"Budynek komunalny-świetlica środowiskowa, Skromnica 22, 95-035 Ozorków";102006;"gm. Ozorków";"zgierski";"łódzkie";1;1;70;163;35
1;"Forum Inicjatyw Twórczych w Parzęczewie, ul. Ozorkowska 3, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;265;204;103
2;"Szkoła Podstawowa w Parzęczewie, ul. Parkowa 6, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;189;176;68
3;"Wiejski Ośrodek Kultury w Śniatowej, Śniatowa 19, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;83;119;36
4;"Budynek Ochotniczej Straży Pożarnej w Opolu, Opole 20, 95-043 Leźnica Wielka";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;86;118;48
5;"Klub Garnizonowy w Leźnicy Wielkiej-Osiedle, Leźnica Wielka-Osiedle Bl. Nr 1, 95-043 Leźnica Wielka";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;168;109;89
6;"Budynek Ochotniczej Straży Pożarnej w Śliwnikach, Śliwniki 3, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;43;60;16
7;"Szkoła Podstawowa w Chociszewie, Chociszew 40, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;229;224;108
8;"Szkoła Podstawowa w Chociszewie, Chociszew 40, 95-045 Parzęczew";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;244;126;73
9;"Budynek Ochotniczej Straży Pożarnej w Orłej, Orła 33, 95-073 Grotniki";102007;"gm. Parzęczew";"zgierski";"łódzkie";1;1;91;118;51
1;"Ośrodek Kultury i Rekreacji w Strykowie, pl. Plac Waleriana Łukasińskiego 4, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;561;358;167
2;"Szkoła Podstawowa Nr 2 im. Noblistów Polskich w Strykowie, ul. Targowa 21, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;502;316;162
3;"Świetlica wiejska w Ossem, Osse 50, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;247;194;71
4;"Zespół Szkół Nr 1 im. Batalionów Chłopskich w Bratoszewicach, pl. Plac St. Staszica 14, 95-011 Bratoszewice";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;347;291;127
5;"Szkoła Podstawowa im. gen. dyw. Tadeusza Kutrzeby w Koźlu, Koźle 65, 95-011 Bratoszewice";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;183;236;85
6;"Ochotnicza Straż Pożarna w Swędowie, Swędów ul. Główna 31, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;368;151;90
7;"Szkoła Podstawowa im. 24 Lutego 1863 r. w Dobrej, Dobra ul. Witanówek 8, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;351;130;87
8;"Centrum Kształcenia i Wychowania OHP w Dobieszkowie, Dobieszków ul. Wspólna 42, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;303;201;92
9;"Dom Kultury w Strykowie-filia w Niesułkowie, Niesułków-Kolonia 13, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;171;159;52
10;"Ochotnicza Straż Pożarna w Warszewicach, Warszewice 20, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;309;220;81
11;"Świetlica wiejska w Woli Błędowej, Wola Błędowa 14, 95-011 Bratoszewice";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;59;44;29
12;"Świetlica wiejska w Wyskokach, Wyskoki 27B, 95-011 Bratoszewice";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;75;47;25
13;"Świetlica wiejska w Smolicach, Smolice 73, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;116;91;32
14;"Ochotnicza Straż Pożarna w Kiełminie, Kiełmina 25, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;170;76;54
15;"Świetlica wiejska w Zelgoszczy, Zelgoszcz 79, 95-010 Stryków";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;130;77;34
16;"Świetlica wiejska w Rokitnicy, Rokitnica 40, 95-011 Bratoszewice";102008;"gm. Stryków";"zgierski";"łódzkie";1;1;48;59;23
1;"Zespół Szkolno-Przedszkolny w Grotnikach, ul. Brzozowa 4, 95-073 Grotniki";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;539;226;141
2;"Szkoła Podstawowa w Słowiku, Słowik ul. Gdańska 42, 95-100 Zgierz";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;721;405;212
3;"Świetlica wiejska w Rosanowie, Rosanów ul. Długa 92, 95-100 Zgierz";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;570;204;123
4;"Szkoła Podstawowa w Dąbrówce Wielkiej, Dąbrówka Wielka ul. Główna 49, 95-100 Zgierz";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;447;245;101
5;"Świetlica Wiejska w Łagiewnikach Nowych, Łagiewniki Nowe ul. Smardzewska 59, 95-002 Smardzew";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;1148;394;219
6;"Szkoła Podstawowa w Szczawinie Kościelnym, Szczawin Przykościelny ul. Kościelna 21, 95-002 Smardzew";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;385;205;43
7;"Szkoła Podstawowa w Białej, ul. Kościelna 4, 95-001 Biała";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;525;401;125
8;"Szkoła Podstawowa w Besiekierzu Rudnym, Besiekierz Rudny 20, 95-001 Biała";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;279;310;112
9;"Szkoła Podstawowa w Giecznie, Gieczno ul. Szkolna 2, 95-001 Biała";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;285;559;154
10;"Świetlica wiejska w Jedliczu A, Jedlicze A ul. Długa 36, 95-073 Grotniki";102009;"gm. Zgierz";"zgierski";"łódzkie";1;1;374;148;80
