"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIDELSKI Zbigniew Antoni - KW BEZPARTYJNI SAMORZĄDOWCY";"GÓRSKI Maciej - KW PRAWO I SPRAWIEDLIWOŚĆ"
8;"Szkoła Podstawowa Nr 1 w Mrozach (hol główny), ul. Szkolna 2, 05-320 Mrozy";141212;"gm. Mrozy";"miński";"mazowieckie";1;1;378;218
9;"Szkoła Podstawowa Nr 1 w Mrozach (sala gimnastyczna), ul. Szkolna 2, 05-320 Mrozy";141212;"gm. Mrozy";"miński";"mazowieckie";1;1;332;285
10;"Świetlica wiejska w Woli Paprotniej, Wola Paprotnia ul. Główna 75, 05-320 Mrozy";141212;"gm. Mrozy";"miński";"mazowieckie";1;1;81;125
11;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w Siedlcach Sp. z o. o., Rudka ul. Aleja Teodora Dunina 1, 05-320 Mrozy";141212;"gm. Mrozy";"miński";"mazowieckie";1;1;14;21
1;"Urząd Gminy w Siennicy, ul. Mińska 33, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;570;472
2;"Remiza OSP w Łękawicy, Łękawica 56, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;163;226
3;"Ochotnicza Straż Pożarna w Wólce Dłużewskiej, Wólka Dłużewska 15, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;257;364
4;"Publiczna Szkoła Podstawowa im. H. Sienkiewicza w Siennicy, ul. Latowicka 16, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;303;308
5;"Publiczna Szkoła Podstawowa im. Absolwentów Siennickich Szkół Pedagogicznych w Nowej Pogorzeli, Nowa Pogorzel ul. Pałacowa 17, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;202;181
6;"Zespół Niepublicznych Specjalnych Placówek Oświatowych ""Możesz więcej"" w Nowym Zglechowie, Nowy Zglechów 27, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;175;221
7;"Publiczna Szkoła Podstawowa im. Edwarda Szymańskiego w Grzebowilku, Grzebowilk ul. Mazowiecka 37, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;167;166
8;"Publiczna Szkoła Podstawowa im. Kornela Makuszyńskiego w Starogrodzie, Starogród 9B, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;52;123
9;"Publiczna Szkoła Podstawowa im. Zawiszy Czarnego w Żakowie, Żaków 48A, 05-332 Żaków";141213;"gm. Siennica";"miński";"mazowieckie";1;1;73;103
10;"Kaśmin Dom Seniora Sp. z o. o., Drożdżówka 5A, 05-332 Siennica";141213;"gm. Siennica";"miński";"mazowieckie";1;1;20;55
1;"Szkoła Podstawowa w Stanisławowie, ul. Szkolna 4A, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;491;569
2;"Szkoła Podstawowa w Pustelniku, Pustelnik ul. Szkolna 16, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;388;444
3;"Szkoła Podstawowa w Ładzyniu, Ładzyń ul. Szkolna 4, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;192;253
4;"Szkoła Podstawowa w Stanisławowie, ul. Szkolna 4A, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;178;362
5;"Szkoła Podstawowa w Stanisławowie, ul. Szkolna 4A, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;118;185
6;"Świetlica wiejska w Cisówce, Cisówka 59A, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;33;123
7;"Budynek remizy OSP Lubomin, Lubomin 16, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;44;76
8;"Budynek remizy OSP Rządza, Rządza 27B, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;164;240
9;"Budynek świetlicy wiejskiej, Wólka Czarnińska 46C, 05-304 Stanisławów";141214;"gm. Stanisławów";"miński";"mazowieckie";1;1;54;92
1;"Szkoła Podstawowa nr 1 im. Pierwszego Marszałka Polski Józefa Piłsudskiego, ul. Idzikowskiego 2a, 05-070 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;2125;717
2;"Szkoła Podstawowa nr 1 im. Pierwszego Marszałka Polski Józefa Piłsudskiego, ul. Idzikowskiego 2a, 05-070 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;990;350
3;"Szkoła Podstawowa nr 2 im. Stefana Czarnieckiego, ul. Okuniewska 2, 05-070 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;1426;559
4;"Szkoła Podstawowa nr 3 im. Marszałka Józefa Piłsudskiego, ul. Głowackiego 47, 05-071 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;901;586
5;"Szkoła Podstawowa nr 3 im. Marszałka Józefa Piłsudskiego, ul. Głowackiego 47, 05-071 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;619;401
6;"Szkoła Podstawowa nr 4 im. Janusza Korczaka, ul. Narutowicza 10, 05-071 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;619;1142
7;"Szkoła Podstawowa nr 4 im. Janusza Korczaka, ul. Narutowicza 10, 05-071 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;708;326
8;"Zespół Szkół Ponadpodstawowych im. Ignacego Jana Paderewskiego w Sulejówku, ul. Paderewskiego 29, 05-070 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;913;445
9;"Zespół Szkół Ponadpodstawowych im. Ignacego Jana Paderewskiego w Sulejówku, ul. Paderewskiego 29, 05-070 Sulejówek";141215;"m. Sulejówek";"miński";"mazowieckie";1;1;1156;546
1;"Przedszkole Nr 1, ul. Klonowa 4, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;584;488
2;"Urząd Stanu Cywilnego, ul. Gdańska 2, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;550;367
3;"Szkoła Podstawowa Nr 1, ul. Karola Szamoty 35, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;995;788
4;"Szkoła Podstawowa Nr 2, ul. Tadeusza Kościuszki 16, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;791;719
5;"Węgrowski Ośrodek Kultury, ul. Adama Mickiewicza 4A, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;772;664
6;"Szpital Powiatowy w Węgrowie, ul. Tadeusza Kościuszki 201, 07-100 Węgrów";143301;"m. Węgrów";"węgrowski";"mazowieckie";1;1;8;13
1;"Klub Seniora + w Grębkowie, ul. Wspólna 5, 07-110 Grębków";143302;"gm. Grębków";"węgrowski";"mazowieckie";1;1;300;426
2;"Szkoła Podstawowa w Grębkowie, ul. Szkolna 1, 07-110 Grębków";143302;"gm. Grębków";"węgrowski";"mazowieckie";1;1;213;514
3;"Filia Gminnej Biblioteki Publicznej w Kopciach, Kopcie 19, 07-110 Grębków";143302;"gm. Grębków";"węgrowski";"mazowieckie";1;1;156;474
4;"Remiza OSP w Żarnówce, Żarnówka 42, 07-110 Grębków";143302;"gm. Grębków";"węgrowski";"mazowieckie";1;1;50;59
1;"Zespół Szkolno-Przedszkolny w Korytnicy, ul. Henryka Sienkiewicza 14, 07-120 Korytnica";143303;"gm. Korytnica";"węgrowski";"mazowieckie";1;1;361;805
2;"Szkoła Podstawowa w Maksymilianowie, Maksymilianów 30, 07-120 Korytnica";143303;"gm. Korytnica";"węgrowski";"mazowieckie";1;1;122;287
3;"Szkoła Podstawowa w Sewerynowie, Sewerynów 81, 07-120 Korytnica";143303;"gm. Korytnica";"węgrowski";"mazowieckie";1;1;109;290
4;"Szkoła Podstawowa w Pniewniku, Pniewnik 35, 07-120 Korytnica";143303;"gm. Korytnica";"węgrowski";"mazowieckie";1;1;208;642
5;"Szkoła Podstawowa w Górkach-Grubakach, Górki-Grubaki 22a, 07-120 Korytnica";143303;"gm. Korytnica";"węgrowski";"mazowieckie";1;1;118;230
1;"Remiza Ochotniczej Straży Pożarnej w Liwie, Liw ul. Kozia 4, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;171;503
2;"Remiza Ochotniczej Straży Pożarnej w Jartyporach, Jartypory 133, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;145;263
3;"Samorządowa Szkoła Podstawowa im. Powstańców Styczniowych w Ruchnie, Ruchna ul. Siedlecka 5, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;367;459
4;"Samorządowa Szkoła Podstawowa im. Bohaterów Września 1939 w Starejwsi, Starawieś ul. Szkolna 1, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;152;170
5;"Samorządowa Szkoła Podstawowa w Wyszkowie im. Kornela Makuszyńskiego, Wyszków 29A, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;96;317
6;"Wiejski Klub Kultury w Jarnicach, Jarnice 73A, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;136;166
7;"Remiza Ochotniczej Straży Pożarnej w Borzychach, Borzychy ul. Podlaska 81, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;111;99
8;"Świetlica wiejska w Pierzchałach, Pierzchały 32A, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;43;65
9;"Świetlica wiejska w Tończy, Tończa 28C, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;161;185
10;"Świetlica wiejska w Popielowie, Popielów 38, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;47;106
11;"Świetlica wiejska w Krypach, Krypy 7A, 07-100 Węgrów";143304;"gm. Liw";"węgrowski";"mazowieckie";1;1;121;102
1;"Remiza OSP w Laskach, Laski 76, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;242;475
2;"Szkoła Podstawowa w Kamionnie, Kamionna ul. Szkolna 18, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;163;348
3;"Szkoła Podstawowa w Ostrówku, ul. Szkolna 2, 07-132 Ostrówek";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;84;227
4;"Szkoła Podstawowa w Ostrówku, ul. Szkolna 2, 07-132 Ostrówek";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;348;504
5;"Świetlica Wiejska w Ogrodnikach, Ogrodniki 59, 07-132 Ostrówek";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;99;295
6;"Świetlica Wiejska w Łosiewicach, Łosiewice 61, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;154;189
7;"Szkoła Podstawowa w Gwizdałach, Gwizdały ul. Szkolna 9, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;145;213
8;"Remiza OSP w Jasiorówce, Jasiorówka 55, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;288;303
9;"Remiza OSP w Budziskach, Budziska 70, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;218;237
10;"Zespół Szkół Ponadpodstawowych w Łochowie, ul. Stanisława Wyspiańskiego 18, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;328;214
11;"Świetlica Łochów ul. Fabryczna, ul. Fabryczna 12, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;248;339
12;"Szkoła Podstawowa Nr 3 w Łochowie, ul. 1 Maja 47, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;439;466
13;"Szkoła Podstawowa Nr 3 w Łochowie, ul. 1 Maja 47, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;330;325
14;"Szkoła Podstawowa Nr 3 w Łochowie, ul. 1 Maja 47, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;263;289
15;"Szkoła Podstawowa Nr 3 w Łochowie, ul. 1 Maja 47, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;434;352
16;"Remiza OSP w Baczkach, Baczki 134, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;119;227
17;"Remiza OSP w Brzuzie, Brzuza 48, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;82;161
18;"Świetlica wiejska w Barchowie, Barchów 81, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;120;137
19;"Świetlica wiejska w Łazach, Łazy 142, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;85;71
20;"Remiza OSP w Pogorzelcu, Pogorzelec ul. Strażacka 1, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;73;91
21;"Świetlica wiejska w Kaliskach, Kaliska 22A, 07-130 Łochów";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;82;120
22;"Samorządowy Dom Pomocy Społecznej ""Pogodnej Starości"" w Ostrówku, ul. Zaciszna 8, 07-132 Ostrówek";143305;"gm. Łochów";"węgrowski";"mazowieckie";1;1;2;18
1;"Sala klubowa w Gminnej Bibliotece Publicznej w Miedznie, pl. Wolności 3, 07-106 Miedzna";143306;"gm. Miedzna";"węgrowski";"mazowieckie";1;1;306;384
2;"Sala kinowa w Gminnej Bibliotece Publicznej w Miedznie, pl. Wolności 3, 07-106 Miedzna";143306;"gm. Miedzna";"węgrowski";"mazowieckie";1;1;64;269
3;"Dom Ludowy we Wrotnowie, Wrotnów 71A, 07-106 Miedzna";143306;"gm. Miedzna";"węgrowski";"mazowieckie";1;1;118;262
4;"Remiza OSP w Żeleźnikach, Żeleźniki 31, 07-106 Miedzna";143306;"gm. Miedzna";"węgrowski";"mazowieckie";1;1;152;264
5;"Remiza OSP w Międzylesiu, Międzyleś 80A, 07-106 Miedzna";143306;"gm. Miedzna";"węgrowski";"mazowieckie";1;1;96;232
1;"GOK w Sadownem, ul. Kościuszki 35, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;323;404
2;"Szkoła Podstawowa w Sadownem, ul. Kościuszki 72B, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;277;425
3;"Szkoła Podstawowa w Grabinach, Grabiny 11, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;181;327
4;"Szkoła Podstawowa w Kołodziążu, Kołodziąż 82, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;129;326
5;"Świetlica Wiejska w Morzyczynie-Włóki, Morzyczyn-Włóki 86, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;137;329
6;"Szkoła Podstawowa w Orzełku, Orzełek 13, 07-140 Sadowne";143307;"gm. Sadowne";"węgrowski";"mazowieckie";1;1;76;202
1;"Zespół Oświatowy w Grygrowie, Grygrów 1b, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;128;220
2;"Strażnica OSP w Mrozowej Woli, Mrozowa Wola 27b, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;103;307
3;"Zespół Oświatowy w Stoczku, ul. Armii Krajowej 1, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;106;231
4;"Zespół Oświatowy w Stoczku, ul. Armii Krajowej 1, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;296;421
5;"Zespół Oświatowy w Toporze, Topór 54, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;110;174
6;"Świetlica wiejska w Grabowcu, Grabowiec 52, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;39;121
7;"Strażnica OSP w Starych Lipkach, Stare Lipki 66, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;90;122
8;"Świetlica wiejska w Żulinie, Żulin 42, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;44;107
9;"Samorządowy Dom Pomocy Społecznej w Starych Lipkach, Stare Lipki 65, 07-104 Stoczek";143308;"gm. Stoczek";"węgrowski";"mazowieckie";1;1;6;8
1;"Szkoła Podstawowa w Wierzbnie, Wierzbno 48, 07-111 Wierzbno";143309;"gm. Wierzbno";"węgrowski";"mazowieckie";1;1;136;241
2;"Szkoła Podstawowa w Krypach, Krypy 59, 07-111 Wierzbno";143309;"gm. Wierzbno";"węgrowski";"mazowieckie";1;1;109;276
3;"Sala konferencyjna Urzędu Gminy w Wierzbnie, Wierzbno 90, 07-111 Wierzbno";143309;"gm. Wierzbno";"węgrowski";"mazowieckie";1;1;137;208
4;"Świetlica wiejska w Czerwonce-Folwark, Czerwonka-Folwark 25, 07-111 Wierzbno";143309;"gm. Wierzbno";"węgrowski";"mazowieckie";1;1;84;237
