"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Stanisław Jan - KW NOWA LEWICA";"CZELEJ Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WYPYCH Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Remiza Ochotniczej Straży Pożarnej w Aleksandrówce, Aleksandrówka 67, 23-320 Batorz";60501;"gm. Batorz";"janowski";"lubelskie";1;1;50;210;42
2;"Publiczna Szkoła Podstawowa w Batorzu, Batorz Pierwszy 80, 23-320 Batorz";60501;"gm. Batorz";"janowski";"lubelskie";1;1;141;494;90
3;"Publiczna Szkoła Podstawowa w Błażku, Błażek 196, 23-320 Batorz";60501;"gm. Batorz";"janowski";"lubelskie";1;1;78;368;50
4;"Remiza Ochotniczej Straży Pożarnej w Stawcach, Stawce 61, 23-320 Batorz";60501;"gm. Batorz";"janowski";"lubelskie";1;1;47;200;36
1;"Publiczna Szkoła Podstawowa, Chrzanów Pierwszy 81, 23-305 Chrzanów";60502;"gm. Chrzanów";"janowski";"lubelskie";1;1;77;421;42
2;"Urząd Gminy Chrzanów (sala narad), Chrzanów Trzeci 112, 23-305 Chrzanów";60502;"gm. Chrzanów";"janowski";"lubelskie";1;1;39;377;39
3;"Publiczna Szkoła Podstawowa, Łada 118, 23-305 Chrzanów";60502;"gm. Chrzanów";"janowski";"lubelskie";1;1;30;237;38
4;"Publiczna Szkoła Podstawowa, Otrocz 32, 23-305 Chrzanów";60502;"gm. Chrzanów";"janowski";"lubelskie";1;1;54;234;29
5;"Centrum Kultury i Promocji, Malinie 28, 23-305 Chrzanów";60502;"gm. Chrzanów";"janowski";"lubelskie";1;1;24;121;23
1;"Zespół Szkół w Dzwoli, Dzwola 121B, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;150;453;81
2;"Zespół Szkół w Krzemieniu, Krzemień Pierwszy 192, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;107;333;70
3;"Publiczna Szkoła Podstawowa w Branwi, Branew Szlachecka 19, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;86;273;53
4;"Zespół Szkół w Kocudzy, Kocudza Pierwsza 29, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;34;222;26
5;"Remiza OSP w Zdzisławicach, Zdzisławice 51, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;54;175;27
6;"Ochotnicza Straż Pożarna w Krzemieniu Drugim, Krzemień Drugi 44, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;66;279;44
7;"Gminna Biblioteka Publiczna i Ośrodek Kultury, Kocudza Druga 59, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;52;284;53
8;"Gminna Biblioteka Publiczna i Ośrodek Kultury, Filia w Kocudzy Trzeciej, Kocudza Trzecia 6, 23-304 Dzwola";60503;"gm. Dzwola";"janowski";"lubelskie";1;1;64;266;38
1;"Gminne Centrum Kultury i Promocji w Godziszowie, Godziszów Trzeci 124A, 23-302 Godziszów";60504;"gm. Godziszów";"janowski";"lubelskie";1;1;231;881;103
2;"Publiczna Szkoła Podstawowa w Andrzejowie, Andrzejów 163, 23-302 Godziszów";60504;"gm. Godziszów";"janowski";"lubelskie";1;1;66;244;47
3;"Remiza Ochotniczej Straży Pożarnej w Piłatce, Piłatka 42A, 23-302 Godziszów";60504;"gm. Godziszów";"janowski";"lubelskie";1;1;26;136;32
4;"Gminne Centrum Kultury i Promocji w Godziszowie oddział w Zdziłowicach, Zdziłowice Drugie 109, 23-306 Zdziłowice";60504;"gm. Godziszów";"janowski";"lubelskie";1;1;145;637;69
5;"Publiczna Szkoła Podstawowa w Wólce Ratajskiej, Wólka Ratajska 146, 23-302 Godziszów";60504;"gm. Godziszów";"janowski";"lubelskie";1;1;102;617;85
1;"Janowski Ośrodek Kultury, ul. Jana Pawła II 3, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;385;656;156
2;"Zespół Szkół Technicznych w Janowie Lubelskim, ul. Ogrodowa 20, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;269;470;89
3;"Ośrodek Pomocy Społecznej, ul. Bohaterów Porytowego Wzgórza 23, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;502;558;140
4;"Dom Pomocy Społecznej, ul. Wiejska 12, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;308;458;105
5;"Liceum Ogólnokształcące im. Bohaterów Porytowego Wzgórza, ul. Jana Pawła II 1, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;535;791;147
6;"Gminna Spółdzielnia ""Samopomoc Chłopska"", ul. Lubelska 1, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;432;735;138
7;"Budynek po byłej Szkole Podstawowej w Łążku Ordynackim, Łążek Ordynacki 205, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;76;142;27
8;"Publiczna Szkoła Podstawowa w Białej Drugiej, Biała Druga 142, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;158;514;71
9;"Publiczna Szkoła Podstawowa w Momotach Górnych, Momoty Górne 23, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;117;318;56
10;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Jana Zamoyskiego 149, 23-300 Janów Lubelski";60505;"gm. Janów Lubelski";"janowski";"lubelskie";1;1;9;50;3
1;"Zespół Szkół, ul. Ogrodowa 2, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;286;591;135
2;"Gminny Ośrodek Kultury, ul. Zamkowa 1, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;277;361;91
3;"Remiza OSP, Zarajec 51, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;76;134;27
4;"Świetlica Wiejska, Wolica Pierwsza 32, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;74;152;20
5;"Zespół Placówek Oświatowych, Stojeszyn Pierwszy 5, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;101;379;54
6;"Remiza OSP, Wierzchowiska Pierwsze 153, 23-310 Modliborzyce";60506;"gm. Modliborzyce";"janowski";"lubelskie";1;1;229;475;118
1;"Publiczna Szkoła Podstawowa w Potoku Wielkim, Potok Wielki 104, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;232;432;86
2;"Publiczna Szkoła Podstawowa w Potoku-Stanach, Potok-Stany 63, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;117;304;57
3;"Publiczna Szkoła Podstawowa w Potoczku, Potoczek 42, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;134;325;55
4;"Punkt Przedszkolny w Dąbrowicy, Dąbrowica 13, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;49;112;20
5;"Remiza OSP w Stawkach, Stawki 79, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;19;99;20
6;"Remiza OSP w Woli Potockiej, Wola Potocka 31, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;39;68;16
7;"Remiza OSP w Stanach Nowych, Stany Nowe 79, 23-313 Potok Wielki";60507;"gm. Potok Wielki";"janowski";"lubelskie";1;1;22;88;17
1;"Centrum Kultury i Promocji, ul. Aleja Niepodległości 44, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;142;177;45
2;"Szkoła Podstawowa Nr 5, ul. Aleja Niepodległości 54, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;226;251;63
3;"Zespół Szkół Nr 2, ul. Generała Władysława Sikorskiego 25, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;166;260;66
4;"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Księdza Stanisława Zielińskiego 3, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;567;714;173
5;"Szkoła Podstawowa Nr 5, ul. Księdza Jerzego Popiełuszki 1, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;544;729;187
6;"Przedszkole Miejskie Nr 2, ul. Jana Matejki 1, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;171;261;48
7;"Zespół Szkół Nr 3, ul. Juliusza Słowackiego 7, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;587;652;183
8;"Integracyjne Przedszkole Miejskie Nr 3, ul. Balladyny 8, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;367;412;85
9;"Miejski Ośrodek Pomocy Społecznej w Kraśniku, ul. Szpitalna 1A, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;202;331;51
10;"Szkoła Podstawowa Nr 6, ul. Grunwaldzka 2, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;314;489;75
11;"Centrum Kultury i Promocji, ul. Aleja Niepodległości 44, 23-204 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;220;219;56
12;"Szkoła Podstawowa Nr 3, ul. Urzędowska 435, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;181;297;69
13;"Filia Nr 2 Miejskiej Biblioteki Publicznej, ul. Piaskowa 20, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;418;633;176
14;"Urząd Stanu Cywilnego, ul. Urzędowska 34, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;385;424;116
15;"Miejska Biblioteka Publiczna w Kraśniku, ul. Koszarowa 10A, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;409;444;107
16;"Szkoła Podstawowa Nr 2, ul. Urzędowska 10, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;192;252;63
