"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OSIŃSKI Sylwester Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"PAWLAK Waldemar - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARTYNOWSKI Marek Eryk - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATYSZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
3;"Szkoła Podstawowa w Kamionie, Kamion Poduchowny 9, 96-512 Młodzieszyn";142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";1;1;53;163;444;63
4;"Szkoła Podstawowa w Janowie, Janów 71A, 96-512 Młodzieszyn";142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";1;1;51;147;186;79
5;"Budynek po byłej Szkole Podstawowej w Mistrzewicach, Mistrzewice 36, 96-512 Młodzieszyn";142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";1;1;31;143;181;42
6;"Dom Pomocy Społecznej w Młodzieszynie, ul. Wyszogrodzka 101, 96-512 Młodzieszyn";142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";1;1;3;5;47;4
1;"Szkoła Podstawowa w Kozłowie Szlacheckim, Kozłów Szlachecki 54, 96-513 Nowa Sucha";142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";1;1;69;193;338;62
2;"Szkoła Podstawowa w Kozłowie Biskupim, Kozłów Biskupi ul. Olimpijska 1, 96-513 Nowa Sucha";142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";1;1;152;467;353;125
3;"Szkoła Podstawowa w Kozłowie Biskupim, Kozłów Biskupi ul. Olimpijska 1, 96-513 Nowa Sucha";142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";1;1;54;229;293;71
4;"Szkoła Podstawowa w Nowej Suchej, Nowa Sucha 16, 96-513 Nowa Sucha";142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";1;1;87;318;350;112
5;"Szkoła Podstawowa w Kurdwanowie, Kurdwanów 35, 96-513 Nowa Sucha";142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";1;1;55;183;294;62
1;"Zespół Szkół w Erminowie, Erminów 1, 96-514 Rybno";142806;"gm. Rybno";"sochaczewski";"mazowieckie";1;1;35;165;265;75
2;"Szkoła Podstawowa z Oddziałami Przedszkolnymi w Rybnie, ul. Długa 11, 96-514 Rybno";142806;"gm. Rybno";"sochaczewski";"mazowieckie";1;1;48;164;242;51
3;"Szkoła Podstawowa z Oddziałami Przedszkolnymi w Rybnie, ul. Długa 11, 96-514 Rybno";142806;"gm. Rybno";"sochaczewski";"mazowieckie";1;1;57;159;281;64
4;"Świetlica Wiejska w Wężykach, Wężyki 29, 96-514 Rybno";142806;"gm. Rybno";"sochaczewski";"mazowieckie";1;1;44;94;165;30
1;"Szkoła Podstawowa w Wymysłowie, Wymysłów 17, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;43;118;141;27
2;"Szkoła Podstawowa w Feliksowie, Feliksów 20, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;88;446;353;109
3;"Szkoła Podstawowa w Wyczółkach, Wyczółki 21A, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;65;242;282;76
4;"Świetlica Wiejska w Czystem, Czyste 11A, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;83;351;329;115
5;"Szkoła Podstawowa w Kątach, Kąty 74B, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;102;484;371;97
6;"Szkoła Podstawowa w Żukowie, Żuków 104A, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;66;293;185;86
7;"Szkoła Podstawowa w Mokasie, Mokas 26, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;29;142;183;46
8;"Szkoła Podstawowa w Kątach, Kąty 74B, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;90;465;329;88
9;"Szkoła Podstawowa w Gawłowie, Gawłów 79 A, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;31;105;138;47
10;"Świetlica Wiejska w Żdżarowie, Żdżarów 62 E, 96-500 Sochaczew";142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";1;1;41;123;133;31
1;"Szkoła Podstawowa w Teresinie, ul. Aleja XX-lecia 2, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;68;480;290;95
2;"Szkoła Podstawowa w Teresinie, ul. Aleja XX-lecia 2, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;80;393;336;107
3;"Szkoła Podstawowa w Teresinie, ul. Aleja XX-lecia 2, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;41;161;166;63
4;"Szkoła Podstawowa w Budkach Piaseckich, Budki Piaseckie 17, 96-516 Szymanów";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;60;203;233;89
5;"Szkoła Podstawowa w Szymanowie, ul. Szkolna 35, 96-516 Szymanów";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;60;259;293;69
6;"Szkoła Podstawowa w Paprotni, Paprotnia ul. Sochaczewska 10, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;94;492;498;92
7;"Szkoła Podstawowa w Paprotni, Paprotnia ul. Sochaczewska 10, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;96;319;348;118
8;"Szkoła Podstawowa w Paprotni, Paprotnia ul. Sochaczewska 10, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;79;325;375;123
9;"Ochotnicza Straż Pożarna w Teresinie (świetlica), Granice ul. Południowa 2, 96-515 Teresin";142808;"gm. Teresin";"sochaczewski";"mazowieckie";1;1;49;259;171;65
1;"Obiekt Sportowy przy Klubie Żyrardowianka, ul. Piastowska 4, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;225;766;401;100
2;"Osiedlowy Dom Kultury, ul. Ks. Ottona Wittenberga 5, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;105;504;320;77
3;"Hala Sportowa, ul. Fryderyka Chopina 1, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;101;473;288;47
4;"Szkoła Podstawowa Nr 7, ul. Franklina Roosevelta 2, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;87;390;239;63
5;"Zespół Szkół Nr 2, ul. Legionów Polskich 54/56, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;120;489;354;80
6;"Szkoła Podstawowa Nr 4, ul. Radziwiłłowska 16, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;100;396;234;66
7;"Miejski Ogród Jordanowski, ul. Władysława Reymonta 13, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;242;761;494;100
8;"Miejskie Przedszkole Nr 9, pl. Plac Jana Pawła II nr 6, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;158;757;355;108
9;"Szkoła Podstawowa Nr 2, ul. Gabriela Narutowicza 35, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;167;909;313;98
10;"Budynek biurowy, ul. Armii Krajowej 3, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;120;429;282;81
11;"Miejskie Przedszkole Nr 5, ul. Leszno 19, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;165;811;429;104
12;"Miejskie Przedszkole Nr 2, ul. Parkingowa 32, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;151;584;379;115
13;"Miejskie Przedszkole Nr 8, ul. Marii Nietrzebki 6, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;111;502;297;77
14;"Klub Osiedlowy Koliber, ul. Filipa de Girarda 12, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;137;657;369;110
15;"Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Janiny Jadwigi Kacperskiej 6A, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;119;675;292;97
16;"""Aqua Żyrardów"", ul. Rotmistrza Witolda Pileckiego 25/27, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;151;688;333;93
17;"Szkoła Podstawowa Nr 6, ul. Józefa Mireckiego 56, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;109;361;274;65
18;"Specjalny Ośrodek Szkolno Wychowawczy, ul. Środkowa 36, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;141;607;363;103
19;"Młodzieżowy Dom Kultury, ul. Stanisława Moniuszki 15, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;110;485;334;70
20;"Zespół Szkół Nr 1, ul. Bohaterów Warszawy 4, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;119;515;292;77
21;"Ruukki Polska, ul. Jaktorowska 13, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;168;569;316;88
22;"Centrum Zdrowia Mazowsza Zachodniego Sp. z o. o., ul. Bolesława Limanowskiego 30, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;3;16;24;1
23;"Dom Pomocy Społecznej im. Księdza J. Popiełuszki, ul. Gen. Stanisława Sosabowskiego 23, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;2;3;20;4
24;"Dom Pomocy Społecznej, ul. Bolesława Limanowskiego 32b, 96-300 Żyrardów";143801;"m. Żyrardów";"żyrardowski";"mazowieckie";1;1;20;7;14;5
1;"Urząd Miejski w Mszczonowie, pl. Józefa Piłsudskiego 1, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;42;229;148;36
2;"Liceum Ogólnokształcące w Mszczonowie, ul. Jana Maklakiewicza 18, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;67;191;201;63
3;"Gminne Centrum Informacji w Mszczonowie, ul. Żyrardowska 4, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;58;228;221;53
4;"Spółdzielnia Mieszkaniowa w Mszczonowie, ul. Dworcowa 1, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;68;245;244;54
5;"Mszczonowski Ośrodek Kultury w Mszczonowie, ul. Warszawska 33, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;58;206;144;43
6;"Mszczonowski Ośrodek Kultury w Mszczonowie (Sala Klubowa), ul. Warszawska 33, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;44;178;137;38
7;"Miejskie Przedszkole w Mszczonowie, ul. Tarczyńska 28, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;48;169;137;33
8;"Szkoła Podstawowa, ul. Warszawska 27, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;70;208;173;51
9;"Izba Pamięci Rodziny Maklakiewiczów, ul. Tadeusza Kościuszki 1, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;76;224;204;65
10;"Szkoła Podstawowa w Piekarach, Piekary ul. Piekarska 47, 96-323 Osuchów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;52;179;193;56
11;"Szkoła Podstawowa w Osuchowie, ul. Szkolna 1, 96-323 Osuchów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;30;118;182;57
12;"Szkoła Podstawowa w Bobrowcach, Bobrowce ul. Mszczonowska 5, 96-323 Osuchów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;46;81;238;38
13;"Zespół Szkół w Mszczonowie, ul. Ługowa 13, 96-320 Mszczonów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;64;194;214;59
14;"Szkoła Podstawowa w Lutkówce, Lutkówka ul. Szkolna 1, 96-323 Osuchów";143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";1;1;74;194;187;60
1;"Budynek gminny, tzw. ""dom kultury"" w Puszczy Mariańskiej, ul. Króla Jana Sobieskiego 1, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;137;519;410;126
2;"Szkoła Podstawowa w Michałowie, Michałów 39, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;45;154;264;38
3;"Budynek gminny w Starym Łajszczewie, Stary Łajszczew 49A, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;27;63;118;37
4;"Budynek gminny/ obecnie Niepubliczne Przedszkole Językowo-Artystyczne ""Leśne Skrzaty"" w Kamionie, Kamion 85, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;19;81;69;25
5;"Filia Szkoły Podstawowej w Puszczy Mariańskiej-w Korabiewicach, Korabiewice 50A, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;29;121;145;32
6;"Szkoła Podstawowa w Walerianach, Waleriany 24, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;84;294;339;69
7;"Zespół Szkolno-Przedszkolny w Bartnikach, Bartniki ul. Miodowa 47, 96-332 Radziwiłłów";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;95;441;495;117
8;"Zespół Szkolno-Przedszkolny w Bartnikach, Bartniki ul. Miodowa 47, 96-332 Radziwiłłów";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;51;216;250;50
9;"Zakład Pielęgnacyjno-Opiekuńczy w Wycześniaku, Wycześniak 22, 96-330 Puszcza Mariańska";143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";1;1;1;3;14;0
1;"Szkoła Podstawowa w Radziejowicach, ul. Kubickiego 3A, 96-325 Radziejowice";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;143;713;326;111
2;"Szkoła Podstawowa w Radziejowicach, ul. Kubickiego 3A, 96-325 Radziejowice";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;88;430;281;81
3;"Szkoła Podstawowa w Korytowie A, Korytów A ul. Szkolna 3, 96-300 Żyrardów";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;126;391;249;74
4;"Hala Sportowa w Korytowie A, Korytów A ul. Szkolna 3, 96-300 Żyrardów";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;49;202;194;43
5;"Szkoła Podstawowa w Kuklówce Radziejowickiej, Kuklówka Radziejowicka ul. Szkolna 30, 96-325 Radziejowice";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;51;346;239;76
6;"Dom Pomocy Społecznej w Tartaku Brzózki, Tartak Brzózki ul. Mszczonowska 1, 96-325 Radziejowice";143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";1;1;3;8;11;1
1;"Świetlica Wiejska w Starych Kozłowicach, Stare Kozłowice 145, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;28;107;133;43
2;"Ochotnicza Straż Pożarna w Nowych Kozłowicach, Nowe Kozłowice 17, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;53;140;140;34
3;"Ochotnicza Straż Pożarna w Jesionce, Jesionka ul. Aleja Partyzantów 22, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;109;301;286;103
4;"Szkoła Podstawowa we Franciszkowie, Franciszków ul. Dębowa 49, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;54;242;278;64
5;"Szkoła Podstawowa w Guzowie, Guzów-Osada ul. Rodu Łubieńskich 2, 96-317 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;75;214;373;89
6;"Szkoła Podstawowa w Miedniewicach, Miedniewice 86, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;86;198;412;92
7;"Ochotnicza Straż Pożarna w Nowym Drzewiczu, Nowy Drzewicz 24 a, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;43;117;120;22
8;"Ochotnicza Straż Pożarna w Działkach, Działki ul. Działkowa 53, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;77;294;158;60
9;"Urząd Miasta i Gminy w Wiskitkach, ul. Kościuszki 1, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;122;512;324;83
10;"Ochotnicza Straż Pożarna w Aleksandrowie, Aleksandrów 24, 96-317 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;17;44;89;22
11;"Ochotnicza Straż Pożarna w Nowym Drzewiczu, Nowy Drzewicz 24 a, 96-315 Wiskitki";143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";1;1;20;63;72;19
1;"Izba Wytrzeźwień, ul. Medyczna 1, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;78;628;298;70
2;"Miejskie Przedszkole nr 19, ul. Juliusza Słowackiego 27, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;28;173;210;37
3;"Szkoła Podstawowa nr 18 im. J. Z. Jakubowskiego, ul. Jasna 8, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;73;349;284;63
4;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 3, ul. Konstantego Ildefonsa Gałczyńskiego 7, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;108;578;504;100
5;"Szkoła Podstawowa nr 18 im. J. Z. Jakubowskiego, ul. Jasna 8, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;47;366;279;66
6;"Miejskie Przedszkole nr 10, ul. Marii Skłodowskiej-Curie 2a, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;65;326;293;68
7;"Zespół Szkół Budowlanych nr 1, ul. Prezydenta Ignacego Mościckiego 4, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;70;314;275;71
8;"Szkoła Podstawowa nr 17 im. Tadeusza Kościuszki, ul. Miodowa 18, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;123;383;321;68
9;"Miejskie Przedszkole nr 10, ul. Marii Skłodowskiej-Curie 2a, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;39;268;171;53
10;"Szkoła Podstawowa nr 17 im. Tadeusza Kościuszki, ul. Miodowa 18, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;20;211;178;35
11;"Miejskie Przedszkole nr 14, ul. Miodowa 8/1, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;50;233;259;71
12;"Zespół Szkół Ekonomiczno-Kupieckich im. L. Krzywickiego, ul. abp. Antoniego Juliana Nowowiejskiego 4, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;59;289;242;59
13;"III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Marii Dąbrowskiej, ul. Ignacego Łukasiewicza 11, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;65;448;370;96
14;"Klub Osiedla Łukasiewicza Płockiej Spółdzielni Mieszkaniowej Lokatorsko-Własnościowej, ul. Ignacego Łukasiewicza 28, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;91;510;382;72
15;"Szkoła Podstawowa z Oddziałami Dwujęzycznymi nr 3 im. Kornela Makuszyńskiego, ul. Królowej Jadwigi 4, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;76;470;330;60
16;"Miejskie Przedszkole nr 17 im. Małego Księcia, ul. Szymona Kossobudzkiego 10, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;56;461;351;64
17;"Szkoła Podstawowa z Oddziałami Dwujęzycznymi nr 3 im. Kornela Makuszyńskiego, ul. Szymona Kossobudzkiego 7, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;78;557;323;60
18;"Spółdzielczy Dom Kultury, ul. Bolesława Krzywoustego 3, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;62;329;289;57
19;"Zespół Szkół Centrum Edukacji im. Ignacego Łukasiewicza, al. Al. Floriana Kobylińskiego 25, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;27;123;122;37
20;"Szkoła Podstawowa nr 16 im. Mikołaja Kopernika, ul. Piasta Kołodzieja 7, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;63;311;245;61
21;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 15, ul. Piasta Kołodzieja 4, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;49;361;257;60
22;"Zespół Szkół Zawodowych im. Marii Skłodowskiej-Curie, ul. Narodowych Sił Zbrojnych 7, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;55;522;377;85
23;"Szkoła Podstawowa nr 13 im. Jana Brzechwy, ul. Sierpecka 15, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;14;61;78;7
24;"Szkoła Podstawowa nr 1 im. Braci Jeziorowskich, inne Pasaż Vuka Karadzica 1, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;52;312;189;57
25;"Liceum Ogólnokształcące im. marsz. St. Małachowskiego, ul. Stanisława Małachowskiego 1, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;46;369;179;45
26;"Młodzieżowy Dom Kultury im. Króla Maciusia Pierwszego, ul. Tumska 9a, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;24;138;72;20
27;"Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Władysława Jagiełły, ul. 3 Maja 4, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;64;412;293;49
28;"Miejskie Przedszkole nr 9, ul. Krótka 1, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;78;378;265;73
29;"Państwowa Szkoła Muzyczna I i II st. im. Karola Szymanowskiego, ul. Kolegialna 23, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;42;335;234;72
30;"Zespół Szkół Usług i Przedsiębiorczości im. abpa. A. J. Nowowiejskiego, ul. Zygmunta Padlewskiego 2, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;94;556;425;111
31;"Miejskie Przedszkole nr 11, ul. Bielska 26/1, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;33;298;136;21
32;"Płocka Spółdzielnia Mieszkaniowa Lokatorsko-Własnościowa, Klub Osiedla Kochanowskiego, ul. Obrońców Westerplatte 6a, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;72;358;254;61
33;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 11 im. Bolesława Chrobrego, ul. Jana Kochanowskiego 11, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;101;596;484;104
34;"Miejskie Przedszkole nr 29, ul. Jana Kochanowskiego 7, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;64;404;303;57
35;"Szkoła Podstawowa nr 14 im. prof. Władysława Szafera, al. Al. Stanisława Jachowicza 20, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;111;652;409;69
36;"Miejskie Przedszkole nr 27, ul. Mikołaja Reja 28, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;63;335;257;71
37;"Miejskie Przedszkole nr 21, ul. Mikołaja Reja 4, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;66;315;279;61
38;"Szkoła Podstawowa nr 21 im. Fryderyka Chopina, ul. Fryderyka Chopina 62, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;88;485;414;75
39;"Specjalny Ośrodek Szkolno-Wychowawczy nr 2, ul. ks. Ignacego Lasockiego 14, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;53;406;375;79
40;"Zespół Szkół Technicznych-budynek warsztatów szkolnych, al. Jana Kilińskiego 4, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;115;810;478;105
41;"Szkoła Podstawowa nr 12 im. Miry Zimińskiej-Sygietyńskiej, ul. Brzozowa 3, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;65;455;327;96
42;"Urząd Miasta Płocka, al. marsz. Józefa Piłsudskiego 6, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;98;547;411;99
43;"Stacja Uzdatniania Wody, ul. Górna 56B, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;98;831;546;129
44;"Zespół Szkół nr 1, ul. Faustyna Piaska 5, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;96;634;387;87
45;"Miejskie Przedszkole nr 5, ul. Wacława Lachmana 28, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;71;437;338;59
46;"Płockie Towarzystwo Oświatowe, al. marsz. Józefa Piłsudskiego 31, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;73;412;268;64
47;"ENERGA Informatyka i Technologie Sp. z o. o., al. marsz. Józefa Piłsudskiego 41, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;63;380;259;54
48;"Biurowiec WEKTRA HOLDING Sp. z o. o., ul. Otolińska 21, 09-407 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;66;331;244;49
49;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 31, ul. Szarych Szeregów 32, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;72;460;304;79
50;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 23 im. Armii Krajowej, ul. Walecznych 20, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;122;900;401;117
51;"Miejskie Przedszkole nr 37, ul. Hubalczyków 5, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;122;764;432;136
52;"Zespół Szkół nr 5 (wejście boczne-stołówka), ul. gen. Tadeusza Kutrzeby 2a, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;125;1064;355;140
53;"Zespół Szkół nr 5 (wejście główne), ul. gen. Tadeusza Kutrzeby 2a, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;95;889;371;114
